Gender,Age,Married,Education,Job,Employment Years,Annual Income (USD),Interest Rate,Down Payment (USD),Credit Score,Existing Monthly Debt (USD),Area,Loans Repaid,Max Loan Amount (USD)
Male,30,Yes,High School,Retired,8,68114.29,0.03,48110.25,817,832.93,Suburban,1,484660.37
Female,36,No,PhD,Software Engineer,11,93030.67,0.05,64835.55,740,1592.58,Suburban,2,454987.21
Female,32,No,Master's,Nurse,10,97622.12,0.04,10426.36,779,1300.33,Urban,4,551006.3
Female,83,No,PhD,Sales Manager,50,128639.59,0.05,100400.84,733,1227.82,Suburban,10,710304.94
Female,30,No,Master's,Doctor,6,152362.71,0.06,20059.93,739,1898.4,Suburban,2,632221.13
Male,52,Yes,Master's,Business Owner,28,145676.91,0.05,59883.53,749,2528.19,Suburban,8,668051.25
Male,59,Yes,Bachelor's,Banker,36,147288.95,0.07,56556.91,702,2886.6,Suburban,7,426696.52
Female,60,Yes,Master's,Accountant,30,155774.61,0.03,86607.15,850,2925.46,Urban,7,932222.36
Female,45,No,Bachelor's,Software Engineer,17,114702.82,0.03,54728.81,816,2156.76,Urban,4,661375.44
Female,72,Yes,Master's,Software Engineer,49,119603.13,0.09,11201.4,646,1366.45,Suburban,4,367590.16
Male,63,Yes,Bachelor's,Nurse,41,104696.44,0.04,72707.48,784,1377.26,Rural,7,639984.32
Male,77,No,Bachelor's,Sales Manager,50,122867.57,0.04,89669.23,787,1056.63,Urban,10,873877.4
Female,68,Yes,PhD,Retired,44,154334.44,0.03,32145.39,850,2120.97,Urban,11,1054342.54
Female,56,Yes,Bachelor's,Sales Manager,36,160439.66,0.03,162813.07,823,1761.23,Urban,9,1330674.15
Female,66,Yes,Master's,Lawyer,43,202167.51,0.04,75354.25,773,1631.04,Rural,6,1345520.99
Female,74,Yes,Bachelor's,Freelancer,50,65888.54,0.06,39394.11,723,494.67,Rural,7,337006.27
Female,72,No,Master's,Business Owner,50,160941.05,0.03,99520.11,850,1135.52,Urban,6,1420749.67
Male,29,Yes,Bachelor's,Teacher,3,109711.87,0.07,92961.68,699,1505.18,Urban,4,454687.46
Male,38,Yes,Master's,Nurse,14,50089.68,0.03,13382.83,829,620.33,Urban,4,361275.93
Female,86,No,Master's,Freelancer,50,64986.59,0.03,33096.27,850,746.39,Rural,6,498314.69
Female,58,Yes,Master's,Accountant,34,116173.29,0.05,75469.23,751,1195.78,Urban,6,709781.39
Male,31,Yes,Master's,Engineer,6,125865.32,0.06,99936.77,747,2815.65,Suburban,2,495649.13
Male,56,No,Master's,Sales Manager,35,73328.5,0.03,43214.34,850,253.06,Urban,7,707887.8
Female,81,Yes,Master's,Engineer,50,101820.33,0.04,24558.19,780,2158.63,Urban,10,429172.67
Male,77,Yes,Bachelor's,Doctor,50,162103.73,0.07,108632.75,706,1552.03,Urban,6,746309.62
Male,84,No,Bachelor's,Banker,50,145052.14,0.07,74949.59,728,2546.17,Urban,8,487846.33
Female,30,Yes,PhD,Lawyer,9,162946.79,0.1,108475.37,632,3267.79,Urban,3,393464.6
Female,29,No,Bachelor's,Retired,0,97708.5,0.06,63751.71,737,688.45,Suburban,4,542917.86
Female,71,No,Master's,Lawyer,45,153995.52,0.04,118998.66,803,1329.47,Suburban,12,1105606.12
Male,63,Yes,PhD,Teacher,35,147345.12,0.04,129488.18,776,994.64,Suburban,7,1142205.81
Female,41,No,PhD,Business Owner,15,115240.24,0.03,13535.69,826,1947.13,Urban,1,690602.76
Male,75,Yes,Bachelor's,Freelancer,48,103767.05,0.09,61954.81,651,1200.11,Urban,6,362149.01
Male,80,Yes,Master's,Nurse,50,101414.98,0.03,36797.96,850,779.62,Urban,7,854153.53
Female,31,Yes,Master's,Engineer,9,85655.7,0.04,45439.44,758,426.8,Suburban,8,662847.02
Female,71,Yes,Bachelor's,Teacher,48,79748.24,0.04,24144.66,766,465.29,Rural,6,604147.04
Female,57,Yes,Bachelor's,Banker,33,129596.65,0.08,68578.55,690,1217.56,Suburban,4,563912.51
Female,46,Yes,Bachelor's,Lawyer,23,98045.53,0.08,105035.9,692,2087.93,Suburban,5,309734.62
Female,46,No,Bachelor's,Freelancer,21,93600.62,0.03,10616.02,790,1267.76,Suburban,6,567735.34
Male,71,No,Bachelor's,Lawyer,47,118739.08,0.03,86228.74,776,1474.02,Urban,10,819481.82
Male,58,Yes,Master's,Doctor,33,179214.05,0.03,118015.25,850,2508.23,Urban,6,1294242.06
Male,42,Yes,High School,Retired,17,90299.28,0.09,9648.25,661,616.9,Rural,6,319683.05
Male,56,No,Master's,Software Engineer,35,130018.1,0.04,32622.01,783,1845.26,Suburban,5,705176.91
Female,30,Yes,Master's,Accountant,2,90445.56,0.07,57069.05,708,1337.22,Suburban,1,363472.64
Male,46,No,Bachelor's,Accountant,18,122297.46,0.04,73609.27,782,2447.5,Suburban,2,585127.77
Female,49,No,Master's,Doctor,27,122363.05,0.05,26078.26,764,2399.89,Suburban,9,494687.42
Female,74,Yes,Bachelor's,Engineer,48,155222.54,0.06,95628.91,698,1936.84,Urban,6,681800.31
Female,47,Yes,High School,Business Owner,25,129030.19,0.09,100947.44,652,1460.92,Urban,4,477920.92
Female,82,No,PhD,Business Owner,50,162232.78,0.03,81551.1,850,1578.92,Suburban,7,1310376.05
Female,34,Yes,Bachelor's,Sales Manager,12,142636.94,0.03,110564.27,826,2736.44,Suburban,5,871173.72
Female,31,Yes,Bachelor's,Software Engineer,5,142635.74,0.04,65984.22,744,2706.85,Urban,5,671729.14
Male,28,No,Master's,Nurse,5,77737.56,0.09,24529.61,625,528.27,Urban,0,284324.45
Female,68,Yes,High School,Accountant,49,105307.2,0.06,15972.95,771,2061.2,Suburban,8,402593.69
Male,34,Yes,Master's,Retired,15,132044.63,0.07,43685.58,706,3305.74,Suburban,2,274783.09
Male,49,Yes,High School,Accountant,30,72214.51,0.04,61382.08,770,1444.87,Rural,5,364788.83
Female,64,No,Bachelor's,Nurse,37,126527.65,0.03,105595.77,802,2789.44,Suburban,5,642390.68
Male,84,Yes,Bachelor's,Engineer,50,76453.92,0.04,40784.3,772,1245.92,Suburban,9,409803.92
Female,57,Yes,High School,Lawyer,29,137400.52,0.04,90413.78,797,2425.94,Urban,9,745641.12
Female,36,Yes,Bachelor's,Business Owner,10,165989.67,0.05,51153.02,773,2662.68,Rural,5,820316.37
Female,85,No,PhD,Business Owner,50,187462.58,0.03,24870.69,826,3588.89,Suburban,9,1026295.76
Male,54,Yes,Master's,Sales Manager,27,123704.7,0.05,75330.83,756,1251.28,Rural,3,761976.79
Male,65,Yes,Bachelor's,Nurse,44,70447.55,0.04,42876.13,748,1065.3,Suburban,7,423577.44
Female,83,No,Bachelor's,Sales Manager,50,112450.67,0.09,28688.98,655,831.75,Urban,10,405313.75
Male,50,Yes,High School,Business Owner,32,156523.16,0.05,124930.82,750,2565.83,Urban,7,835391.37
Female,39,Yes,Bachelor's,Software Engineer,19,159005.98,0.04,50069.55,768,1898.46,Urban,3,963355.43
Female,40,No,High School,Business Owner,21,114683.39,0.06,63940.11,725,1785.74,Urban,5,446192.22
Female,60,Yes,High School,Accountant,39,105791.75,0.05,8011.72,761,1898.64,Urban,3,442429.52
Male,42,Yes,Master's,Business Owner,17,131572.79,0.03,65519.91,813,1979.93,Suburban,2,808678.08
Male,43,No,Master's,Nurse,22,69603.32,0.04,5000.0,778,1331.33,Urban,3,328100.86
Female,61,Yes,Bachelor's,Sales Manager,38,103132.63,0.1,39287.97,631,1273.45,Suburban,3,305950.22
Male,36,Yes,High School,Freelancer,13,97190.5,0.08,56039.73,679,1840.67,Rural,3,268716.04
Male,69,No,Bachelor's,Retired,48,109650.06,0.03,89261.19,850,1387.76,Urban,10,843756.97
Female,79,No,Master's,Teacher,50,158922.7,0.06,146900.8,772,2187.72,Urban,13,879262.33
Female,54,Yes,High School,Teacher,30,49597.94,0.03,39064.91,791,892.88,Urban,5,295409.62
Female,75,Yes,Bachelor's,Retired,50,89376.01,0.03,63561.22,850,1086.32,Urban,9,689190.54
Female,42,Yes,High School,Sales Manager,17,155477.82,0.03,5000.0,820,3133.26,Suburban,6,798394.24
Male,62,Yes,Master's,Software Engineer,39,137070.96,0.04,22599.23,789,2343.85,Urban,8,675303.77
Female,61,Yes,Master's,Sales Manager,41,97373.22,0.06,85060.33,731,1511.82,Suburban,3,433592.41
