player_id,cognitive_ability,starting_age,age_now,years_playing,total_study_hours,deliberate_share,deliberate_hours,tactics_training_hours,analyzes_own_games,opening_study_hours,games_played,has_coach,studies_endgames,peak_rating,plateaued,reached_expert
CHS000029,5.78,21,27,6,3000,0.233,700,210,1.86,1070,460,0,0,445,1,0
CHS000030,3.13,15,44,29,1620,0.368,600,280,5.22,430,3830,0,0,1967,0,0
CHS000031,1.31,12,45,33,1020,0.554,570,290,5.95,310,3150,0,0,1407,0,0
CHS000032,6.89,16,40,24,1040,0.536,560,270,5.99,240,1620,0,0,2241,1,1
CHS000033,5.43,10,14,4,120,0.18,20,10,9.35,60,3810,0,0,1225,0,0
CHS000034,6.31,19,25,6,1020,0.301,310,150,6.71,220,2250,0,1,1747,0,0
CHS000035,8.4,7,23,16,1080,0.319,340,160,3.79,350,790,0,0,1912,1,0
CHS000036,10.0,24,47,23,4890,0.342,1670,980,5.83,1390,1390,0,0,2102,0,1
CHS000037,5.05,25,38,13,3650,0.14,510,230,4.73,1820,4660,1,0,1545,1,0
CHS000038,7.51,25,50,25,1450,0.208,300,150,4.05,410,1490,0,1,1474,0,0
CHS000039,5.45,12,26,14,1650,0.259,430,160,4.79,490,4680,0,0,1973,1,0
CHS000040,2.21,17,40,23,6560,0.16,1050,330,9.47,1870,4050,0,0,1753,1,0
CHS000041,7.65,12,38,26,520,0.198,100,30,7.02,270,3160,0,0,1772,0,0
CHS000042,5.56,26,36,10,5130,0.384,1970,690,7.55,1890,2500,1,0,2015,1,1
CHS000043,5.14,12,27,15,720,0.279,200,60,4.85,340,2790,0,0,1561,0,0
CHS000044,5.59,17,27,10,1460,0.747,1090,530,4.01,200,5040,1,0,2362,0,1
CHS000045,4.15,21,48,27,820,0.187,150,40,4.99,230,1440,1,0,1009,1,0
CHS000046,8.95,52,80,28,1720,0.284,490,200,7.52,690,2480,0,0,1437,1,0
CHS000047,10.0,19,47,28,280,0.268,80,20,4.76,80,4080,0,0,2105,1,1
CHS000048,7.88,7,16,9,1570,0.316,500,250,5.78,720,980,1,1,1834,0,0
CHS000049,4.67,11,16,5,2900,0.392,1140,510,7.92,1200,3140,1,1,1921,0,0
CHS000050,2.13,26,47,21,2200,0.804,1770,730,4.79,230,1240,0,0,1639,0,0
CHS000051,6.7,14,15,1,310,0.152,50,20,6.95,130,2980,1,0,1599,1,0
CHS000052,3.59,9,21,12,310,0.373,120,50,1.65,70,5000,0,1,1432,1,0
CHS000053,4.93,18,51,33,2040,0.221,450,230,4.24,480,3880,1,0,1797,1,0
CHS000054,6.78,23,28,5,20,0.486,10,0,5.31,10,1390,1,0,1015,0,0
CHS000055,4.43,16,29,13,220,0.245,50,20,5.9,90,3920,0,1,1314,0,0
CHS000056,5.14,9,16,7,3810,0.64,2440,680,5.51,940,2710,1,1,2129,1,1
CHS000057,4.5,9,33,24,620,0.155,100,50,9.39,260,4300,0,1,2047,1,1
CHS000058,3.83,23,32,9,3220,0.604,1940,890,2.42,560,1840,0,0,1746,1,0
CHS000059,6.73,11,27,16,1850,0.27,500,150,9.83,840,1800,0,0,2001,0,1
CHS000060,4.84,20,42,22,1460,0.464,680,190,4.33,240,2570,0,1,1501,0,0
CHS000061,7.9,56,80,24,1220,0.525,640,170,4.71,390,1950,1,0,1353,1,0
CHS000062,4.79,15,24,9,100,0.243,20,10,7.09,50,3460,1,1,1370,1,0
CHS000063,6.16,8,32,24,4440,0.283,1260,480,3.84,1540,3530,1,1,2147,0,1
CHS000064,5.53,17,24,7,2440,0.729,1780,760,4.75,240,1100,0,1,1911,0,0
CHS000065,2.3,12,16,4,2330,0.621,1450,670,7.83,520,1520,0,0,1676,1,0
CHS000066,7.23,9,43,34,1330,0.222,300,70,0.0,380,3230,0,0,1783,0,0
CHS000067,5.79,16,60,44,2620,0.075,200,70,3.47,800,1320,0,0,1144,0,0
CHS000068,8.78,23,41,18,2190,0.247,540,290,3.45,920,5240,0,1,2096,0,1
CHS000069,8.49,9,15,6,1210,0.374,450,110,8.29,400,3420,1,0,2035,0,1
CHS000070,3.65,9,20,11,1300,0.746,970,540,6.82,120,5310,0,0,2540,0,1
CHS000071,6.28,15,18,3,650,0.162,110,40,10.0,220,1510,1,0,1566,1,0
CHS000072,5.14,12,20,8,1390,0.728,1010,500,7.11,120,1330,0,0,1459,0,0
CHS000073,7.76,14,19,5,630,0.472,300,150,4.78,200,7740,0,0,2468,0,1
CHS000074,4.84,14,27,13,790,0.245,190,50,6.67,230,3820,1,0,1476,1,0
CHS000075,5.76,22,25,3,410,0.452,190,100,9.71,150,3920,0,1,1853,0,0
CHS000076,4.74,13,24,11,1210,0.343,420,190,4.35,270,2830,1,0,1782,1,0
CHS000077,5.49,9,22,13,660,0.304,200,90,6.49,150,300,0,1,979,0,0
CHS000078,5.54,15,23,8,1620,0.502,810,370,4.58,370,1410,1,1,1816,0,0
CHS000079,5.07,19,25,6,2230,0.359,800,470,9.69,540,6940,0,1,2381,1,1
CHS000080,6.18,13,18,5,1500,0.537,810,440,7.82,290,2120,0,0,2046,0,1
CHS000081,4.47,14,25,11,820,0.079,60,30,7.35,310,3940,0,0,1549,0,0
CHS000082,4.75,22,31,9,1140,0.354,400,240,3.1,230,4090,0,0,1876,1,0
CHS000083,3.14,22,33,11,3580,0.168,600,230,8.9,2040,2370,1,0,1558,1,0
CHS000084,4.44,13,15,2,610,0.869,530,280,7.0,30,7700,0,0,2411,0,1
CHS000085,7.14,17,32,15,3300,0.655,2160,540,6.78,400,5010,0,0,2578,1,1
CHS000086,3.81,16,33,17,1650,0.513,850,300,3.26,310,1230,0,0,1247,1,0
CHS000087,5.12,11,25,14,530,0.466,250,50,2.88,180,3120,0,1,1135,0,0
CHS000088,3.53,16,37,21,1390,0.498,690,180,7.18,480,590,0,1,1122,0,0
CHS000089,5.95,12,28,16,1860,0.402,750,310,7.39,680,230,1,0,1223,0,0
CHS000090,7.56,12,29,17,500,0.448,220,110,6.67,90,1140,0,0,1920,0,0
CHS000091,6.54,32,41,9,1390,0.464,640,150,9.22,320,2210,0,1,1909,1,0
CHS000092,5.35,17,27,10,1400,0.233,330,90,0.0,650,2700,0,1,1361,1,0
CHS000093,7.18,43,48,5,2680,0.337,900,260,5.46,640,7090,1,0,1917,1,0
CHS000094,5.19,27,40,13,630,0.469,300,140,6.73,210,890,0,1,1345,1,0
CHS000095,6.88,14,17,3,1170,0.301,350,120,8.55,510,770,0,1,1710,0,0
CHS000096,4.05,11,39,28,430,0.136,60,30,4.12,150,2000,0,1,1351,0,0
CHS000097,3.79,17,29,12,1460,0.694,1010,580,3.64,140,2290,1,0,1963,1,0
CHS000098,10.0,20,21,1,2440,0.448,1090,570,10.0,410,3770,0,0,2900,0,1
CHS000099,5.35,25,44,19,320,0.608,190,70,7.48,50,3700,0,1,2023,0,1
CHS000100,6.91,6,15,9,340,0.5,170,80,5.75,110,3900,1,0,1984,0,0
CHS000101,4.91,26,35,9,1320,0.266,350,140,3.22,580,4770,1,1,1763,0,0
CHS000102,6.06,10,37,27,2760,0.706,1950,540,9.17,250,2010,0,1,2775,1,1
CHS000103,1.43,10,32,22,2350,0.281,660,320,5.7,690,2930,0,0,1491,0,0
CHS000104,3.42,33,44,11,2450,0.175,430,170,1.81,1390,3230,1,0,1192,1,0
CHS000105,4.69,15,17,2,420,0.939,390,150,4.95,10,4920,0,0,2176,0,1
CHS000106,7.79,11,18,7,830,0.659,550,270,5.02,190,2680,0,1,2598,1,1
CHS000107,6.11,10,20,10,850,0.261,220,130,6.32,350,3070,0,0,1927,0,0
CHS000108,2.89,10,26,16,650,0.165,110,30,8.53,190,470,0,0,531,1,0
CHS000109,5.03,15,42,27,3070,0.266,820,430,6.11,750,2140,0,0,1761,1,0
CHS000110,6.11,26,28,2,2090,0.534,1120,300,2.9,520,860,0,1,1628,1,0
CHS000111,3.13,13,23,10,630,0.163,100,40,3.22,210,880,0,0,528,0,0
CHS000112,6.28,15,32,17,2290,0.274,630,310,5.74,800,2230,0,0,1603,1,0
CHS000113,10.0,14,19,5,1900,0.408,780,450,5.65,440,7260,0,1,2826,1,1
CHS000114,7.11,19,39,20,860,0.621,530,280,6.62,200,3060,1,0,2482,1,1
CHS000115,5.06,25,30,5,3050,0.538,1640,420,6.0,700,2940,0,0,2240,1,1
CHS000116,3.85,20,31,11,890,0.197,180,60,3.7,280,1980,0,0,1106,0,0
CHS000117,5.81,26,50,24,550,0.383,210,70,4.75,130,1840,1,0,1290,0,0
CHS000118,4.74,32,41,9,340,0.338,110,50,5.34,140,990,0,0,400,1,0
CHS000119,10.0,8,21,13,1180,0.201,240,130,8.03,310,2390,0,0,2343,0,1
CHS000120,4.27,14,22,8,650,0.292,190,50,6.9,220,2490,0,1,1432,0,0
CHS000121,5.72,16,35,19,840,0.381,320,170,5.67,220,1730,0,0,1374,0,0
CHS000122,4.31,18,31,13,190,0.313,60,10,5.34,60,5710,0,0,1409,1,0
CHS000123,2.36,8,21,13,160,0.805,130,60,7.62,10,1300,0,0,1602,0,0
CHS000124,3.76,19,26,7,1240,0.623,770,350,4.04,240,4140,1,1,2140,0,1
CHS000125,5.0,19,31,12,1060,0.192,200,120,3.83,280,3780,0,0,1522,0,0
CHS000126,6.4,18,21,3,720,0.321,230,100,5.69,200,2750,0,0,1473,1,0
CHS000127,8.16,9,34,25,5930,0.02,120,50,4.22,3610,2500,0,0,1670,1,0
CHS000128,1.38,12,28,16,2460,0.103,250,60,6.16,890,6390,0,1,1776,0,0
CHS000129,3.29,15,30,15,270,0.545,150,70,3.8,70,2770,0,0,1440,0,0
CHS000130,6.61,19,30,11,1530,0.653,1000,410,6.53,190,5750,0,1,2409,0,1
CHS000131,3.31,7,24,17,2800,0.476,1330,420,10.0,460,3120,1,0,2282,1,1
CHS000132,2.49,21,35,14,1180,0.225,270,150,4.09,380,4030,0,0,1407,1,0
CHS000133,5.59,25,37,12,1910,0.871,1660,740,5.38,140,2250,0,1,2252,0,1
CHS000134,5.04,12,25,13,1940,0.379,740,250,3.0,770,740,0,0,1487,0,0
CHS000135,4.08,12,16,4,500,0.423,210,120,10.0,110,1120,0,1,1286,0,0
CHS000136,3.25,6,14,8,1400,0.417,580,160,5.91,410,2180,0,0,2011,1,1
CHS000137,5.15,11,29,18,1460,0.424,620,210,2.76,520,3090,1,0,1947,1,0
CHS000138,4.65,11,18,7,580,0.414,240,60,10.0,140,1300,0,1,1323,1,0
CHS000139,4.6,26,32,6,800,0.216,170,80,4.0,280,3220,0,0,922,1,0
CHS000140,5.87,36,46,10,1240,0.672,830,290,7.1,200,6970,0,0,1930,0,0
CHS000141,4.19,39,49,10,2050,0.508,1040,450,10.0,410,4390,0,0,1551,0,0
CHS000142,5.38,11,29,18,4040,0.144,580,180,4.25,1420,2440,1,0,1866,0,0
CHS000143,6.07,13,25,12,4120,0.521,2150,1020,4.44,1040,1560,0,0,1651,1,0
CHS000144,6.46,15,32,17,1140,0.403,460,110,3.74,440,2280,0,1,1599,1,0
CHS000145,7.98,24,32,8,3350,0.711,2380,590,5.86,400,40,1,1,907,0,0
CHS000146,4.77,31,44,13,1430,0.383,550,130,0.0,430,5130,1,0,1584,0,0
CHS000147,6.01,16,25,9,1640,0.481,790,260,9.06,430,3090,1,0,2163,0,1
CHS000148,3.01,29,33,4,1300,0.193,250,90,4.31,320,2130,0,0,744,0,0
CHS000149,5.82,39,50,11,60,0.493,30,20,7.06,20,5950,0,0,1170,0,0
CHS000150,2.32,11,22,11,4860,0.436,2120,430,2.52,1330,3720,0,0,1812,1,0
CHS000151,5.67,31,75,44,810,0.061,50,20,8.71,240,4330,0,1,1258,1,0
CHS000152,2.87,18,30,12,2270,0.408,930,530,5.48,660,4120,0,0,1742,1,0
CHS000153,2.88,29,50,21,1230,0.281,350,200,4.95,600,1750,0,0,913,1,0
CHS000154,3.71,17,24,7,2060,0.449,920,470,7.6,470,1130,0,1,1600,0,0
CHS000155,5.41,24,41,17,1600,0.69,1100,360,6.31,240,690,0,0,1224,1,0
CHS000156,1.24,22,44,22,140,0.525,70,30,7.08,40,560,0,0,489,0,0
CHS000157,5.32,8,13,5,1440,0.416,600,270,6.46,560,3110,0,1,1693,1,0
CHS000158,6.15,20,52,32,2230,0.528,1180,520,10.0,510,4090,1,0,2310,1,1
CHS000159,5.01,18,20,2,3580,0.084,300,150,5.5,1020,4650,0,0,1157,1,0
CHS000160,2.74,42,53,11,2440,0.481,1170,660,5.17,700,7420,0,0,1774,1,0
CHS000161,7.29,30,37,7,1620,0.487,790,260,1.6,460,4460,0,1,1806,0,0
CHS000162,3.25,20,38,18,630,0.387,240,130,5.39,260,2480,0,0,1409,0,0
CHS000163,5.1,7,24,17,1310,0.548,720,150,8.05,180,3250,0,0,1786,0,0
CHS000164,0.37,7,14,7,1270,0.195,250,50,1.54,560,4060,1,1,1008,1,0
CHS000165,1.04,15,22,7,1480,0.331,490,190,0.77,550,2100,1,0,541,1,0
CHS000166,3.75,13,24,11,1160,0.629,730,250,6.2,190,190,1,1,758,0,0
CHS000167,5.02,12,46,34,140,0.39,50,20,3.41,40,3030,0,0,1240,0,0
CHS000168,6.71,30,35,5,2710,0.225,610,330,4.44,650,930,0,0,1418,1,0
CHS000169,6.46,12,26,14,100,0.57,60,30,5.44,30,1780,0,0,1975,0,0
CHS000170,6.73,23,40,17,300,0.745,220,80,4.83,40,650,0,0,1233,0,0
CHS000171,7.49,9,17,8,7490,0.372,2790,1290,9.07,1470,3610,0,0,2900,1,1
CHS000172,5.2,19,35,16,290,0.431,120,40,6.05,50,480,0,0,819,0,0
CHS000173,2.65,13,32,19,1290,0.375,480,270,9.76,250,3390,0,1,1598,1,0
CHS000174,4.98,15,40,25,1910,0.431,820,280,4.0,590,640,1,1,1302,1,0
CHS000175,4.38,10,28,18,930,0.294,270,110,4.85,380,2460,0,0,1727,1,0
CHS000176,3.72,18,55,37,2720,0.178,480,110,4.72,1460,1600,0,0,1360,1,0
CHS000177,4.2,31,42,11,2170,0.451,980,510,9.54,510,4040,0,0,2136,1,1
CHS000178,7.23,16,22,6,850,0.064,50,10,1.66,520,1350,0,0,755,0,0
CHS000179,3.57,14,38,24,610,0.697,430,170,3.51,80,710,0,1,985,0,0
CHS000180,4.59,17,31,14,720,0.328,240,120,3.98,160,450,0,0,623,0,0
CHS000181,3.57,13,22,9,870,0.264,230,50,3.77,270,1380,0,0,1049,0,0
CHS000182,6.04,18,22,4,330,0.351,120,30,6.17,140,830,0,1,1135,0,0
CHS000183,4.67,15,35,20,5590,0.33,1840,690,3.28,1500,1840,0,0,2023,0,1
CHS000184,5.03,17,34,17,170,0.447,80,30,4.11,60,200,0,0,700,0,0
CHS000185,4.34,9,16,7,800,0.29,230,140,3.92,340,3020,1,1,1601,0,0
CHS000186,7.68,20,22,2,310,0.222,70,20,5.28,90,290,0,0,434,0,0
CHS000187,3.43,25,29,4,1260,0.446,560,330,6.04,340,1050,1,1,1151,1,0
CHS000188,4.4,30,35,5,440,0.475,210,100,7.4,110,1190,1,1,1448,0,0
CHS000189,3.14,9,36,27,2320,0.25,580,330,9.88,1200,1730,0,1,1635,0,0
CHS000190,4.56,7,15,8,2750,0.56,1540,660,7.6,810,2400,0,1,2194,0,1
CHS000191,2.73,10,23,13,650,0.394,260,150,5.82,240,330,0,0,1010,1,0
CHS000192,8.45,15,17,2,930,0.321,300,170,3.0,340,830,0,0,1180,0,0
CHS000193,3.8,24,32,8,1090,0.209,230,70,9.25,400,400,1,0,994,1,0
CHS000194,6.59,10,15,5,2150,0.463,1000,230,1.78,760,1790,0,0,1795,1,0
CHS000195,3.99,16,19,3,2710,0.6,1630,380,8.64,500,4280,0,0,2183,1,1
CHS000196,5.51,15,36,21,670,0.778,520,230,8.95,100,2720,1,0,2103,0,1
CHS000197,6.03,19,32,13,900,0.619,560,260,4.37,210,2270,0,0,1744,0,0
CHS000198,7.3,16,19,3,2140,0.624,1340,740,5.5,300,930,0,0,1891,0,0
CHS000199,3.49,12,19,7,2210,0.541,1200,360,6.36,560,4640,0,0,2180,0,1
CHS000200,0.0,48,59,11,1930,0.343,660,150,4.38,560,2350,0,1,400,0,0
CHS000201,10.0,9,23,14,990,0.494,490,150,5.96,190,610,0,1,1850,1,0
CHS000202,5.48,7,12,5,3110,0.449,1400,390,3.38,790,7140,0,1,2417,1,1
CHS000203,5.57,9,11,2,1400,0.159,220,120,10.0,790,2110,0,1,2003,0,1
CHS000204,4.11,35,39,4,300,0.323,100,50,2.56,80,920,0,0,400,0,0
CHS000205,4.95,19,21,2,1460,0.447,650,360,3.91,450,930,0,1,1382,0,0
CHS000206,2.87,10,36,26,2790,0.314,880,480,4.03,1260,1310,0,0,1291,0,0
CHS000207,2.77,19,25,6,1620,0.397,640,360,6.28,340,1620,0,1,1387,0,0
CHS000208,7.65,24,29,5,240,0.338,80,40,5.37,110,3350,1,0,1594,0,0
CHS000209,7.0,12,31,19,250,0.929,230,50,5.41,10,2900,0,0,2099,0,1
CHS000210,3.68,16,18,2,1280,0.342,440,170,5.18,390,980,0,0,982,0,0
CHS000211,4.83,11,41,30,1790,0.524,940,440,2.92,550,4460,0,0,1732,1,0
CHS000212,4.24,8,14,6,1730,0.758,1310,600,8.15,280,1450,1,0,2025,0,1
CHS000213,3.2,22,31,9,250,0.356,90,50,5.12,90,2370,0,1,1373,0,0
CHS000214,7.62,22,38,16,1590,0.205,330,110,3.66,520,4130,0,1,1863,1,0
CHS000215,4.17,6,7,1,800,0.368,290,100,10.0,280,4470,0,1,1838,0,0
CHS000216,8.35,18,37,19,1570,0.462,730,380,6.3,580,1960,1,0,2149,0,1
CHS000217,4.07,25,33,8,3900,0.725,2830,1040,4.13,460,1530,1,0,1540,0,0
CHS000218,4.94,8,12,4,420,0.21,90,20,4.12,190,320,1,0,400,0,0
CHS000219,2.79,19,27,8,1760,0.369,650,240,2.39,610,11010,0,0,1780,0,0
CHS000220,2.83,27,63,36,2510,0.722,1810,740,7.74,450,1080,0,1,1716,1,0
CHS000221,6.6,7,9,2,470,0.085,40,20,6.73,280,1950,0,0,1090,0,0
CHS000222,1.75,12,24,12,240,0.407,100,40,1.87,80,1170,0,1,431,0,0
CHS000223,5.52,12,39,27,1750,0.133,230,120,6.56,770,4050,0,0,1701,0,0
CHS000224,7.08,32,57,25,1230,0.532,650,360,8.27,180,3060,0,1,1832,1,0
CHS000225,4.32,39,66,27,2970,0.468,1390,330,5.21,1040,1780,0,0,1050,1,0
CHS000226,6.22,16,25,9,400,0.478,190,90,5.01,110,3210,0,0,1972,0,0
CHS000227,3.69,20,37,17,1290,0.328,420,220,8.95,600,2520,0,0,1636,1,0
CHS000228,4.52,22,23,1,2170,0.447,970,370,6.14,690,3750,0,0,1609,0,0
CHS000229,8.09,20,23,3,1220,0.273,330,190,4.87,600,9650,0,0,2287,0,1
CHS000230,3.9,19,35,16,2060,0.44,910,470,3.22,720,2830,1,0,1366,1,0
CHS000231,4.52,49,65,16,410,0.196,80,20,2.5,100,2210,1,1,843,1,0
CHS000232,6.0,11,16,5,760,0.522,400,100,3.31,130,530,0,0,1199,0,0
CHS000233,3.8,8,26,18,690,0.645,450,250,4.81,90,880,0,0,1458,0,0
CHS000234,7.11,10,11,1,2600,0.468,1220,300,5.96,590,4280,0,0,2414,0,1
CHS000235,6.4,8,19,11,1070,0.526,560,250,8.75,220,360,0,1,1386,0,0
CHS000236,8.98,15,33,18,1570,0.555,870,410,5.54,290,920,1,1,2347,0,1
CHS000237,4.29,11,24,13,2010,0.353,710,330,6.75,500,5030,1,0,2073,0,1
CHS000238,5.83,17,27,10,1480,0.421,620,300,5.44,560,3020,0,0,1598,1,0
CHS000239,5.19,24,45,21,680,0.388,260,80,4.1,220,840,0,0,937,1,0
CHS000240,7.32,8,17,9,2220,0.389,860,370,5.68,740,670,0,0,1716,0,0
CHS000241,4.92,22,26,4,1070,0.415,440,180,0.24,240,840,0,1,1065,0,0
CHS000242,3.88,12,22,10,700,0.647,450,180,5.51,100,1930,0,0,1616,1,0
CHS000243,5.27,37,41,4,600,0.289,170,50,5.53,170,690,0,1,802,0,0
CHS000244,1.87,20,32,12,1650,0.269,440,270,5.87,430,5780,0,0,1294,1,0
CHS000245,8.35,23,32,9,80,0.422,30,20,6.27,20,1000,0,0,1412,1,0
CHS000246,7.22,22,26,4,4150,0.403,1670,870,4.25,1150,2330,0,1,2008,0,1
CHS000247,0.0,13,20,7,4770,0.598,2850,730,10.0,640,510,1,1,1176,0,0
CHS000248,3.84,22,37,15,520,0.107,60,30,7.81,320,2210,0,0,1228,0,0
CHS000249,7.77,23,27,4,690,0.477,330,120,8.39,170,890,0,1,1626,0,0
CHS000250,8.3,38,49,11,3200,0.249,800,240,6.39,770,2500,0,0,1862,0,0
CHS000251,7.62,10,21,11,150,0.641,100,50,6.61,20,640,0,0,1617,0,0
CHS000252,6.33,11,24,13,630,0.505,320,120,7.92,170,3330,1,0,2396,0,1
CHS000253,2.96,7,23,16,2870,0.309,890,330,3.41,1020,3900,0,0,1608,1,0
CHS000254,3.71,13,39,26,810,0.752,610,220,6.76,80,3450,0,0,2132,0,1
CHS000255,5.84,11,24,13,1440,0.19,270,60,4.45,500,2910,0,0,1300,1,0
CHS000256,7.69,16,20,4,1470,0.587,860,290,9.98,380,2920,0,0,2144,0,1
CHS000257,6.71,13,18,5,1080,0.825,890,460,8.55,110,950,0,0,1893,1,0
CHS000258,4.74,22,29,7,4330,0.36,1560,460,6.25,840,2180,0,1,1691,0,0
CHS000259,4.93,20,25,5,1730,0.241,420,250,5.1,840,660,1,1,1050,1,0
CHS000260,5.69,14,16,2,900,0.298,270,120,3.54,220,2250,0,0,1536,1,0
CHS000261,3.54,24,38,14,380,0.674,260,90,6.69,70,1100,0,0,1298,0,0
CHS000262,2.35,10,54,44,750,0.457,340,180,4.29,130,3620,0,0,2116,1,1
CHS000263,5.89,18,26,8,1020,0.505,520,230,2.49,200,340,0,0,1057,0,0
CHS000264,5.7,25,42,17,2140,0.294,630,380,3.23,930,2400,0,0,1822,0,0
CHS000265,4.14,39,52,13,260,0.411,110,50,7.94,60,7810,0,0,1330,0,0
CHS000266,4.32,29,38,9,4310,0.286,1230,450,10.0,1220,7440,0,0,2207,1,1
CHS000267,2.74,24,34,10,1750,0.291,510,260,4.01,500,4460,0,0,1154,0,0
CHS000268,8.22,9,33,24,940,0.648,610,280,5.42,180,890,0,1,2389,0,1
CHS000269,3.11,15,19,4,770,0.371,290,130,6.1,260,2340,1,1,1116,0,0
CHS000270,6.46,12,37,25,1500,0.397,600,240,3.48,630,2580,0,0,1980,0,0
CHS000271,6.63,23,31,8,210,0.245,50,30,8.1,80,4460,0,0,1723,0,0
CHS000272,5.27,11,18,7,1670,0.491,820,430,2.79,470,3350,1,0,2361,0,1
CHS000273,6.41,13,18,5,4310,0.683,2940,630,8.45,420,2030,1,0,2449,0,1
CHS000274,5.71,25,32,7,2000,0.367,730,360,6.07,860,450,0,0,917,0,0
CHS000275,4.13,22,34,12,950,0.421,400,220,10.0,360,4320,0,0,1668,1,0
CHS000276,5.53,14,20,6,3240,0.536,1740,840,7.53,840,2770,0,1,2307,0,1
CHS000277,5.18,32,44,12,2100,0.429,900,410,6.68,750,80,0,0,721,0,0
CHS000278,7.78,13,54,41,890,0.511,450,210,8.58,290,11760,0,0,2900,1,1
CHS000279,3.02,16,27,11,800,0.53,420,230,5.92,260,3580,0,0,1739,1,0
CHS000280,5.87,9,24,15,910,0.273,250,140,4.9,460,530,0,0,1108,1,0
CHS000281,4.33,8,12,4,1280,0.831,1060,560,7.73,130,1300,1,0,1904,0,0
CHS000282,6.08,23,27,4,530,0.467,250,140,9.36,140,750,1,0,1356,0,0
CHS000283,4.21,7,20,13,400,0.844,340,170,5.58,20,1860,1,0,1772,1,0
CHS000284,4.68,29,39,10,2710,0.503,1360,670,3.24,560,4320,1,0,1683,0,0
CHS000285,1.73,7,14,7,750,0.362,270,70,3.04,160,4140,0,0,1586,0,0
CHS000286,4.91,8,12,4,4500,0.625,2810,1490,5.24,810,2270,0,0,2065,0,1
CHS000287,3.9,9,13,4,1330,0.596,790,440,6.95,360,1540,0,0,1538,1,0
CHS000288,6.18,6,19,13,2020,0.329,660,360,3.19,480,3510,0,1,1984,0,0
CHS000289,3.79,24,40,16,1750,0.267,470,150,4.72,800,2820,1,1,1333,0,0
CHS000290,3.07,17,28,11,940,0.564,530,200,2.84,130,1610,0,1,1351,1,0
CHS000291,5.74,33,45,12,1120,0.251,280,140,8.0,360,2100,0,1,946,1,0
CHS000292,9.13,9,14,5,1290,0.446,580,280,7.54,390,4890,0,1,2900,1,1
CHS000293,5.35,19,22,3,270,0.238,60,20,7.73,70,2100,0,0,1221,0,0
CHS000294,3.69,13,35,22,30,0.122,0,0,4.16,10,3120,0,0,427,1,0
CHS000295,7.47,26,39,13,750,0.557,420,200,7.72,180,1870,0,0,1831,1,0
