year_month,ortsteil,bezirk,kiez_premium,secondary_price_per_m2_eur,new_construction_price_per_m2_eur,kaltmiete_per_m2_monthly_eur,secondary_price_per_m2_usd,n_listings_secondary,n_listings_new_construction,n_listings_rental,ecb_main_rate_pct,avg_mortgage_rate_pct
2022-07,Mitte (Ort),Mitte,high,9264,11925,24.16,10005,136,39,156,0.5,3.4
2022-08,Mitte (Ort),Mitte,high,9432,11965,24.6,10186,122,14,23,0.5,3.4
2022-09,Mitte (Ort),Mitte,high,9267,11575,24.17,10009,26,20,46,0.5,3.4
2022-10,Mitte (Ort),Mitte,high,9534,12364,24.87,10297,159,41,53,2.5,3.4
2022-11,Mitte (Ort),Mitte,high,9456,12061,24.66,10212,32,40,44,2.5,3.4
2022-12,Mitte (Ort),Mitte,high,9204,12099,24.01,9940,104,11,141,2.5,3.4
2023-01,Mitte (Ort),Mitte,high,9405,11698,25.82,10158,33,18,180,3.5,3.85
2023-02,Mitte (Ort),Mitte,high,9205,11495,25.27,9941,152,37,147,3.5,3.85
2023-03,Mitte (Ort),Mitte,high,9295,11722,25.52,10039,117,10,213,3.5,3.85
2023-04,Mitte (Ort),Mitte,high,9569,12000,26.27,10335,62,47,201,4.0,3.85
2023-05,Mitte (Ort),Mitte,high,9273,11062,25.46,10015,82,49,169,4.0,3.85
2023-06,Mitte (Ort),Mitte,high,9474,12331,26.01,10232,137,34,72,4.0,3.85
2023-07,Mitte (Ort),Mitte,high,9014,11220,25.77,9735,131,11,46,4.0,4.1
2023-08,Mitte (Ort),Mitte,high,9142,11308,26.13,9873,57,19,203,4.0,4.1
2023-09,Mitte (Ort),Mitte,high,8945,11124,25.57,9660,121,12,73,4.0,4.1
2023-10,Mitte (Ort),Mitte,high,8956,11218,25.6,9672,53,5,21,4.5,4.1
2023-11,Mitte (Ort),Mitte,high,9117,11318,26.06,9846,90,23,148,4.5,4.1
2023-12,Mitte (Ort),Mitte,high,8790,10990,25.13,9493,40,23,218,4.5,4.1
2024-01,Mitte (Ort),Mitte,high,9080,11602,26.48,9806,26,37,38,4.5,3.85
2024-02,Mitte (Ort),Mitte,high,8615,11000,25.13,9304,26,27,206,4.5,3.85
2024-03,Mitte (Ort),Mitte,high,9245,11460,26.96,9985,31,36,79,4.5,3.85
2024-04,Mitte (Ort),Mitte,high,8761,10788,25.55,9461,75,3,177,4.5,3.85
2024-05,Mitte (Ort),Mitte,high,9138,11624,26.65,9869,65,41,58,4.5,3.85
2024-06,Mitte (Ort),Mitte,high,8947,11495,26.1,9663,51,5,92,4.5,3.85
2024-07,Mitte (Ort),Mitte,high,8607,11184,25.35,9296,176,13,27,4.25,3.5
2024-08,Mitte (Ort),Mitte,high,9078,11477,26.74,9805,64,42,97,4.25,3.5
2024-09,Mitte (Ort),Mitte,high,9483,11731,27.93,10241,79,7,103,4.25,3.5
2024-10,Mitte (Ort),Mitte,high,9384,12405,27.64,10135,159,4,207,4.25,3.5
2024-11,Mitte (Ort),Mitte,high,9373,11716,27.61,10123,174,43,27,3.65,3.5
2024-12,Mitte (Ort),Mitte,high,8979,11345,26.44,9697,169,29,93,3.65,3.5
2025-01,Mitte (Ort),Mitte,high,9116,11275,27.1,9845,72,38,130,3.15,3.3
2025-02,Mitte (Ort),Mitte,high,9598,12530,28.53,10366,126,36,100,3.15,3.3
2025-03,Mitte (Ort),Mitte,high,9307,11304,27.67,10052,82,43,127,3.15,3.3
2025-04,Mitte (Ort),Mitte,high,9252,11760,27.5,9992,74,39,48,3.15,3.3
2025-05,Mitte (Ort),Mitte,high,9430,11711,28.03,10184,79,32,163,3.15,3.3
2025-06,Mitte (Ort),Mitte,high,9829,12264,29.22,10616,120,15,79,3.15,3.3
2025-07,Mitte (Ort),Mitte,high,9559,11736,28.67,10324,154,45,214,2.75,3.1
2025-08,Mitte (Ort),Mitte,high,9873,12744,29.61,10663,71,42,24,2.75,3.1
2025-09,Mitte (Ort),Mitte,high,10014,12696,30.03,10815,152,22,115,2.75,3.1
2025-10,Mitte (Ort),Mitte,high,9559,11955,28.67,10324,163,39,115,2.75,3.1
2025-11,Mitte (Ort),Mitte,high,9421,11526,28.26,10175,32,43,118,2.75,3.1
2025-12,Mitte (Ort),Mitte,high,9529,12281,28.58,10291,54,34,178,2.75,3.1
2026-01,Mitte (Ort),Mitte,high,9825,12194,29.47,10611,82,26,75,2.75,3.1
2026-02,Mitte (Ort),Mitte,high,9663,12072,28.98,10436,20,3,143,2.75,3.1
2026-03,Mitte (Ort),Mitte,high,9729,12045,29.18,10508,47,8,206,2.75,3.1
2026-04,Mitte (Ort),Mitte,high,9356,12034,28.06,10105,36,36,38,2.75,3.1
2020-01,Tiergarten,Mitte,high,8345,9920,23.18,9012,52,44,65,0.0,1.1
2020-02,Tiergarten,Mitte,high,7599,9350,21.11,8207,130,18,162,0.0,1.1
2020-03,Tiergarten,Mitte,high,7970,10451,20.48,8608,175,49,118,0.0,1.1
2020-04,Tiergarten,Mitte,high,7827,10175,20.35,8453,170,11,165,0.0,1.1
2020-05,Tiergarten,Mitte,high,7781,9757,20.23,8403,176,5,175,0.0,1.1
2020-06,Tiergarten,Mitte,high,7938,10033,20.64,8573,85,25,66,0.0,1.1
2020-07,Tiergarten,Mitte,high,7587,9406,19.73,8194,145,43,208,0.0,1.1
2020-08,Tiergarten,Mitte,high,7864,9714,20.45,8493,30,49,98,0.0,1.1
2020-09,Tiergarten,Mitte,high,7932,9919,20.63,8566,26,33,165,0.0,1.1
2020-10,Tiergarten,Mitte,high,8654,10392,20.3,9346,114,26,168,0.0,1.1
2020-11,Tiergarten,Mitte,high,8410,10986,19.73,9083,45,39,118,0.0,1.1
2020-12,Tiergarten,Mitte,high,8487,10634,19.91,9166,43,19,185,0.0,1.1
2021-01,Tiergarten,Mitte,high,8692,10760,20.39,9388,61,18,70,0.0,1.1
2021-02,Tiergarten,Mitte,high,8553,10423,20.06,9237,114,19,207,0.0,1.1
2021-03,Tiergarten,Mitte,high,8925,11479,20.94,9639,71,37,159,0.0,1.1
2021-04,Tiergarten,Mitte,high,8456,10730,19.84,9133,32,31,53,0.0,1.1
2021-05,Tiergarten,Mitte,high,8835,11448,23.25,9542,103,45,95,0.0,1.1
2021-06,Tiergarten,Mitte,high,8322,10444,21.9,8987,106,40,152,0.0,1.1
2021-07,Tiergarten,Mitte,high,8456,10718,22.25,9133,16,23,97,0.0,1.1
2021-08,Tiergarten,Mitte,high,8735,10360,22.98,9433,167,47,213,0.0,1.1
2021-09,Tiergarten,Mitte,high,8566,10971,22.54,9251,38,6,52,0.0,1.1
2021-10,Tiergarten,Mitte,high,8410,10204,22.13,9083,123,6,81,0.0,1.1
2021-11,Tiergarten,Mitte,high,9018,10756,23.73,9739,147,16,169,0.0,1.1
2021-12,Tiergarten,Mitte,high,8452,10361,22.24,9128,168,40,158,0.0,1.1
2022-01,Tiergarten,Mitte,high,10434,12498,24.64,11269,148,38,89,0.0,1.8
2022-02,Tiergarten,Mitte,high,9640,11752,22.76,10411,115,28,60,0.0,1.8
2022-03,Tiergarten,Mitte,high,9800,12342,24.23,10585,145,47,202,0.0,1.8
2022-04,Tiergarten,Mitte,high,9908,12176,24.5,10701,21,47,142,0.0,1.8
2022-05,Tiergarten,Mitte,high,9746,12450,24.1,10526,100,19,105,0.0,1.8
2022-06,Tiergarten,Mitte,high,9289,11480,22.97,10032,169,41,174,0.0,1.8
2022-07,Tiergarten,Mitte,high,9825,12659,25.63,10611,170,15,195,0.5,3.4
2022-08,Tiergarten,Mitte,high,9718,12180,25.35,10496,24,33,56,0.5,3.4
2022-09,Tiergarten,Mitte,high,9612,12228,25.07,10381,141,46,67,0.5,3.4
2022-10,Tiergarten,Mitte,high,9621,11865,25.09,10391,63,29,49,2.5,3.4
2022-11,Tiergarten,Mitte,high,9495,11968,24.77,10255,114,29,217,2.5,3.4
2022-12,Tiergarten,Mitte,high,9697,11785,25.29,10473,35,36,102,2.5,3.4
2023-01,Tiergarten,Mitte,high,9695,12287,26.61,10470,32,36,145,3.5,3.85
2023-02,Tiergarten,Mitte,high,9429,11762,25.88,10184,66,35,36,3.5,3.85
2023-03,Tiergarten,Mitte,high,9610,12333,26.38,10378,110,49,165,3.5,3.85
2023-04,Tiergarten,Mitte,high,9432,11920,25.89,10186,76,31,134,4.0,3.85
2023-05,Tiergarten,Mitte,high,9713,11966,26.66,10490,164,36,78,4.0,3.85
2023-06,Tiergarten,Mitte,high,9608,12255,26.38,10377,151,45,183,4.0,3.85
2023-07,Tiergarten,Mitte,high,8983,11390,25.68,9701,56,19,142,4.0,4.1
2023-08,Tiergarten,Mitte,high,9297,11692,26.57,10041,37,30,217,4.0,4.1
2023-09,Tiergarten,Mitte,high,9014,10846,25.76,9735,142,36,72,4.0,4.1
2023-10,Tiergarten,Mitte,high,9495,11358,27.14,10255,61,38,210,4.5,4.1
2023-11,Tiergarten,Mitte,high,9176,11670,26.23,9910,51,36,36,4.5,4.1
2023-12,Tiergarten,Mitte,high,9240,11841,26.41,9979,134,24,21,4.5,4.1
2024-01,Tiergarten,Mitte,high,9364,12221,27.31,10113,70,8,147,4.5,3.85
2024-02,Tiergarten,Mitte,high,9415,11611,27.46,10169,112,25,109,4.5,3.85
2024-03,Tiergarten,Mitte,high,9438,11628,27.53,10193,85,11,123,4.5,3.85
2024-04,Tiergarten,Mitte,high,8826,10570,25.74,9532,166,24,205,4.5,3.85
2024-05,Tiergarten,Mitte,high,9713,12379,28.33,10490,119,9,67,4.5,3.85
2024-06,Tiergarten,Mitte,high,9118,12078,26.59,9847,58,29,168,4.5,3.85
2024-07,Tiergarten,Mitte,high,9790,12385,28.83,10573,82,16,97,4.25,3.5
2024-08,Tiergarten,Mitte,high,9244,11970,27.23,9984,98,8,124,4.25,3.5
2024-09,Tiergarten,Mitte,high,9419,11837,27.74,10173,125,17,85,4.25,3.5
2024-10,Tiergarten,Mitte,high,9655,11877,28.44,10427,139,9,197,4.25,3.5
2024-11,Tiergarten,Mitte,high,9989,12972,29.42,10788,71,6,135,3.65,3.5
2024-12,Tiergarten,Mitte,high,9366,11519,27.58,10115,63,44,106,3.65,3.5
2025-01,Tiergarten,Mitte,high,10070,12453,29.93,10875,17,30,45,3.15,3.3
2025-02,Tiergarten,Mitte,high,9668,12690,28.74,10442,113,3,120,3.15,3.3
2025-03,Tiergarten,Mitte,high,9905,12406,29.45,10697,66,34,76,3.15,3.3
2025-04,Tiergarten,Mitte,high,9796,12394,29.12,10580,95,29,118,3.15,3.3
2025-05,Tiergarten,Mitte,high,9829,12115,29.22,10615,163,4,134,3.15,3.3
2025-06,Tiergarten,Mitte,high,9485,12254,28.2,10244,132,41,63,3.15,3.3
2025-07,Tiergarten,Mitte,high,9988,11981,29.96,10787,97,3,87,2.75,3.1
2025-08,Tiergarten,Mitte,high,9745,12170,29.23,10525,115,7,56,2.75,3.1
2025-09,Tiergarten,Mitte,high,9995,13123,29.98,10794,108,9,103,2.75,3.1
2025-10,Tiergarten,Mitte,high,9782,11927,29.34,10565,163,9,143,2.75,3.1
2025-11,Tiergarten,Mitte,high,10074,13163,30.21,10879,74,3,30,2.75,3.1
2025-12,Tiergarten,Mitte,high,10047,12464,30.13,10850,101,16,201,2.75,3.1
2026-01,Tiergarten,Mitte,high,9642,12507,28.92,10413,27,13,84,2.75,3.1
2026-02,Tiergarten,Mitte,high,10618,13384,31.85,11468,18,29,129,2.75,3.1
2026-03,Tiergarten,Mitte,high,9714,12193,29.14,10492,34,5,132,2.75,3.1
2026-04,Tiergarten,Mitte,high,9929,12394,29.78,10723,175,14,122,2.75,3.1
2020-01,Wedding,Mitte,medium,4852,5936,13.48,5240,137,5,178,0.0,1.1
2020-02,Wedding,Mitte,medium,5127,6407,14.24,5537,151,7,67,0.0,1.1
2020-03,Wedding,Mitte,medium,5131,6386,13.18,5542,111,29,48,0.0,1.1
2020-04,Wedding,Mitte,medium,4938,6050,12.84,5333,121,8,91,0.0,1.1
2020-05,Wedding,Mitte,medium,5016,6217,13.04,5417,151,28,62,0.0,1.1
2020-06,Wedding,Mitte,medium,5280,6458,13.73,5702,48,27,38,0.0,1.1
2020-07,Wedding,Mitte,medium,4960,6328,12.9,5356,175,44,107,0.0,1.1
2020-08,Wedding,Mitte,medium,4996,6114,12.99,5396,140,36,181,0.0,1.1
2020-09,Wedding,Mitte,medium,4927,6061,12.81,5321,126,7,191,0.0,1.1
2020-10,Wedding,Mitte,medium,5351,6932,12.55,5779,66,38,159,0.0,1.1
2020-11,Wedding,Mitte,medium,5301,6481,12.44,5725,70,31,131,0.0,1.1
2020-12,Wedding,Mitte,medium,5342,6328,12.53,5769,78,24,41,0.0,1.1
2021-01,Wedding,Mitte,medium,5319,6597,12.48,5745,153,21,85,0.0,1.1
2021-02,Wedding,Mitte,medium,5552,6753,13.02,5996,106,11,179,0.0,1.1
2021-03,Wedding,Mitte,medium,5428,6916,12.73,5862,18,11,80,0.0,1.1
2021-04,Wedding,Mitte,medium,5667,7146,13.29,6120,103,21,215,0.0,1.1
2021-05,Wedding,Mitte,medium,5590,7060,14.71,6038,20,45,61,0.0,1.1
2021-06,Wedding,Mitte,medium,5423,6723,14.27,5857,127,27,219,0.0,1.1
2021-07,Wedding,Mitte,medium,5331,6710,14.03,5758,58,6,162,0.0,1.1
2021-08,Wedding,Mitte,medium,5486,6843,14.43,5924,141,48,116,0.0,1.1
2021-09,Wedding,Mitte,medium,5607,6830,14.75,6055,28,16,164,0.0,1.1
2021-10,Wedding,Mitte,medium,5571,6885,14.66,6017,122,11,155,0.0,1.1
2021-11,Wedding,Mitte,medium,5531,6799,14.55,5973,156,44,139,0.0,1.1
2021-12,Wedding,Mitte,medium,5510,6938,14.5,5951,27,3,78,0.0,1.1
2022-01,Wedding,Mitte,medium,6220,7696,14.69,6718,30,13,156,0.0,1.8
2022-02,Wedding,Mitte,medium,6292,7802,14.86,6796,96,9,158,0.0,1.8
2022-03,Wedding,Mitte,medium,6153,7478,15.21,6645,41,3,176,0.0,1.8
2022-04,Wedding,Mitte,medium,6116,7262,15.12,6606,89,19,196,0.0,1.8
2022-05,Wedding,Mitte,medium,6263,7706,15.48,6764,154,42,148,0.0,1.8
2022-06,Wedding,Mitte,medium,5998,7586,14.83,6478,157,19,85,0.0,1.8
2022-07,Wedding,Mitte,medium,6131,8086,15.99,6621,151,34,100,0.5,3.4
2022-08,Wedding,Mitte,medium,6075,7751,15.84,6561,58,33,68,0.5,3.4
2022-09,Wedding,Mitte,medium,6225,7572,16.24,6723,121,21,46,0.5,3.4
2022-10,Wedding,Mitte,medium,6056,7377,15.8,6541,24,3,97,2.5,3.4
2022-11,Wedding,Mitte,medium,6000,7251,15.65,6480,57,25,137,2.5,3.4
2022-12,Wedding,Mitte,medium,6408,8485,16.71,6921,106,11,112,2.5,3.4
2023-01,Wedding,Mitte,medium,6121,7812,16.8,6611,45,42,206,3.5,3.85
2023-02,Wedding,Mitte,medium,5951,7471,16.34,6427,101,27,168,3.5,3.85
2023-03,Wedding,Mitte,medium,6033,7611,16.56,6515,36,5,36,3.5,3.85
2023-04,Wedding,Mitte,medium,5917,7305,16.24,6390,64,16,102,4.0,3.85
2023-05,Wedding,Mitte,medium,6284,8151,17.25,6787,179,48,87,4.0,3.85
2023-06,Wedding,Mitte,medium,5983,7583,16.42,6462,110,15,79,4.0,3.85
2023-07,Wedding,Mitte,medium,6155,7888,17.59,6648,71,17,172,4.0,4.1
2023-08,Wedding,Mitte,medium,5865,7189,16.76,6334,107,38,137,4.0,4.1
2023-09,Wedding,Mitte,medium,6156,7768,17.6,6648,33,33,161,4.0,4.1
2023-10,Wedding,Mitte,medium,5809,7262,16.6,6274,102,19,196,4.5,4.1
2023-11,Wedding,Mitte,medium,5684,7056,16.25,6139,178,18,41,4.5,4.1
2023-12,Wedding,Mitte,medium,6076,8018,17.37,6562,151,8,103,4.5,4.1
2024-01,Wedding,Mitte,medium,6107,8185,17.81,6595,158,24,94,4.5,3.85
2024-02,Wedding,Mitte,medium,6015,7605,17.54,6496,48,36,72,4.5,3.85
2024-03,Wedding,Mitte,medium,6105,7776,17.81,6594,33,41,139,4.5,3.85
2024-04,Wedding,Mitte,medium,6019,7342,17.55,6500,133,42,106,4.5,3.85
2024-05,Wedding,Mitte,medium,5945,7488,17.34,6420,49,19,173,4.5,3.85
2024-06,Wedding,Mitte,medium,6052,7748,17.65,6536,89,11,41,4.5,3.85
2024-07,Wedding,Mitte,medium,6095,7364,17.95,6582,99,35,24,4.25,3.5
2024-08,Wedding,Mitte,medium,6191,7741,18.23,6687,122,39,58,4.25,3.5
2024-09,Wedding,Mitte,medium,5899,7202,17.37,6371,172,28,129,4.25,3.5
2024-10,Wedding,Mitte,medium,6043,7544,17.8,6527,22,21,168,4.25,3.5
2024-11,Wedding,Mitte,medium,6081,7497,17.91,6568,178,48,132,3.65,3.5
2024-12,Wedding,Mitte,medium,5846,7350,17.22,6313,127,3,55,3.65,3.5
2025-01,Wedding,Mitte,medium,6367,7624,18.93,6877,31,12,84,3.15,3.3
2025-02,Wedding,Mitte,medium,6163,7509,18.32,6656,77,49,198,3.15,3.3
2025-03,Wedding,Mitte,medium,6022,7677,17.9,6504,142,28,27,3.15,3.3
2025-04,Wedding,Mitte,medium,6315,8104,18.77,6821,158,7,38,3.15,3.3
2025-05,Wedding,Mitte,medium,6303,7610,18.74,6808,119,15,166,3.15,3.3
2025-06,Wedding,Mitte,medium,6150,7841,18.28,6642,102,34,136,3.15,3.3
2025-07,Wedding,Mitte,medium,6253,7489,18.75,6753,96,22,38,2.75,3.1
2025-08,Wedding,Mitte,medium,6190,7770,18.56,6685,122,40,127,2.75,3.1
2025-09,Wedding,Mitte,medium,6333,7819,18.99,6839,130,4,147,2.75,3.1
2025-10,Wedding,Mitte,medium,6380,8079,19.14,6891,21,15,24,2.75,3.1
2025-11,Wedding,Mitte,medium,6307,8151,18.92,6811,103,4,102,2.75,3.1
2025-12,Wedding,Mitte,medium,6294,8100,18.88,6798,58,48,23,2.75,3.1
2026-01,Wedding,Mitte,medium,6117,7282,18.35,6607,169,40,188,2.75,3.1
2026-02,Wedding,Mitte,medium,6241,7901,18.72,6740,108,23,134,2.75,3.1
2026-03,Wedding,Mitte,medium,6374,7765,19.12,6884,93,23,179,2.75,3.1
2026-04,Wedding,Mitte,medium,6310,8214,18.92,6815,157,49,219,2.75,3.1
2020-01,Gesundbrunnen,Mitte,medium,4669,6028,12.97,5042,176,30,43,0.0,1.1
2020-02,Gesundbrunnen,Mitte,medium,4859,6074,13.5,5247,67,18,180,0.0,1.1
2020-03,Gesundbrunnen,Mitte,medium,4954,6345,12.73,5350,54,31,208,0.0,1.1
2020-04,Gesundbrunnen,Mitte,medium,4740,6123,12.33,5119,26,9,147,0.0,1.1
2020-05,Gesundbrunnen,Mitte,medium,4669,6081,12.14,5042,163,14,161,0.0,1.1
2020-06,Gesundbrunnen,Mitte,medium,4588,5791,11.93,4955,88,47,191,0.0,1.1
2020-07,Gesundbrunnen,Mitte,medium,4724,5649,12.28,5102,116,43,139,0.0,1.1
2020-08,Gesundbrunnen,Mitte,medium,4572,5664,11.89,4938,176,38,88,0.0,1.1
2020-09,Gesundbrunnen,Mitte,medium,4600,5633,11.96,4968,56,41,28,0.0,1.1
2020-10,Gesundbrunnen,Mitte,medium,5086,6311,11.93,5493,122,22,90,0.0,1.1
2020-11,Gesundbrunnen,Mitte,medium,5295,6533,12.42,5718,100,42,29,0.0,1.1
2020-12,Gesundbrunnen,Mitte,medium,5122,6089,12.02,5532,99,36,130,0.0,1.1
2021-01,Gesundbrunnen,Mitte,medium,5251,6531,12.32,5671,41,13,212,0.0,1.1
2021-02,Gesundbrunnen,Mitte,medium,5435,6927,12.75,5870,103,49,120,0.0,1.1
2021-03,Gesundbrunnen,Mitte,medium,5134,6342,12.04,5544,54,14,94,0.0,1.1
2021-04,Gesundbrunnen,Mitte,medium,5386,6755,12.64,5817,110,8,207,0.0,1.1
2021-05,Gesundbrunnen,Mitte,medium,5249,6779,13.81,5669,106,17,83,0.0,1.1
2021-06,Gesundbrunnen,Mitte,medium,5145,6450,13.54,5556,36,15,152,0.0,1.1
2021-07,Gesundbrunnen,Mitte,medium,5295,6691,13.93,5718,33,16,129,0.0,1.1
2021-08,Gesundbrunnen,Mitte,medium,5093,6548,13.4,5500,66,48,168,0.0,1.1
2021-09,Gesundbrunnen,Mitte,medium,5193,6434,13.66,5608,88,30,118,0.0,1.1
2021-10,Gesundbrunnen,Mitte,medium,5235,6369,13.77,5653,28,25,211,0.0,1.1
2021-11,Gesundbrunnen,Mitte,medium,5155,6387,13.57,5568,164,13,82,0.0,1.1
2021-12,Gesundbrunnen,Mitte,medium,5250,6868,13.81,5670,151,13,77,0.0,1.1
2022-01,Gesundbrunnen,Mitte,medium,6057,7411,14.3,6542,60,30,166,0.0,1.8
2022-02,Gesundbrunnen,Mitte,medium,5905,7050,13.94,6378,128,11,36,0.0,1.8
2022-03,Gesundbrunnen,Mitte,medium,5965,7415,14.75,6442,23,24,29,0.0,1.8
2022-04,Gesundbrunnen,Mitte,medium,5894,7659,14.57,6366,76,16,104,0.0,1.8
2022-05,Gesundbrunnen,Mitte,medium,6262,7710,15.48,6763,157,30,23,0.0,1.8
2022-06,Gesundbrunnen,Mitte,medium,6097,7494,15.07,6584,138,13,81,0.0,1.8
2022-07,Gesundbrunnen,Mitte,medium,6166,7773,16.08,6659,78,23,160,0.5,3.4
2022-08,Gesundbrunnen,Mitte,medium,5739,7186,14.97,6199,89,34,196,0.5,3.4
2022-09,Gesundbrunnen,Mitte,medium,6154,7773,16.05,6647,85,26,108,0.5,3.4
2022-10,Gesundbrunnen,Mitte,medium,5931,7104,15.47,6406,152,15,68,2.5,3.4
2022-11,Gesundbrunnen,Mitte,medium,5846,7381,15.25,6313,134,45,85,2.5,3.4
2022-12,Gesundbrunnen,Mitte,medium,6049,7548,15.78,6533,118,37,153,2.5,3.4
2023-01,Gesundbrunnen,Mitte,medium,5925,7478,16.26,6399,65,4,36,3.5,3.85
2023-02,Gesundbrunnen,Mitte,medium,5984,7610,16.43,6463,107,49,22,3.5,3.85
2023-03,Gesundbrunnen,Mitte,medium,5796,7177,15.91,6260,109,27,120,3.5,3.85
2023-04,Gesundbrunnen,Mitte,medium,5556,7112,15.25,6000,173,22,135,4.0,3.85
2023-05,Gesundbrunnen,Mitte,medium,6051,7758,16.61,6535,169,24,115,4.0,3.85
2023-06,Gesundbrunnen,Mitte,medium,5954,7400,16.34,6430,147,34,194,4.0,3.85
2023-07,Gesundbrunnen,Mitte,medium,5602,6683,16.01,6050,179,28,43,4.0,4.1
2023-08,Gesundbrunnen,Mitte,medium,5636,6748,16.11,6087,27,45,188,4.0,4.1
2023-09,Gesundbrunnen,Mitte,medium,5673,7359,16.21,6126,168,4,25,4.0,4.1
2023-10,Gesundbrunnen,Mitte,medium,5739,7061,16.4,6198,55,34,113,4.5,4.1
2023-11,Gesundbrunnen,Mitte,medium,5856,7420,16.74,6324,121,13,54,4.5,4.1
2023-12,Gesundbrunnen,Mitte,medium,5925,7738,16.93,6399,54,14,199,4.5,4.1
2024-01,Gesundbrunnen,Mitte,medium,5792,7303,16.89,6255,45,15,107,4.5,3.85
2024-02,Gesundbrunnen,Mitte,medium,5652,6608,16.48,6104,74,20,51,4.5,3.85
2024-03,Gesundbrunnen,Mitte,medium,5800,7025,16.92,6264,168,6,91,4.5,3.85
2024-04,Gesundbrunnen,Mitte,medium,5808,7205,16.94,6273,86,20,26,4.5,3.85
2024-05,Gesundbrunnen,Mitte,medium,5610,6950,16.36,6059,136,24,140,4.5,3.85
2024-06,Gesundbrunnen,Mitte,medium,5491,6881,16.02,5931,117,31,61,4.5,3.85
2024-07,Gesundbrunnen,Mitte,medium,5572,7088,16.41,6018,16,13,193,4.25,3.5
2024-08,Gesundbrunnen,Mitte,medium,5680,6993,16.73,6134,147,22,59,4.25,3.5
2024-09,Gesundbrunnen,Mitte,medium,5706,7270,16.81,6163,136,11,177,4.25,3.5
2024-10,Gesundbrunnen,Mitte,medium,6065,7693,17.86,6550,152,32,82,4.25,3.5
2024-11,Gesundbrunnen,Mitte,medium,5991,7364,17.65,6471,106,46,145,3.65,3.5
2024-12,Gesundbrunnen,Mitte,medium,5993,7281,17.65,6472,159,25,24,3.65,3.5
2025-01,Gesundbrunnen,Mitte,medium,6118,7807,18.19,6608,41,47,99,3.15,3.3
2025-02,Gesundbrunnen,Mitte,medium,6044,7956,17.97,6527,139,8,203,3.15,3.3
2025-03,Gesundbrunnen,Mitte,medium,6243,8103,18.56,6743,73,10,64,3.15,3.3
