Order_ID,Date,Region,Salesperson,Category,Product,Quantity,Unit_Price,Sales,Profit
ORD00027,2025-02-12,North,Vikram,Electronics,Monitor,7,12000,84000,17371
ORD00028,2025-03-26,East,Suresh,Furniture,Table,17,8000,136000,21476
ORD00029,2025-07-03,South,Karthik,Furniture,Chair,5,3000,15000,2121
ORD00030,2025-01-16,West,Sneha,Electronics,Monitor,3,12000,36000,6044
ORD00031,2025-10-02,South,Priya,Furniture,Chair,5,3000,15000,4248
ORD00032,2025-05-06,North,Amit,Furniture,Sofa,12,25000,300000,69516
ORD00033,2025-10-14,South,Karthik,Furniture,Sofa,5,25000,125000,34583
ORD00034,2025-02-13,South,Karthik,Furniture,Sofa,9,25000,225000,44609
ORD00035,2025-04-06,North,Vikram,Electronics,Monitor,15,12000,180000,23931
ORD00036,2025-07-09,South,Priya,Electronics,Mobile,19,20000,380000,50582
ORD00037,2025-11-01,North,Vikram,Furniture,Sofa,3,25000,75000,8437
ORD00038,2025-06-02,West,Rahul,Electronics,Mobile,14,20000,280000,57063
ORD00039,2025-08-01,West,Sneha,Electronics,Monitor,12,12000,144000,28372
ORD00040,2025-09-11,North,Raj,Furniture,Table,5,8000,40000,4690
ORD00041,2025-08-19,South,Priya,Furniture,Chair,11,3000,33000,3917
ORD00042,2025-05-05,West,Sneha,Furniture,Sofa,15,25000,375000,63433
ORD00043,2025-08-18,South,Karthik,Furniture,Chair,8,3000,24000,2662
ORD00044,2025-08-29,North,Amit,Furniture,Table,20,8000,160000,35772
ORD00045,2025-11-26,South,Anita,Furniture,Chair,8,3000,24000,3005
ORD00046,2025-12-16,North,Raj,Electronics,Mobile,15,20000,300000,74181
ORD00047,2025-04-16,North,Amit,Furniture,Table,18,8000,144000,23496
ORD00048,2025-06-29,West,Meena,Electronics,Laptop,12,50000,600000,167097
ORD00049,2025-12-18,North,Amit,Electronics,Monitor,19,12000,228000,50401
ORD00050,2025-06-25,East,Arun,Furniture,Table,7,8000,56000,13117
ORD00051,2025-12-16,North,Raj,Electronics,Mobile,8,20000,160000,21887
ORD00052,2025-04-09,East,Arun,Furniture,Sofa,17,25000,425000,126630
ORD00053,2025-07-16,South,Priya,Electronics,Monitor,16,12000,192000,28690
ORD00054,2025-02-10,West,Sneha,Furniture,Chair,11,3000,33000,4728
ORD00055,2025-09-21,South,Priya,Furniture,Chair,16,3000,48000,11045
ORD00056,2025-09-08,West,Rahul,Furniture,Chair,5,3000,15000,3463
ORD00057,2025-03-29,North,Vikram,Electronics,Monitor,19,12000,228000,64171
ORD00058,2025-12-12,East,Arun,Furniture,Chair,9,3000,27000,3280
ORD00059,2025-05-09,West,Sneha,Electronics,Mobile,14,20000,280000,68649
ORD00060,2025-07-24,East,Arun,Furniture,Chair,20,3000,60000,11757
ORD00061,2025-08-30,East,Suresh,Furniture,Sofa,12,25000,300000,69381
ORD00062,2025-04-02,West,Rahul,Electronics,Monitor,19,12000,228000,42107
ORD00063,2025-06-10,South,Karthik,Electronics,Laptop,11,50000,550000,152677
ORD00064,2025-10-09,North,Raj,Electronics,Mobile,3,20000,60000,9052
ORD00065,2025-10-03,West,Rahul,Electronics,Mobile,9,20000,180000,50317
ORD00066,2025-11-24,South,Priya,Electronics,Mobile,15,20000,300000,50127
ORD00067,2025-08-06,South,Karthik,Electronics,Monitor,2,12000,24000,3038
ORD00068,2025-10-15,East,Suresh,Electronics,Monitor,17,12000,204000,35414
ORD00069,2025-04-16,South,Priya,Electronics,Mobile,17,20000,340000,50595
ORD00070,2025-08-19,North,Vikram,Furniture,Sofa,6,25000,150000,43030
ORD00071,2025-09-14,West,Sneha,Furniture,Chair,10,3000,30000,6814
ORD00072,2025-12-15,South,Karthik,Electronics,Mobile,10,20000,200000,20681
ORD00073,2025-10-06,North,Raj,Electronics,Monitor,11,12000,132000,17835
ORD00074,2025-01-10,South,Priya,Electronics,Laptop,1,50000,50000,5400
ORD00075,2025-01-16,South,Priya,Furniture,Sofa,4,25000,100000,25712
ORD00076,2025-08-23,West,Rahul,Furniture,Chair,13,3000,39000,4276
ORD00077,2025-02-03,West,Meena,Electronics,Laptop,15,50000,750000,157204
ORD00078,2025-04-08,West,Rahul,Furniture,Table,20,8000,160000,33470
ORD00079,2025-06-07,North,Vikram,Electronics,Mobile,20,20000,400000,52015
ORD00080,2025-02-20,South,Anita,Electronics,Laptop,17,50000,850000,110207
ORD00081,2025-01-27,North,Raj,Furniture,Table,14,8000,112000,32371
ORD00082,2025-05-26,South,Karthik,Furniture,Sofa,8,25000,200000,40436
ORD00083,2025-06-27,South,Anita,Electronics,Monitor,16,12000,192000,45701
ORD00084,2025-05-19,West,Meena,Electronics,Monitor,10,12000,120000,24908
ORD00085,2025-12-01,West,Meena,Furniture,Sofa,10,25000,250000,61540
ORD00086,2025-07-16,North,Vikram,Electronics,Laptop,16,50000,800000,130117
ORD00087,2025-10-19,South,Priya,Furniture,Chair,12,3000,36000,7722
ORD00088,2025-12-30,North,Raj,Furniture,Table,10,8000,80000,18850
ORD00089,2025-02-07,East,Arun,Furniture,Table,16,8000,128000,28965
ORD00090,2025-06-20,South,Karthik,Electronics,Mobile,13,20000,260000,38180
ORD00091,2025-11-19,East,Suresh,Electronics,Laptop,14,50000,700000,118341
ORD00092,2025-12-31,East,Arun,Furniture,Chair,13,3000,39000,5491
ORD00093,2025-03-12,South,Karthik,Electronics,Monitor,1,12000,12000,2006
ORD00094,2025-12-22,East,Suresh,Furniture,Chair,20,3000,60000,8996
ORD00095,2025-01-15,West,Meena,Furniture,Chair,9,3000,27000,3245
ORD00096,2025-09-03,East,Arun,Electronics,Monitor,9,12000,108000,22946
ORD00097,2025-12-07,East,Arun,Electronics,Laptop,5,50000,250000,37690
ORD00098,2025-06-22,North,Amit,Furniture,Sofa,4,25000,100000,28969
ORD00099,2025-05-15,North,Vikram,Furniture,Chair,3,3000,9000,1701
ORD00100,2025-10-07,West,Meena,Electronics,Mobile,12,20000,240000,52127
ORD00101,2025-07-28,North,Amit,Electronics,Laptop,13,50000,650000,151743
ORD00102,2025-10-14,South,Karthik,Electronics,Monitor,15,12000,180000,22462
ORD00103,2025-02-26,East,Suresh,Furniture,Sofa,5,25000,125000,15630
ORD00104,2025-10-01,North,Vikram,Furniture,Chair,5,3000,15000,3721
ORD00105,2025-06-05,East,Arun,Furniture,Chair,1,3000,3000,734
ORD00106,2025-04-10,South,Anita,Electronics,Laptop,17,50000,850000,116378
ORD00107,2025-08-12,North,Vikram,Furniture,Table,2,8000,16000,3279
ORD00108,2025-09-30,North,Amit,Furniture,Table,2,8000,16000,3295
ORD00109,2025-08-01,West,Meena,Electronics,Laptop,8,50000,400000,59941
ORD00110,2025-12-02,West,Rahul,Furniture,Chair,9,3000,27000,4342
ORD00111,2025-02-10,South,Karthik,Electronics,Laptop,15,50000,750000,152529
ORD00112,2025-11-11,West,Sneha,Furniture,Sofa,7,25000,175000,32697
ORD00113,2025-12-25,North,Vikram,Electronics,Monitor,10,12000,120000,12930
ORD00114,2025-05-14,North,Amit,Furniture,Sofa,3,25000,75000,12826
ORD00115,2025-08-09,North,Amit,Electronics,Monitor,9,12000,108000,16304
ORD00116,2025-03-08,West,Sneha,Furniture,Chair,19,3000,57000,11611
ORD00117,2025-12-29,West,Meena,Electronics,Monitor,2,12000,24000,6678
ORD00118,2025-11-04,West,Meena,Electronics,Monitor,9,12000,108000,15555
ORD00119,2025-04-19,East,Riya,Electronics,Laptop,17,50000,850000,199923
ORD00120,2025-09-24,East,Arun,Electronics,Mobile,3,20000,60000,12071
ORD00121,2025-05-07,North,Amit,Furniture,Sofa,1,25000,25000,5848
ORD00122,2025-05-12,West,Sneha,Furniture,Chair,6,3000,18000,3050
ORD00123,2025-09-15,West,Meena,Electronics,Mobile,8,20000,160000,45749
ORD00124,2025-11-13,North,Vikram,Furniture,Table,10,8000,80000,21292
ORD00125,2025-02-10,North,Amit,Furniture,Table,15,8000,120000,31356
ORD00126,2025-07-21,North,Raj,Electronics,Laptop,1,50000,50000,14450
ORD00127,2025-10-19,South,Anita,Electronics,Laptop,2,50000,100000,21574
ORD00128,2025-03-26,West,Sneha,Furniture,Chair,13,3000,39000,6436
ORD00129,2025-09-10,West,Sneha,Furniture,Sofa,4,25000,100000,15993
ORD00130,2025-01-01,South,Priya,Furniture,Sofa,8,25000,200000,43316
ORD00131,2025-09-14,North,Raj,Electronics,Monitor,9,12000,108000,16493
ORD00132,2025-01-17,West,Meena,Furniture,Sofa,8,25000,200000,38672
ORD00133,2025-08-10,East,Riya,Furniture,Sofa,19,25000,475000,109648
ORD00134,2025-02-06,North,Vikram,Electronics,Monitor,15,12000,180000,31743
ORD00135,2025-09-10,East,Riya,Electronics,Monitor,12,12000,144000,19146
ORD00136,2025-12-27,West,Meena,Electronics,Mobile,8,20000,160000,41298
ORD00137,2025-08-23,East,Arun,Electronics,Mobile,18,20000,360000,54123
ORD00138,2025-10-31,East,Riya,Electronics,Mobile,8,20000,160000,30006
ORD00139,2025-03-10,West,Sneha,Electronics,Monitor,7,12000,84000,21532
ORD00140,2025-05-18,North,Amit,Furniture,Chair,16,3000,48000,11998
ORD00141,2025-04-04,West,Meena,Electronics,Mobile,15,20000,300000,70460
ORD00142,2025-01-04,West,Meena,Furniture,Table,3,8000,24000,7127
ORD00143,2025-03-11,North,Raj,Furniture,Sofa,17,25000,425000,91820
ORD00144,2025-09-19,West,Rahul,Electronics,Monitor,2,12000,24000,3135
ORD00145,2025-07-21,West,Sneha,Furniture,Sofa,17,25000,425000,118250
ORD00146,2025-04-19,South,Anita,Electronics,Monitor,10,12000,120000,24046
ORD00147,2025-09-13,East,Riya,Electronics,Mobile,14,20000,280000,71023
ORD00148,2025-12-21,East,Suresh,Electronics,Monitor,3,12000,36000,9431
ORD00149,2025-09-26,West,Rahul,Furniture,Sofa,5,25000,125000,35337
ORD00150,2025-09-16,East,Arun,Furniture,Sofa,13,25000,325000,71701
ORD00151,2025-12-28,South,Priya,Electronics,Laptop,4,50000,200000,24002
ORD00152,2025-04-19,South,Karthik,Electronics,Laptop,10,50000,500000,81751
ORD00153,2025-12-13,West,Meena,Electronics,Laptop,6,50000,300000,81364
ORD00154,2025-06-09,South,Priya,Furniture,Sofa,14,25000,350000,94562
ORD00155,2025-08-30,West,Sneha,Furniture,Chair,2,3000,6000,1141
ORD00156,2025-06-09,North,Vikram,Electronics,Laptop,14,50000,700000,86196
ORD00157,2025-12-31,North,Vikram,Furniture,Chair,8,3000,24000,3756
ORD00158,2025-12-06,North,Amit,Electronics,Monitor,3,12000,36000,6301
ORD00159,2025-05-18,West,Meena,Furniture,Chair,15,3000,45000,9699
ORD00160,2025-04-21,South,Anita,Electronics,Mobile,6,20000,120000,14545
ORD00161,2025-06-03,East,Riya,Electronics,Laptop,1,50000,50000,9650
ORD00162,2025-07-30,West,Rahul,Electronics,Monitor,15,12000,180000,18888
ORD00163,2025-03-21,East,Riya,Electronics,Laptop,4,50000,200000,28299
ORD00164,2025-06-01,South,Karthik,Electronics,Mobile,19,20000,380000,47933
ORD00165,2025-10-02,South,Karthik,Electronics,Laptop,20,50000,1000000,249845
ORD00166,2025-03-09,South,Priya,Electronics,Mobile,12,20000,240000,42161
ORD00167,2025-06-26,West,Rahul,Electronics,Mobile,5,20000,100000,27390
ORD00168,2025-12-09,North,Vikram,Electronics,Monitor,16,12000,192000,50005
ORD00169,2025-02-06,South,Anita,Furniture,Table,9,8000,72000,13638
ORD00170,2025-12-03,South,Karthik,Electronics,Mobile,19,20000,380000,106992
ORD00171,2025-10-30,South,Priya,Electronics,Mobile,6,20000,120000,33898
ORD00172,2025-11-25,North,Amit,Electronics,Monitor,18,12000,216000,40297
ORD00173,2025-05-13,South,Anita,Electronics,Mobile,20,20000,400000,42115
ORD00174,2025-09-07,North,Raj,Furniture,Sofa,15,25000,375000,63693
ORD00175,2025-10-29,North,Raj,Electronics,Mobile,17,20000,340000,53304
ORD00176,2025-04-22,East,Riya,Electronics,Monitor,9,12000,108000,10854
ORD00177,2025-02-06,West,Sneha,Electronics,Laptop,4,50000,200000,31390
ORD00178,2025-12-28,West,Rahul,Furniture,Chair,16,3000,48000,6191
ORD00179,2025-10-12,East,Riya,Furniture,Table,18,8000,144000,28811
ORD00180,2025-12-10,West,Sneha,Electronics,Mobile,1,20000,20000,2673
ORD00181,2025-06-06,South,Anita,Furniture,Chair,1,3000,3000,432
ORD00182,2025-07-19,South,Anita,Furniture,Table,15,8000,120000,13056
ORD00183,2025-07-23,South,Anita,Electronics,Laptop,9,50000,450000,62592
ORD00184,2025-10-07,East,Suresh,Electronics,Laptop,8,50000,400000,47457
ORD00185,2025-04-03,North,Vikram,Electronics,Laptop,12,50000,600000,92420
ORD00186,2025-06-08,East,Arun,Furniture,Chair,19,3000,57000,9652
ORD00187,2025-06-09,West,Sneha,Furniture,Sofa,8,25000,200000,57643
ORD00188,2025-03-27,North,Amit,Electronics,Monitor,12,12000,144000,24005
ORD00189,2025-04-15,North,Vikram,Furniture,Sofa,8,25000,200000,44921
ORD00190,2025-06-30,North,Raj,Electronics,Monitor,13,12000,156000,22237
ORD00191,2025-06-21,East,Riya,Furniture,Chair,10,3000,30000,5539
ORD00192,2025-06-02,East,Arun,Electronics,Mobile,3,20000,60000,11823
ORD00193,2025-07-26,East,Arun,Furniture,Chair,3,3000,9000,1041
ORD00194,2025-11-12,West,Sneha,Furniture,Sofa,2,25000,50000,12442
ORD00195,2025-05-05,West,Rahul,Furniture,Chair,8,3000,24000,5612
ORD00196,2025-12-29,West,Sneha,Electronics,Mobile,4,20000,80000,20066
ORD00197,2025-01-11,South,Priya,Furniture,Table,12,8000,96000,22984
ORD00198,2025-02-11,South,Priya,Electronics,Monitor,4,12000,48000,10218
ORD00199,2025-06-04,East,Arun,Electronics,Monitor,8,12000,96000,16750
ORD00200,2025-08-08,North,Raj,Furniture,Sofa,16,25000,400000,60373
ORD00201,2025-03-04,South,Priya,Electronics,Laptop,6,50000,300000,64188
ORD00202,2025-02-11,North,Raj,Furniture,Table,9,8000,72000,12863
ORD00203,2025-08-05,North,Amit,Electronics,Monitor,8,12000,96000,19148
ORD00204,2025-04-24,West,Sneha,Electronics,Mobile,6,20000,120000,28918
ORD00205,2025-08-31,South,Priya,Electronics,Laptop,10,50000,500000,103361
ORD00206,2025-07-16,South,Anita,Furniture,Table,12,8000,96000,17610
ORD00207,2025-12-28,South,Priya,Furniture,Sofa,2,25000,50000,9268
ORD00208,2025-06-15,West,Sneha,Electronics,Laptop,13,50000,650000,175495
ORD00209,2025-09-24,North,Vikram,Electronics,Monitor,10,12000,120000,24297
ORD00210,2025-12-25,North,Raj,Furniture,Chair,1,3000,3000,622
ORD00211,2025-04-02,East,Riya,Electronics,Mobile,8,20000,160000,44792
ORD00212,2025-06-22,South,Priya,Furniture,Chair,3,3000,9000,950
ORD00213,2025-10-12,South,Priya,Furniture,Chair,15,3000,45000,8631
ORD00214,2025-12-16,South,Priya,Electronics,Laptop,7,50000,350000,60629
ORD00215,2025-01-19,North,Raj,Electronics,Mobile,16,20000,320000,95485
ORD00216,2025-11-25,South,Anita,Furniture,Table,17,8000,136000,25747
ORD00217,2025-11-06,North,Vikram,Furniture,Table,4,8000,32000,9159
ORD00218,2025-03-03,North,Vikram,Electronics,Mobile,6,20000,120000,26275
ORD00219,2025-04-21,East,Riya,Furniture,Table,1,8000,8000,1288
ORD00220,2025-03-16,North,Vikram,Furniture,Chair,8,3000,24000,3637
ORD00221,2025-06-25,West,Meena,Electronics,Monitor,9,12000,108000,25353
ORD00222,2025-07-07,South,Priya,Furniture,Chair,13,3000,39000,7880
ORD00223,2025-10-30,North,Raj,Furniture,Chair,8,3000,24000,3122
ORD00224,2025-08-17,North,Raj,Electronics,Monitor,12,12000,144000,18575
ORD00225,2025-11-24,North,Vikram,Electronics,Monitor,13,12000,156000,30149
ORD00226,2025-09-24,West,Sneha,Electronics,Mobile,7,20000,140000,14004
ORD00227,2025-10-16,North,Vikram,Furniture,Sofa,5,25000,125000,18612
ORD00228,2025-07-26,West,Rahul,Electronics,Monitor,4,12000,48000,12904
ORD00229,2025-03-30,West,Sneha,Electronics,Monitor,1,12000,12000,2391
ORD00230,2025-02-04,West,Sneha,Furniture,Sofa,9,25000,225000,39058
ORD00231,2025-09-18,East,Arun,Electronics,Mobile,5,20000,100000,13612
ORD00232,2025-09-20,West,Sneha,Furniture,Chair,17,3000,51000,8538
ORD00233,2025-09-02,West,Sneha,Electronics,Laptop,7,50000,350000,35062
ORD00234,2025-05-07,West,Sneha,Furniture,Sofa,3,25000,75000,9201
ORD00235,2025-09-12,East,Riya,Furniture,Table,11,8000,88000,19523
ORD00236,2025-07-23,East,Suresh,Electronics,Monitor,5,12000,60000,7966
ORD00237,2025-09-21,West,Rahul,Electronics,Laptop,13,50000,650000,137176
ORD00238,2025-04-02,South,Karthik,Electronics,Laptop,14,50000,700000,91461
ORD00239,2025-03-23,South,Priya,Electronics,Mobile,1,20000,20000,2403
ORD00240,2025-02-26,West,Meena,Electronics,Monitor,17,12000,204000,44749
ORD00241,2025-09-12,West,Meena,Electronics,Monitor,18,12000,216000,53688
ORD00242,2025-09-14,West,Meena,Furniture,Table,8,8000,64000,10397
ORD00243,2025-02-12,West,Sneha,Electronics,Laptop,13,50000,650000,190705
ORD00244,2025-04-22,North,Vikram,Furniture,Sofa,2,25000,50000,8205
ORD00245,2025-02-26,West,Sneha,Electronics,Mobile,17,20000,340000,84264
ORD00246,2025-07-21,East,Arun,Electronics,Laptop,1,50000,50000,8374
ORD00247,2025-12-08,South,Karthik,Furniture,Chair,16,3000,48000,6638
ORD00248,2025-04-01,North,Amit,Electronics,Laptop,1,50000,50000,7934
ORD00249,2025-07-03,East,Riya,Furniture,Table,13,8000,104000,12260
ORD00250,2025-07-12,North,Raj,Electronics,Mobile,4,20000,80000,15347
ORD00251,2025-02-21,South,Anita,Furniture,Chair,7,3000,21000,5800
ORD00252,2025-04-01,East,Riya,Furniture,Chair,3,3000,9000,2407
ORD00253,2025-02-24,East,Arun,Electronics,Mobile,20,20000,400000,79053
ORD00254,2025-02-19,East,Suresh,Furniture,Chair,4,3000,12000,3374
ORD00255,2025-07-05,West,Meena,Furniture,Chair,15,3000,45000,13080
ORD00256,2025-04-01,East,Suresh,Furniture,Sofa,5,25000,125000,33686
ORD00257,2025-07-05,South,Anita,Electronics,Mobile,3,20000,60000,15961
ORD00258,2025-07-08,South,Priya,Electronics,Laptop,6,50000,300000,76361
ORD00259,2025-11-19,West,Meena,Furniture,Chair,18,3000,54000,9399
ORD00260,2025-07-23,South,Priya,Furniture,Table,13,8000,104000,25146
ORD00261,2025-08-12,North,Amit,Furniture,Table,12,8000,96000,13122
ORD00262,2025-04-21,South,Karthik,Electronics,Mobile,9,20000,180000,21674
ORD00263,2025-05-12,West,Meena,Furniture,Table,19,8000,152000,28589
ORD00264,2025-10-21,North,Raj,Electronics,Monitor,1,12000,12000,3217
ORD00265,2025-07-17,West,Rahul,Electronics,Monitor,9,12000,108000,22702
ORD00266,2025-08-20,West,Rahul,Furniture,Table,19,8000,152000,41171
ORD00267,2025-12-31,West,Sneha,Electronics,Monitor,13,12000,156000,28540
ORD00268,2025-12-03,West,Sneha,Electronics,Monitor,16,12000,192000,22991
ORD00269,2025-02-19,East,Suresh,Furniture,Chair,5,3000,15000,2927
ORD00270,2025-06-22,North,Raj,Electronics,Mobile,11,20000,220000,32158
ORD00271,2025-12-15,North,Raj,Furniture,Chair,9,3000,27000,4403
ORD00272,2025-10-15,North,Raj,Furniture,Table,3,8000,24000,3559
ORD00273,2025-10-05,West,Rahul,Electronics,Monitor,8,12000,96000,10054
ORD00274,2025-03-21,East,Suresh,Electronics,Mobile,19,20000,380000,75136
ORD00275,2025-09-02,North,Amit,Furniture,Table,8,8000,64000,17402
ORD00276,2025-01-17,East,Riya,Furniture,Chair,5,3000,15000,4142
ORD00277,2025-05-15,North,Amit,Furniture,Sofa,20,25000,500000,63103
ORD00278,2025-12-29,West,Rahul,Furniture,Chair,18,3000,54000,9885
ORD00279,2025-06-14,East,Suresh,Furniture,Chair,17,3000,51000,15208
ORD00280,2025-10-27,West,Meena,Electronics,Laptop,10,50000,500000,53474
ORD00281,2025-10-30,East,Suresh,Electronics,Laptop,19,50000,950000,234414
ORD00282,2025-02-27,South,Karthik,Electronics,Mobile,6,20000,120000,33258
ORD00283,2025-09-01,South,Karthik,Electronics,Mobile,16,20000,320000,34075
ORD00284,2025-10-23,West,Sneha,Electronics,Monitor,12,12000,144000,42981
ORD00285,2025-03-12,North,Amit,Furniture,Sofa,6,25000,150000,38632
ORD00286,2025-07-05,East,Riya,Furniture,Chair,11,3000,33000,7244
ORD00287,2025-08-12,West,Rahul,Furniture,Table,20,8000,160000,43681
ORD00288,2025-11-15,South,Anita,Furniture,Table,3,8000,24000,4498
ORD00289,2025-04-14,North,Amit,Furniture,Chair,9,3000,27000,4924
ORD00290,2025-06-24,North,Vikram,Electronics,Laptop,4,50000,200000,46787
ORD00291,2025-06-24,South,Anita,Electronics,Monitor,14,12000,168000,40400
ORD00292,2025-08-20,North,Raj,Electronics,Laptop,10,50000,500000,119938
ORD00293,2025-03-31,South,Anita,Furniture,Table,17,8000,136000,35261
ORD00294,2025-03-08,North,Vikram,Electronics,Monitor,20,12000,240000,39845
ORD00295,2025-05-11,East,Riya,Electronics,Laptop,18,50000,900000,142832
ORD00296,2025-10-06,East,Suresh,Furniture,Table,5,8000,40000,5368
ORD00297,2025-10-24,West,Meena,Furniture,Sofa,9,25000,225000,31899
ORD00298,2025-02-25,West,Rahul,Electronics,Laptop,1,50000,50000,12312
ORD00299,2025-11-18,West,Rahul,Electronics,Laptop,17,50000,850000,144438
ORD00300,2025-07-13,North,Amit,Furniture,Chair,7,3000,21000,2820
ORD00301,2025-10-03,East,Arun,Furniture,Table,19,8000,152000,37966
ORD00302,2025-08-16,North,Amit,Furniture,Chair,12,3000,36000,7268
ORD00303,2025-06-02,South,Priya,Furniture,Sofa,10,25000,250000,28263
ORD00304,2025-11-26,East,Riya,Furniture,Chair,10,3000,30000,4136
ORD00305,2025-12-11,South,Karthik,Furniture,Table,8,8000,64000,15556
ORD00306,2025-01-25,South,Priya,Furniture,Sofa,5,25000,125000,14559
ORD00307,2025-10-15,North,Raj,Electronics,Laptop,10,50000,500000,55272
ORD00308,2025-06-18,South,Karthik,Electronics,Monitor,3,12000,36000,7970
ORD00309,2025-11-20,West,Rahul,Electronics,Mobile,6,20000,120000,18497
ORD00310,2025-08-18,West,Meena,Furniture,Sofa,6,25000,150000,30689
ORD00311,2025-09-03,North,Vikram,Furniture,Sofa,4,25000,100000,26742
ORD00312,2025-04-05,North,Amit,Electronics,Laptop,18,50000,900000,254984
ORD00313,2025-09-14,West,Rahul,Furniture,Table,2,8000,16000,4660
ORD00314,2025-06-25,East,Riya,Furniture,Table,14,8000,112000,25922
ORD00315,2025-11-25,West,Rahul,Electronics,Mobile,15,20000,300000,68728
ORD00316,2025-01-27,South,Karthik,Furniture,Sofa,15,25000,375000,112266
ORD00317,2025-11-18,North,Raj,Electronics,Laptop,10,50000,500000,133462
ORD00318,2025-02-07,East,Riya,Furniture,Sofa,6,25000,150000,32267
ORD00319,2025-01-14,South,Priya,Electronics,Laptop,11,50000,550000,113461
ORD00320,2025-09-06,West,Rahul,Electronics,Mobile,16,20000,320000,67716
ORD00321,2025-01-21,South,Karthik,Furniture,Sofa,3,25000,75000,14258
ORD00322,2025-09-04,West,Meena,Electronics,Mobile,1,20000,20000,5816
ORD00323,2025-12-24,East,Suresh,Electronics,Monitor,2,12000,24000,3430
ORD00324,2025-08-24,North,Vikram,Electronics,Mobile,12,20000,240000,47243
ORD00325,2025-03-30,East,Riya,Electronics,Mobile,14,20000,280000,82305
ORD00326,2025-11-08,East,Suresh,Furniture,Chair,5,3000,15000,4245
ORD00327,2025-04-21,North,Raj,Furniture,Chair,18,3000,54000,12601
ORD00328,2025-12-17,North,Raj,Furniture,Table,14,8000,112000,11900
ORD00329,2025-01-08,East,Riya,Furniture,Chair,12,3000,36000,5505
ORD00330,2025-02-07,East,Arun,Electronics,Monitor,13,12000,156000,44217
ORD00331,2025-01-16,North,Amit,Electronics,Mobile,19,20000,380000,111955
ORD00332,2025-09-10,North,Amit,Electronics,Mobile,17,20000,340000,88525
ORD00333,2025-04-27,North,Vikram,Electronics,Laptop,1,50000,50000,5273
ORD00334,2025-06-16,North,Raj,Electronics,Laptop,16,50000,800000,192690
ORD00335,2025-02-18,West,Sneha,Electronics,Laptop,17,50000,850000,178182
ORD00336,2025-10-12,South,Karthik,Furniture,Table,8,8000,64000,16104
ORD00337,2025-07-24,North,Amit,Furniture,Sofa,16,25000,400000,84340
ORD00338,2025-03-28,South,Priya,Electronics,Laptop,14,50000,700000,108902
ORD00339,2025-11-11,South,Karthik,Furniture,Chair,16,3000,48000,5769
ORD00340,2025-01-28,South,Karthik,Furniture,Sofa,14,25000,350000,62653
ORD00341,2025-11-11,West,Meena,Furniture,Sofa,19,25000,475000,132692
ORD00342,2025-06-12,East,Riya,Electronics,Monitor,2,12000,24000,4925
ORD00343,2025-07-05,West,Meena,Electronics,Laptop,10,50000,500000,129362
ORD00344,2025-12-09,North,Amit,Furniture,Sofa,19,25000,475000,136100
ORD00345,2025-07-11,West,Sneha,Furniture,Sofa,15,25000,375000,83931
ORD00346,2025-07-22,South,Anita,Electronics,Monitor,7,12000,84000,19503
ORD00347,2025-07-29,West,Meena,Furniture,Sofa,14,25000,350000,36326
ORD00348,2025-07-16,South,Anita,Electronics,Monitor,4,12000,48000,10269
