trial_id,therapeutic_area,uses_biomarker,phase2_effect_size,phase2_pvalue_strength,endpoint_type,enrollment,statistical_power,sponsor_type,novel_mechanism,prior_approvals_target,randomized,double_blind,active_comparator,years_in_development,orphan_designation,trial_success
TRL000023,respiratory,0,3.91,4.13,clinical,137,0.699,mid_pharma,0,3,1,1,1,6.7,1,0
TRL000024,oncology,1,1.56,6.75,clinical,358,0.746,small_biotech,1,0,1,1,0,3.8,1,0
TRL000025,metabolic,0,5.53,9.52,hard_survival,327,0.868,large_pharma,0,1,1,1,0,2.5,0,0
TRL000026,cardiovascular,0,10.0,7.78,hard_survival,543,0.777,mid_pharma,0,1,1,1,0,3.5,0,1
TRL000027,cardiovascular,1,4.56,7.9,surrogate,476,0.667,mid_pharma,1,2,1,1,0,5.9,0,1
TRL000028,oncology,0,4.8,10.0,hard_survival,671,0.787,small_biotech,0,2,1,1,1,8.2,0,0
TRL000029,oncology,0,3.04,4.66,surrogate,1187,0.948,large_pharma,0,0,1,1,0,6.5,0,1
TRL000030,vaccine,1,5.04,9.58,surrogate,125,0.751,small_biotech,1,0,0,0,0,6.2,0,0
TRL000031,rare_disease,1,1.98,5.19,clinical,420,0.774,academic,0,2,1,0,0,9.9,0,0
TRL000032,immunology,0,3.79,8.44,hard_survival,866,0.831,large_pharma,1,0,1,1,0,6.3,0,0
TRL000033,immunology,1,3.66,6.41,clinical,565,0.645,large_pharma,1,2,1,0,1,7.0,1,0
TRL000034,oncology,0,4.18,5.57,hard_survival,355,0.775,large_pharma,1,1,1,1,0,6.5,0,0
TRL000035,oncology,1,8.31,10.0,hard_survival,605,0.703,large_pharma,0,0,1,1,1,6.2,0,0
TRL000036,infectious_disease,0,4.42,6.58,surrogate,849,0.714,large_pharma,1,1,1,1,0,4.4,0,1
TRL000037,cardiovascular,1,5.02,7.93,hard_survival,195,0.76,small_biotech,0,2,1,1,0,1.2,0,1
TRL000038,immunology,1,3.9,6.52,surrogate,543,0.879,small_biotech,0,0,1,1,1,6.2,0,0
TRL000039,vaccine,0,4.62,7.94,clinical,100,0.645,large_pharma,0,2,1,1,1,10.4,0,1
TRL000040,cns,0,1.35,3.61,surrogate,792,0.772,small_biotech,0,1,1,0,1,9.8,0,0
TRL000041,cardiovascular,0,4.08,5.25,hard_survival,247,0.847,small_biotech,1,2,1,1,0,5.5,0,0
TRL000042,oncology,1,7.63,4.32,clinical,517,0.891,small_biotech,0,0,1,1,0,12.8,0,0
TRL000043,infectious_disease,0,4.57,8.94,surrogate,538,0.93,academic,0,1,1,1,0,8.5,0,0
TRL000044,immunology,0,8.55,10.0,clinical,55,0.99,small_biotech,0,0,1,1,1,7.8,0,1
TRL000045,cns,0,3.62,4.94,clinical,611,0.788,mid_pharma,0,3,1,0,1,5.6,0,1
TRL000046,oncology,0,2.68,5.41,clinical,688,0.815,large_pharma,0,0,1,1,1,9.4,0,0
TRL000047,immunology,0,6.89,3.74,clinical,679,0.788,academic,0,1,1,1,1,3.3,0,0
TRL000048,cardiovascular,1,4.93,6.87,clinical,879,0.99,large_pharma,1,1,1,1,1,4.5,0,1
TRL000049,respiratory,0,4.48,5.63,surrogate,1215,0.787,large_pharma,0,1,1,1,0,5.4,1,1
TRL000050,oncology,1,5.5,7.4,surrogate,65,0.875,large_pharma,1,2,1,1,1,7.9,0,0
TRL000051,oncology,1,4.27,4.44,clinical,699,0.903,small_biotech,0,0,1,0,0,10.0,0,1
TRL000052,rare_disease,1,2.66,5.1,clinical,250,0.897,large_pharma,0,3,1,1,0,7.0,0,1
TRL000053,oncology,1,4.29,6.88,surrogate,450,0.826,small_biotech,1,0,1,1,0,3.9,0,1
TRL000054,metabolic,0,5.22,6.61,clinical,41,0.726,mid_pharma,1,1,1,0,0,5.6,0,0
TRL000055,infectious_disease,1,5.26,9.68,hard_survival,447,0.866,small_biotech,1,1,1,1,0,2.0,0,0
TRL000056,respiratory,0,10.0,10.0,surrogate,604,0.848,large_pharma,1,1,1,0,0,5.3,0,1
TRL000057,infectious_disease,0,6.15,5.77,surrogate,273,0.854,small_biotech,1,2,0,1,0,7.0,0,0
TRL000058,oncology,0,7.9,7.01,surrogate,794,0.813,small_biotech,1,2,1,0,0,8.1,0,1
TRL000059,cns,0,4.02,4.4,clinical,1825,0.78,small_biotech,0,0,1,1,0,10.6,0,0
TRL000060,oncology,1,4.85,6.11,surrogate,1462,0.982,large_pharma,0,3,1,0,0,6.9,0,1
TRL000061,oncology,1,4.16,7.28,clinical,1274,0.842,large_pharma,1,1,1,1,0,6.1,0,0
TRL000062,vaccine,0,6.43,4.26,hard_survival,362,0.801,large_pharma,1,0,1,1,0,8.1,0,1
TRL000063,rare_disease,0,4.71,10.0,clinical,950,0.826,small_biotech,0,2,1,0,1,3.1,0,1
TRL000064,cardiovascular,0,2.58,7.08,hard_survival,566,0.987,small_biotech,1,0,0,0,1,8.0,1,1
TRL000065,oncology,0,2.8,6.54,clinical,595,0.85,small_biotech,0,1,1,1,0,6.5,1,0
TRL000066,metabolic,0,6.16,7.26,clinical,55,0.825,small_biotech,1,1,1,1,1,7.9,0,0
TRL000067,immunology,1,6.69,9.49,hard_survival,369,0.967,mid_pharma,0,0,1,1,0,10.6,0,1
TRL000068,oncology,1,5.55,7.69,surrogate,602,0.915,large_pharma,0,4,1,1,0,7.7,0,1
TRL000069,metabolic,0,6.47,1.83,hard_survival,213,0.919,mid_pharma,0,2,1,1,0,8.2,0,1
TRL000070,rare_disease,1,4.38,8.74,surrogate,200,0.781,large_pharma,0,0,1,1,0,5.7,0,1
TRL000071,oncology,1,8.1,6.06,hard_survival,335,0.715,small_biotech,0,2,1,0,1,1.7,0,0
TRL000072,rare_disease,1,3.36,2.31,hard_survival,339,0.681,academic,1,0,1,1,1,5.4,1,1
TRL000073,oncology,1,4.74,7.12,surrogate,803,0.802,large_pharma,0,2,1,1,0,7.7,0,1
TRL000074,oncology,1,6.96,9.09,clinical,809,0.767,large_pharma,1,1,1,0,1,6.5,0,1
TRL000075,oncology,1,5.06,9.51,clinical,953,0.89,academic,0,0,0,0,0,3.4,0,1
TRL000076,oncology,1,3.32,9.1,clinical,200,0.963,small_biotech,0,0,0,1,0,8.5,0,1
TRL000077,rare_disease,0,6.38,8.54,surrogate,170,0.837,small_biotech,0,1,1,1,0,2.8,0,1
TRL000078,oncology,1,4.29,5.29,surrogate,295,0.778,academic,0,3,1,1,0,6.1,0,0
TRL000079,oncology,1,7.4,10.0,clinical,995,0.908,small_biotech,0,3,1,0,1,3.0,0,1
TRL000080,metabolic,0,4.82,7.35,hard_survival,1077,0.619,academic,0,3,1,1,1,9.0,0,1
TRL000081,oncology,1,5.64,8.53,hard_survival,401,0.935,mid_pharma,0,1,1,1,1,6.2,0,0
TRL000082,cardiovascular,1,6.41,10.0,hard_survival,856,0.775,large_pharma,0,0,1,1,1,8.7,0,1
TRL000083,cardiovascular,0,3.46,4.84,surrogate,142,0.936,small_biotech,1,2,1,0,1,8.0,0,1
TRL000084,cardiovascular,1,9.13,6.76,hard_survival,569,0.651,mid_pharma,1,0,1,1,1,6.7,0,1
TRL000085,rare_disease,0,4.92,5.36,clinical,631,0.746,large_pharma,0,1,1,1,0,9.0,0,1
TRL000086,cns,0,4.01,7.28,surrogate,842,0.871,large_pharma,1,0,1,1,0,7.1,1,1
TRL000087,respiratory,0,3.51,7.65,clinical,416,0.774,small_biotech,0,1,1,1,0,8.8,0,0
TRL000088,cns,0,3.1,5.61,surrogate,765,0.727,small_biotech,0,0,1,1,1,5.5,0,0
TRL000089,oncology,0,1.69,5.47,clinical,628,0.877,large_pharma,0,0,1,1,1,11.6,0,1
TRL000090,oncology,0,4.4,7.81,clinical,1379,0.934,large_pharma,1,2,0,1,0,8.6,1,1
TRL000091,oncology,1,5.6,4.25,clinical,689,0.673,small_biotech,0,1,1,1,0,6.0,0,1
TRL000092,infectious_disease,0,3.23,9.75,clinical,1408,0.739,small_biotech,1,0,0,0,1,6.9,1,0
TRL000093,oncology,1,6.12,9.34,clinical,96,0.766,large_pharma,1,1,1,0,1,10.1,0,0
TRL000094,oncology,0,5.56,6.79,clinical,655,0.515,small_biotech,0,1,1,1,0,10.0,0,0
TRL000095,infectious_disease,1,7.86,7.7,hard_survival,1937,0.866,small_biotech,1,3,1,1,0,7.9,1,1
TRL000096,vaccine,0,4.57,9.83,clinical,669,0.645,small_biotech,0,0,1,1,0,5.8,0,0
TRL000097,immunology,0,3.16,10.0,hard_survival,237,0.854,mid_pharma,1,1,1,1,1,5.3,0,0
TRL000098,immunology,0,4.54,5.85,clinical,984,0.795,small_biotech,0,1,1,0,1,6.2,0,0
TRL000099,cns,0,0.35,3.78,hard_survival,239,0.643,small_biotech,0,1,1,0,1,7.9,0,0
TRL000100,rare_disease,0,3.48,7.96,clinical,313,0.932,small_biotech,1,0,0,1,0,12.7,0,1
TRL000101,cns,0,4.76,8.35,clinical,1272,0.922,large_pharma,0,2,1,0,1,8.8,0,0
TRL000102,oncology,0,5.57,7.1,clinical,1244,0.846,small_biotech,1,2,1,1,1,6.7,0,0
TRL000103,infectious_disease,0,4.45,3.57,hard_survival,444,0.751,mid_pharma,1,2,1,1,1,9.2,0,1
TRL000104,vaccine,0,5.3,6.91,clinical,128,0.869,small_biotech,0,1,0,1,0,4.1,0,0
TRL000105,oncology,1,3.92,5.56,hard_survival,379,0.883,large_pharma,0,0,1,0,1,7.6,1,0
TRL000106,rare_disease,1,5.02,5.43,surrogate,326,0.648,mid_pharma,0,2,0,1,0,4.2,0,0
TRL000107,infectious_disease,0,6.42,9.64,hard_survival,1356,0.818,academic,0,0,1,1,0,10.3,0,0
TRL000108,oncology,0,4.86,9.54,hard_survival,1119,0.834,large_pharma,1,2,1,1,0,6.9,0,1
TRL000109,cns,0,6.07,3.19,hard_survival,597,0.737,small_biotech,1,0,1,0,0,6.8,0,0
TRL000110,immunology,0,4.46,6.19,clinical,50,0.896,large_pharma,0,1,1,1,0,9.9,0,0
TRL000111,cns,0,2.24,5.24,clinical,1213,0.82,mid_pharma,1,1,1,1,0,1.6,0,0
TRL000112,rare_disease,0,6.99,7.66,clinical,386,0.903,large_pharma,1,1,1,0,0,5.9,0,0
TRL000113,vaccine,1,5.33,6.84,surrogate,485,0.595,small_biotech,1,0,1,0,0,5.4,0,1
TRL000114,oncology,0,3.67,6.61,clinical,448,0.84,small_biotech,1,1,1,1,1,6.7,1,0
TRL000115,respiratory,0,7.27,4.63,surrogate,318,0.731,mid_pharma,1,1,1,1,1,6.2,0,1
TRL000116,oncology,0,6.59,7.04,clinical,445,0.557,large_pharma,0,1,1,1,1,10.5,0,0
TRL000117,vaccine,0,2.43,5.42,hard_survival,903,0.99,large_pharma,1,2,0,0,1,9.0,0,0
TRL000118,cardiovascular,0,4.99,4.47,surrogate,1097,0.99,mid_pharma,1,1,0,1,0,7.0,0,1
TRL000119,vaccine,0,4.07,4.99,clinical,916,0.809,academic,0,1,1,1,1,5.9,0,0
TRL000120,cns,1,6.35,6.74,clinical,1590,0.967,small_biotech,1,3,1,1,0,8.7,0,1
TRL000121,immunology,0,7.41,3.25,hard_survival,903,0.99,small_biotech,0,1,1,1,1,12.0,1,0
TRL000122,rare_disease,0,6.45,9.23,surrogate,47,0.866,mid_pharma,1,1,1,1,1,2.1,1,1
TRL000123,oncology,1,3.28,7.43,surrogate,206,0.99,large_pharma,0,0,1,1,0,8.3,1,1
TRL000124,cardiovascular,0,3.95,7.97,clinical,332,0.814,academic,0,0,0,1,1,5.3,0,0
TRL000125,rare_disease,1,5.93,8.95,clinical,347,0.742,large_pharma,1,0,1,1,1,11.9,0,0
TRL000126,cardiovascular,0,2.2,4.66,surrogate,1102,0.74,large_pharma,0,0,1,0,0,6.0,0,1
TRL000127,cns,0,5.97,9.36,surrogate,153,0.83,mid_pharma,0,1,0,1,1,6.9,1,1
TRL000128,infectious_disease,1,3.31,6.7,surrogate,558,0.83,mid_pharma,1,0,1,0,1,12.0,1,1
TRL000129,cardiovascular,0,1.94,4.65,clinical,629,0.621,large_pharma,1,2,1,1,0,9.1,0,0
TRL000130,oncology,0,4.11,5.68,clinical,317,0.871,academic,0,1,1,1,0,5.3,0,0
TRL000131,immunology,0,3.77,8.08,surrogate,189,0.786,academic,1,0,1,0,1,13.3,0,1
TRL000132,immunology,1,4.37,5.08,hard_survival,280,0.733,small_biotech,0,2,1,1,0,6.0,0,0
TRL000133,immunology,0,3.99,7.07,clinical,133,0.93,academic,0,2,1,0,0,8.1,0,1
TRL000134,vaccine,0,6.24,8.41,clinical,389,0.943,large_pharma,0,1,1,0,0,6.9,0,1
TRL000135,oncology,1,4.07,8.67,hard_survival,452,0.944,academic,1,0,1,0,0,10.2,0,0
TRL000136,infectious_disease,0,1.14,6.83,surrogate,618,0.919,small_biotech,1,1,1,1,0,12.2,1,0
TRL000137,oncology,0,3.42,9.32,surrogate,84,0.963,mid_pharma,1,2,0,1,0,9.6,0,0
TRL000138,vaccine,1,6.05,6.32,clinical,838,0.99,mid_pharma,0,1,1,1,0,6.7,0,1
TRL000139,cns,0,3.73,6.33,hard_survival,180,0.895,academic,0,0,1,0,1,4.3,1,0
TRL000140,metabolic,1,10.0,10.0,hard_survival,726,0.783,small_biotech,0,0,1,1,1,10.7,0,1
TRL000141,metabolic,0,4.71,8.37,surrogate,544,0.859,large_pharma,0,0,1,1,1,5.9,0,0
TRL000142,cardiovascular,0,2.51,7.48,hard_survival,780,0.961,small_biotech,1,0,0,1,1,8.9,1,0
TRL000143,cns,0,6.55,7.89,surrogate,229,0.811,small_biotech,0,1,1,1,0,10.7,0,1
TRL000144,cns,1,8.13,5.9,surrogate,1010,0.854,large_pharma,1,0,1,1,1,8.7,1,0
TRL000145,rare_disease,0,3.93,2.84,clinical,1033,0.694,large_pharma,1,1,1,1,0,6.8,0,0
TRL000146,oncology,1,6.04,8.52,clinical,472,0.69,small_biotech,0,1,1,1,1,7.5,0,1
TRL000147,oncology,0,6.94,4.77,surrogate,116,0.729,mid_pharma,1,0,1,1,1,9.7,0,0
TRL000148,respiratory,0,4.44,5.32,clinical,919,0.729,academic,0,1,1,1,1,4.6,0,0
TRL000149,oncology,1,5.37,9.76,surrogate,146,0.848,large_pharma,1,0,1,1,0,2.1,0,1
TRL000150,cns,1,7.06,7.29,surrogate,228,0.702,mid_pharma,1,0,1,1,1,5.8,0,1
TRL000151,metabolic,0,5.43,10.0,hard_survival,870,0.949,small_biotech,0,1,1,0,0,11.0,0,1
TRL000152,immunology,0,6.58,10.0,surrogate,168,0.679,large_pharma,0,1,1,1,1,8.4,0,1
TRL000153,infectious_disease,1,4.57,4.86,hard_survival,162,0.917,large_pharma,0,0,1,1,0,6.7,1,0
TRL000154,infectious_disease,1,3.74,7.11,surrogate,52,0.732,small_biotech,1,0,1,0,0,5.6,0,1
TRL000155,metabolic,1,6.29,10.0,clinical,803,0.807,mid_pharma,0,3,1,0,0,10.3,0,1
TRL000156,cardiovascular,0,3.07,6.63,clinical,564,0.869,mid_pharma,0,0,0,1,1,10.6,0,0
TRL000157,infectious_disease,0,4.36,6.27,hard_survival,332,0.867,academic,0,4,1,1,0,5.5,0,0
TRL000158,vaccine,1,4.41,8.97,clinical,1125,0.698,academic,1,4,1,1,1,2.6,0,0
TRL000159,respiratory,0,6.14,10.0,surrogate,536,0.833,large_pharma,0,0,1,1,1,11.3,0,1
TRL000160,oncology,0,5.54,10.0,hard_survival,770,0.732,large_pharma,1,2,1,0,1,7.9,0,1
TRL000161,infectious_disease,1,1.84,6.33,hard_survival,352,0.786,large_pharma,0,0,1,1,1,5.2,0,1
TRL000162,respiratory,1,3.45,3.01,clinical,167,0.857,small_biotech,1,0,1,1,1,5.9,0,0
TRL000163,cns,0,5.33,5.05,hard_survival,322,0.84,mid_pharma,0,1,1,1,0,6.7,0,0
TRL000164,vaccine,1,6.92,9.69,hard_survival,1449,0.787,small_biotech,0,1,1,0,0,7.6,1,1
TRL000165,cns,1,2.09,0.47,surrogate,123,0.658,large_pharma,0,1,1,1,0,6.7,0,0
TRL000166,infectious_disease,0,4.12,10.0,clinical,358,0.873,mid_pharma,0,2,1,1,0,7.5,0,1
TRL000167,immunology,0,1.65,6.36,clinical,87,0.807,large_pharma,1,1,1,1,0,12.1,0,1
TRL000168,metabolic,0,0.0,2.08,surrogate,174,0.865,small_biotech,1,2,0,1,1,5.9,0,0
TRL000169,immunology,1,6.29,7.95,hard_survival,644,0.877,academic,1,2,1,1,0,10.6,0,0
TRL000170,cardiovascular,0,6.83,7.5,hard_survival,887,0.99,small_biotech,1,1,1,1,1,7.4,0,1
TRL000171,cardiovascular,0,6.39,10.0,clinical,368,0.813,small_biotech,0,1,1,0,0,10.8,0,1
TRL000172,respiratory,1,5.88,9.63,clinical,1423,0.925,academic,1,1,1,1,1,5.8,0,1
TRL000173,immunology,0,4.77,8.86,clinical,1431,0.703,small_biotech,0,1,0,1,0,7.1,0,1
TRL000174,vaccine,1,8.13,7.41,clinical,40,0.866,large_pharma,1,0,1,1,1,3.6,0,1
TRL000175,oncology,1,4.53,5.96,clinical,616,0.781,large_pharma,1,1,1,0,0,6.1,0,1
TRL000176,cns,0,4.99,7.82,clinical,613,0.796,academic,0,3,1,1,0,9.5,0,0
TRL000177,metabolic,1,3.82,4.62,clinical,688,0.796,small_biotech,1,2,1,0,1,5.7,0,0
TRL000178,rare_disease,0,4.02,4.49,clinical,1429,0.977,large_pharma,1,2,0,1,1,7.5,0,0
TRL000179,cns,0,7.13,9.51,surrogate,337,0.892,large_pharma,0,1,1,1,1,10.3,0,0
TRL000180,immunology,1,7.58,6.95,hard_survival,1733,0.856,large_pharma,1,2,1,0,0,7.0,0,1
TRL000181,respiratory,1,4.62,7.68,hard_survival,577,0.742,academic,1,0,1,1,0,4.8,0,0
TRL000182,immunology,1,2.7,4.77,clinical,355,0.795,small_biotech,0,2,0,0,0,9.7,0,0
TRL000183,oncology,0,5.84,6.67,clinical,151,0.895,small_biotech,1,0,1,1,0,8.3,0,0
TRL000184,infectious_disease,1,5.99,7.1,surrogate,932,0.857,mid_pharma,0,0,1,1,1,11.3,0,1
TRL000185,infectious_disease,0,5.76,8.21,clinical,169,0.83,mid_pharma,0,2,1,0,0,5.4,0,1
TRL000186,rare_disease,0,5.29,5.83,surrogate,407,0.685,small_biotech,1,1,0,0,0,4.9,0,0
TRL000187,cns,1,5.42,7.13,surrogate,1183,0.842,small_biotech,0,2,1,0,0,6.8,0,1
TRL000188,rare_disease,1,5.55,5.11,clinical,379,0.807,small_biotech,1,0,0,1,1,12.4,0,1
TRL000189,immunology,1,7.75,9.82,hard_survival,117,0.949,large_pharma,1,0,0,1,1,7.6,1,1
TRL000190,infectious_disease,0,4.64,5.97,hard_survival,504,0.869,small_biotech,0,1,1,1,0,5.1,0,1
TRL000191,oncology,1,6.51,7.03,hard_survival,663,0.767,small_biotech,0,0,1,1,0,9.5,0,0
TRL000192,metabolic,1,4.49,8.65,surrogate,785,0.746,small_biotech,0,1,1,1,1,3.4,0,1
TRL000193,rare_disease,0,0.81,1.45,hard_survival,122,0.99,academic,0,2,1,0,0,3.9,0,0
TRL000194,vaccine,0,2.52,2.53,hard_survival,245,0.819,mid_pharma,0,0,0,1,0,5.2,1,1
TRL000195,cns,1,6.89,10.0,clinical,301,0.629,large_pharma,0,2,1,1,0,3.2,0,1
TRL000196,cardiovascular,1,6.33,6.85,surrogate,597,0.826,large_pharma,1,1,1,1,0,8.6,0,1
TRL000197,cardiovascular,0,6.91,6.22,clinical,482,0.802,large_pharma,0,0,1,1,0,4.8,1,1
TRL000198,oncology,1,3.51,2.99,clinical,903,0.788,small_biotech,0,1,1,0,0,8.3,0,0
TRL000199,cns,1,5.37,8.08,clinical,996,0.856,large_pharma,0,2,1,1,1,5.3,1,1
TRL000200,infectious_disease,0,5.13,7.88,surrogate,791,0.831,academic,1,0,1,0,1,6.8,0,1
TRL000201,infectious_disease,0,3.8,4.66,surrogate,1596,0.99,large_pharma,0,2,1,0,0,7.1,0,1
TRL000202,vaccine,0,5.19,6.39,clinical,1138,0.896,mid_pharma,0,2,1,1,1,9.5,1,1
TRL000203,respiratory,0,4.29,8.93,clinical,1003,0.648,large_pharma,0,0,1,1,0,6.1,0,0
TRL000204,metabolic,0,4.31,10.0,hard_survival,96,0.739,small_biotech,0,3,0,0,1,5.1,0,0
TRL000205,oncology,1,6.95,5.09,surrogate,1023,0.904,academic,0,2,1,1,1,11.1,0,1
TRL000206,cns,0,8.1,7.66,clinical,192,0.762,mid_pharma,1,2,1,1,0,6.3,0,1
TRL000207,oncology,1,8.29,8.71,hard_survival,361,0.827,small_biotech,1,2,1,0,0,8.1,1,1
TRL000208,infectious_disease,0,2.01,4.27,hard_survival,260,0.716,large_pharma,1,0,1,1,0,7.5,0,0
TRL000209,cns,0,7.36,10.0,clinical,234,0.767,large_pharma,0,0,1,1,1,4.3,0,1
TRL000210,respiratory,1,7.7,10.0,clinical,1031,0.815,mid_pharma,0,2,0,1,1,3.8,0,0
TRL000211,cns,0,5.15,10.0,hard_survival,368,0.632,mid_pharma,0,2,1,1,0,10.7,0,0
TRL000212,cardiovascular,0,3.66,6.83,hard_survival,1211,0.778,small_biotech,0,2,1,1,0,5.7,0,0
TRL000213,cns,0,2.68,7.77,clinical,557,0.679,mid_pharma,0,1,1,1,0,3.5,0,1
TRL000214,oncology,0,5.76,4.87,surrogate,1009,0.826,small_biotech,0,1,1,1,1,8.2,0,1
TRL000215,metabolic,0,6.33,9.32,surrogate,406,0.705,large_pharma,0,1,1,1,1,3.0,1,1
TRL000216,respiratory,1,5.21,4.96,clinical,414,0.76,academic,0,1,1,0,1,9.0,0,0
TRL000217,cardiovascular,1,4.27,8.54,clinical,220,0.758,small_biotech,1,2,1,0,0,6.4,0,1
TRL000218,oncology,0,7.95,8.6,surrogate,1115,0.656,mid_pharma,0,0,1,1,1,1.0,1,1
TRL000219,cns,0,6.12,8.44,clinical,397,0.727,academic,0,1,1,0,1,4.6,0,0
TRL000220,immunology,0,5.66,5.67,hard_survival,165,0.833,large_pharma,1,2,1,1,0,4.8,0,0
TRL000221,cns,1,2.9,5.44,clinical,474,0.7,mid_pharma,0,2,1,1,0,9.0,1,1
TRL000222,cardiovascular,0,8.24,3.44,surrogate,503,0.9,academic,1,4,1,0,1,7.5,1,0
TRL000223,immunology,0,4.47,5.78,hard_survival,198,0.697,small_biotech,1,0,1,1,1,4.3,1,1
TRL000224,rare_disease,0,4.52,6.98,surrogate,186,0.935,small_biotech,0,0,0,0,1,4.5,0,0
TRL000225,oncology,1,2.46,6.26,hard_survival,729,0.732,small_biotech,1,0,1,0,1,9.2,0,0
TRL000226,metabolic,0,4.38,7.84,clinical,317,0.985,small_biotech,0,3,1,0,1,3.5,0,0
TRL000227,oncology,0,4.49,3.83,hard_survival,1026,0.707,large_pharma,1,1,1,1,0,5.4,0,0
TRL000228,oncology,1,4.16,10.0,surrogate,389,0.923,large_pharma,1,4,1,0,1,8.7,0,1
TRL000229,infectious_disease,1,5.98,8.17,surrogate,410,0.689,large_pharma,0,2,1,1,1,7.6,1,1
TRL000230,oncology,1,5.62,10.0,clinical,403,0.735,small_biotech,0,0,1,1,0,6.5,1,0
TRL000231,immunology,1,1.4,5.72,surrogate,1358,0.815,small_biotech,1,1,1,1,0,1.4,0,0
TRL000232,cardiovascular,1,5.43,7.7,clinical,246,0.736,mid_pharma,0,2,1,0,1,7.3,1,1
TRL000233,immunology,0,6.75,4.65,surrogate,399,0.935,small_biotech,1,1,1,1,0,12.1,0,1
TRL000234,immunology,0,3.4,5.76,surrogate,824,0.904,small_biotech,0,2,1,1,0,9.5,1,1
TRL000235,metabolic,1,0.93,5.95,clinical,394,0.645,mid_pharma,0,2,0,1,1,11.2,0,1
TRL000236,immunology,0,4.28,5.33,hard_survival,620,0.773,small_biotech,1,0,1,1,0,7.1,0,1
TRL000237,oncology,0,3.41,9.61,clinical,284,0.796,mid_pharma,0,0,1,1,1,6.0,1,0
TRL000238,infectious_disease,1,3.57,9.22,surrogate,887,0.629,small_biotech,0,2,1,1,1,4.3,0,0
TRL000239,rare_disease,0,5.96,6.46,clinical,484,0.733,large_pharma,0,1,1,1,1,4.1,0,0
TRL000240,infectious_disease,1,4.87,6.9,hard_survival,330,0.653,mid_pharma,0,1,1,0,0,7.7,0,1
TRL000241,metabolic,1,0.87,5.52,clinical,394,0.951,mid_pharma,1,3,1,0,1,7.7,1,1
TRL000242,metabolic,0,7.29,6.12,hard_survival,897,0.801,mid_pharma,0,1,1,1,1,11.3,0,0
TRL000243,oncology,1,1.81,5.42,hard_survival,375,0.867,mid_pharma,0,0,1,0,1,6.8,0,1
TRL000244,cns,1,5.11,6.36,hard_survival,126,0.869,small_biotech,0,1,1,1,1,4.0,1,0
TRL000245,oncology,1,3.24,6.81,clinical,470,0.631,mid_pharma,0,1,1,1,0,6.5,0,1
