call_id,caller_age_days,calls_per_day,call_duration_sec,avg_call_duration_sec,unique_receivers_24h,receiver_block_rate,spam_reports_count,country_code_risk_score,night_call_ratio,sequential_dialing_score,graph_degree,previous_fraud_associations,reputation_score,fraud_label
CALL0000150,600,7,544,519.6,14,10.68,1,34.96,19.0,24.94,62,0,98.99,0
CALL0000151,1856,52,157,135.3,11,6.52,2,9.84,12.04,29.63,143,0,95.67,0
CALL0000152,737,4,472,600.2,4,7.37,1,63.14,18.76,33.64,78,1,69.91,0
CALL0000153,1159,5,337,289.7,4,22.04,3,33.49,14.44,5.09,168,0,89.87,0
CALL0000154,993,6,175,251.3,7,7.68,0,26.39,31.02,3.98,95,1,88.23,0
CALL0000155,27,881,16,10.7,114,72.37,75,60.44,63.83,67.25,273,27,31.9,1
CALL0000156,1606,24,459,554.2,11,6.98,2,37.11,2.71,14.82,67,0,86.87,0
CALL0000157,679,2,409,536.9,5,4.79,1,17.13,17.62,20.48,160,1,63.71,0
CALL0000158,654,8,261,273.5,10,1.36,0,44.24,12.43,24.76,75,0,72.07,0
CALL0000159,13,1082,13,10.9,130,92.45,76,49.1,63.55,58.19,303,34,23.98,1
CALL0000160,488,5,318,391.8,8,12.0,2,43.28,23.31,6.88,74,0,92.3,0
CALL0000161,2532,8,737,960.4,7,0.55,1,25.94,2.36,28.6,33,1,80.76,0
CALL0000162,883,7,770,1002.9,11,14.89,2,32.61,16.5,33.38,113,0,87.06,0
CALL0000163,870,12,452,380.8,9,8.0,2,26.33,42.32,13.24,129,0,69.57,0
CALL0000164,931,7,576,484.8,7,6.45,2,16.15,21.19,15.45,53,0,88.85,0
CALL0000165,661,658,21,17.2,164,71.27,69,58.92,57.27,83.72,199,19,25.92,1
CALL0000166,381,3,62,66.1,11,16.09,0,34.39,9.95,42.13,65,0,78.53,0
CALL0000167,865,4,298,222.1,7,11.68,0,29.25,29.84,25.09,158,0,34.09,0
CALL0000168,1177,5,197,186.3,10,6.9,0,32.35,3.35,8.01,45,0,83.42,0
CALL0000169,687,1,110,99.2,7,4.69,2,30.76,18.31,33.25,55,0,60.74,0
CALL0000170,1233,4,278,216.2,8,17.92,3,47.1,12.78,1.96,42,0,79.96,0
CALL0000171,591,8,75,63.1,4,8.6,2,3.91,39.16,9.76,133,0,78.29,0
CALL0000172,1007,6,337,261.1,8,16.8,0,45.05,49.35,16.02,48,0,75.91,0
CALL0000173,1264,22,232,274.8,6,15.44,1,11.98,15.11,9.76,106,1,67.82,0
CALL0000174,2279,5,237,356.5,6,14.88,0,27.43,25.34,18.32,120,1,91.63,0
CALL0000175,2824,7,122,173.1,9,8.25,3,42.42,23.11,4.12,46,0,59.96,0
CALL0000176,688,5,346,483.9,9,6.85,0,25.92,44.58,26.72,52,0,84.89,0
CALL0000177,964,524,255,189.8,74,3.64,0,21.9,15.53,15.05,226,0,88.39,0
CALL0000178,323,9,94,111.2,5,7.03,1,32.29,6.53,7.96,77,1,88.19,0
CALL0000179,256,4,298,231.0,9,4.89,3,8.67,0.47,13.34,55,1,79.53,0
CALL0000180,45,645,36,19.7,91,77.19,71,74.74,42.37,82.98,378,26,25.26,1
CALL0000181,479,7,627,749.7,7,7.06,1,48.04,5.18,10.2,67,0,73.32,0
CALL0000182,31,665,40,52.5,327,64.04,82,66.87,66.9,69.54,382,19,42.25,1
CALL0000183,1078,2,227,220.2,11,8.58,1,44.48,22.2,18.0,58,0,90.17,0
CALL0000184,502,5,123,101.1,7,8.27,0,51.94,18.46,28.63,151,0,83.65,0
CALL0000185,265,15,189,292.1,10,6.48,3,18.02,9.2,31.74,25,0,78.2,0
CALL0000186,762,495,48,53.6,491,85.16,64,65.93,72.88,86.28,556,4,13.76,1
CALL0000187,958,9,251,257.2,11,20.03,1,23.57,16.53,17.01,246,0,86.82,0
CALL0000188,14,1426,12,9.1,159,43.59,90,73.77,60.35,15.65,483,17,25.65,1
CALL0000189,897,4,216,105.7,8,15.19,0,42.55,21.64,17.89,57,0,70.14,0
CALL0000190,585,6,385,268.4,6,1.28,0,45.98,6.75,12.42,35,0,63.96,0
CALL0000191,103,912,16,10.0,215,46.86,2,57.7,60.4,85.04,452,0,4.32,1
CALL0000192,760,4,89,90.5,4,16.84,0,48.38,28.85,23.07,70,0,92.0,0
CALL0000193,43,578,11,1.0,227,70.75,68,57.51,52.19,63.33,213,1,27.65,1
CALL0000194,316,14,126,121.0,9,8.59,1,36.95,57.12,5.23,38,0,77.28,0
CALL0000195,738,11,115,167.1,15,6.05,3,39.78,50.72,10.83,146,0,66.3,0
CALL0000196,1541,12,155,168.6,8,33.58,1,12.11,22.52,17.35,55,0,81.02,0
CALL0000197,1318,3,36,41.6,9,19.84,1,17.22,10.85,13.96,141,1,74.37,0
CALL0000198,602,25,97,93.0,13,2.08,3,53.19,2.16,19.02,94,2,83.22,0
CALL0000199,596,10,145,179.2,11,21.03,1,29.42,11.27,10.51,61,1,69.89,0
CALL0000200,24,1459,69,88.1,125,49.31,5,44.31,20.14,40.41,862,17,38.5,1
CALL0000201,777,340,279,258.4,74,5.01,0,50.01,8.81,17.15,237,1,70.02,0
CALL0000202,1079,2,209,122.5,7,3.96,2,22.52,11.7,22.47,56,0,72.2,0
CALL0000203,5,369,3,1.0,50,76.47,66,77.16,38.86,63.93,315,17,25.54,1
CALL0000204,590,3,280,249.6,3,5.31,1,36.2,28.9,12.33,87,1,88.63,0
CALL0000205,793,17,51,5.9,10,18.03,2,36.46,43.67,15.22,147,0,91.27,0
CALL0000206,1667,6,716,581.0,10,6.61,3,14.22,15.8,16.61,74,1,77.02,0
CALL0000207,653,5,447,545.5,7,7.21,0,6.89,15.49,15.32,69,0,72.49,0
CALL0000208,1721,7,421,483.3,3,10.75,1,25.81,14.93,12.28,92,0,61.39,0
CALL0000209,532,1313,40,43.5,195,61.6,83,79.89,65.39,65.74,427,16,20.95,1
CALL0000210,239,10,393,419.3,8,9.58,4,50.89,19.19,14.0,89,0,80.68,0
CALL0000211,567,3,159,49.1,7,0.67,2,13.61,6.3,22.34,114,0,46.88,0
CALL0000212,941,4,255,288.0,10,9.21,2,9.55,15.71,14.24,168,0,96.59,0
CALL0000213,485,3,296,328.5,10,4.28,1,4.14,34.04,26.69,112,0,82.39,0
CALL0000214,588,6,252,277.2,6,16.59,1,43.97,16.91,13.04,48,1,84.23,0
CALL0000215,845,6,506,763.7,13,3.22,5,2.41,32.0,4.29,123,0,80.45,0
CALL0000216,861,4,651,652.7,13,3.67,1,52.83,44.72,14.51,54,1,61.85,0
CALL0000217,844,7,585,536.7,11,8.67,0,9.22,19.21,4.43,22,0,94.92,0
CALL0000218,850,3,237,315.3,4,1.13,3,32.13,11.96,2.93,69,1,63.81,0
CALL0000219,45,4,40,34.3,6,73.93,77,68.18,42.63,67.01,14,18,17.29,1
CALL0000220,1353,1210,23,25.9,224,83.83,76,44.11,50.21,57.17,517,22,26.38,1
CALL0000221,584,7,220,268.4,9,6.38,2,34.83,31.55,9.7,73,0,83.16,0
CALL0000222,442,1008,22,28.0,166,67.28,87,34.85,51.66,67.88,542,2,35.06,1
CALL0000223,504,772,332,260.9,71,5.23,1,18.73,15.81,15.43,240,0,94.49,0
CALL0000224,6,925,91,2.7,169,60.62,2,64.39,57.93,98.25,266,18,13.48,1
CALL0000225,5,1184,38,7.0,94,84.4,76,52.45,43.41,49.43,403,25,70.06,1
CALL0000226,802,16,533,447.1,4,8.47,0,3.03,14.77,27.58,48,0,75.65,0
CALL0000227,538,13,78,58.6,9,3.85,1,30.91,8.66,18.09,13,0,89.38,0
CALL0000228,2590,37,281,380.9,7,0.81,2,22.44,34.4,18.08,105,0,87.08,0
CALL0000229,2069,645,446,175.4,69,12.07,3,58.48,20.34,9.5,128,0,71.97,0
CALL0000230,40,5,45,31.5,5,45.06,77,62.65,23.31,72.09,54,28,27.47,1
CALL0000231,15,768,9,19.1,128,34.6,98,64.66,61.39,91.82,489,0,53.26,1
CALL0000232,1540,10,149,118.5,4,13.95,0,6.1,14.37,20.01,53,0,53.22,0
CALL0000233,922,4,141,144.2,9,8.0,1,5.34,20.51,17.0,116,1,94.56,0
CALL0000234,1442,14,166,165.1,10,7.04,2,4.95,33.95,5.56,89,1,92.49,0
CALL0000235,22,1392,35,17.6,178,61.09,1,39.71,72.85,72.81,508,20,25.94,1
CALL0000236,12,745,30,12.2,224,68.38,2,69.42,27.67,75.07,339,2,22.46,1
CALL0000237,24,597,35,24.8,104,35.83,84,43.35,64.23,68.18,79,4,38.35,1
CALL0000238,836,9,89,78.9,5,20.0,1,26.74,13.6,4.07,27,0,82.58,0
CALL0000239,1049,8,152,122.1,7,10.85,3,26.36,22.53,14.7,30,0,91.79,0
CALL0000240,581,7,629,744.5,6,10.73,1,41.31,38.14,8.82,30,0,89.43,0
CALL0000241,1133,11,138,139.8,12,9.68,2,48.18,13.31,11.34,108,0,69.69,0
CALL0000242,97,4,186,129.5,10,1.62,1,8.14,15.59,6.61,202,0,59.33,0
CALL0000243,29,478,26,20.5,174,77.07,2,75.19,71.66,79.94,369,2,34.15,1
CALL0000244,1424,662,242,281.6,126,57.57,74,72.02,37.82,50.7,746,23,40.88,1
CALL0000245,353,7,78,103.8,2,5.33,1,23.69,29.42,1.64,174,0,77.96,0
CALL0000246,1819,2,191,177.6,7,3.63,1,12.96,5.16,11.32,160,0,80.28,0
CALL0000247,540,2,338,364.8,10,4.75,0,19.12,39.29,11.88,20,4,87.1,0
CALL0000248,1053,9,481,540.2,12,21.01,1,43.22,3.19,19.52,95,0,92.27,0
CALL0000249,1603,5,197,172.5,7,10.22,1,29.87,12.47,18.77,46,0,80.18,0
CALL0000250,86,623,12,15.7,203,69.21,74,51.8,56.1,58.71,368,20,34.95,1
CALL0000251,5,1237,8,4.6,163,68.55,82,64.88,43.87,72.12,442,0,26.5,1
CALL0000252,221,23,177,199.2,11,12.51,2,44.95,16.04,36.5,150,0,76.95,0
CALL0000253,330,5,446,548.8,6,8.29,0,28.13,10.2,20.97,133,0,95.37,0
CALL0000254,1220,1364,50,24.0,149,65.83,87,67.88,81.08,42.93,548,29,37.14,1
CALL0000255,11,187,43,48.3,191,78.88,72,82.51,63.36,92.62,522,26,2.79,1
CALL0000256,202,9,169,133.7,8,3.8,1,29.83,17.86,10.37,126,0,80.65,0
CALL0000257,36,331,5,1.0,134,50.29,80,69.72,47.33,66.89,316,0,53.5,1
CALL0000258,8,1467,7,15.0,124,72.14,71,76.8,48.52,84.25,565,32,53.8,1
CALL0000259,16,635,15,8.4,59,87.87,70,40.09,86.25,89.01,270,21,5.52,1
CALL0000260,427,21,121,105.5,9,3.83,4,20.28,16.06,15.21,29,1,76.82,0
CALL0000261,616,1,245,129.0,6,7.08,1,22.09,6.6,12.21,83,0,82.8,0
CALL0000262,1718,26,358,430.1,9,4.05,3,59.88,12.58,50.8,85,0,64.15,0
CALL0000263,1155,8,151,171.8,7,9.63,3,10.35,23.44,29.69,77,1,62.46,0
CALL0000264,225,16,553,427.0,8,2.69,0,40.13,51.86,9.81,76,2,67.94,0
CALL0000265,1071,9,225,212.1,9,4.93,0,38.21,7.42,7.35,81,0,76.39,0
CALL0000266,477,1,352,496.6,10,6.12,0,20.52,33.96,25.04,166,0,41.59,0
CALL0000267,9,732,35,16.8,127,57.23,88,48.49,49.23,71.26,430,15,51.09,1
CALL0000268,752,2,240,238.7,7,5.08,2,58.65,7.0,21.33,69,0,61.78,0
CALL0000269,19,1407,9,20.9,85,64.7,81,36.36,45.33,77.82,321,29,32.73,1
CALL0000270,32,368,59,56.6,421,81.3,3,54.22,39.19,76.18,465,21,28.55,1
CALL0000271,44,12,5,1.0,4,79.43,84,71.14,55.65,84.2,59,0,29.95,1
CALL0000272,772,3,114,114.8,9,1.31,1,25.48,21.52,10.77,123,2,85.06,0
CALL0000273,856,2,330,389.0,6,2.85,2,22.49,54.87,19.39,73,0,74.17,0
CALL0000274,19,684,21,10.5,132,83.7,88,83.56,62.03,69.95,336,26,59.2,1
CALL0000275,366,20,308,305.8,10,12.2,0,30.2,10.37,16.1,47,3,77.19,0
CALL0000276,36,879,35,28.0,260,78.21,74,46.61,39.04,70.96,142,17,26.6,1
CALL0000277,1179,596,18,3.1,155,44.56,86,55.2,68.81,79.74,414,28,27.94,1
CALL0000278,830,3,320,326.1,6,9.66,1,23.74,17.11,12.31,129,0,75.23,0
CALL0000279,2428,34,286,332.4,10,11.02,3,69.92,17.56,6.65,117,0,72.13,0
CALL0000280,17,1375,281,301.1,158,72.99,67,65.58,62.82,58.07,500,23,14.69,1
CALL0000281,1439,22,316,376.7,7,3.02,1,22.79,20.32,3.63,98,0,69.97,0
CALL0000282,714,11,408,475.6,8,3.49,0,40.37,25.32,27.64,56,0,88.58,0
CALL0000283,1351,283,59,53.3,180,14.91,95,71.89,9.96,84.19,263,17,1.76,1
CALL0000284,1495,3,142,135.8,8,6.27,2,24.27,23.68,33.31,173,0,80.7,0
CALL0000285,821,11,110,102.7,7,5.51,2,6.81,11.84,29.67,117,0,79.43,0
CALL0000286,437,19,289,253.7,11,5.05,1,10.83,18.37,19.06,133,0,71.53,0
CALL0000287,1294,11,180,148.6,9,0.81,4,27.91,13.66,27.02,84,0,69.79,0
CALL0000288,574,3,240,263.0,1,8.64,0,25.19,17.72,31.84,55,0,75.5,0
CALL0000289,984,25,138,196.2,7,11.36,5,67.68,7.92,2.5,86,0,79.36,0
CALL0000290,928,4,518,563.4,11,7.27,5,26.95,20.54,18.68,130,1,88.41,0
