Company_ID,Industry,Company_Size,Primary_AI_Agent_Role,Autonomous_Agents_Deployed,Avg_Agent_Cost_Per_Month_USD,Human_Roles_Replaced,Human_Roles_Augmented,Productivity_Gain_Percent,Cybersecurity_Incidents_YTD,Employee_Sentiment_Score_1_to_10,Months_To_Positive_ROI,Has_Strict_AI_Governance
COMP-2026-0032,Technology,Large (501-5000),Software Engineering,73,1031.17,12,447,30.44,0,5.9,9.0,False
COMP-2026-0033,Technology,Medium (51-500),Supply Chain Optimization,13,183.59,4,94,17.68,0,8.5,30.9,True
COMP-2026-0034,Finance,Small (1-50),Sales & Marketing,1,1137.19,0,3,41.08,0,7.6,16.3,False
COMP-2026-0035,Finance,Enterprise (5000+),Customer Support,490,1086.68,104,975,29.75,0,4.7,9.4,True
COMP-2026-0036,Education,Large (501-5000),Software Engineering,85,712.3,33,656,12.07,0,5.5,20.4,True
COMP-2026-0037,Healthcare,Large (501-5000),Legal & Compliance,124,720.78,27,536,25.73,0,6.5,31.4,True
COMP-2026-0038,Manufacturing,Small (1-50),Software Engineering,1,836.47,0,5,43.07,0,6.5,34.9,True
COMP-2026-0039,Manufacturing,Large (501-5000),Customer Support,67,556.4,15,390,8.74,0,6.2,27.4,True
COMP-2026-0040,Education,Medium (51-500),Legal & Compliance,25,829.58,8,126,19.73,0,6.1,2.2,True
COMP-2026-0041,Logistics,Large (501-5000),Software Engineering,54,197.01,17,153,34.2,0,9.1,6.6,False
COMP-2026-0042,Logistics,Small (1-50),Legal & Compliance,1,206.75,0,6,49.93,1,6.0,4.6,True
COMP-2026-0043,Education,Large (501-5000),Sales & Marketing,88,630.09,26,591,44.9,0,7.1,5.4,True
COMP-2026-0044,Logistics,Enterprise (5000+),Sales & Marketing,230,727.1,31,1171,51.12,2,9.7,15.0,True
COMP-2026-0045,Finance,Small (1-50),Customer Support,0,1082.21,0,0,35.08,0,5.3,13.5,True
COMP-2026-0046,Manufacturing,Enterprise (5000+),Customer Support,424,259.89,153,950,29.91,0,5.7,5.9,True
COMP-2026-0047,Education,Medium (51-500),Legal & Compliance,17,1013.78,2,34,42.96,0,7.2,32.0,False
COMP-2026-0048,Manufacturing,Large (501-5000),Data Analytics,80,370.55,7,296,21.35,0,6.7,22.9,True
COMP-2026-0049,Technology,Large (501-5000),HR & Recruitment,145,563.79,56,510,20.38,0,6.4,29.1,False
COMP-2026-0050,Finance,Medium (51-500),Software Engineering,19,482.43,6,146,18.18,1,5.1,14.6,True
COMP-2026-0051,Retail,Large (501-5000),Software Engineering,132,570.16,47,870,46.0,2,7.0,15.9,False
COMP-2026-0052,Finance,Large (501-5000),Data Analytics,42,308.02,15,243,22.15,0,3.4,12.8,True
COMP-2026-0053,Education,Medium (51-500),Data Analytics,19,678.75,4,92,44.91,0,10.0,16.9,True
COMP-2026-0054,Retail,Medium (51-500),Data Analytics,26,991.72,7,67,34.34,1,9.8,22.8,False
COMP-2026-0055,Technology,Large (501-5000),Supply Chain Optimization,97,613.61,23,762,46.16,0,6.0,18.8,True
COMP-2026-0056,Education,Large (501-5000),Supply Chain Optimization,114,665.14,7,448,18.79,0,8.6,30.5,False
COMP-2026-0057,Healthcare,Large (501-5000),Legal & Compliance,71,1041.21,22,155,24.74,1,6.1,32.6,False
COMP-2026-0058,Manufacturing,Large (501-5000),Supply Chain Optimization,36,891.36,8,169,38.13,0,6.7,18.0,True
COMP-2026-0059,Technology,Medium (51-500),Sales & Marketing,16,664.98,4,114,27.16,0,5.6,10.2,False
COMP-2026-0060,Manufacturing,Large (501-5000),Sales & Marketing,74,420.58,16,537,1.58,0,8.2,34.1,False
COMP-2026-0061,Logistics,Small (1-50),Customer Support,2,1079.17,0,3,15.48,0,5.8,27.0,True
COMP-2026-0062,Healthcare,Medium (51-500),Legal & Compliance,11,755.87,1,79,18.7,1,8.2,23.8,True
COMP-2026-0063,Healthcare,Small (1-50),Software Engineering,2,382.2,0,6,19.61,1,6.7,27.3,True
COMP-2026-0064,Technology,Medium (51-500),HR & Recruitment,28,432.58,2,49,40.95,0,6.8,4.6,True
COMP-2026-0065,Healthcare,Medium (51-500),Customer Support,11,993.29,1,77,36.68,0,4.1,4.3,True
COMP-2026-0066,Retail,Medium (51-500),Software Engineering,13,196.35,5,92,34.51,0,6.9,7.2,False
COMP-2026-0067,Healthcare,Large (501-5000),Software Engineering,136,1191.7,14,731,57.41,0,4.6,7.0,False
COMP-2026-0068,Manufacturing,Medium (51-500),Legal & Compliance,29,286.87,4,151,47.07,0,6.9,16.3,False
COMP-2026-0069,Manufacturing,Medium (51-500),Data Analytics,16,985.87,4,108,42.44,0,10.0,7.4,False
COMP-2026-0070,Education,Small (1-50),Data Analytics,1,564.51,0,6,13.96,0,4.3,31.1,True
COMP-2026-0071,Manufacturing,Medium (51-500),Customer Support,18,666.83,1,131,33.24,0,6.5,21.7,True
COMP-2026-0072,Education,Small (1-50),Data Analytics,2,1074.68,0,10,36.2,0,5.7,14.5,False
COMP-2026-0073,Manufacturing,Small (1-50),Software Engineering,1,583.56,0,7,27.35,0,4.9,4.4,True
COMP-2026-0074,Retail,Medium (51-500),Data Analytics,23,714.37,3,183,53.66,0,5.4,22.1,False
COMP-2026-0075,Education,Large (501-5000),Supply Chain Optimization,31,201.76,4,69,33.13,0,9.4,6.0,True
COMP-2026-0076,Finance,Medium (51-500),Data Analytics,6,152.46,2,42,17.27,0,9.9,27.3,True
COMP-2026-0077,Logistics,Medium (51-500),Software Engineering,14,407.04,4,66,20.13,0,4.9,29.3,True
COMP-2026-0078,Technology,Medium (51-500),Legal & Compliance,13,864.61,3,52,60.8,1,7.5,20.5,True
COMP-2026-0079,Manufacturing,Large (501-5000),Customer Support,64,277.33,5,351,27.29,0,5.1,7.1,True
COMP-2026-0080,Healthcare,Medium (51-500),HR & Recruitment,17,269.45,3,31,6.73,0,5.6,28.8,True
COMP-2026-0081,Manufacturing,Medium (51-500),Data Analytics,13,581.51,3,62,25.07,0,3.1,12.5,True
COMP-2026-0082,Healthcare,Small (1-50),Sales & Marketing,0,830.23,0,0,9.85,1,10.0,9.6,True
COMP-2026-0083,Logistics,Medium (51-500),Sales & Marketing,12,897.68,2,34,43.87,0,8.8,18.0,True
COMP-2026-0084,Logistics,Medium (51-500),Software Engineering,29,337.37,7,123,8.26,0,5.5,33.4,True
COMP-2026-0085,Logistics,Medium (51-500),HR & Recruitment,15,233.57,2,114,15.11,0,7.3,12.1,False
COMP-2026-0086,Healthcare,Medium (51-500),HR & Recruitment,16,1137.42,5,68,32.55,1,6.1,32.8,True
COMP-2026-0087,Manufacturing,Medium (51-500),Supply Chain Optimization,19,423.7,6,72,46.26,1,8.4,3.8,True
COMP-2026-0088,Logistics,Medium (51-500),HR & Recruitment,29,1046.01,4,126,31.64,0,6.2,4.8,False
COMP-2026-0089,Retail,Large (501-5000),Sales & Marketing,55,1056.67,18,268,16.91,0,6.2,25.8,False
COMP-2026-0090,Education,Large (501-5000),Legal & Compliance,110,961.15,9,616,34.76,0,5.5,8.5,True
COMP-2026-0091,Healthcare,Large (501-5000),Software Engineering,114,327.28,39,764,26.7,0,7.5,12.8,True
COMP-2026-0092,Healthcare,Enterprise (5000+),Software Engineering,403,1012.89,41,1788,46.55,0,9.6,6.6,True
COMP-2026-0093,Manufacturing,Small (1-50),Data Analytics,0,957.71,0,0,43.1,0,6.3,13.3,True
COMP-2026-0094,Healthcare,Small (1-50),Data Analytics,2,776.56,0,9,25.84,0,6.3,11.5,False
COMP-2026-0095,Healthcare,Small (1-50),Data Analytics,0,504.06,0,0,42.17,0,6.8,27.0,False
COMP-2026-0096,Logistics,Medium (51-500),Sales & Marketing,19,425.63,6,109,35.86,0,7.2,25.9,False
COMP-2026-0097,Manufacturing,Large (501-5000),Sales & Marketing,117,277.98,20,721,49.45,1,6.1,34.5,False
COMP-2026-0098,Logistics,Small (1-50),Sales & Marketing,1,685.24,0,5,41.64,1,6.1,26.6,True
COMP-2026-0099,Education,Enterprise (5000+),Sales & Marketing,520,764.52,117,971,39.28,2,5.8,25.6,False
COMP-2026-0100,Education,Small (1-50),Sales & Marketing,0,527.31,0,0,48.97,0,3.6,25.6,True
COMP-2026-0101,Logistics,Enterprise (5000+),Sales & Marketing,521,649.13,88,1747,32.69,2,5.0,32.0,True
COMP-2026-0102,Education,Medium (51-500),Legal & Compliance,16,531.69,4,53,22.91,1,3.2,12.1,False
COMP-2026-0103,Manufacturing,Small (1-50),Sales & Marketing,1,823.06,0,5,34.99,0,5.9,12.2,True
COMP-2026-0104,Technology,Medium (51-500),HR & Recruitment,8,1096.32,2,12,28.09,1,5.1,27.2,True
COMP-2026-0105,Logistics,Medium (51-500),HR & Recruitment,28,322.12,10,179,39.99,0,7.8,9.8,False
COMP-2026-0106,Retail,Medium (51-500),Supply Chain Optimization,6,550.48,0,19,33.27,0,5.5,33.0,True
COMP-2026-0107,Retail,Medium (51-500),Legal & Compliance,9,297.91,2,31,37.5,0,6.1,20.2,True
COMP-2026-0108,Healthcare,Large (501-5000),Data Analytics,68,806.19,12,335,17.57,0,2.8,12.2,True
COMP-2026-0109,Education,Medium (51-500),Customer Support,20,915.31,5,58,38.8,0,8.6,28.4,False
COMP-2026-0110,Retail,Medium (51-500),Sales & Marketing,18,1128.51,3,130,16.56,1,4.8,12.6,True
COMP-2026-0111,Healthcare,Medium (51-500),Supply Chain Optimization,8,442.82,3,16,44.43,0,5.9,34.8,True
COMP-2026-0112,Technology,Large (501-5000),Customer Support,61,1147.72,18,267,44.44,0,8.0,35.4,True
COMP-2026-0113,Manufacturing,Medium (51-500),HR & Recruitment,10,216.43,3,70,36.81,1,8.2,24.7,False
COMP-2026-0114,Manufacturing,Medium (51-500),Supply Chain Optimization,10,783.16,3,55,36.35,1,4.8,5.9,False
COMP-2026-0115,Manufacturing,Small (1-50),Supply Chain Optimization,1,209.99,0,3,29.73,1,7.7,10.9,True
COMP-2026-0116,Retail,Small (1-50),Software Engineering,2,1088.46,0,8,25.02,0,4.7,19.5,True
COMP-2026-0117,Technology,Large (501-5000),HR & Recruitment,52,706.3,10,316,32.31,0,7.1,30.9,True
COMP-2026-0118,Retail,Small (1-50),HR & Recruitment,1,852.82,0,7,57.09,0,5.4,8.3,True
COMP-2026-0119,Education,Medium (51-500),Legal & Compliance,14,1023.15,2,102,35.34,0,5.0,5.5,True
COMP-2026-0120,Retail,Large (501-5000),Supply Chain Optimization,147,307.83,8,547,15.81,1,6.8,4.5,True
COMP-2026-0121,Technology,Small (1-50),Sales & Marketing,2,190.52,0,15,11.32,1,5.5,19.2,False
COMP-2026-0122,Technology,Medium (51-500),HR & Recruitment,25,1072.83,5,38,14.67,0,10.0,32.1,False
COMP-2026-0123,Education,Medium (51-500),Supply Chain Optimization,11,480.68,2,18,27.82,0,5.7,3.4,True
COMP-2026-0124,Technology,Enterprise (5000+),Legal & Compliance,134,285.43,52,918,48.2,4,4.2,9.2,True
COMP-2026-0125,Technology,Medium (51-500),Sales & Marketing,12,641.88,4,33,19.81,0,5.2,25.6,True
COMP-2026-0126,Manufacturing,Large (501-5000),Legal & Compliance,58,778.22,6,109,50.13,0,6.7,30.1,True
COMP-2026-0127,Education,Medium (51-500),Software Engineering,17,182.52,3,51,34.73,0,7.0,29.5,True
COMP-2026-0128,Finance,Small (1-50),Sales & Marketing,2,438.64,0,8,38.49,0,7.4,28.7,True
COMP-2026-0129,Finance,Medium (51-500),Supply Chain Optimization,26,184.44,4,162,38.15,0,8.4,6.4,True
COMP-2026-0130,Technology,Enterprise (5000+),HR & Recruitment,522,591.35,171,2901,39.82,0,2.3,15.5,True
COMP-2026-0131,Finance,Medium (51-500),HR & Recruitment,13,1089.86,3,39,27.4,2,8.5,35.5,False
COMP-2026-0132,Finance,Large (501-5000),Supply Chain Optimization,110,1181.79,27,524,3.55,0,5.0,35.6,True
COMP-2026-0133,Technology,Large (501-5000),Supply Chain Optimization,64,818.9,22,481,25.2,1,7.3,22.5,True
COMP-2026-0134,Finance,Small (1-50),Supply Chain Optimization,0,319.72,0,0,21.49,0,9.9,26.1,True
COMP-2026-0135,Retail,Small (1-50),Data Analytics,2,1101.14,0,7,36.35,1,5.4,34.3,False
COMP-2026-0136,Healthcare,Medium (51-500),Sales & Marketing,5,692.06,1,39,35.22,1,5.3,17.3,True
COMP-2026-0137,Education,Medium (51-500),HR & Recruitment,15,311.44,3,91,29.12,0,5.0,6.7,True
COMP-2026-0138,Healthcare,Large (501-5000),Sales & Marketing,66,1117.81,10,125,54.27,0,6.1,24.7,False
COMP-2026-0139,Technology,Enterprise (5000+),Legal & Compliance,446,945.34,30,770,24.55,2,8.8,34.6,False
COMP-2026-0140,Manufacturing,Medium (51-500),HR & Recruitment,24,918.29,5,62,4.9,0,4.8,25.7,False
COMP-2026-0141,Education,Small (1-50),Data Analytics,1,894.64,0,6,33.98,3,5.9,29.3,True
COMP-2026-0142,Technology,Large (501-5000),Supply Chain Optimization,126,360.36,17,339,47.25,1,8.4,16.4,False
COMP-2026-0143,Manufacturing,Medium (51-500),Software Engineering,12,371.56,3,57,36.06,1,7.9,5.3,False
COMP-2026-0144,Healthcare,Large (501-5000),Supply Chain Optimization,80,872.71,25,168,28.08,0,5.7,7.7,False
COMP-2026-0145,Technology,Medium (51-500),Supply Chain Optimization,23,380.71,3,172,35.48,2,6.4,35.4,True
COMP-2026-0146,Education,Large (501-5000),Data Analytics,111,610.61,7,414,55.3,1,8.3,18.8,True
COMP-2026-0147,Education,Small (1-50),Sales & Marketing,2,971.1,0,14,21.65,0,9.6,2.4,False
COMP-2026-0148,Logistics,Medium (51-500),HR & Recruitment,10,973.15,0,76,32.88,0,9.9,34.5,False
COMP-2026-0149,Retail,Medium (51-500),Supply Chain Optimization,21,625.92,7,32,40.81,0,9.2,18.9,False
COMP-2026-0150,Finance,Medium (51-500),HR & Recruitment,20,981.8,5,90,35.65,0,5.6,30.4,False
COMP-2026-0151,Manufacturing,Small (1-50),Customer Support,2,1030.55,0,3,29.43,0,10.0,20.6,True
COMP-2026-0152,Logistics,Large (501-5000),Legal & Compliance,44,837.51,5,325,27.21,0,5.5,5.5,True
COMP-2026-0153,Finance,Large (501-5000),Sales & Marketing,118,389.85,6,574,28.96,0,3.7,22.9,False
COMP-2026-0154,Finance,Small (1-50),HR & Recruitment,1,437.71,0,1,39.1,0,7.0,35.9,False
COMP-2026-0155,Technology,Small (1-50),Software Engineering,1,480.58,0,2,38.37,0,9.5,3.2,False
COMP-2026-0156,Finance,Small (1-50),Legal & Compliance,1,272.64,0,3,58.47,0,8.0,30.6,False
COMP-2026-0157,Retail,Medium (51-500),Software Engineering,13,436.82,1,98,13.44,0,6.7,10.0,True
COMP-2026-0158,Education,Medium (51-500),Supply Chain Optimization,19,370.0,4,114,54.3,0,7.3,15.4,True
COMP-2026-0159,Logistics,Medium (51-500),Legal & Compliance,27,628.1,6,192,29.96,0,7.7,14.7,False
COMP-2026-0160,Finance,Small (1-50),HR & Recruitment,1,1103.86,0,3,31.38,0,7.1,32.6,True
COMP-2026-0161,Technology,Medium (51-500),Legal & Compliance,20,259.7,1,35,43.15,0,6.3,19.2,False
COMP-2026-0162,Retail,Medium (51-500),Supply Chain Optimization,17,906.28,1,133,43.07,1,5.5,17.2,False
COMP-2026-0163,Healthcare,Medium (51-500),Data Analytics,6,871.65,0,9,46.84,0,7.0,29.8,True
COMP-2026-0164,Education,Enterprise (5000+),Sales & Marketing,216,250.54,66,1654,49.55,4,6.0,3.7,False
COMP-2026-0165,Education,Small (1-50),Software Engineering,1,1118.7,0,3,32.01,1,6.8,4.9,True
COMP-2026-0166,Logistics,Large (501-5000),Supply Chain Optimization,63,746.9,20,98,49.71,0,8.5,2.7,False
COMP-2026-0167,Education,Medium (51-500),Data Analytics,9,531.91,1,53,24.7,0,6.4,25.4,True
COMP-2026-0168,Finance,Medium (51-500),Legal & Compliance,17,944.37,3,133,28.71,0,6.4,19.9,False
COMP-2026-0169,Technology,Large (501-5000),Legal & Compliance,65,420.23,14,505,30.24,0,7.0,31.8,False
COMP-2026-0170,Education,Large (501-5000),Supply Chain Optimization,57,878.19,17,145,25.97,2,9.8,19.0,True
COMP-2026-0171,Education,Enterprise (5000+),HR & Recruitment,331,191.7,48,886,33.24,2,4.4,9.5,False
COMP-2026-0172,Healthcare,Small (1-50),Legal & Compliance,0,1031.38,0,0,43.62,2,8.8,29.4,False
COMP-2026-0173,Healthcare,Small (1-50),HR & Recruitment,2,620.58,0,11,40.58,0,6.3,12.0,False
COMP-2026-0174,Manufacturing,Large (501-5000),HR & Recruitment,133,818.53,21,838,24.9,0,6.5,33.8,False
COMP-2026-0175,Retail,Medium (51-500),Sales & Marketing,22,382.3,4,58,23.88,0,4.4,10.5,True
COMP-2026-0176,Finance,Medium (51-500),HR & Recruitment,7,860.93,1,54,21.89,0,10.0,7.7,True
COMP-2026-0177,Education,Small (1-50),Customer Support,2,960.85,0,11,33.6,2,7.2,18.8,True
COMP-2026-0178,Education,Small (1-50),Sales & Marketing,2,646.87,0,14,12.9,2,8.0,3.7,False
COMP-2026-0179,Technology,Large (501-5000),Data Analytics,120,798.61,28,601,21.46,0,3.8,3.2,True
COMP-2026-0180,Manufacturing,Small (1-50),Data Analytics,0,629.14,0,0,26.81,0,5.6,18.9,True
COMP-2026-0181,Retail,Medium (51-500),Legal & Compliance,21,1088.8,6,164,45.59,0,7.4,9.3,True
COMP-2026-0182,Manufacturing,Small (1-50),Legal & Compliance,2,672.76,0,10,30.86,0,6.5,2.3,True
COMP-2026-0183,Logistics,Medium (51-500),HR & Recruitment,19,1033.9,5,135,44.97,0,7.6,12.1,False
COMP-2026-0184,Retail,Small (1-50),Sales & Marketing,2,991.42,0,15,34.83,1,10.0,18.2,True
COMP-2026-0185,Education,Medium (51-500),Sales & Marketing,16,581.03,3,94,26.62,0,7.7,15.4,False
COMP-2026-0186,Education,Small (1-50),Customer Support,1,391.59,0,5,27.13,1,6.0,6.6,True
COMP-2026-0187,Retail,Large (501-5000),HR & Recruitment,29,576.39,9,44,18.04,1,5.5,21.7,False
COMP-2026-0188,Education,Small (1-50),Customer Support,2,1017.53,0,3,62.3,0,5.4,26.2,True
COMP-2026-0189,Finance,Medium (51-500),HR & Recruitment,7,389.01,0,19,46.27,1,6.0,25.0,True
COMP-2026-0190,Retail,Large (501-5000),Software Engineering,79,700.66,28,214,39.99,0,5.8,15.4,True
COMP-2026-0191,Manufacturing,Large (501-5000),Software Engineering,61,996.4,3,192,16.34,0,7.0,6.7,True
COMP-2026-0192,Retail,Medium (51-500),Supply Chain Optimization,18,521.15,5,62,26.9,0,7.8,19.0,True
COMP-2026-0193,Education,Medium (51-500),HR & Recruitment,8,824.32,2,30,20.41,1,7.6,32.3,True
COMP-2026-0194,Finance,Medium (51-500),Sales & Marketing,22,407.91,8,93,34.08,1,6.9,17.9,True
COMP-2026-0195,Finance,Large (501-5000),Legal & Compliance,124,264.74,8,265,21.0,0,7.1,8.7,True
COMP-2026-0196,Logistics,Enterprise (5000+),Data Analytics,181,984.1,46,321,24.19,3,9.6,5.2,False
COMP-2026-0197,Manufacturing,Large (501-5000),Supply Chain Optimization,38,253.92,7,223,21.33,1,5.4,34.1,True
COMP-2026-0198,Healthcare,Medium (51-500),Legal & Compliance,8,434.95,1,39,29.53,0,6.7,27.3,False
COMP-2026-0199,Healthcare,Large (501-5000),Software Engineering,134,1047.86,10,587,33.39,0,3.5,12.6,False
COMP-2026-0200,Retail,Medium (51-500),HR & Recruitment,18,513.79,4,101,29.86,0,6.1,12.0,True
COMP-2026-0201,Logistics,Small (1-50),Supply Chain Optimization,1,1171.7,0,6,51.51,1,5.2,32.4,True
COMP-2026-0202,Technology,Medium (51-500),HR & Recruitment,7,1178.72,0,29,42.56,0,5.5,8.0,True
COMP-2026-0203,Retail,Enterprise (5000+),Software Engineering,424,431.69,112,2402,22.79,2,3.7,20.2,True
COMP-2026-0204,Logistics,Small (1-50),Supply Chain Optimization,2,193.03,0,15,36.54,0,4.4,26.3,False
COMP-2026-0205,Manufacturing,Large (501-5000),Software Engineering,128,890.32,40,890,23.81,0,6.6,15.5,True
COMP-2026-0206,Manufacturing,Small (1-50),Customer Support,2,623.54,0,8,27.6,0,8.1,3.4,True
COMP-2026-0207,Manufacturing,Medium (51-500),Software Engineering,6,255.79,1,34,38.44,0,5.4,9.7,True
COMP-2026-0208,Manufacturing,Small (1-50),Sales & Marketing,0,892.9,0,0,40.75,0,3.2,32.7,False
COMP-2026-0209,Manufacturing,Medium (51-500),Sales & Marketing,6,182.73,2,30,25.22,0,7.0,19.8,False
COMP-2026-0210,Logistics,Large (501-5000),HR & Recruitment,57,1063.71,8,449,18.8,1,7.5,29.7,False
COMP-2026-0211,Logistics,Medium (51-500),Data Analytics,8,295.59,0,38,33.59,0,8.0,20.9,False
COMP-2026-0212,Finance,Large (501-5000),Software Engineering,57,283.68,11,429,37.89,0,4.9,34.1,True
COMP-2026-0213,Healthcare,Large (501-5000),Legal & Compliance,73,334.46,13,302,24.59,0,5.6,32.9,True
COMP-2026-0214,Education,Enterprise (5000+),Sales & Marketing,571,1158.28,143,4563,42.63,3,3.5,18.4,True
COMP-2026-0215,Manufacturing,Small (1-50),Data Analytics,2,877.83,0,10,40.43,1,5.5,12.8,True
COMP-2026-0216,Technology,Medium (51-500),Customer Support,25,991.44,7,44,24.4,0,5.3,22.5,True
COMP-2026-0217,Education,Small (1-50),Supply Chain Optimization,2,567.52,0,10,46.51,0,5.9,24.9,True
COMP-2026-0218,Logistics,Enterprise (5000+),Supply Chain Optimization,156,503.13,13,512,46.89,6,6.2,18.9,True
COMP-2026-0219,Technology,Enterprise (5000+),Sales & Marketing,467,396.21,163,799,58.14,2,5.5,30.0,True
COMP-2026-0220,Technology,Medium (51-500),Data Analytics,11,654.68,1,75,53.73,1,5.3,8.2,False
COMP-2026-0221,Technology,Large (501-5000),Sales & Marketing,104,729.42,40,342,21.31,0,6.1,13.4,False
COMP-2026-0222,Finance,Medium (51-500),Supply Chain Optimization,13,813.36,1,86,43.97,0,5.2,25.3,True
COMP-2026-0223,Logistics,Medium (51-500),Software Engineering,29,419.97,11,97,43.41,1,3.5,10.4,True
COMP-2026-0224,Technology,Small (1-50),Data Analytics,1,1146.09,0,2,28.18,0,7.8,17.0,True
COMP-2026-0225,Manufacturing,Large (501-5000),HR & Recruitment,59,328.25,7,462,38.14,0,5.5,34.8,False
COMP-2026-0226,Retail,Small (1-50),Software Engineering,2,1163.94,0,7,9.22,2,3.7,23.3,False
COMP-2026-0227,Technology,Large (501-5000),Software Engineering,28,165.6,8,151,8.87,0,7.7,34.3,True
COMP-2026-0228,Finance,Large (501-5000),Software Engineering,112,655.18,38,612,11.24,1,6.0,26.6,True
COMP-2026-0229,Education,Large (501-5000),HR & Recruitment,115,500.04,23,591,37.33,1,7.4,26.6,True
COMP-2026-0230,Logistics,Small (1-50),Customer Support,2,621.58,0,14,37.91,0,7.6,22.1,True
COMP-2026-0231,Finance,Medium (51-500),Legal & Compliance,29,749.2,7,170,29.1,0,4.7,6.8,False
COMP-2026-0232,Technology,Medium (51-500),Sales & Marketing,29,607.37,7,119,53.84,3,8.4,19.7,True
COMP-2026-0233,Logistics,Medium (51-500),Supply Chain Optimization,6,585.59,2,42,44.74,1,3.5,10.6,False
COMP-2026-0234,Retail,Small (1-50),Sales & Marketing,2,919.36,0,5,12.68,0,6.1,36.0,True
COMP-2026-0235,Technology,Enterprise (5000+),Data Analytics,423,870.17,73,2130,30.37,2,5.3,11.1,False
COMP-2026-0236,Finance,Medium (51-500),Customer Support,21,1024.93,7,161,20.85,2,5.3,9.8,True
COMP-2026-0237,Healthcare,Medium (51-500),Data Analytics,8,412.46,2,44,37.63,0,9.0,23.2,True
COMP-2026-0238,Manufacturing,Medium (51-500),Sales & Marketing,21,790.0,8,143,32.12,1,7.2,19.4,False
