user_id,session_id,customer_tier,account_age_days,past_purchases_count,total_lifetime_value,average_order_value,days_since_last_purchase,days_since_last_discount,device_type,browser,traffic_source,user_location_region,day_of_week,hour_of_day,is_weekend,is_holiday,session_duration_seconds,pages_viewed,distinct_categories_viewed,pdp_views_count,images_viewed_count,reviews_read_count,scroll_depth_average_pct,add_to_cart_count,remove_from_cart_count,wishlist_add_count,cart_value_abandoned,shipping_cost_displayed,exit_intent_triggered,did_convert_organically,should_receive_discount
CUST_00046,SESS_000046,Standard,414,2,95.69,47.84,203,19,Tablet,App,Social,North America,0,20,0,0,729,15,3,6,14,0,0.65,0,0,0,0.0,0.0,0,0,0
CUST_00047,SESS_000047,Standard,991,3,220.59,73.53,240,36,Desktop,App,Paid Ad,Europe,1,12,0,0,451,14,3,8,12,1,0.44,3,0,0,135.86,9.99,0,0,0
CUST_00048,SESS_000048,Standard,189,27,1144.41,42.39,163,77,Mobile,Chrome,Direct,North America,0,8,0,0,511,18,1,8,9,4,0.21,2,2,0,0.0,0.0,0,1,0
CUST_00049,SESS_000049,Standard,1256,3,336.79,112.26,49,20,Desktop,Chrome,Direct,Europe,1,23,0,0,659,7,1,4,18,2,0.27,4,0,0,56.27,4.99,0,0,0
CUST_00050,SESS_000050,Guest,391,10,1062.91,106.29,342,47,Mobile,App,Organic Search,North America,2,6,0,0,3198,27,2,16,18,11,0.59,0,0,0,0.0,0.0,0,0,0
CUST_00051,SESS_000051,Prime Student,1192,12,273.21,22.77,362,-1,Mobile,Edge,Organic Search,North America,5,18,1,0,1189,24,2,12,20,15,0.2,0,0,0,0.0,0.0,0,0,0
CUST_00052,SESS_000052,Prime,1466,11,665.45,60.5,200,55,Desktop,Safari,Direct,North America,5,13,1,0,108,1,1,1,3,1,0.57,1,1,0,0.0,0.0,1,1,0
CUST_00053,SESS_000053,Prime,1786,14,869.91,62.14,7,40,Desktop,Chrome,Email,North America,3,22,0,0,1560,27,1,10,22,9,0.58,0,0,0,0.0,0.0,0,0,0
CUST_00054,SESS_000054,Prime,167,7,792.07,113.15,222,4,Mobile,App,Direct,Europe,0,10,0,0,1785,16,1,7,33,1,0.41,1,0,0,295.52,4.99,0,1,1
CUST_00055,SESS_000055,Standard,1254,28,1198.42,42.8,60,74,Mobile,App,Social,North America,0,21,0,0,331,20,2,11,11,6,0.5,3,0,0,139.31,0.0,0,0,0
CUST_00056,SESS_000056,Prime,1173,4,558.9,139.72,239,82,Mobile,Chrome,Organic Search,Asia,2,7,0,0,1929,24,2,9,43,15,0.96,0,0,0,0.0,0.0,0,1,0
CUST_00057,SESS_000057,Guest,663,0,0.0,0.0,-1,-1,Mobile,Safari,Paid Ad,Asia,4,1,0,0,528,7,2,5,6,7,0.2,1,0,0,130.41,4.99,1,0,1
CUST_00058,SESS_000058,Guest,1573,2,95.69,47.84,287,53,Mobile,Safari,Organic Search,Asia,1,15,0,0,454,5,3,2,3,0,0.65,1,1,0,0.0,0.0,0,1,0
CUST_00059,SESS_000059,Guest,1409,10,232.71,23.27,46,3,Tablet,Chrome,Paid Ad,North America,6,16,1,1,89,4,1,2,5,3,0.75,1,0,0,134.98,0.0,0,0,0
CUST_00060,SESS_000060,Standard,380,0,0.0,0.0,-1,-1,Mobile,App,Direct,North America,3,10,0,0,141,4,1,2,8,2,0.65,0,0,0,0.0,0.0,0,0,0
CUST_00061,SESS_000061,Standard,1298,2,255.73,127.86,278,19,Mobile,Edge,Direct,Asia,5,12,1,0,401,5,2,3,10,3,0.76,1,1,0,0.0,0.0,0,0,1
CUST_00062,SESS_000062,Guest,1640,9,973.8,108.2,318,7,Mobile,Safari,Paid Ad,North America,4,15,0,0,246,6,1,4,9,7,0.16,2,0,2,65.33,4.99,0,0,1
CUST_00063,SESS_000063,Prime,897,0,0.0,0.0,-1,-1,Desktop,App,Direct,Europe,2,8,0,0,191,2,4,1,4,1,0.82,1,1,0,0.0,0.0,0,0,0
CUST_00064,SESS_000064,Standard,863,5,110.43,22.09,298,38,Desktop,Chrome,Direct,South America,3,16,0,0,760,7,1,3,7,5,0.6,4,0,0,149.62,0.0,0,0,0
CUST_00065,SESS_000065,Guest,61,7,902.45,128.92,114,9,Desktop,Safari,Paid Ad,Europe,3,21,0,0,606,6,1,2,9,1,0.73,1,0,0,222.47,4.99,0,0,0
CUST_00066,SESS_000066,Standard,1490,21,2289.08,109.0,142,59,Desktop,Chrome,Organic Search,Europe,3,0,0,0,1128,13,1,10,38,15,0.43,1,0,0,216.11,4.99,0,0,0
CUST_00067,SESS_000067,Guest,527,8,325.61,40.7,195,34,Mobile,Chrome,Paid Ad,North America,0,3,0,0,636,10,1,7,29,2,0.1,0,0,0,0.0,0.0,0,1,0
CUST_00068,SESS_000068,Prime,861,12,1482.87,123.57,28,29,Mobile,Chrome,Organic Search,North America,0,21,0,0,904,9,2,3,7,4,0.44,0,0,0,0.0,0.0,0,0,0
CUST_00069,SESS_000069,Guest,149,12,1452.84,121.07,151,39,Mobile,Safari,Email,North America,2,20,0,0,109,1,3,1,1,0,0.78,0,0,0,0.0,0.0,0,1,0
CUST_00070,SESS_000070,Prime Student,1165,24,1409.64,58.74,231,78,Mobile,Chrome,Paid Ad,Europe,3,20,0,0,917,8,2,6,9,4,0.11,1,1,0,0.0,0.0,1,0,0
CUST_00071,SESS_000071,Prime,115,15,1227.44,81.83,163,14,Mobile,Safari,Direct,Asia,5,7,1,0,539,5,2,1,1,0,0.96,0,0,0,0.0,0.0,0,0,0
CUST_00072,SESS_000072,Guest,823,1,24.46,24.46,127,18,Mobile,Chrome,Organic Search,Europe,0,22,0,0,21,1,1,1,3,1,0.48,0,0,0,0.0,0.0,0,0,0
CUST_00073,SESS_000073,Guest,64,9,187.07,20.79,224,72,Tablet,Chrome,Paid Ad,North America,6,15,1,1,880,28,3,16,50,14,0.73,0,0,0,0.0,0.0,0,0,1
CUST_00074,SESS_000074,Prime,1452,0,0.0,0.0,-1,-1,Mobile,Edge,Direct,Europe,0,20,0,0,680,7,2,2,5,3,0.23,1,0,0,230.8,9.99,0,1,0
CUST_00075,SESS_000075,Prime,309,4,238.81,59.7,273,60,Mobile,Edge,Paid Ad,Europe,0,0,0,0,493,9,2,6,28,9,0.15,3,0,0,291.94,4.99,0,1,0
CUST_00076,SESS_000076,Prime,705,7,918.26,131.18,28,33,Tablet,App,Paid Ad,North America,3,2,0,0,393,9,2,6,16,8,0.36,2,0,1,71.67,4.99,0,0,0
CUST_00077,SESS_000077,Prime,853,4,320.01,80.0,269,69,Desktop,Safari,Social,Europe,5,6,1,0,1104,24,2,15,25,15,0.52,1,0,1,188.82,9.99,0,0,0
CUST_00078,SESS_000078,Guest,1453,5,711.94,142.39,280,89,Mobile,App,Email,North America,6,3,1,0,390,25,1,12,30,15,0.92,1,1,0,0.0,0.0,1,1,0
CUST_00079,SESS_000079,Standard,1023,41,4324.59,105.48,335,79,Mobile,App,Direct,Asia,2,20,0,0,284,3,1,2,4,2,0.79,0,0,0,0.0,0.0,1,0,0
CUST_00080,SESS_000080,Guest,1184,0,0.0,0.0,-1,-1,Mobile,Safari,Organic Search,Europe,2,7,0,0,636,16,1,12,13,15,0.88,0,0,0,0.0,0.0,1,0,0
CUST_00081,SESS_000081,Prime,305,0,0.0,0.0,-1,-1,Desktop,App,Organic Search,South America,5,8,1,0,913,18,1,9,40,14,0.67,4,0,0,20.43,0.0,0,1,0
CUST_00082,SESS_000082,Standard,1384,13,651.67,50.13,48,71,Desktop,Edge,Direct,Asia,6,22,1,0,698,21,3,9,10,13,0.93,0,0,0,0.0,0.0,0,0,0
CUST_00083,SESS_000083,Standard,1301,7,560.87,80.12,321,13,Desktop,Chrome,Organic Search,Europe,4,10,0,0,321,12,1,8,33,10,0.28,0,0,0,0.0,0.0,1,0,0
CUST_00084,SESS_000084,Guest,1319,3,351.87,117.29,355,63,Mobile,Safari,Email,North America,1,15,0,0,1147,10,1,3,5,3,0.53,0,0,1,0.0,0.0,0,1,0
CUST_00085,SESS_000085,Standard,1574,0,0.0,0.0,-1,-1,Desktop,Safari,Email,Europe,1,3,0,1,1531,13,1,9,38,6,0.51,0,0,0,0.0,0.0,1,0,0
CUST_00086,SESS_000086,Standard,872,24,3093.09,128.88,350,80,Desktop,Chrome,Organic Search,North America,1,9,0,0,936,14,3,10,13,13,0.48,1,0,1,176.89,0.0,0,0,0
CUST_00087,SESS_000087,Prime,168,6,667.05,111.18,124,58,Desktop,Safari,Email,North America,0,6,0,0,91,5,2,2,9,1,0.11,1,1,0,0.0,0.0,0,1,0
CUST_00088,SESS_000088,Standard,1482,23,929.64,40.42,20,28,Mobile,Safari,Organic Search,North America,6,4,1,0,561,28,1,12,50,7,0.36,0,0,0,0.0,0.0,0,0,0
CUST_00089,SESS_000089,Prime,1603,2,128.81,64.4,208,87,Mobile,App,Paid Ad,Europe,6,0,1,0,1810,17,1,9,28,15,0.31,2,0,0,196.49,0.0,0,1,0
CUST_00090,SESS_000090,Standard,1030,12,313.29,26.11,48,6,Mobile,App,Email,Oceania,2,23,0,0,714,10,1,3,6,2,0.7,0,0,0,0.0,0.0,1,0,0
CUST_00091,SESS_000091,Guest,1620,35,2467.25,70.49,78,10,Desktop,Safari,Direct,North America,5,3,1,0,562,5,1,2,8,1,0.68,1,0,0,292.04,0.0,0,1,1
CUST_00092,SESS_000092,Prime,1734,5,414.04,82.81,133,74,Mobile,Chrome,Social,Asia,3,18,0,0,839,10,2,5,12,8,0.64,0,0,0,0.0,0.0,0,0,0
CUST_00093,SESS_000093,Prime,1155,6,768.14,128.02,244,20,Mobile,Safari,Social,North America,4,23,0,0,547,5,3,2,3,3,0.16,1,2,0,0.0,0.0,0,0,0
CUST_00094,SESS_000094,Standard,587,2,146.56,73.28,240,74,Mobile,Chrome,Organic Search,North America,0,13,0,0,1158,21,1,12,50,8,0.28,0,0,0,0.0,0.0,0,0,0
CUST_00095,SESS_000095,Prime,761,1,100.55,100.55,11,12,Desktop,Edge,Social,Europe,0,8,0,0,303,12,1,7,10,11,0.87,0,0,0,0.0,0.0,1,0,0
CUST_00096,SESS_000096,Standard,346,0,0.0,0.0,-1,-1,Mobile,App,Paid Ad,North America,3,19,0,0,830,21,2,13,24,15,0.14,3,0,0,233.13,4.99,0,1,0
CUST_00097,SESS_000097,Standard,954,1,109.27,109.27,278,68,Desktop,Chrome,Organic Search,Europe,4,17,0,0,734,12,1,7,23,8,0.72,1,1,0,0.0,0.0,0,0,0
CUST_00098,SESS_000098,Standard,1744,1,42.52,42.52,13,69,Tablet,Safari,Paid Ad,North America,2,23,0,0,732,19,2,9,43,3,0.48,1,0,0,62.37,0.0,0,0,0
CUST_00099,SESS_000099,Guest,1619,19,919.18,48.38,166,77,Mobile,Chrome,Paid Ad,North America,2,22,0,0,100,1,2,1,3,1,0.92,2,0,0,89.43,0.0,0,0,0
CUST_00100,SESS_000100,Guest,734,0,0.0,0.0,-1,-1,Mobile,Chrome,Email,North America,5,15,1,0,1096,13,2,5,21,3,0.58,1,0,0,27.07,9.99,0,0,0
CUST_00101,SESS_000101,Guest,1276,0,0.0,0.0,-1,-1,Mobile,App,Email,North America,3,6,0,0,1433,14,2,9,29,5,0.11,3,0,0,74.89,4.99,0,0,0
CUST_00102,SESS_000102,Standard,409,7,367.59,52.51,251,29,Desktop,Safari,Organic Search,North America,6,6,1,0,301,3,2,1,2,0,0.4,0,0,0,0.0,0.0,0,0,1
CUST_00103,SESS_000103,Standard,542,0,0.0,0.0,-1,-1,Mobile,Edge,Organic Search,North America,6,15,1,0,1885,19,1,10,11,15,0.21,4,0,0,146.86,0.0,1,0,1
CUST_00104,SESS_000104,Standard,354,1,113.26,113.26,28,45,Desktop,App,Paid Ad,North America,3,14,0,0,315,4,3,1,4,1,0.68,1,0,3,70.9,4.99,0,1,0
CUST_00105,SESS_000105,Prime,712,6,485.04,80.84,341,75,Desktop,Chrome,Email,South America,2,20,0,0,597,9,3,5,15,1,0.28,0,0,1,0.0,0.0,0,0,0
CUST_00106,SESS_000106,Guest,1587,0,0.0,0.0,-1,-1,Mobile,Chrome,Organic Search,South America,1,1,0,0,1882,16,2,6,8,7,0.33,1,0,0,292.86,4.99,0,0,0
CUST_00107,SESS_000107,Standard,1391,3,401.24,133.75,70,51,Desktop,Safari,Organic Search,Europe,3,3,0,0,328,18,3,10,44,11,0.24,0,0,0,0.0,0.0,0,0,0
CUST_00108,SESS_000108,Prime,583,0,0.0,0.0,-1,-1,Tablet,Edge,Direct,Europe,3,1,0,0,1220,28,1,17,50,15,0.99,1,2,1,0.0,0.0,0,1,1
CUST_00109,SESS_000109,Guest,510,5,280.05,56.01,154,52,Mobile,Chrome,Organic Search,Asia,6,4,1,0,387,4,2,2,8,3,0.52,0,0,0,0.0,0.0,0,0,0
CUST_00110,SESS_000110,Guest,532,3,146.79,48.93,239,65,Mobile,Safari,Paid Ad,Asia,1,12,0,0,2929,29,1,17,50,3,0.76,0,0,0,0.0,0.0,0,1,0
CUST_00111,SESS_000111,Guest,527,10,741.94,74.19,16,1,Mobile,Chrome,Social,Europe,1,14,0,0,240,6,3,4,14,6,0.44,2,0,0,220.68,4.99,0,0,0
CUST_00112,SESS_000112,Guest,946,7,472.06,67.44,72,80,Mobile,Safari,Email,Asia,5,9,1,0,2481,26,2,14,46,15,0.84,0,0,0,0.0,0.0,1,1,0
CUST_00113,SESS_000113,Prime,1551,12,485.06,40.42,220,49,Mobile,Chrome,Email,Europe,0,23,0,0,2351,26,1,13,24,15,0.88,0,0,0,0.0,0.0,0,0,0
CUST_00114,SESS_000114,Prime,1425,6,885.33,147.56,87,18,Desktop,Chrome,Social,North America,1,17,0,0,2003,20,2,7,16,3,0.93,0,0,0,0.0,0.0,0,0,0
CUST_00115,SESS_000115,Standard,1198,18,1142.48,63.47,363,77,Tablet,Chrome,Paid Ad,South America,4,16,0,0,1863,23,1,13,36,13,0.94,0,0,0,0.0,0.0,1,1,0
CUST_00116,SESS_000116,Prime,823,4,355.69,88.92,304,41,Mobile,Safari,Email,North America,4,21,0,0,1255,12,2,3,4,1,0.22,0,0,0,0.0,0.0,0,0,0
CUST_00117,SESS_000117,Prime,77,11,1282.26,116.57,31,41,Mobile,Chrome,Social,Asia,2,12,0,0,2467,27,1,12,30,8,0.57,0,0,0,0.0,0.0,0,0,0
CUST_00118,SESS_000118,Guest,439,5,703.03,140.61,131,15,Tablet,Chrome,Direct,Europe,0,4,0,0,864,9,1,4,4,2,0.7,2,2,0,0.0,0.0,0,0,0
CUST_00119,SESS_000119,Prime,1775,6,236.3,39.38,272,4,Mobile,App,Organic Search,North America,0,14,0,0,394,16,2,11,41,14,0.7,4,0,0,140.32,4.99,0,0,0
CUST_00120,SESS_000120,Standard,548,9,345.69,38.41,269,56,Tablet,Chrome,Social,Asia,0,13,0,0,851,12,2,7,14,8,0.4,0,0,0,0.0,0.0,0,0,0
CUST_00121,SESS_000121,Prime,1255,65,6424.28,98.84,197,25,Mobile,App,Paid Ad,North America,0,18,0,0,82,1,2,1,3,0,0.66,2,1,3,215.19,0.0,0,1,0
CUST_00122,SESS_000122,Prime,399,0,0.0,0.0,-1,-1,Desktop,App,Organic Search,North America,5,20,1,0,484,10,1,3,7,1,0.72,2,1,0,141.8,9.99,0,0,0
CUST_00123,SESS_000123,Standard,1236,18,1918.02,106.56,117,36,Mobile,App,Direct,Europe,0,12,0,0,82,3,1,2,3,2,0.23,1,0,0,15.58,9.99,1,0,1
CUST_00124,SESS_000124,Guest,1216,7,284.41,40.63,73,32,Mobile,App,Email,Europe,2,17,0,0,409,14,1,6,9,4,0.38,0,0,0,0.0,0.0,0,0,0
CUST_00125,SESS_000125,Guest,1595,3,285.17,95.06,79,45,Mobile,Chrome,Paid Ad,Asia,2,21,0,0,339,14,3,10,32,0,0.35,1,1,0,0.0,0.0,0,0,1
CUST_00126,SESS_000126,Standard,700,4,460.9,115.22,134,37,Mobile,Edge,Social,North America,0,23,0,0,991,14,1,7,26,7,0.9,2,0,0,194.88,4.99,0,0,0
CUST_00127,SESS_000127,Prime,1290,12,1366.41,113.87,344,58,Tablet,App,Social,Asia,3,23,0,0,292,11,1,8,17,7,0.79,1,0,0,73.42,0.0,0,0,0
CUST_00128,SESS_000128,Prime,125,20,2292.21,114.61,364,81,Desktop,Chrome,Organic Search,Asia,5,21,1,1,1381,22,2,9,43,1,0.85,0,0,0,0.0,0.0,0,0,0
CUST_00129,SESS_000129,Guest,1738,13,1356.85,104.37,357,31,Mobile,App,Email,North America,5,5,1,0,2711,24,2,9,42,15,0.93,0,0,0,0.0,0.0,1,0,0
CUST_00130,SESS_000130,Standard,833,9,1341.56,149.06,255,2,Mobile,Chrome,Direct,North America,6,23,1,0,2623,22,2,14,50,14,0.66,0,0,0,0.0,0.0,0,0,0
CUST_00131,SESS_000131,Standard,1405,17,2464.11,144.95,354,79,Desktop,App,Social,North America,1,14,0,0,238,2,1,1,4,0,0.12,0,0,0,0.0,0.0,0,0,0
CUST_00132,SESS_000132,Guest,543,6,194.51,32.42,66,38,Mobile,Chrome,Organic Search,Oceania,4,7,0,1,1571,26,2,16,41,15,0.48,1,0,0,275.62,9.99,0,1,0
CUST_00133,SESS_000133,Guest,501,15,1022.88,68.19,5,24,Desktop,App,Organic Search,North America,2,15,0,0,2380,22,1,7,21,4,0.65,1,0,3,237.32,9.99,0,0,0
CUST_00134,SESS_000134,Standard,1426,0,0.0,0.0,-1,-1,Mobile,App,Paid Ad,North America,4,16,0,0,1131,13,4,4,9,2,0.61,2,0,0,86.81,9.99,0,1,0
CUST_00135,SESS_000135,Prime,823,6,477.29,79.55,105,47,Mobile,Chrome,Organic Search,North America,4,3,0,0,38,1,1,1,1,0,0.73,1,0,0,120.6,4.99,0,0,0
CUST_00136,SESS_000136,Standard,1284,10,585.05,58.5,364,88,Desktop,Safari,Organic Search,North America,6,12,1,0,1193,12,1,4,6,5,0.44,0,0,0,0.0,0.0,0,0,0
CUST_00137,SESS_000137,Standard,386,3,406.51,135.5,146,29,Mobile,App,Paid Ad,North America,1,3,0,0,706,15,3,6,13,6,0.74,1,0,2,186.42,4.99,1,0,1
CUST_00138,SESS_000138,Prime,411,18,1268.05,70.45,43,80,Mobile,Chrome,Organic Search,North America,0,11,0,0,1412,18,3,7,28,12,0.86,0,0,0,0.0,0.0,0,1,0
CUST_00139,SESS_000139,Standard,1369,1,23.45,23.45,193,88,Mobile,App,Social,Europe,5,11,1,0,860,29,1,10,41,15,0.16,0,0,0,0.0,0.0,0,0,0
