AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,year,at_phase,ap_phase,ah_phase,afdp_phase,gtep_phase,in_pocket,target_real,target
5.2513,1012.7,87.374,3.6241,23.796,1084.4,549.93,132.86,11.692,2011,-2.88058,-0.0246111,1.21514,-0.980829,-1.1894,0,0,0
5.2734,1012.5,88.534,3.4224,22.208,1074.9,550.06,125.76,11.451,2011,-2.90099,-0.0444588,1.42148,-1.45251,-1.77139,0,0,0
5.9776,1012.5,90.679,3.5983,23.447,1082.3,550.02,130.63,11.622,2011,-2.77297,-0.0611837,1.80372,-1.01154,-1.46146,0,0,0
6.7676,1012.8,90.879,3.7007,24.205,1086.3,550.04,133.52,11.782,2011,-2.67378,0.0818513,1.84615,-0.760618,-0.854601,0,0,0
7.571,1013,90.3,3.7149,24.198,1085.8,549.87,132.98,11.8,2011,-2.59182,0.215007,1.73564,-0.681132,-0.848655,0,0,0
9.2719,1013.2,91.475,3.8031,24.625,1088.5,549.87,133.67,11.92,2011,-2.22129,0.235844,1.94595,-0.435848,-0.472249,0,0,0
11.351,1013.1,88.317,3.7048,24.376,1086.6,549.85,133.68,11.88,2011,-1.68982,0.186241,1.36047,-0.697816,-0.691981,0,0,0
12.518,1012.6,79.374,3.6771,24.355,1085.9,549.71,133.67,11.897,2011,-1.40573,-0.00095073,-0.142221,-0.839174,-0.701884,0,0,0
13.1,1011.9,74.68,3.7101,24.391,1086.2,549.63,133.67,11.91,2011,-1.24318,-0.353716,-0.788382,-0.715116,-0.662417,0,0,0
13.458,1011.7,72.249,3.7271,24.377,1086.6,549.83,133.64,11.856,2011,-1.14175,-0.437858,-1.11645,-0.669098,-0.70055,0,0,0
13.429,1011.5,71.494,3.3986,22.019,1072.5,550.12,123.68,11.224,2011,-1.15821,-0.480282,-1.2104,-1.46862,-1.83485,0,0,0
12.861,1011.7,76.197,3.4122,22.431,1074.5,549.7,125.72,11.324,2011,-1.30008,-0.461903,-0.590179,-1.44919,-1.75732,0,0,0
12.259,1011.8,79.056,4.6624,32.286,1099.6,531.41,158.68,13.734,2011,-1.44955,-0.348846,-0.200887,2.2544,2.62615,0,0,0
12.275,1011.8,77.068,4.5962,31.548,1099.7,533.5,157.24,13.602,2011,-1.47387,-0.341925,-0.466967,2.1466,2.41529,0,0,0
12.005,1011.7,77.77,4.6351,32.055,1100,531.87,158.75,13.711,2011,-1.49628,-0.391502,-0.377724,2.1988,2.594,0,0,0
11.601,1011.6,80.789,4.6432,32.203,1100.1,530.83,159.5,13.84,2011,-1.64341,-0.447338,0.0675225,2.23839,2.64952,0,0,0
11.782,1011.4,82.954,4.688,32.395,1100.1,530.46,159.5,13.912,2011,-1.54072,-0.599343,0.381365,2.29524,2.65578,0,0,0
12.624,1011.2,80.439,4.1993,28.359,1089.4,538.27,145.54,12.872,2011,-1.3536,-0.640893,-0.0385206,0.909523,1.50547,0,0,0
12.308,1010.9,79.564,3.5436,23.611,1081.9,549.7,131.37,11.785,2011,-1.43799,-0.799273,-0.138806,-1.17009,-1.36822,0,0,0
11.432,1010.5,83.703,3.6061,24.101,1084.7,549.94,133.65,11.744,2011,-1.66303,-0.979539,0.510215,-0.980096,-0.93978,0,0,0
11.387,1010.1,86.534,3.6333,24.244,1085.4,549.83,134.01,11.846,2011,-1.66508,-1.13281,1.03709,-0.945191,-0.824234,0,0,0
11.736,1009.9,86.005,3.6463,24.214,1085.3,550.31,133.67,11.834,2011,-1.57848,-1.18496,0.959871,-0.885574,-0.793537,0,0,0
11.728,1009.4,79.251,3.6098,24.152,1084.7,549.91,133.67,11.828,2011,-1.61161,-1.34551,-0.190458,-0.982793,-0.919484,0,0,0
11.384,1009.2,80.702,3.625,24.13,1084.4,549.87,133.66,11.822,2011,-1.68361,-1.40827,0.0409419,-0.942747,-0.915288,0,0,0
11.087,1008.9,86.122,3.6199,24.085,1084.6,550.08,133.68,11.81,2011,-1.73154,-1.55716,0.929609,-0.969328,-0.994007,0,0,0
10.584,1008.7,91.258,3.5806,23.801,1083.4,550.16,132.98,11.725,2011,-1.95257,-1.60838,1.94124,-1.05238,-1.22217,0,0,0
10.181,1008.7,94.865,3.6288,24.167,1085.1,549.72,134.47,11.693,2011,-2.00522,-1.57431,2.527,-0.935882,-0.877701,0,0,0
10.301,1008.5,96.316,3.6644,24.212,1084.8,549.17,134.3,11.896,2011,-1.95861,-1.6518,2.71775,-0.838279,-0.856266,0,0,0
10.422,1008.5,96.764,4.6879,32.175,1100.2,531.59,159.83,13.746,2011,-1.91939,-1.68142,2.77938,2.25314,2.60063,0,0,0
10.593,1008.1,98.27,4.722,32.482,1099.9,530.58,160.63,13.876,2011,-1.88358,-1.8102,2.94075,2.34796,2.69537,0,0,0
10.555,1007.8,99.104,4.6722,32.111,1100.3,531.44,160.14,13.894,2011,-1.8798,-1.89023,2.92537,2.26441,2.58197,0,0,0
10.528,1007.5,98.744,4.7348,32.48,1100,530,161.16,13.909,2011,-1.89939,-2.00076,2.94403,2.32922,2.72772,0,0,0
10.254,1007.4,98.075,4.6774,32.061,1100.2,530.75,161.04,13.918,2011,-1.96381,-2.00123,2.92133,2.25377,2.55933,0,0,0
9.8215,1007.7,96.687,4.6954,32.368,1099.9,529.5,162.15,13.953,2011,-2.11425,-1.89772,2.76858,2.30682,2.67919,0,0,0
8.7987,1008.1,96.521,4.6598,32.339,1099.8,529.7,163.03,13.831,2011,-2.3104,-1.77957,2.72389,2.23805,2.65681,0,0,0
7.9529,1008.5,97.918,4.6697,32.451,1100,529.03,163.5,13.922,2011,-2.45717,-1.65645,2.87863,2.24508,2.68356,0,0,0
7.4649,1009.6,96.515,4.7244,32.879,1099.9,527.6,164.58,14.073,2011,-2.552,-1.29241,2.72909,2.3144,2.80066,0,0,0
7.321,1010.1,95.181,4.6731,32.662,1100,528.04,164.28,14.15,2011,-2.60968,-1.09316,2.55876,2.25623,2.75325,0,0,0
6.9685,1010.6,96.88,4.7564,33.258,1100.1,526.15,165.62,14.247,2011,-2.6667,-0.966649,2.76699,2.34238,2.94795,0,0,0
6.9214,1011.2,96.2,4.7221,33.053,1100,526.79,165.2,14.102,2011,-2.69098,-0.63845,2.72504,2.31266,2.86383,0,0,0
6.9549,1011.9,94.708,3.4844,23.463,1083.2,549.97,134.12,11.85,2011,-2.66678,-0.319562,2.48293,-1.27708,-1.39138,0,0,0
7.0389,1012.3,92.654,3.471,23.187,1082,549.94,132.7,11.673,2011,-2.66277,-0.148253,2.14614,-1.31105,-1.57619,0,0,0
7.1611,1012.8,90.72,3.6157,23.842,1085.4,550.11,133.45,11.772,2011,-2.66042,0.125658,1.79725,-0.944122,-1.13642,0,0,0
7.3617,1013.5,88.991,3.6439,23.833,1085.8,549.72,133.69,11.844,2011,-2.59529,0.371299,1.53984,-0.902803,-1.18424,0,0,0
7.2594,1014.1,89.669,3.6328,23.791,1085.6,550.06,133.68,11.816,2011,-2.64738,0.601391,1.65405,-0.907558,-1.22646,0,0,0
6.9188,1014.5,89.859,3.6367,23.733,1085.4,549.9,133.69,11.789,2011,-2.69319,0.747498,1.66247,-0.919567,-1.24882,0,0,0
6.8903,1014.7,88.165,3.6331,23.732,1085.8,550.06,133.69,11.761,2011,-2.67459,0.801552,1.34605,-0.921421,-1.25548,0,0,0
6.7569,1015.1,88.41,3.6162,23.747,1085.5,550.24,133.65,11.733,2011,-2.68773,1.00573,1.40864,-0.963778,-1.27572,0,0,0
6.7155,1015.7,88.174,3.5792,23.549,1084.4,549.88,132.76,11.727,2011,-2.69723,1.13071,1.32089,-1.04034,-1.36454,0,0,0
6.817,1016.3,87.707,4.0272,27.276,1089.8,540.77,144.56,12.699,2011,-2.69122,1.34395,1.25355,0.274474,1.41056,0,0,0
6.8973,1016.7,88.241,4.6468,32.598,1100.4,527.78,163.61,14.056,2011,-2.63383,1.49709,1.34649,2.20195,2.73722,0,0,0
6.9282,1017.2,87.293,4.7146,33.185,1100.2,525.8,164.99,14.285,2011,-2.67791,1.59767,1.18377,2.28855,2.93317,0,0,0
6.9957,1017.5,87.652,4.7299,32.966,1099.6,526.66,164.67,14.166,2011,-2.64388,1.73459,1.24141,2.33726,2.84723,0,0,0
7.2848,1017.6,87.557,4.7188,32.71,1100,527.25,163.96,14.125,2011,-2.62211,1.71911,1.20676,2.28817,2.7881,0,0,0
7.4902,1018.2,85.956,4.7466,32.894,1099.9,526.59,164.43,14.14,2011,-2.58429,1.87203,0.962863,2.31197,2.81007,0,0,0
7.3078,1019.8,83.228,3.5579,23.395,1083.9,550.34,133.99,11.933,2011,-2.60689,2.19044,0.45532,-1.09466,-1.46306,0,0,0
7.3157,1019.9,79.696,3.5724,23.556,1085,549.77,134.49,11.964,2011,-2.63347,2.19785,-0.103797,-1.06492,-1.41169,0,0,0
7.3168,1020.1,79.75,3.5541,23.397,1084.1,549.74,133.72,11.923,2011,-2.5819,2.25973,-0.0843157,-1.13404,-1.47198,0,0,0
7.1878,1020.3,82.389,4.2138,28.507,1091.5,536.99,149.68,13.057,2011,-2.65585,2.33067,0.311565,1.03889,1.50085,0,0,0
7.1168,1020.4,85.501,3.6638,24.208,1088.9,549.98,137.65,12.038,2011,-2.64133,2.27318,0.849646,-0.824115,-0.863865,0,0,0
7.1325,1020.5,86.056,3.5491,23.282,1083.6,549.86,133.5,11.816,2011,-2.62077,2.3279,0.940081,-1.15059,-1.52417,0,0,0
7.2618,1020.5,87.237,3.5916,23.529,1085.3,550.06,134.44,11.928,2011,-2.62062,2.31026,1.15549,-1.03,-1.41306,0,0,0
7.6137,1020.7,85.814,3.5924,23.531,1085,550.02,134.2,11.946,2011,-2.58299,2.35029,0.93346,-1.05261,-1.39159,0,0,0
7.8848,1020.6,85.039,3.5931,23.475,1084.4,550.03,133.69,11.888,2011,-2.51495,2.31273,0.791584,-1.03016,-1.39351,0,0,0
7.9395,1020.3,87.203,3.5841,23.426,1084.6,550.03,133.68,11.831,2011,-2.50797,2.28783,1.16082,-1.05917,-1.43926,0,0,0
7.9592,1020.2,87.339,3.571,23.441,1084.7,549.82,133.69,11.793,2011,-2.48829,2.26958,1.19264,-1.1007,-1.44673,0,0,0
7.9442,1020.4,86.646,3.5717,23.43,1084.5,550.12,133.63,11.716,2011,-2.48962,2.32561,1.05179,-1.07721,-1.48375,0,0,0
8.0315,1020.7,88.747,3.5713,23.369,1084.3,549.87,133.43,11.759,2011,-2.45591,2.32603,1.4178,-1.07914,-1.45542,0,0,0
8.1683,1020.7,89.104,4.3989,29.952,1095.9,534.49,154.39,13.427,2011,-2.46966,2.32607,1.50714,1.61898,1.80054,0,0,0
8.4858,1021.1,87.738,4.8415,33.433,1100.1,525.18,164.52,14.294,2011,-2.39323,2.42115,1.27778,2.44733,2.9733,0,0,0
9.2573,1021.2,84.579,4.8112,33.012,1100.1,526.68,162.96,14.196,2011,-2.22974,2.43221,0.657755,2.46579,2.85732,0,0,0
10.061,1020.9,74.011,4.7807,32.484,1100.2,528.57,161.34,14.091,2011,-2.01197,2.39049,-0.890196,2.38817,2.74315,0,0,0
10.577,1020.4,71.694,4.8093,32.646,1100.3,528.01,161.51,14.136,2011,-1.90969,2.28179,-1.19552,2.39982,2.76782,0,0,0
10.628,1020,72.416,4.8102,32.513,1099.9,528.53,161.46,14.046,2011,-1.8583,2.20237,-1.11415,2.42028,2.74119,0,0,0
10.451,1020.2,73.394,4.826,32.661,1099.6,528.11,161.87,14.115,2011,-1.97711,2.26788,-0.992396,2.46768,2.7356,0,0,0
10.281,1020.4,69.09,4.8366,32.932,1099.9,526.84,163.2,14.148,2011,-1.96851,2.28213,-1.49468,2.48194,2.85448,0,0,0
10.055,1020.7,69.491,4.8172,32.892,1100.3,526.99,163.11,14.221,2011,-2.02694,2.32992,-1.46666,2.4272,2.82462,1,0,0
6.988,1021.5,82.347,3.5297,23.758,1083.8,548.96,135.11,11.937,2011,-2.66767,2.49871,0.285454,-1.18961,-1.23268,0,0,0
6.6543,1021.5,82.293,3.4638,23.219,1082.5,549.8,133.33,11.787,2011,-2.68756,2.54886,0.296256,-1.34952,-1.54007,0,0,0
5.4611,1021.8,87.63,3.4823,23.357,1083.3,549.71,134.37,11.825,2011,-2.87348,2.5338,1.24578,-1.31212,-1.47174,0,0,0
5.8372,1022.1,86.775,3.4991,23.428,1083.5,549.79,134.08,11.775,2011,-2.81876,2.59795,1.08935,-1.27022,-1.46912,0,0,0
7.0528,1022.2,79.474,3.5119,23.423,1083.5,550.18,133.46,11.682,2011,-2.65996,2.59343,-0.15132,-1.22686,-1.47998,1,0,1
7.1873,1022.5,79.304,3.4888,23.218,1082.5,550.04,132.96,11.725,2011,-2.63249,2.60885,-0.193472,-1.28449,-1.58061,0,0,0
6.6405,1022.1,82.613,3.5183,23.456,1084.1,549.92,134.35,11.884,2011,-2.7141,2.59631,0.350742,-1.2214,-1.44361,0,0,0
6.1033,1021.9,81.523,3.4937,23.222,1083,549.98,133.67,11.836,2011,-2.80645,2.56378,0.16034,-1.26702,-1.56131,0,0,0
5.4546,1021.6,81.919,3.4882,23.166,1083,549.84,133.67,11.787,2011,-2.85696,2.51696,0.227915,-1.28875,-1.54739,0,0,0
5.1361,1021.7,82.833,3.4777,23.113,1082.8,550.06,133.68,11.715,2011,-2.93447,2.54657,0.400842,-1.29466,-1.56685,0,0,0
4.9719,1022,84.008,3.527,23.5,1083.5,549.16,134.69,11.799,2011,-2.93221,2.57339,0.605259,-1.18617,-1.40327,0,0,0
6.7097,1022.8,80.685,4.6852,32.874,1100.1,526.13,165.17,14.199,2011,-2.73579,2.67418,0.0623889,2.29516,2.82564,0,0,0
7.3372,1023,80.076,4.7698,33.322,1100,524.71,165.87,14.276,2011,-2.63556,2.70177,-0.0636679,2.32353,2.95286,0,0,0
7.6952,1022.8,81.974,4.7001,32.961,1100.4,526,165.2,14.301,2011,-2.57096,2.64057,0.227455,2.31752,2.84023,0,0,0
7.4018,1022.6,87.673,4.7564,33.441,1100,524.69,166.01,14.279,2011,-2.5889,2.67597,1.28619,2.35723,2.96203,0,0,0
7.8167,1022.2,88.135,4.6605,32.893,1100,526.21,164.73,14.177,2011,-2.54085,2.5859,1.34851,2.25072,2.82761,0,0,0
8.5781,1022,87.554,4.7183,33.079,1099.9,525.78,164.42,14.214,2011,-2.3382,2.5669,1.23061,2.33099,2.89405,0,0,0
9.841,1022.2,77.791,4.7141,32.624,1099.6,527.61,162.56,14.095,2011,-2.0512,2.61321,-0.400459,2.31813,2.72736,0,0,0
10.084,1022.7,67.3,4.7721,33.023,1100.1,526.27,163.57,14.168,2011,-2.04365,2.67042,-1.66439,2.38411,2.83285,0,0,0
9.5484,1023.1,68.062,4.7413,32.928,1100,526.54,163.75,14.172,2011,-2.15022,2.68683,-1.60429,2.29538,2.82966,0,0,0
8.7161,1023.5,77.867,4.804,33.466,1100.3,525.02,165.54,14.288,2011,-2.31124,2.75007,-0.396711,2.41938,2.98662,0,0,0
8.3411,1023.6,83.747,4.7442,33.01,1100.1,526.64,164.75,14.224,2011,-2.46069,2.74851,0.559593,2.3572,2.89705,0,0,0
7.9543,1023.7,84.187,4.818,33.623,1100,524.27,166.23,14.37,2011,-2.46386,2.77282,0.631399,2.45098,2.98943,0,0,0
7.5402,1023.8,85.149,4.8032,33.582,1100.2,524.53,166.31,14.364,2011,-2.57254,2.79033,0.832822,2.41546,2.99155,0,0,0
6.4237,1024.1,88.72,3.5543,23.638,1085.2,549.55,135.94,11.839,2011,-2.74275,2.83499,1.45058,-1.09612,-1.33625,0,0,0
6.3186,1024.3,89.401,3.5375,23.242,1083.7,550.02,133.39,11.81,2011,-2.76515,2.82127,1.59127,-1.14617,-1.56006,0,0,0
5.9587,1024.7,88.759,3.4538,22.41,1079.2,550.03,129.39,11.652,2011,-2.82164,2.86447,1.44229,-1.38876,-1.73694,0,0,0
5.9384,1025.1,89.319,3.514,22.867,1081.8,550.26,131.25,11.748,2011,-2.79586,2.89411,1.54961,-1.2026,-1.65133,0,0,0
5.7952,1025.2,90.142,3.6204,23.667,1086.2,549.92,134.68,11.891,2011,-2.79971,2.86909,1.69427,-0.949682,-1.31078,0,0,0
5.7183,1025.1,90.048,3.6658,23.831,1086.7,549.92,134.64,11.93,2011,-2.81977,2.88962,1.67288,-0.838912,-1.18163,0,0,0
5.9779,1025.3,90.087,3.6504,23.656,1085.9,549.96,133.69,11.888,2011,-2.78331,2.88118,1.69026,-0.857881,-1.26034,0,0,0
6.0551,1025.7,89.869,3.6526,23.607,1086,550.03,133.67,11.782,2011,-2.7519,2.92195,1.66305,-0.845963,-1.3425,0,0,0
6.1375,1026,90.147,4.0193,26.702,1088.6,540.97,142.94,12.639,2011,-2.80234,2.94012,1.72176,0.243926,1.27048,0,0,0
6.1271,1026.3,91.663,4.6899,32.44,1100.2,527.88,164.51,13.989,2011,-2.81223,2.97128,1.9709,2.27847,2.69658,0,0,0
6.4082,1026.6,93.512,4.7515,32.841,1099.9,526.79,164.8,14.169,2011,-2.73708,2.96684,2.32634,2.33397,2.80449,0,0,0
7.6426,1026.7,95.243,4.8098,33.178,1100.1,526.12,164.56,14.21,2011,-2.5705,2.99839,2.57376,2.41207,2.90183,0,0,0
9.4701,1026.4,91.873,4.821,33.135,1100.3,526.22,162.97,14.273,2011,-2.16565,2.97609,1.99486,2.41843,2.88866,0,0,0
10.94,1026,80.793,4.7821,32.783,1100.1,528.13,161.45,14.061,2011,-1.74196,2.95929,0.055757,2.40347,2.8356,1,0,0
11.613,1025.7,72.077,4.723,32.332,1100,529.62,159.84,13.924,2011,-1.61853,2.91284,-1.10589,2.33001,2.66624,1,0,1
12.066,1025.6,68.019,4.8046,33.026,1099.8,527.36,161.38,14.078,2011,-1.50737,2.95198,-1.55692,2.43236,2.88151,1,0,0
12.451,1025.6,66.261,4.7516,32.702,1100,528.41,160.7,14.137,2011,-1.44435,2.92659,-1.7722,2.36079,2.78381,0,0,0
12.165,1025.8,70.975,4.7775,32.942,1100,527.86,161.7,14.062,2011,-1.48008,2.89217,-1.25687,2.36961,2.83368,0,0,0
10.893,1025.8,81.178,4.7097,32.708,1099.7,528.3,162.39,14,2011,-1.81992,2.91864,0.0699526,2.32958,2.77693,1,0,0
9.7483,1026,84.442,4.7864,33.2,1099.9,525.95,164.05,14.201,2011,-2.07348,2.98217,0.671824,2.35865,2.89801,1,0,0
8.6902,1026.2,86.248,4.8016,33.39,1100.1,525.48,165.26,14.35,2011,-2.35897,2.94263,0.998644,2.37587,2.96379,1,0,0
5.3738,1025.5,92.997,3.6186,23.507,1085,549.87,133.63,11.809,2011,-2.90146,2.91209,2.22283,-0.964838,-1.40527,1,0,1
5.4462,1025.4,92.273,3.6224,23.423,1084.1,550.09,132.46,11.691,2011,-2.87315,2.88602,2.06616,-0.949237,-1.41565,0,0,0
5.6988,1025.2,91.298,3.6646,23.787,1085.7,550.11,133.68,11.742,2011,-2.7952,2.91616,1.93484,-0.855781,-1.18218,0,0,0
5.8975,1025,89.942,3.6767,23.81,1086,549.91,133.68,11.792,2011,-2.81113,2.87449,1.66653,-0.809623,-1.20024,0,0,0
6.2033,1025,90.333,3.6926,23.853,1086.2,549.94,133.67,11.843,2011,-2.77816,2.85383,1.73655,-0.723772,-1.1606,0,0,0
6.664,1024.8,89.599,3.7025,23.866,1086.4,549.8,133.68,11.894,2011,-2.71677,2.87574,1.62511,-0.761554,-1.15309,0,0,0
7.2426,1024.8,89.653,3.7199,23.986,1086.6,550.14,133.67,11.885,2011,-2.60418,2.87134,1.62331,-0.655857,-1.05474,0,0,0
7.7232,1024.7,88.66,3.732,24.058,1087.1,549.78,133.67,11.831,2011,-2.53468,2.84545,1.47159,-0.688515,-0.99352,0,0,0
8.2577,1025.2,89.225,4.9813,34.192,1099.7,523.64,165.53,14.29,2011,-2.43471,2.90111,1.555,2.60683,3.03613,0,0,0
8.7557,1025.2,90.718,4.9097,33.743,1100.2,524.57,165.05,14.35,2011,-2.30683,2.88215,1.80187,2.54148,2.99995,0,0,0
10.034,1024.6,91.102,4.8665,33.093,1099.9,526.7,162.46,14.176,2011,-2.06643,2.84554,1.85827,2.47871,2.89305,0,0,0
11.602,1024,86.834,4.8566,32.395,1100.1,529.12,160.38,14.129,2011,-1.61138,2.83063,1.10253,2.45007,2.66044,0,0,0
12.244,1023.5,81.09,4.8762,32.81,1100,528.08,160.99,14.06,2011,-1.47077,2.71843,0.111166,2.48819,2.76414,0,0,0
12.406,1023.4,78.961,4.8399,32.508,1100,529.14,160.39,13.979,2011,-1.39791,2.73406,-0.224294,2.46164,2.72463,1,0,0
12.235,1023.2,78.744,4.8588,32.91,1100,527.76,161.21,14.056,2011,-1.45351,2.73125,-0.252694,2.49166,2.83891,1,0,0
11.162,1023.5,83.697,4.8088,33.026,1099.9,527.36,162.39,14.059,2011,-1.76256,2.74172,0.536358,2.42998,2.84048,0,0,0
10.391,1023.5,84.728,4.7811,32.868,1100.5,527.82,162.77,14.052,2011,-1.90378,2.74727,0.692645,2.35351,2.81294,0,0,0
5.6607,1022.1,93.031,4.6318,31.87,1096.9,529.64,161.45,13.822,2011,-2.84088,2.57875,2.23234,2.18996,2.51538,0,0,0
5.0722,1021.8,94.437,3.6508,23.742,1085.3,549.99,134.67,11.826,2011,-2.9232,2.55318,2.48048,-0.829304,-1.26574,0,0,0
4.8119,1021.8,95.641,3.7089,23.956,1086.1,549.77,134.67,11.99,2011,-2.94297,2.53459,2.64045,-0.740859,-1.082,0,0,0
5.087,1021.6,95.333,3.701,23.889,1085.9,550,134.19,11.921,2011,-2.90708,2.4988,2.56576,-0.752725,-1.16889,0,0,0
5.6301,1021.3,94.996,3.7019,23.865,1085.6,550.18,133.67,11.854,2011,-2.87022,2.46444,2.54374,-0.745389,-1.18613,0,0,0
5.912,1021.1,92.325,3.6872,23.854,1085.5,550.21,133.67,11.872,2011,-2.81792,2.45172,2.11965,-0.787208,-1.1761,0,0,0
6.126,1020.9,92.477,3.7003,23.902,1085.9,550.39,133.66,11.88,2011,-2.77122,2.38347,2.11029,-0.761651,-1.08696,0,0,0
6.3422,1021.1,91.589,3.6948,23.902,1085.9,550.32,133.68,11.885,2011,-2.75361,2.45997,1.96536,-0.74395,-1.12865,0,0,0
6.5693,1021.5,91.403,3.7042,23.949,1085.8,550.21,133.67,11.89,2011,-2.72866,2.54809,1.95762,-0.744513,-1.08119,0,0,0
7.2088,1021.8,92.697,3.7357,24.037,1086.3,550.09,133.67,11.867,2011,-2.62269,2.58004,2.16529,-0.67387,-1.00367,0,0,0
8.7186,1021.9,94.786,4.5142,30.271,1094.1,533.76,152.15,13.377,2011,-2.32837,2.56657,2.5406,2.01155,1.94126,0,0,0
10.116,1021.3,95.289,4.8032,32.622,1100.2,529.29,161.03,13.981,2011,-2.02451,2.48835,2.62222,2.43428,2.75162,0,0,0
11.933,1020.8,89.218,4.0719,26.939,1090.4,542.73,142.62,12.582,2011,-1.52833,2.41967,1.52296,0.441482,1.35828,0,0,0
12.712,1020.6,80.097,3.6912,23.903,1085,550.08,132.75,11.916,2011,-1.3176,2.32232,-0.0513264,-0.777508,-1.11318,0,0,0
12.786,1020.6,77.046,3.6758,23.884,1085,549.86,132.71,11.871,2011,-1.31528,2.3209,-0.489797,-0.795116,-1.15238,0,0,0
12.644,1020.6,78.916,3.6688,23.934,1084.8,549.62,132.7,11.843,2011,-1.35492,2.35839,-0.258986,-0.831243,-1.1125,0,0,0
12.359,1020.7,80.353,4.0105,26.621,1089.3,543.22,141.2,12.554,2011,-1.40335,2.39785,0.022998,0.225166,1.29682,0,0,0
11.775,1021.1,85.075,4.7561,32.612,1099.8,528.97,161.03,13.863,2011,-1.56987,2.43147,0.813681,2.33206,2.76475,1,0,0
11.103,1021.3,86.579,4.8001,32.942,1100,528.24,162.07,14.049,2011,-1.75116,2.50207,1.06237,2.40092,2.846,0,0,0
