grad_id,major,major_category,institution_tier,institution_selectivity_pctile,gpa,had_internship,completed_on_time,region,net_cost_usd,debt_usd,hs_baseline_10yr_usd,added_earnings_10yr_usd,earnings_10yr_usd,net_roi_usd,roi_pct,positive_roi,high_roi
G000065,business_analytics,business,regional,46,3.29,0,0,south,71900,46800,391300,180000,571400,108100,150.5,1,0
G000066,biology,STEM,mid_tier,52,2.83,1,1,midwest,64000,0,411500,284300,695900,220300,344.2,1,0
G000067,mechanical_engineering,STEM,regional,40,2.93,0,1,west,54800,38400,290600,563200,853800,508400,927.4,1,1
G000068,mechanical_engineering,STEM,for_profit,26,3.06,1,1,south,118900,0,339800,232100,572000,113200,95.2,1,0
G000069,social_work,social_science,for_profit,24,3.24,0,0,south,131400,0,410300,100500,510700,-31000,-23.6,0,0
G000070,mechanical_engineering,STEM,for_profit,22,3.12,1,0,south,172200,95400,250000,335700,585700,163500,95.0,1,0
G000071,business_analytics,business,top_public,77,3.13,1,0,south,69700,0,328900,430800,759700,361200,518.5,1,0
G000072,electrical_engineering,STEM,regional,45,2.74,1,1,midwest,47600,20700,333500,473000,806500,425400,894.2,1,1
G000073,biology,STEM,regional,36,2.8,0,0,midwest,73400,31000,466000,184400,650400,111000,151.1,1,0
G000074,nursing,health,for_profit,24,3.03,1,0,south,148100,0,347300,325500,672800,177500,119.9,1,0
G000075,business_analytics,business,regional,40,2.7,0,1,west,42800,39800,345100,869500,1214600,826700,1932.8,1,1
G000076,fine_arts,arts,top_public,73,3.52,0,1,south,72400,0,382400,44100,426400,-28300,-39.1,0,0
G000077,nursing,health,regional,44,2.25,1,0,west,57600,30300,290700,498100,788900,440500,765.2,1,1
G000078,economics,business,top_public,68,3.09,1,0,south,161000,76200,393200,527300,920500,366300,227.5,1,0
G000079,electrical_engineering,STEM,top_public,73,2.98,1,1,south,83000,34000,342500,1021000,1363500,938100,1130.4,1,1
G000080,business,business,mid_tier,64,3.14,1,0,south,121700,0,376800,150500,527300,28800,23.7,1,0
G000081,computer_science,STEM,top_public,73,2.32,1,1,west,74800,60100,349300,547500,896800,472700,632.1,1,1
G000082,business,business,mid_tier,62,3.46,0,1,south,78300,0,370800,506400,877100,428100,547.0,1,1
G000083,computer_science,STEM,regional,45,3.56,0,1,northeast,49400,0,370300,690300,1060700,640900,1296.7,1,1
G000084,biology,STEM,for_profit,16,3.31,0,1,west,106500,75200,284800,148700,433500,42200,39.6,1,0
G000085,marketing,business,regional,37,3.82,0,1,northeast,39500,27700,350700,200400,551000,160800,406.6,1,0
G000086,finance,business,top_public,72,2.82,0,1,west,64800,60700,356500,302800,659300,238000,367.0,1,0
G000087,finance,business,mid_tier,63,3.57,1,1,south,59900,0,343300,335300,678600,275400,460.0,1,0
G000088,marketing,business,regional,48,3.42,0,1,midwest,63600,0,366700,228400,595100,164800,259.0,1,0
G000089,communications,social_science,mid_tier,60,2.91,1,0,midwest,117800,0,287500,120700,408200,2900,2.5,1,0
G000090,business_analytics,business,top_public,69,3.43,0,1,northeast,94700,0,299500,710300,1009800,615600,650.0,1,1
G000091,computer_engineering,STEM,ivy_elite,94,3.85,0,1,south,125600,83100,390600,286600,677200,161000,128.1,1,0
G000092,social_work,social_science,mid_tier,57,2.89,1,0,south,124300,88100,404500,130100,534600,5800,4.7,1,0
G000093,chemical_engineering,STEM,mid_tier,63,2.67,1,0,midwest,81700,0,399400,593500,992900,511800,626.5,1,1
G000094,chemical_engineering,STEM,mid_tier,52,3.74,1,1,midwest,78700,55800,308700,472200,780800,393400,499.6,1,0
G000095,business_analytics,business,regional,44,3.45,1,1,northeast,61400,58300,412300,678900,1091200,617500,1006.0,1,1
G000096,electrical_engineering,STEM,ivy_elite,102,2.67,0,0,west,227500,170600,374000,1476800,1850800,1249300,549.2,1,1
G000097,computer_science,STEM,regional,36,3.56,0,0,south,74000,57300,327500,346000,673500,272000,367.5,1,0
G000098,mechanical_engineering,STEM,for_profit,25,3.19,0,1,midwest,96600,67600,371600,338900,710600,242300,250.9,1,0
G000099,communications,social_science,regional,40,3.02,0,1,northeast,49200,37300,363500,123100,486600,73900,150.3,1,0
G000100,computer_engineering,STEM,mid_tier,63,2.85,1,1,south,84300,42700,423500,538100,961600,453800,538.6,1,1
G000101,psychology,social_science,for_profit,18,3.46,1,1,northeast,111900,0,344400,44600,389000,-67300,-60.1,0,0
G000102,fine_arts,arts,mid_tier,58,2.94,0,1,west,69100,38000,356700,31100,387900,-38000,-54.9,0,0
G000103,social_work,social_science,for_profit,16,3.76,0,0,south,166700,0,416900,58400,475300,-108300,-64.9,0,0
G000104,biology,STEM,top_public,80,3.01,1,1,south,69400,67400,407600,180400,588000,111000,159.9,1,0
G000105,fine_arts,arts,regional,46,2.14,0,0,midwest,100300,0,331800,46900,378700,-53400,-53.2,0,0
G000106,fine_arts,arts,mid_tier,64,2.73,0,1,northeast,88200,0,405800,45700,451500,-42400,-48.1,0,0
G000107,computer_science,STEM,mid_tier,63,4.0,1,1,south,60700,0,313600,448300,761900,387600,639.0,1,0
G000108,electrical_engineering,STEM,mid_tier,52,2.82,0,0,west,82600,0,412300,633300,1045600,550700,666.8,1,1
G000109,computer_engineering,STEM,regional,41,2.84,0,1,south,64200,0,368700,251900,620500,187600,292.1,1,0
G000110,finance,business,regional,46,3.59,0,0,midwest,94400,72100,358700,294800,653400,200400,212.3,1,0
G000111,psychology,social_science,mid_tier,56,3.47,0,0,south,96900,54600,383200,53900,437100,-43000,-44.4,0,0
G000112,biology,STEM,regional,48,3.52,1,0,northeast,61000,0,311600,148100,459800,87200,143.1,1,0
G000113,humanities,humanities,regional,44,3.71,0,0,northeast,71300,67800,407100,40800,447900,-30500,-42.7,0,0
G000114,fine_arts,arts,regional,36,3.32,1,1,midwest,64700,35400,403000,50500,453500,-14200,-22.0,0,0
G000115,fine_arts,arts,mid_tier,63,3.2,0,1,midwest,76400,51100,355400,66500,421900,-9900,-13.0,0,0
G000116,chemical_engineering,STEM,regional,38,3.15,0,0,south,133100,0,315600,704600,1020200,571500,429.4,1,1
G000117,electrical_engineering,STEM,mid_tier,57,3.17,0,0,west,78900,0,297000,635500,932400,556600,705.7,1,1
G000118,biology,STEM,top_public,79,3.58,0,1,west,74100,59700,309200,189800,499000,115700,156.1,1,0
G000119,communications,social_science,top_public,72,3.03,0,1,midwest,61800,0,322000,207100,529100,145300,235.3,1,0
G000120,computer_engineering,STEM,for_profit,21,2.87,1,1,northeast,74800,0,428400,283100,711500,208300,278.6,1,0
G000121,computer_engineering,STEM,mid_tier,60,2.7,1,1,northeast,71000,0,363800,408500,772400,337500,475.3,1,0
G000122,business,business,mid_tier,52,2.96,1,1,south,74100,0,357400,492000,849400,417900,563.7,1,0
G000123,business_analytics,business,regional,37,3.9,0,0,northeast,89600,0,366500,416100,782600,326500,364.3,1,0
G000124,finance,business,for_profit,28,2.08,0,1,west,112000,0,354600,215000,569600,102900,91.9,1,0
G000125,mechanical_engineering,STEM,regional,38,2.91,1,0,west,103300,0,378000,412400,790400,309200,299.3,1,0
G000126,marketing,business,regional,42,3.44,1,1,south,61800,0,393500,280600,674100,218800,353.8,1,0
G000127,computer_engineering,STEM,mid_tier,61,3.74,0,1,south,73200,0,383100,452000,835100,378700,517.1,1,0
G000128,education,education,regional,41,3.43,0,0,south,85500,64500,369700,61300,430900,-24200,-28.3,0,0
G000129,finance,business,top_public,71,2.82,0,1,west,111000,0,330000,224600,554600,113700,102.5,1,0
G000130,biology,STEM,mid_tier,54,3.35,0,0,midwest,94700,0,348400,269500,618000,174900,184.7,1,0
G000131,fine_arts,arts,mid_tier,53,3.4,0,1,south,80000,0,431200,33200,464400,-46800,-58.5,0,0
G000132,social_work,social_science,mid_tier,52,2.75,0,0,south,96700,0,360600,90400,451000,-6300,-6.5,0,0
G000133,psychology,social_science,mid_tier,58,3.21,1,1,midwest,102700,57500,376200,66000,442200,-36700,-35.7,0,0
G000134,computer_science,STEM,mid_tier,58,2.78,0,1,midwest,49200,42000,391000,469700,860700,420500,855.3,1,0
G000135,fine_arts,arts,top_public,71,3.85,1,0,west,110200,80600,250000,31300,281300,-78900,-71.6,0,0
G000136,humanities,humanities,mid_tier,57,3.59,1,1,west,84100,44400,408100,53700,461800,-30400,-36.1,0,0
G000137,humanities,humanities,for_profit,22,3.82,1,1,west,116500,48800,340900,31100,372000,-85400,-73.3,0,0
G000138,computer_engineering,STEM,ivy_elite,90,2.87,0,1,west,129100,0,352100,834900,1187000,705700,546.5,1,1
G000139,humanities,humanities,regional,43,2.37,0,1,south,59200,58500,409800,62400,472200,3300,5.5,1,0
G000140,economics,business,top_public,76,2.98,1,0,south,99200,55800,389800,1081900,1471700,982700,990.2,1,1
G000141,electrical_engineering,STEM,for_profit,24,3.22,0,0,midwest,153700,0,289900,314500,604500,160800,104.6,1,0
G000142,mechanical_engineering,STEM,regional,39,2.96,1,1,south,63000,59200,372300,448900,821100,385900,612.8,1,0
G000143,communications,social_science,mid_tier,55,2.98,0,0,northeast,87900,63100,305200,188000,493200,100200,114.0,1,0
G000144,electrical_engineering,STEM,regional,37,3.07,0,1,west,76600,74400,402500,517800,920300,441200,575.7,1,1
G000145,education,education,top_public,71,3.28,0,1,west,72300,0,316300,150200,466500,77900,107.8,1,0
G000146,fine_arts,arts,regional,38,3.16,1,1,northeast,92900,81400,379000,58700,437800,-34100,-36.8,0,0
G000147,marketing,business,top_public,74,3.53,1,0,northeast,151600,95000,324600,169700,494300,18000,11.9,1,0
G000148,mechanical_engineering,STEM,ivy_elite,94,2.73,1,1,midwest,110200,0,360100,951900,1311900,841700,763.8,1,1
G000149,chemical_engineering,STEM,mid_tier,52,2.95,0,1,south,84300,66600,338600,326600,665200,242300,287.3,1,0
G000150,communications,social_science,top_public,72,2.6,0,0,west,94600,0,346000,134100,480100,39500,41.8,1,0
G000151,humanities,humanities,top_public,79,2.79,1,1,south,89700,0,270300,77900,348200,-11700,-13.1,0,0
G000152,communications,social_science,for_profit,23,3.58,0,1,west,94400,63200,401600,87900,489500,-6500,-6.9,0,0
G000153,marketing,business,regional,45,3.27,0,0,west,61600,34100,364300,169800,534100,108200,175.5,1,0
G000154,computer_engineering,STEM,mid_tier,52,3.25,1,1,west,79500,50600,345000,891200,1236200,811700,1020.6,1,1
G000155,nursing,health,mid_tier,62,2.07,0,0,midwest,90600,42200,268600,543900,812500,453300,500.4,1,1
G000156,business_analytics,business,top_public,70,3.92,1,1,northeast,99800,99300,404900,795600,1200500,695900,697.4,1,1
G000157,electrical_engineering,STEM,regional,46,2.96,1,1,northeast,53500,0,286300,549900,836200,496400,928.4,1,1
G000158,electrical_engineering,STEM,regional,43,3.49,1,0,midwest,82600,0,465000,563100,1028100,480400,581.4,1,1
G000159,computer_engineering,STEM,mid_tier,53,3.44,0,0,south,132400,0,303700,571200,874900,438700,331.3,1,1
G000160,computer_engineering,STEM,top_public,70,3.67,1,1,south,79400,0,399200,876400,1275600,797000,1004.4,1,1
G000161,business_analytics,business,ivy_elite,94,3.9,1,0,midwest,163500,154600,298900,699200,998100,535700,327.6,1,1
G000162,communications,social_science,mid_tier,59,3.83,0,1,northeast,72500,0,354300,186200,540600,113800,157.0,1,0
G000163,nursing,health,regional,48,4.0,0,1,south,70200,34700,329500,156200,485700,86000,122.4,1,0
G000164,economics,business,mid_tier,53,3.3,1,1,northeast,84300,0,342800,566500,909200,482200,572.1,1,1
G000165,criminal_justice,social_science,top_public,69,2.89,0,1,northeast,76100,0,447000,120700,567600,44600,58.6,1,0
G000166,nursing,health,mid_tier,56,3.91,1,0,south,139100,120600,372000,433700,805700,294600,211.8,1,0
G000167,nursing,health,regional,38,3.17,1,0,northeast,61000,45800,395500,512400,907800,451400,740.3,1,1
G000168,marketing,business,mid_tier,60,2.9,1,0,midwest,97300,0,362700,100600,463300,3300,3.3,1,0
G000169,economics,business,mid_tier,62,2.97,0,0,south,113600,0,440700,781400,1222100,667800,587.8,1,1
G000170,marketing,business,regional,40,2.76,1,0,west,66500,30800,348300,247300,595600,180800,271.9,1,0
G000171,chemical_engineering,STEM,mid_tier,61,4.0,1,1,northeast,61200,56700,383600,642800,1026400,581600,950.8,1,1
G000172,computer_science,STEM,for_profit,17,3.48,0,1,midwest,99700,40300,307700,273000,580700,173400,174.0,1,0
G000173,social_work,social_science,regional,41,3.95,0,1,south,60500,0,377600,137800,515400,77300,127.8,1,0
G000174,criminal_justice,social_science,ivy_elite,99,3.31,0,1,south,113600,0,385000,180000,565000,66400,58.4,1,0
G000175,nursing,health,for_profit,25,2.64,1,1,west,89600,0,306500,110600,417200,21000,23.5,1,0
G000176,economics,business,regional,42,2.44,0,1,south,64100,0,321200,484900,806000,420800,656.9,1,0
G000177,computer_engineering,STEM,top_public,80,3.01,0,0,northeast,115400,51000,393300,549100,942500,433700,375.7,1,1
G000178,finance,business,regional,46,4.0,0,0,midwest,89100,81200,373500,222900,596400,133800,150.3,1,0
G000179,chemical_engineering,STEM,for_profit,20,2.91,1,1,south,91900,0,429300,345100,774400,253200,275.7,1,0
G000180,communications,social_science,mid_tier,57,2.72,1,1,northeast,81700,0,309200,165700,474900,84000,102.8,1,0
G000181,communications,social_science,top_public,77,2.48,0,1,midwest,91500,65700,424600,113400,538000,21800,23.9,1,0
G000182,criminal_justice,social_science,top_public,78,3.36,1,1,midwest,73600,35600,406200,113700,519900,40100,54.5,1,0
G000183,economics,business,regional,42,3.48,0,0,west,77300,65100,380200,658100,1038300,580800,751.4,1,1
G000184,communications,social_science,mid_tier,63,3.49,1,1,west,51800,26700,338200,239500,577700,187700,362.4,1,0
G000185,finance,business,top_public,77,2.69,1,0,west,132000,0,389400,895900,1285300,763900,578.5,1,1
G000186,nursing,health,top_public,72,3.32,1,0,northeast,106700,58400,390800,367300,758100,260600,244.3,1,0
G000187,social_work,social_science,for_profit,20,2.93,1,1,south,138300,118000,259200,76100,335300,-62100,-44.9,0,0
G000188,humanities,humanities,mid_tier,61,3.22,0,1,south,78200,63500,341800,82800,424600,4700,6.0,1,0
G000189,mechanical_engineering,STEM,mid_tier,56,3.7,0,1,midwest,98700,0,403500,422500,826100,323800,328.0,1,0
G000190,electrical_engineering,STEM,regional,44,3.71,0,1,northeast,35900,33200,380200,320300,700500,284400,792.6,1,0
G000191,humanities,humanities,regional,47,3.39,1,1,west,68200,50000,355000,27400,382400,-40800,-59.8,0,0
G000192,fine_arts,arts,ivy_elite,101,3.11,0,0,south,173000,0,295500,76600,372100,-96400,-55.7,0,0
G000193,economics,business,mid_tier,54,3.86,1,0,south,98500,0,398600,488300,887000,389800,395.9,1,0
G000194,mechanical_engineering,STEM,mid_tier,57,3.05,0,0,south,104300,81000,307700,803200,1110900,698900,670.1,1,1
G000195,electrical_engineering,STEM,regional,37,2.26,1,1,south,46600,27300,369300,692500,1061800,645900,1385.0,1,1
G000196,biology,STEM,regional,39,2.51,0,1,midwest,55800,35300,356000,172500,528500,116700,209.2,1,0
G000197,fine_arts,arts,regional,45,3.41,0,0,south,52200,0,351700,48800,400500,-3400,-6.5,0,0
G000198,chemical_engineering,STEM,mid_tier,58,3.29,1,0,south,92300,0,310500,607300,917800,514900,557.7,1,1
G000199,social_work,social_science,top_public,73,3.14,0,1,midwest,69300,65900,368700,133400,502200,64200,92.6,1,0
G000200,mechanical_engineering,STEM,regional,48,2.54,0,0,south,71900,0,328600,351100,679700,279100,388.0,1,0
G000201,computer_science,STEM,mid_tier,64,3.16,1,1,south,60600,37900,362400,388100,750500,327500,540.7,1,0
G000202,finance,business,mid_tier,56,2.57,0,1,south,67100,37300,312900,247100,560100,180100,268.5,1,0
G000203,fine_arts,arts,mid_tier,53,3.45,0,0,midwest,121200,90200,331600,53400,385000,-67800,-56.0,0,0
G000204,communications,social_science,top_public,75,2.7,1,1,northeast,96400,88300,425200,141900,567100,45600,47.3,1,0
G000205,chemical_engineering,STEM,top_public,68,3.34,0,0,west,142800,95600,347400,926900,1274300,784000,548.9,1,1
G000206,criminal_justice,social_science,top_public,76,1.76,0,1,south,77400,55500,381300,164200,545500,86800,112.0,1,0
G000207,chemical_engineering,STEM,regional,46,2.92,0,1,northeast,50700,26600,351100,336300,687500,285700,563.9,1,0
G000208,business,business,top_public,78,3.43,0,0,northeast,187700,94300,383600,416700,800400,229000,122.0,1,0
G000209,electrical_engineering,STEM,mid_tier,58,2.84,0,0,west,84600,0,331300,777900,1109200,693200,819.2,1,1
G000210,humanities,humanities,top_public,77,3.34,0,1,northeast,76100,0,407600,63500,471100,-12600,-16.5,0,0
G000211,nursing,health,mid_tier,52,2.68,0,0,west,71000,70500,316400,292900,609300,221900,312.6,1,0
G000212,humanities,humanities,for_profit,23,3.14,0,1,midwest,109100,0,375500,66900,442400,-42300,-38.7,0,0
G000213,computer_science,STEM,mid_tier,61,2.91,1,0,midwest,122600,0,395000,376700,771700,254100,207.2,1,0
G000214,fine_arts,arts,ivy_elite,94,3.11,1,1,northeast,131500,0,436500,37300,473800,-94200,-71.6,0,0
G000215,nursing,health,regional,48,2.59,1,0,west,78000,45500,350900,254400,605300,176300,226.0,1,0
G000216,finance,business,for_profit,26,4.0,0,1,midwest,101000,86200,363400,236700,600100,135600,134.2,1,0
G000217,computer_engineering,STEM,mid_tier,53,4.0,0,0,west,103000,56800,264800,874100,1138900,771100,748.4,1,1
G000218,humanities,humanities,mid_tier,53,2.66,0,1,west,66700,39800,331400,48600,379900,-18200,-27.2,0,0
G000219,marketing,business,top_public,79,2.36,0,0,northeast,83700,63700,310100,252800,562800,169100,202.1,1,0
G000220,education,education,mid_tier,58,3.59,0,1,west,71400,56200,358800,105600,464300,34200,47.9,1,0
G000221,fine_arts,arts,regional,41,3.11,0,1,south,73900,0,416000,18100,434100,-55800,-75.5,0,0
G000222,mechanical_engineering,STEM,top_public,69,2.93,0,0,midwest,116300,0,337600,378800,716400,262500,225.7,1,0
G000223,business,business,regional,42,3.57,1,1,northeast,63100,54900,374600,415800,790400,352700,558.8,1,0
G000224,computer_engineering,STEM,regional,38,2.85,1,0,west,73300,0,296900,422900,719700,349600,477.3,1,0
G000225,psychology,social_science,mid_tier,57,2.94,0,0,south,84100,72100,422600,158900,581500,74800,89.0,1,0
G000226,chemical_engineering,STEM,regional,43,3.18,1,1,west,54800,29500,412100,681100,1093200,626300,1143.2,1,1
G000227,communications,social_science,regional,38,3.51,0,1,northeast,39000,32900,371100,125300,496400,86200,220.9,1,0
G000228,education,education,mid_tier,59,3.33,1,1,northeast,83200,0,315000,64900,379900,-18400,-22.1,0,0
G000229,communications,social_science,top_public,72,3.45,1,1,midwest,97700,97200,361300,163500,524700,65800,67.4,1,0
G000230,social_work,social_science,regional,44,3.96,0,1,northeast,50000,23400,373500,73700,447200,23700,47.3,1,0
G000231,economics,business,mid_tier,52,3.87,0,1,midwest,75000,53200,417200,504500,921700,429500,572.7,1,1
G000232,nursing,health,mid_tier,53,2.75,0,0,northeast,80300,36200,359900,455800,815600,375400,467.5,1,0
G000233,humanities,humanities,mid_tier,52,3.4,0,0,northeast,121200,0,377500,84100,461600,-37100,-30.6,0,0
G000234,social_work,social_science,top_public,73,2.58,0,1,west,100100,0,326900,182800,509700,82700,82.6,1,0
G000235,computer_engineering,STEM,mid_tier,60,3.19,0,0,northeast,80200,0,344000,895600,1239600,815500,1017.4,1,1
G000236,fine_arts,arts,regional,39,3.67,0,0,northeast,91700,74900,384400,16400,400800,-75300,-82.1,0,0
G000237,psychology,social_science,regional,46,2.9,1,0,west,83300,37700,398400,105400,503800,22200,26.6,1,0
G000238,business,business,regional,48,3.08,1,1,south,56700,0,340300,250500,590800,193700,341.5,1,0
G000239,computer_science,STEM,regional,36,2.43,1,0,northeast,97600,51200,396000,1104600,1500700,1007000,1031.8,1,1
G000240,finance,business,top_public,68,2.98,0,1,south,88300,36100,435200,309400,744600,221000,250.2,1,0
G000241,mechanical_engineering,STEM,mid_tier,55,3.25,1,0,northeast,91000,0,297900,802500,1100400,711500,781.6,1,1
G000242,computer_engineering,STEM,for_profit,18,3.49,0,1,south,71800,53000,314900,306200,621100,234400,326.7,1,0
G000243,economics,business,top_public,80,3.19,1,1,south,69200,67900,377800,489000,866800,419800,607.1,1,0
G000244,business_analytics,business,top_public,79,2.82,1,0,south,110500,0,368200,827100,1195300,716500,648.2,1,1
