Division,District,Market,Crop,Variety,Group,Arrivals (Tonnes),Min Price (BDT/Quintal),Max Price (BDT/Quintal),Price (BDT/Quintal),Reported Date,Quality_Grade,Market_Demand,Stock_Availability,Market_Type,Season
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,13,5280,5720,5500,12/14/2021,Grade B,Medium,High,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,9.7,3511,3803,3657,7/12/2024,Grade A,Medium,Medium,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,3,10104,10946,10525,11/23/2023,Grade B,High,High,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,1,4783,5181,4982,3/30/2023,Grade A,Low,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,49.7,9264,10036,9650,3/1/2024,Grade B,Low,Low,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Barley,BARI Barley-7,Barley Flour,53.2,4061,4399,4230,7/26/2024,Grade B,High,High,Retail,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Barley,BARI Barley-7,Barley Flour,5,2002,2168,2085,7/10/2024,Grade B,Low,High,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,8,3168,3432,3300,2/9/2023,Grade B,Medium,Medium,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,1,2715,2941,2828,1/2/2024,Premium,High,Medium,Wholesale,Winter
Khulna,Jashore,Jashore Bazar,Barley,BARI Barley-7,Barley Flour,2,4284,4640,4462,6/30/2023,Grade C,Medium,Low,Retail,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Barley,BARI Barley-7,Barley Flour,22,1920,2080,2000,6/14/2022,Grade B,Medium,Medium,Wholesale,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Barley,BARI Barley-7,Barley Flour,120,5664,6136,5900,10/13/2021,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,24.2,10800,11700,11250,5/28/2024,Grade B,Medium,High,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Barley,BARI Barley-7,Barley Flour,23.3,4176,4524,4350,4/5/2024,Grade B,Low,Medium,Wholesale,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Barley,BARI Barley-7,Barley Flour,12,4020,4354,4187,1/7/2020,Grade A,High,High,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,60,4608,4992,4800,4/28/2023,Grade B,Low,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,1.7,2232,2418,2325,7/5/2024,Grade B,High,Low,Retail,Winter
Khulna,Satkhira,Satkhira Market,Barley,BARI Barley-7,Barley Flour,6,6596,7146,6871,1/5/2022,Premium,Low,Medium,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Barley,BARI Barley-7,Barley Flour,43,6432,6968,6700,4/9/2021,Grade B,Medium,Low,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,4,8523,9233,8878,7/24/2023,Grade C,Medium,Medium,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,3,10848,11752,11300,9/6/2023,Grade B,Medium,Low,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,22,9456,10244,9850,8/7/2023,Grade B,Medium,Low,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,1,5343,5789,5566,6/24/2022,Grade C,Low,High,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,7,1728,1872,1800,9/14/2021,Grade B,Medium,Medium,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Barley,BARI Barley-7,Barley Flour,720,4565,4945,4755,10/31/2022,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,92,1877,2033,1955,7/21/2022,Grade C,Low,High,Retail,Winter
Rajshahi,Naogaon,Naogaon Sadar Market,Barley,BARI Barley-7,Barley Flour,110,5537,5999,5768,6/25/2021,Grade C,High,High,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,8,1728,1872,1800,8/19/2021,Grade B,High,High,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,34,1679,1819,1749,5/18/2020,Grade A,Medium,Medium,Retail,Winter
Barishal,Barishal,Nathullabad Market,Barley,BARI Barley-7,Barley Flour,37,6386,6918,6652,5/24/2021,Grade A,Medium,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,278,7192,7792,7492,4/5/2023,Grade C,Low,Medium,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,1,1398,1514,1456,12/18/2020,Premium,High,Low,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,43,6106,6614,6360,7/13/2021,Grade A,Medium,High,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Barley,BARI Barley-7,Barley Flour,61,2328,2522,2425,3/29/2023,Grade B,High,Low,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,3,1920,2080,2000,7/26/2022,Grade B,Medium,Low,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Barley,BARI Barley-7,Barley Flour,65,6989,7571,7280,1/9/2022,Premium,Medium,Medium,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,132,4976,5390,5183,11/12/2021,Grade A,Medium,High,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,127,8258,8946,8602,2/15/2024,Grade C,Low,High,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,23,10176,11024,10600,4/4/2022,Grade B,Medium,Medium,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,0.3,2086,2260,2173,9/21/2024,Grade A,High,Low,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,80,6624,7176,6900,4/20/2022,Grade C,Medium,High,Wholesale,Winter
Rajshahi,Pabna,Pabna Sadar Market,Barley,BARI Barley-7,Barley Flour,"1,500.00",4884,5292,5088,11/6/2023,Grade A,Medium,High,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,145,6334,6862,6598,1/25/2022,Grade A,Low,Medium,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Barley,BARI Barley-7,Barley Flour,24,4824,5226,5025,9/23/2022,Grade B,Low,Low,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,21,4325,4685,4505,9/27/2021,Grade A,Medium,High,Wholesale,Winter
Khulna,Jashore,Jashore Bazar,Barley,BARI Barley-7,Barley Flour,17,6258,6780,6519,1/10/2022,Grade A,Low,Medium,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,12,2493,2701,2597,7/21/2023,Grade A,Medium,Medium,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Barley,BARI Barley-7,Barley Flour,2,1968,2132,2050,2/1/2020,Grade B,Low,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,466,4944,5356,5150,12/15/2022,Grade B,Medium,Low,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,19,5760,6240,6000,9/25/2021,Grade B,High,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,68,5108,5534,5321,5/21/2020,Grade A,Low,Medium,Retail,Winter
Barishal,Barishal,Nathullabad Market,Barley,BARI Barley-7,Barley Flour,22,6432,6968,6700,4/18/2022,Grade B,Medium,Medium,Wholesale,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Barley,BARI Barley-7,Barley Flour,4,2037,2207,2122,10/3/2023,Grade B,High,Medium,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,25,6152,6664,6408,3/10/2022,Grade C,Low,Medium,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Barley,BARI Barley-7,Barley Flour,6,11194,12126,11660,10/30/2023,Grade A,Medium,Medium,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,125,4500,4874,4687,1/30/2023,Grade C,High,Low,Retail,Winter
Rajshahi,Bogura,Satmatha Market,Barley,BARI Barley-7,Barley Flour,15,7632,8268,7950,9/14/2021,Grade A,Low,High,Retail,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Barley,BARI Barley-7,Barley Flour,130,9784,10600,10192,2/15/2024,Grade A,High,High,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,9,1488,1612,1550,9/26/2020,Grade B,Low,High,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,8,4675,5065,4870,10/7/2022,Grade B,Low,Low,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,3.9,9220,9988,9604,10/28/2024,Grade A,Medium,Medium,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Barley,BARI Barley-7,Barley Flour,13,2900,3142,3021,9/22/2022,Grade A,Medium,Low,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Barley,BARI Barley-7,Barley Flour,15,8346,9042,8694,5/30/2023,Grade C,High,Low,Wholesale,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Barley,BARI Barley-7,Barley Flour,318,6284,6808,6546,11/25/2021,Grade A,Low,Medium,Wholesale,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Barley,BARI Barley-7,Barley Flour,25,2318,2512,2415,9/7/2022,Grade B,High,High,Retail,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,40,6902,7478,7190,1/11/2023,Grade B,Low,Medium,Wholesale,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Barley,BARI Barley-7,Barley Flour,15,1730,1874,1802,5/27/2021,Grade A,Medium,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,2,2137,2315,2226,11/12/2022,Grade A,Medium,Low,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,3,1920,2080,2000,6/21/2022,Grade B,High,Low,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,3,4513,4889,4701,9/21/2021,Grade A,High,Medium,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Barley,BARI Barley-7,Barley Flour,41,4474,4846,4660,12/15/2023,Grade B,Medium,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,30,7490,8114,7802,9/5/2022,Grade A,High,Low,Retail,Winter
Khulna,Jashore,Jashore Bazar,Barley,BARI Barley-7,Barley Flour,99,5699,6173,5936,1/23/2021,Grade A,Low,High,Retail,Winter
Barishal,Barishal,Nathullabad Market,Barley,BARI Barley-7,Barley Flour,15,6118,6628,6373,7/13/2021,Grade A,High,Medium,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,280,4732,5126,4929,10/26/2023,Grade A,High,High,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,76,3831,4151,3991,1/27/2020,Grade A,High,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Barley,BARI Barley-7,Barley Flour,20,1968,2132,2050,4/8/2023,Grade B,Low,Medium,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,238,4373,4737,4555,3/5/2020,Grade B,High,Low,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Barley,BARI Barley-7,Barley Flour,304,6004,6504,6254,12/1/2021,Grade A,Low,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,92,2003,2169,2086,5/9/2022,Grade C,Low,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,15,6912,7488,7200,12/9/2022,Grade B,High,Low,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,34,5600,6066,5833,8/31/2021,Grade C,Medium,Low,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,118,4528,4906,4717,7/17/2023,Grade A,Medium,Low,Retail,Winter
Khulna,Jashore,Jashore Bazar,Barley,BARI Barley-7,Barley Flour,7,6299,6823,6561,2/4/2022,Grade A,Medium,High,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,2,1140,1234,1187,7/9/2020,Grade A,Medium,Medium,Retail,Winter
Khulna,Jashore,Jashore Bazar,Barley,BARI Barley-7,Barley Flour,92,5271,5711,5491,1/26/2020,Grade A,Low,Medium,Wholesale,Winter
Chattogram,Feni,Feni Sadar Market,Barley,BARI Barley-7,Barley Flour,169,3091,3349,3220,6/2/2020,Grade C,High,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,0.03,3840,4160,4000,8/29/2024,Grade B,Low,High,Wholesale,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Barley,BARI Barley-7,Barley Flour,6,4902,5310,5106,7/9/2020,Grade C,High,Medium,Wholesale,Winter
Barishal,Barishal,Nathullabad Market,Barley,BARI Barley-7,Barley Flour,1,2104,2280,2192,7/6/2023,Grade B,High,Low,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Barley,BARI Barley-7,Barley Flour,30,4895,5303,5099,3/11/2023,Grade A,Medium,Medium,Retail,Winter
Barishal,Barishal,Nathullabad Market,Barley,BARI Barley-7,Barley Flour,7,9871,10693,10282,9/18/2024,Grade A,Medium,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,8,6818,7386,7102,6/22/2021,Grade A,Medium,High,Wholesale,Winter
Barishal,Bhola,Bhola Bazar,Barley,BARI Barley-7,Barley Flour,120,4926,5336,5131,6/8/2020,Grade B,High,Medium,Retail,Winter
Chattogram,Noakhali,Maijdee Bazar,Barley,BARI Barley-7,Barley Flour,154,6034,6536,6285,12/9/2021,Grade B,Medium,High,Retail,Winter
Rajshahi,Bogura,Satmatha Market,Barley,BARI Barley-7,Barley Flour,500,4575,4957,4766,11/16/2023,Grade C,Medium,Low,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Barley,BARI Barley-7,Barley Flour,9,5616,6084,5850,1/25/2021,Grade B,High,Low,Retail,Winter
Dhaka,Gazipur,Joydebpur Market,Barley,BARI Barley-7,Barley Flour,2,5777,6259,6018,6/9/2022,Grade B,Low,High,Wholesale,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,172,5376,5824,5600,1/14/2021,Grade B,Medium,Low,Retail,Winter
Khulna,Satkhira,Satkhira Market,Barley,BARI Barley-7,Barley Flour,89,9718,10528,10123,2/6/2024,Grade A,Low,Low,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,36,6156,6670,6413,7/26/2021,Grade A,Low,High,Retail,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Barley,BARI Barley-7,Barley Flour,4,5664,6136,5900,6/24/2022,Grade B,Medium,Low,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,4,2323,2517,2420,12/23/2023,Grade C,High,Medium,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,21,3003,3253,3128,6/12/2020,Grade C,Low,Low,Wholesale,Winter
Khulna,Khulna,Khulna New Market,Barley,BARI Barley-7,Barley Flour,4,9623,10425,10024,5/17/2023,Premium,Low,Low,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,287.2,4205,4555,4380,4/5/2024,Grade B,High,Medium,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,13,7419,8037,7728,10/5/2020,Grade C,High,Medium,Wholesale,Winter
Rajshahi,Pabna,Pabna Sadar Market,Barley,BARI Barley-7,Barley Flour,25,2723,2949,2836,12/11/2023,Grade A,Low,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,16.8,2252,2440,2346,5/29/2024,Grade C,Medium,Low,Retail,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Barley,BARI Barley-7,Barley Flour,39.5,9979,10811,10395,8/31/2024,Grade B,Medium,Medium,Retail,Winter
Barishal,Barishal,Nathullabad Market,Barley,BARI Barley-7,Barley Flour,11.5,9746,10558,10152,9/21/2024,Grade B,High,Medium,Wholesale,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Barley,BARI Barley-7,Barley Flour,41,7440,8060,7750,4/29/2023,Grade B,Medium,High,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,576,4992,5408,5200,6/2/2020,Grade B,Low,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,13,1590,1722,1656,11/5/2020,Grade C,Low,Medium,Retail,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,2,1363,1477,1420,7/9/2022,Grade B,Medium,Medium,Wholesale,Winter
Khulna,Satkhira,Satkhira Market,Barley,BARI Barley-7,Barley Flour,24,4579,4961,4770,5/2/2023,Grade A,Low,Low,Retail,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Barley,BARI Barley-7,Barley Flour,40,3936,4264,4100,11/7/2024,Grade B,High,Medium,Retail,Winter
Chattogram,Cumilla,Kandirpar Market,Barley,BARI Barley-7,Barley Flour,6,1705,1847,1776,6/12/2020,Grade A,High,Low,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,68,6480,7020,6750,4/5/2021,Grade B,High,Medium,Wholesale,Winter
Chattogram,Cox's Bazar,Cox's Bazar Market,Barley,BARI Barley-7,Barley Flour,15,7872,8528,8200,12/27/2021,Grade B,High,Low,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,8,7056,7644,7350,10/17/2022,Grade B,Low,Low,Retail,Winter
Chattogram,Feni,Feni Sadar Market,Barley,BARI Barley-7,Barley Flour,25,2318,2512,2415,5/9/2024,Grade B,Medium,Low,Wholesale,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,120,4176,4524,4350,10/1/2021,Grade B,Low,High,Retail,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,41,10068,10908,10488,9/20/2023,Grade C,Low,Medium,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,28,2400,2600,2500,7/10/2023,Grade B,High,High,Wholesale,Winter
Chattogram,Feni,Feni Sadar Market,Barley,BARI Barley-7,Barley Flour,6,1114,1206,1160,3/19/2020,Grade B,Medium,Low,Wholesale,Winter
Rajshahi,Rajshahi,Shaheb Bazar,Barley,BARI Barley-7,Barley Flour,85,5895,6387,6141,4/27/2021,Grade C,Medium,Low,Retail,Winter
Dhaka,Tangail,Tangail Sadar Market,Barley,BARI Barley-7,Barley Flour,24,2239,2425,2332,3/27/2024,Grade A,High,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,4,4769,5167,4968,11/21/2021,Grade C,Low,Medium,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,"1,083.00",9336,10114,9725,2/17/2024,Grade B,Medium,Medium,Wholesale,Winter
Chattogram,Chattogram,Agrabad Market,Barley,BARI Barley-7,Barley Flour,20.1,9112,9872,9492,11/18/2024,Grade A,Medium,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,2.2,2208,2392,2300,3/18/2024,Grade B,Medium,Medium,Wholesale,Winter
Chattogram,Noakhali,Maijdee Bazar,Barley,BARI Barley-7,Barley Flour,3,968,1048,1008,6/25/2020,Premium,Medium,Low,Wholesale,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,1,1152,1248,1200,6/12/2021,Grade B,Medium,High,Retail,Winter
Dhaka,Dhaka,Karwan Bazar,Barley,BARI Barley-7,Barley Flour,10,5184,5616,5400,11/18/2021,Grade B,Low,Medium,Retail,Winter
Khulna,Satkhira,Satkhira Market,Barley,BARI Barley-7,Barley Flour,11,4681,5071,4876,7/8/2023,Grade A,High,Medium,Wholesale,Winter
Khulna,Satkhira,Satkhira Market,Barley,BARI Barley-7,Barley Flour,44,4063,4401,4232,2/24/2021,Grade C,Medium,High,Retail,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Barley,BARI Barley-7,Barley Flour,7,5280,5720,5500,7/19/2022,Grade B,High,Medium,Wholesale,Winter
Dhaka,Narayanganj,Chashara Market,Barley,BARI Barley-7,Barley Flour,500,4512,4888,4700,11/1/2023,Grade B,Medium,High,Wholesale,Winter
Chattogram,Feni,Feni Sadar Market,Barley,BARI Barley-7,Barley Flour,60,6513,7055,6784,3/2/2021,Grade A,Low,High,Wholesale,Winter
Dhaka,Manikganj,Manikganj Bazar,Barley,BARI Barley-7,Barley Flour,488,5368,5816,5592,2/4/2023,Premium,Low,Medium,Retail,Winter
Barishal,Patuakhali,Patuakhali Sadar Market,Barley,BARI Barley-7,Barley Flour,1.2,1766,1914,1840,7/4/2024,Grade C,Medium,Medium,Retail,Winter
Khulna,Kushtia,Kushtia Boro Bazar,Barley,BARI Barley-7,Barley Flour,100,3930,4258,4094,10/21/2023,Grade C,Medium,High,Wholesale,Winter
Barishal,Barishal,Nathullabad Market,Barley,BARI Barley-7,Barley Flour,6,2400,2600,2500,10/14/2022,Premium,Medium,Medium,Wholesale,Winter
Dhaka,Gazipur,Joydebpur Market,Barley,BARI Barley-7,Barley Flour,924,3840,4160,4000,11/20/2020,Grade B,Low,Medium,Wholesale,Winter
