Student_ID,Submission_Type,Academic_Level,Primary_Language,Word_Count,Average_Sentence_Length,Grammar_Errors,Vocabulary_Richness,Passive_Voice_Ratio,Reading_Level,Editing_Time,Revision_Count,Typing_Speed,Plagiarism_Score,Citation_Count,Punctuation_Density,Sentence_Complexity,Font_Family,Submission_Hour,Is_AI_Assisted
87beca27,Essay,Undergraduate,Native,1561,22.53,4,0.62,0.25,13.12,110.64,31,49.32,2.89,3,0.05,1.61,Helvetica,11,0
769aaedc,Research_Paper,Postgraduate,Native,1303,9.19,8,0.44,0.22,10.47,90.64,25,35.28,7.94,13,0.08,2.02,Calibri,15,0
09f13bc7,Essay,Undergraduate,Native,1389,18.73,6,0.67,0.15,15.9,125.91,25,31.91,22.12,4,0.05,1.33,Calibri,11,0
239ba1f4,Research_Paper,Postgraduate,Native,857,15.16,6,0.63,0.26,9.37,149.09,24,,11.45,18,0.05,1.79,Calibri,20,0
9b68642b,Literature_Review,Undergraduate,Non_Native,1285,9.67,7,0.63,0.29,7.75,185.91,22,42.22,4.65,29,0.07,1.82,Calibri,18,0
ad216108,Literature_Review,High_School,Native,1459,13.63,15,0.44,0.31,12.45,138.86,,86.2,0.58,30,0.07,2.15,Helvetica,18,0
6cf81f2e,Literature_Review,High_School,Native,456,21.57,9,0.6,0.23,15.2,195.84,,,4.66,30,0.08,1.47,Calibri,5,0
6609da91,Research_Paper,Postgraduate,Non_Native,1246,11.29,11,0.49,0.1,8.64,128.21,19,26.22,0.52,19,0.05,2.47,Calibri,3,0
f44ed83e,Essay,Postgraduate,Non_Native,1113,20.13,8,0.59,0.13,10.29,187.08,24,59.2,8.7,,0.05,1.7,Times New Roman,5,0
0247801c,Literature_Review,Undergraduate,Native,1225,17.76,11,0.66,0.19,12.73,,35,56.48,5.64,27,0.08,2.42,Helvetica,12,0
00370a21,Lab_Report,High_School,Native,1151,20.1,1,0.69,0.34,13.17,16.13,4,1200.0,,3,0.08,2.19,Times New Roman,17,1
f2b65894,Research_Paper,Postgraduate,Native,1401,19.09,7,0.63,0.2,11.17,,33,56.36,3.8,16,0.03,2.86,Arial,6,0
e0de1bfd,Lab_Report,Postgraduate,Native,980,12.82,6,0.7,0.23,13.63,189.22,22,28.25,7.98,6,0.05,1.81,Calibri,19,0
443c88c8,Literature_Review,Undergraduate,Non_Native,707,19.84,14,0.52,0.13,10.95,,21,57.08,1.44,29,0.07,2.57,Calibri,12,0
4b03d31f,Research_Paper,Undergraduate,Native,1505,18.65,6,0.56,0.0,9.48,246.88,25,39.26,4.13,16,0.03,2.02,Arial,17,0
73942184,Literature_Review,Undergraduate,Native,1605,16.09,8,0.67,0.13,9.03,211.91,23,39.36,2.87,29,0.06,2.62,Arial,15,0
f9a76f0f,Essay,Undergraduate,Native,1481,13.5,6,0.52,0.09,13.62,219.97,,19.33,10.07,4,0.08,2.09,Calibri,20,0
0e0e4b17,Essay,Postgraduate,Non_Native,639,22.25,9,0.62,0.2,11.87,190.75,26,52.49,13.72,,0.03,1.54,Times New Roman,5,0
d3ba82aa,Essay,High_School,Native,1170,22.83,8,0.55,0.11,12.97,,21,15.36,9.24,6,0.01,2.26,Helvetica,6,0
14602808,Essay,High_School,Non_Native,706,18.95,13,0.49,0.05,12.49,243.94,19,32.97,0.57,3,0.07,1.3,Calibri,16,0
40f3dc80,Essay,High_School,Non_Native,1531,20.13,9,0.7,0.11,7.33,217.09,30,49.89,3.93,2,0.02,2.27,Calibri,2,0
16e4e56f,Research_Paper,Postgraduate,Native,1691,14.63,13,0.68,0.26,10.81,240.38,21,55.05,2.64,19,0.05,1.0,Arial,13,0
ac5f5fc0,Lab_Report,Postgraduate,Native,830,13.02,8,0.5,0.12,12.29,147.36,24,62.76,,,0.03,2.59,Arial,17,0
5bc4d7d4,Essay,Undergraduate,Native,890,11.14,5,0.65,0.13,8.53,178.35,,37.97,0.11,2,0.04,2.49,Times New Roman,14,0
8d84b73c,Essay,Undergraduate,Native,1345,10.07,3,0.64,0.17,11.35,120.31,,48.34,11.63,5,0.05,1.66,Calibri,0,0
8890bd19,Research_Paper,High_School,Non_Native,581,13.25,14,0.65,0.24,15.76,194.12,,60.59,10.51,19,0.04,2.49,Arial,11,0
68479682,Research_Paper,Undergraduate,Native,955,8.96,7,0.55,0.19,9.39,240.45,20,53.8,4.78,19,0.06,2.16,Calibri,19,0
e9908163,Research_Paper,Postgraduate,Native,1059,9.88,7,0.72,0.24,11.96,142.43,27,39.97,0.66,20,0.04,2.3,Times New Roman,7,0
23422d61,Essay,Undergraduate,Non_Native,1275,19.99,8,0.64,0.08,10.89,233.81,28,66.88,2.69,7,0.02,2.02,Arial,3,0
8968523b,Literature_Review,Undergraduate,Non_Native,1315,21.8,9,0.61,0.19,9.68,84.07,23,48.26,0.9,27,0.02,2.6,Calibri,4,0
7ecb6045,Essay,High_School,Native,1536,21.01,3,0.81,0.33,13.92,2.5,2,1200.0,0.73,2,0.07,2.49,Calibri,10,1
0132daaa,Lab_Report,Undergraduate,Native,890,9.44,7,0.67,0.14,13.05,194.41,,29.98,11.16,2,0.06,1.52,Times New Roman,5,0
44d9d858,Essay,Undergraduate,Native,1405,9.82,8,0.65,0.04,11.29,151.59,30,25.07,8.66,2,0.04,2.97,Calibri,14,0
bfede07d,Research_Paper,Undergraduate,Native,942,7.23,13,0.59,0.15,9.04,180.61,31,52.28,3.29,18,0.02,1.0,Arial,23,0
573b9180,Essay,Undergraduate,Native,1379,22.38,0,0.69,0.38,12.89,9.81,1,1200.0,6.33,2,0.09,2.61,Arial,13,1
bc8a2ba4,Lab_Report,Postgraduate,Native,1402,19.54,8,0.61,0.08,15.22,211.16,22,43.61,6.78,4,0.05,1.94,Times New Roman,0,0
37a557b9,Essay,Undergraduate,Non_Native,1529,16.3,8,0.63,0.26,10.89,229.37,33,65.37,6.28,2,0.07,2.83,Arial,9,0
50bd83ed,Essay,High_School,Non_Native,357,21.3,1,0.72,0.4,14.92,5.01,1,1200.0,1.17,0,0.08,2.39,Helvetica,14,1
1ead0eb3,Essay,Undergraduate,Native,1327,20.25,1,0.75,0.41,13.99,20.47,3,1200.0,0.71,,0.09,2.18,Times New Roman,10,1
4b05bc2e,Lab_Report,Postgraduate,Native,1539,19.18,7,0.66,0.06,14.4,40.06,24,,1.6,1,0.06,3.02,Helvetica,11,0
f8cbc51b,Lab_Report,Postgraduate,Native,1131,21.81,9,0.51,0.19,16.85,188.91,26,18.87,,3,0.03,1.52,Helvetica,0,0
68c69bee,Research_Paper,Undergraduate,Native,775,23.26,3,0.75,0.26,14.37,10.52,,1200.0,1.43,7,0.08,2.53,Arial,21,1
ab4840e3,Essay,High_School,Native,1163,23.85,6,0.6,0.31,8.83,103.52,27,52.18,,8,0.08,1.0,Times New Roman,21,0
c4ab94f2,Essay,Undergraduate,Native,1660,11.82,4,0.38,0.14,6.95,242.94,22,65.33,11.26,4,0.05,1.77,Arial,23,0
681c8f48,Literature_Review,Undergraduate,Native,679,16.0,6,0.84,0.34,12.9,,21,54.78,1.7,28,0.04,2.29,Helvetica,11,0
8befca29,Essay,Undergraduate,Non_Native,968,15.43,10,0.52,0.19,6.74,289.68,22,38.86,7.83,3,0.09,2.63,Helvetica,19,0
b1b82f9d,Research_Paper,High_School,Non_Native,797,22.21,0,0.74,0.31,15.71,3.87,0,1200.0,1.48,6,0.09,2.58,Helvetica,18,1
f744832b,Lab_Report,High_School,Native,1100,13.7,6,0.82,0.12,12.51,245.59,27,66.39,8.4,,0.02,2.15,Arial,14,0
b0bd29e3,Essay,Undergraduate,Native,611,26.84,9,0.55,0.07,9.31,163.05,29,22.72,0.51,5,0.05,1.0,Arial,12,0
c8df294b,Literature_Review,Postgraduate,Native,1292,12.13,8,0.58,0.1,11.6,168.28,30,41.35,0.22,33,0.04,1.44,Helvetica,11,0
ab51ef23,Literature_Review,Postgraduate,Native,768,23.99,7,0.65,0.2,13.16,132.26,34,45.09,9.21,30,0.09,1.13,Calibri,8,0
37e6805e,Essay,Postgraduate,Native,987,17.21,15,0.67,0.1,14.19,39.58,,52.68,10.94,2,0.07,2.22,Helvetica,19,0
66eea776,Essay,High_School,Non_Native,1486,18.97,11,0.69,0.36,17.56,203.34,23,76.26,1.9,2,0.04,1.54,Times New Roman,5,0
95a52213,Lab_Report,Postgraduate,Native,813,23.91,2,0.72,0.41,13.97,,1,1200.0,0.23,2,0.08,2.34,Arial,22,1
08657a44,Lab_Report,Postgraduate,Native,1290,6.07,8,0.42,0.12,8.09,143.93,22,14.98,16.17,,0.06,1.54,Times New Roman,7,0
da7e71ee,Research_Paper,Undergraduate,Native,2004,17.13,2,0.7,0.11,8.74,127.76,28,40.68,5.37,17,0.05,1.54,Arial,23,0
71a7730a,Essay,Undergraduate,Non_Native,1164,14.46,11,0.56,0.17,9.12,217.96,19,74.05,5.51,,0.02,2.92,Calibri,5,0
4c8a75ce,Literature_Review,Undergraduate,Native,1192,19.91,0,0.75,0.24,14.27,,1,1200.0,0.73,14,0.06,2.34,Arial,18,1
6b5a30ab,Essay,Undergraduate,Non_Native,1366,21.46,7,0.52,0.26,12.97,166.02,27,30.81,17.65,3,0.02,1.66,Helvetica,11,0
3c19173a,Research_Paper,High_School,Native,582,11.91,8,0.5,0.13,9.38,323.2,,11.23,7.34,17,0.07,1.0,Times New Roman,3,0
03a62b22,Research_Paper,Postgraduate,Native,1679,10.11,15,0.54,0.12,14.12,116.41,27,62.95,4.59,19,0.08,1.44,Calibri,8,0
859dbb3b,Essay,Undergraduate,Native,1030,18.31,7,0.54,0.25,8.88,183.09,18,32.11,,4,0.05,1.0,Helvetica,5,0
7cd60df4,Research_Paper,Postgraduate,Native,1655,16.83,9,0.51,0.16,8.24,,19,49.97,18.48,18,0.02,1.86,Times New Roman,4,0
135b91f4,Research_Paper,Undergraduate,Native,1201,17.3,6,0.59,0.3,9.63,291.1,26,,31.72,18,0.08,2.33,Arial,14,0
bff313ff,Lab_Report,Undergraduate,Native,1369,23.73,3,0.78,0.34,13.05,7.91,0,1200.0,0.9,,0.08,2.58,Calibri,2,1
ea87dfc1,Essay,Undergraduate,Non_Native,832,15.83,9,0.77,0.07,12.51,,20,44.32,0.58,3,0.02,1.6,Helvetica,10,0
eea533e5,Essay,High_School,Native,1615,17.24,10,0.6,0.16,10.47,127.49,34,34.43,5.99,0,0.03,1.66,Times New Roman,19,0
357fcd53,Research_Paper,Postgraduate,Non_Native,765,16.57,11,0.69,0.19,10.41,218.3,23,69.27,25.58,14,0.04,1.01,Calibri,18,0
adc39118,Essay,High_School,Native,1168,17.04,5,0.6,0.31,10.27,167.25,21,35.34,8.01,3,0.02,1.99,Helvetica,2,0
7b6af602,Essay,Undergraduate,Native,888,16.69,6,0.61,0.1,8.82,123.73,29,35.29,9.42,4,0.03,1.0,Helvetica,22,0
d6712ca0,Research_Paper,High_School,Native,910,16.05,10,0.52,0.12,11.82,222.76,22,49.73,3.8,16,0.03,3.18,Helvetica,7,0
1e7c15f4,Research_Paper,Undergraduate,Native,1381,20.9,11,0.57,0.3,13.02,121.54,24,61.23,7.38,16,0.06,1.0,Helvetica,1,0
b31e4058,Research_Paper,Undergraduate,Non_Native,1186,20.41,9,0.71,0.27,16.84,247.05,25,61.32,2.38,14,0.05,1.96,Calibri,2,0
7f6f1036,Literature_Review,Undergraduate,Native,2072,21.6,0,0.8,0.37,14.51,20.23,,0.0,0.44,12,0.07,2.24,Times New Roman,21,1
0f6573ba,Lab_Report,Postgraduate,Non_Native,1484,20.93,6,0.43,0.18,12.45,240.41,30,35.69,18.85,2,0.01,2.47,Calibri,23,0
0f2b79ee,Research_Paper,High_School,Native,1051,20.45,3,0.62,0.16,7.52,97.21,26,25.96,10.8,19,0.01,1.0,Arial,2,0
78ccdc43,Essay,Undergraduate,Native,1503,15.4,14,0.61,0.08,12.93,185.1,26,48.89,16.68,7,0.06,2.71,Calibri,14,0
00ba4b00,Essay,Undergraduate,Native,1135,16.51,4,0.67,0.11,8.9,181.42,22,49.67,19.42,2,0.05,1.59,Helvetica,15,0
4aad0736,Research_Paper,Undergraduate,Native,1012,13.36,10,0.64,0.13,11.65,161.29,25,57.3,8.97,20,0.04,1.51,Arial,8,0
ad3f8ed2,Essay,Postgraduate,Non_Native,954,15.95,12,0.5,0.18,13.23,215.28,38,10.53,4.83,4,0.09,1.46,Helvetica,6,0
2b1dde95,Essay,Undergraduate,Non_Native,802,14.28,11,0.76,0.19,14.35,,26,48.8,10.09,4,0.01,1.33,Times New Roman,11,0
7378cbd5,Essay,Undergraduate,Native,720,17.42,7,0.65,0.1,15.67,313.34,25,61.71,8.07,0,0.07,1.06,Calibri,14,0
bbc2dcb8,Research_Paper,Postgraduate,Native,1354,20.46,6,0.7,0.05,12.77,114.65,15,47.39,9.2,14,0.07,1.11,Times New Roman,18,0
3e1ae9a6,Essay,Undergraduate,Non_Native,1897,27.56,4,0.52,0.19,12.17,106.24,29,,14.29,2,0.06,2.2,Arial,3,0
c6c203be,Literature_Review,Undergraduate,Native,1174,14.78,7,0.6,0.3,13.98,159.46,16,36.25,0.05,31,0.07,1.0,Arial,1,0
7156d6db,Essay,Undergraduate,Native,1284,19.58,44,0.56,0.21,11.85,1264.0,24,64.37,7.96,4,0.04,2.4,Helvetica,8,0
fcc70a8f,Literature_Review,Undergraduate,Native,1967,25.01,5,0.55,0.23,8.26,131.12,19,63.15,7.45,33,0.03,1.51,Helvetica,0,0
7e7f5540,Lab_Report,Postgraduate,Non_Native,1252,15.05,6,0.54,0.25,7.12,177.16,19,60.7,,6,0.04,1.57,Arial,9,0
f8b83860,Research_Paper,High_School,Non_Native,469,16.85,13,0.57,0.2,10.44,277.68,24,36.86,21.44,17,0.05,2.32,Helvetica,13,0
d86e515f,Essay,Undergraduate,Non_Native,756,17.06,7,0.58,0.27,10.17,231.94,,25.99,13.04,3,0.07,1.03,Helvetica,14,0
4cf6715b,Research_Paper,High_School,Non_Native,1256,18.1,2,0.5,0.21,17.33,199.32,32,24.85,3.41,,0.07,1.28,Calibri,12,0
27529e95,Research_Paper,Undergraduate,Native,1821,21.76,2,0.79,0.33,14.36,19.92,2,1200.0,1.21,10,0.09,2.48,Times New Roman,18,1
8b52ddad,Research_Paper,High_School,Non_Native,1341,14.43,15,0.66,0.16,10.43,156.17,,,7.62,18,0.04,2.12,Helvetica,18,0
62f3e23d,Essay,Undergraduate,Non_Native,1359,25.86,1,0.74,0.35,13.3,2.73,4,1200.0,1.75,0,0.08,2.32,Arial,7,1
7a79d3e3,Literature_Review,High_School,Native,2127,19.17,5,0.4,0.24,11.4,120.81,21,39.89,23.55,32,0.1,1.38,Times New Roman,18,0
74d19611,Essay,Postgraduate,Native,1653,13.62,9,0.53,0.2,12.49,149.82,22,61.47,,4,0.08,1.23,Helvetica,13,0
417c8e03,Research_Paper,Undergraduate,Native,922,19.12,15,0.56,0.19,11.23,234.46,,72.36,5.26,18,0.11,1.55,Times New Roman,8,0
f1a74980,Research_Paper,Postgraduate,Non_Native,1048,15.72,6,0.62,0.16,11.85,190.25,,33.12,6.7,16,0.05,1.4,Arial,19,0
d060e60b,Essay,High_School,Native,1098,15.54,6,0.48,0.1,9.92,126.29,14,,4.76,6,0.04,2.88,Times New Roman,12,0
23f0a040,Lab_Report,Undergraduate,Native,890,12.84,8,0.74,0.21,10.07,165.52,24,,,,0.05,1.72,Calibri,21,0
35f244b5,Essay,Undergraduate,Non_Native,1496,16.87,7,0.67,0.2,10.5,196.43,,33.16,4.65,3,0.04,1.28,Times New Roman,7,0
2cd29bb6,Literature_Review,Undergraduate,Native,460,15.79,6,0.59,0.22,10.87,166.07,24,39.08,6.58,28,0.06,2.92,Arial,21,0
ae032e19,Research_Paper,Undergraduate,Non_Native,1445,19.54,7,0.56,0.21,10.96,,32,22.96,19.45,21,0.04,1.51,Calibri,22,0
ef622ddd,Essay,Undergraduate,Native,1170,18.16,10,0.5,0.12,12.23,126.63,27,53.61,3.9,5,0.03,1.85,Helvetica,13,0
5d4cfcf7,Research_Paper,Undergraduate,Non_Native,1313,14.74,9,0.59,0.17,10.59,140.4,29,53.6,3.66,19,0.09,1.81,Calibri,14,0
