video_category,channel_country,content_language,upload_day,video_length_bucket,traffic_source,device_type,viewer_age_group,subscriber_status,engagement_level
Technology,Germany,German,Wednesday,5-10 min,Browse,Mobile,55+,Subscribed,Medium
Education,USA,Arabic,Wednesday,5-10 min,Playlists,Smart TV,13-17,Subscribed,Very High
Sports,Brazil,Japanese,Thursday,10-20 min,Suggested,Mobile,25-34,Not Subscribed,Very Low
Gaming,Australia,Japanese,Monday,>40 min,Playlists,Mobile,18-24,Subscribed,Very High
Sports,India,German,Monday,>40 min,Shorts Feed,Smart TV,45-54,Subscribed,Very High
Entertainment,Brazil,Japanese,Wednesday,>40 min,External,Tablet,45-54,Subscribed,Very High
Gaming,Canada,German,Wednesday,<5 min,Suggested,Desktop,18-24,Subscribed,Low
Education,Australia,Japanese,Saturday,>40 min,External,Tablet,13-17,Subscribed,Medium
Sports,Brazil,Hindi,Saturday,5-10 min,Browse,Game Console,55+,Subscribed,High
Gaming,Japan,German,Saturday,5-10 min,Browse,Desktop,13-17,Subscribed,Low
Sports,UAE,Bengali,Wednesday,20-40 min,Search,Smart TV,55+,Not Subscribed,High
Sports,Japan,Arabic,Thursday,20-40 min,Search,Game Console,13-17,Not Subscribed,Medium
Finance,Germany,English,Monday,5-10 min,Playlists,Game Console,45-54,Subscribed,Medium
Finance,USA,Spanish,Thursday,>40 min,Playlists,Smart TV,25-34,Subscribed,Very High
Entertainment,Brazil,Hindi,Thursday,10-20 min,External,Tablet,25-34,Subscribed,Low
News,Australia,Japanese,Wednesday,20-40 min,Shorts Feed,Game Console,13-17,Not Subscribed,Very Low
News,Germany,Urdu,Monday,20-40 min,Shorts Feed,Game Console,13-17,Not Subscribed,High
Education,Canada,Arabic,Wednesday,>40 min,Shorts Feed,Smart TV,55+,Not Subscribed,Very Low
Technology,Germany,Arabic,Tuesday,10-20 min,External,Smart TV,13-17,Subscribed,Very High
Technology,UK,French,Friday,<5 min,Notifications,Smart TV,13-17,Subscribed,Very Low
Travel,India,Spanish,Thursday,10-20 min,Notifications,Tablet,35-44,Not Subscribed,High
Technology,Brazil,Arabic,Tuesday,20-40 min,Suggested,Game Console,45-54,Subscribed,Very Low
Sports,Australia,Urdu,Sunday,>40 min,Browse,Mobile,25-34,Not Subscribed,Very High
Finance,Brazil,Spanish,Thursday,>40 min,External,Tablet,25-34,Not Subscribed,High
News,Canada,German,Friday,20-40 min,Suggested,Smart TV,13-17,Not Subscribed,High
Entertainment,Australia,Spanish,Thursday,<5 min,Suggested,Game Console,45-54,Not Subscribed,Very Low
Travel,India,Arabic,Thursday,<5 min,Playlists,Desktop,35-44,Subscribed,Very Low
Travel,Germany,Urdu,Friday,20-40 min,Playlists,Mobile,25-34,Not Subscribed,Medium
Travel,Japan,English,Friday,<5 min,Suggested,Tablet,18-24,Subscribed,High
Gaming,India,Japanese,Tuesday,10-20 min,Search,Mobile,25-34,Subscribed,Medium
News,Pakistan,Portuguese,Tuesday,5-10 min,Notifications,Smart TV,45-54,Subscribed,Low
Music,India,Bengali,Sunday,20-40 min,Notifications,Desktop,35-44,Subscribed,Low
Travel,Germany,Japanese,Wednesday,<5 min,Shorts Feed,Smart TV,25-34,Subscribed,Very Low
Travel,Pakistan,Bengali,Wednesday,20-40 min,Playlists,Tablet,35-44,Not Subscribed,Low
Entertainment,Brazil,Hindi,Tuesday,20-40 min,Notifications,Tablet,45-54,Not Subscribed,Medium
Education,Australia,French,Monday,>40 min,Shorts Feed,Mobile,45-54,Not Subscribed,Medium
Technology,UAE,Urdu,Tuesday,5-10 min,Notifications,Tablet,55+,Subscribed,Very Low
Education,Germany,Japanese,Monday,>40 min,Browse,Desktop,13-17,Not Subscribed,Medium
Entertainment,UK,German,Tuesday,>40 min,Browse,Game Console,45-54,Not Subscribed,Low
Sports,Brazil,French,Saturday,10-20 min,Shorts Feed,Mobile,35-44,Subscribed,Low
Technology,Australia,Arabic,Wednesday,<5 min,Shorts Feed,Smart TV,13-17,Not Subscribed,Very High
Gaming,Brazil,Urdu,Saturday,10-20 min,Notifications,Smart TV,55+,Not Subscribed,Very Low
Technology,Brazil,English,Friday,>40 min,Browse,Game Console,18-24,Subscribed,High
Sports,Australia,Hindi,Tuesday,<5 min,Search,Tablet,35-44,Subscribed,Very Low
Technology,Japan,Spanish,Thursday,20-40 min,Browse,Game Console,35-44,Subscribed,High
Gaming,Brazil,Bengali,Thursday,10-20 min,Search,Tablet,18-24,Not Subscribed,High
Technology,Pakistan,Hindi,Saturday,10-20 min,Notifications,Tablet,13-17,Not Subscribed,Medium
Technology,India,Japanese,Monday,5-10 min,Playlists,Game Console,13-17,Subscribed,Medium
Technology,UK,Bengali,Tuesday,<5 min,Shorts Feed,Game Console,18-24,Subscribed,Low
News,UK,Bengali,Monday,10-20 min,Shorts Feed,Desktop,18-24,Not Subscribed,Low
Gaming,USA,Spanish,Monday,10-20 min,Shorts Feed,Desktop,45-54,Not Subscribed,Very Low
Music,Germany,English,Tuesday,20-40 min,Notifications,Mobile,55+,Subscribed,High
Travel,Pakistan,Arabic,Friday,<5 min,External,Game Console,18-24,Subscribed,Very High
Sports,Brazil,English,Monday,20-40 min,Shorts Feed,Smart TV,35-44,Subscribed,High
Travel,India,Hindi,Wednesday,>40 min,Suggested,Mobile,18-24,Not Subscribed,Very High
Finance,Japan,Urdu,Thursday,>40 min,Notifications,Tablet,35-44,Not Subscribed,Very Low
Gaming,Japan,German,Thursday,20-40 min,Suggested,Smart TV,25-34,Not Subscribed,High
Entertainment,India,Urdu,Thursday,10-20 min,Playlists,Tablet,25-34,Subscribed,High
Gaming,India,Hindi,Monday,20-40 min,Search,Tablet,18-24,Subscribed,Very High
Lifestyle,Japan,Urdu,Saturday,<5 min,External,Tablet,55+,Not Subscribed,Very Low
Sports,UAE,French,Wednesday,<5 min,Notifications,Game Console,18-24,Subscribed,High
Technology,India,Urdu,Sunday,>40 min,Browse,Mobile,25-34,Subscribed,High
Lifestyle,UAE,Bengali,Saturday,>40 min,Search,Game Console,55+,Not Subscribed,Very Low
Music,Germany,French,Wednesday,10-20 min,Search,Desktop,18-24,Not Subscribed,Very Low
Music,USA,Hindi,Saturday,>40 min,Suggested,Smart TV,35-44,Not Subscribed,Medium
Music,Pakistan,French,Saturday,10-20 min,Shorts Feed,Game Console,45-54,Subscribed,Very Low
Music,UK,Bengali,Monday,<5 min,Browse,Smart TV,55+,Not Subscribed,High
Finance,Brazil,Portuguese,Wednesday,5-10 min,Shorts Feed,Game Console,13-17,Not Subscribed,High
Gaming,Germany,Bengali,Thursday,>40 min,Playlists,Tablet,13-17,Subscribed,High
Finance,USA,English,Tuesday,10-20 min,Suggested,Desktop,25-34,Not Subscribed,Medium
Gaming,USA,Japanese,Saturday,20-40 min,Suggested,Desktop,35-44,Subscribed,Very High
Lifestyle,Pakistan,Hindi,Thursday,<5 min,External,Mobile,35-44,Subscribed,Medium
Finance,Australia,Bengali,Thursday,20-40 min,Browse,Mobile,35-44,Subscribed,Medium
Music,UAE,Japanese,Sunday,10-20 min,Search,Smart TV,13-17,Subscribed,High
Finance,Australia,Arabic,Monday,20-40 min,Shorts Feed,Tablet,55+,Not Subscribed,Low
News,UK,Hindi,Friday,<5 min,Notifications,Game Console,18-24,Not Subscribed,Medium
Music,Canada,Hindi,Tuesday,10-20 min,Suggested,Desktop,45-54,Subscribed,Very Low
Music,Brazil,Japanese,Sunday,>40 min,Shorts Feed,Game Console,35-44,Not Subscribed,Medium
Music,Brazil,Hindi,Thursday,20-40 min,Playlists,Tablet,25-34,Subscribed,Medium
Lifestyle,India,French,Thursday,20-40 min,Search,Mobile,25-34,Not Subscribed,Very Low
Gaming,UAE,Bengali,Friday,20-40 min,External,Game Console,45-54,Subscribed,High
Finance,Canada,Urdu,Friday,20-40 min,Notifications,Desktop,13-17,Not Subscribed,Very Low
News,India,Arabic,Saturday,5-10 min,Search,Desktop,55+,Not Subscribed,High
Lifestyle,Japan,Bengali,Tuesday,10-20 min,Browse,Tablet,35-44,Not Subscribed,Medium
Finance,USA,Urdu,Monday,10-20 min,Search,Game Console,55+,Not Subscribed,Medium
Sports,UAE,Spanish,Wednesday,<5 min,Notifications,Desktop,25-34,Not Subscribed,High
Music,UAE,Hindi,Wednesday,>40 min,External,Tablet,18-24,Subscribed,High
Lifestyle,Pakistan,English,Wednesday,10-20 min,Suggested,Desktop,25-34,Not Subscribed,Low
Technology,UK,Spanish,Monday,10-20 min,Shorts Feed,Mobile,45-54,Subscribed,Medium
Finance,UK,Bengali,Thursday,5-10 min,Suggested,Desktop,55+,Subscribed,High
Education,Australia,Urdu,Saturday,5-10 min,External,Game Console,25-34,Not Subscribed,Low
Lifestyle,Canada,French,Sunday,20-40 min,Shorts Feed,Desktop,25-34,Not Subscribed,High
Sports,Australia,Arabic,Friday,20-40 min,Suggested,Desktop,45-54,Subscribed,Medium
Education,Brazil,Urdu,Friday,<5 min,Playlists,Game Console,13-17,Not Subscribed,Very Low
Music,Germany,Japanese,Friday,5-10 min,Shorts Feed,Smart TV,13-17,Subscribed,High
News,USA,Portuguese,Monday,20-40 min,Notifications,Tablet,18-24,Not Subscribed,Very Low
News,Canada,English,Wednesday,<5 min,Shorts Feed,Tablet,18-24,Subscribed,Very Low
Sports,Brazil,Spanish,Sunday,20-40 min,External,Game Console,13-17,Subscribed,Very Low
Sports,Canada,Spanish,Friday,>40 min,Notifications,Smart TV,13-17,Not Subscribed,Low
Sports,India,English,Tuesday,20-40 min,Playlists,Game Console,35-44,Subscribed,Very Low
Travel,UAE,Arabic,Monday,>40 min,Notifications,Desktop,55+,Subscribed,Medium
Entertainment,USA,Bengali,Wednesday,5-10 min,Notifications,Smart TV,18-24,Subscribed,Very High
News,India,Arabic,Friday,>40 min,Shorts Feed,Game Console,45-54,Subscribed,High
Travel,USA,Portuguese,Wednesday,10-20 min,Playlists,Mobile,25-34,Subscribed,Medium
Technology,India,Bengali,Saturday,10-20 min,Suggested,Mobile,25-34,Not Subscribed,Low
Travel,Brazil,Spanish,Sunday,5-10 min,Search,Smart TV,13-17,Not Subscribed,Low
Education,Canada,English,Wednesday,10-20 min,Notifications,Smart TV,45-54,Not Subscribed,Medium
Education,Canada,French,Wednesday,<5 min,Shorts Feed,Tablet,25-34,Subscribed,Medium
Entertainment,Australia,Japanese,Thursday,10-20 min,Suggested,Smart TV,55+,Not Subscribed,Medium
Lifestyle,Germany,Hindi,Saturday,20-40 min,Search,Smart TV,45-54,Subscribed,Very High
Sports,Pakistan,Hindi,Monday,10-20 min,Playlists,Tablet,25-34,Not Subscribed,Very High
Entertainment,UK,Japanese,Wednesday,20-40 min,Search,Tablet,45-54,Not Subscribed,Medium
Education,India,Portuguese,Wednesday,>40 min,Shorts Feed,Desktop,13-17,Subscribed,Very High
Travel,USA,Spanish,Monday,5-10 min,Shorts Feed,Tablet,25-34,Not Subscribed,Very High
Education,UAE,Spanish,Saturday,20-40 min,Browse,Tablet,35-44,Subscribed,Very High
Music,Japan,Urdu,Thursday,10-20 min,Playlists,Tablet,18-24,Subscribed,Very Low
Music,Brazil,Arabic,Thursday,>40 min,Search,Tablet,25-34,Not Subscribed,Low
Finance,Germany,Japanese,Tuesday,<5 min,Suggested,Mobile,35-44,Subscribed,High
Gaming,Pakistan,Urdu,Saturday,<5 min,Notifications,Game Console,25-34,Not Subscribed,Low
Music,Pakistan,Arabic,Tuesday,<5 min,Suggested,Desktop,18-24,Not Subscribed,Very Low
News,Japan,Bengali,Wednesday,20-40 min,Shorts Feed,Game Console,18-24,Subscribed,Very Low
Sports,Australia,Japanese,Friday,20-40 min,Shorts Feed,Smart TV,45-54,Subscribed,Low
News,India,Japanese,Thursday,>40 min,Browse,Desktop,45-54,Subscribed,Low
Entertainment,Japan,English,Sunday,<5 min,Notifications,Desktop,25-34,Subscribed,Low
News,Canada,Urdu,Friday,10-20 min,Shorts Feed,Mobile,25-34,Subscribed,Very High
Sports,UK,French,Friday,>40 min,Search,Game Console,55+,Subscribed,Very High
Finance,UK,Spanish,Saturday,>40 min,Playlists,Game Console,25-34,Subscribed,Very Low
Gaming,USA,Bengali,Wednesday,5-10 min,Shorts Feed,Game Console,35-44,Subscribed,High
Lifestyle,Germany,French,Thursday,5-10 min,Shorts Feed,Smart TV,25-34,Not Subscribed,Very Low
Education,UK,Japanese,Thursday,20-40 min,External,Desktop,25-34,Subscribed,Medium
News,Pakistan,Portuguese,Tuesday,10-20 min,Notifications,Game Console,13-17,Not Subscribed,Low
Travel,India,French,Thursday,5-10 min,Suggested,Mobile,13-17,Not Subscribed,High
Finance,Australia,German,Sunday,5-10 min,Shorts Feed,Tablet,45-54,Not Subscribed,Low
Music,Brazil,Arabic,Thursday,20-40 min,Browse,Smart TV,13-17,Subscribed,High
Lifestyle,Brazil,German,Tuesday,>40 min,Browse,Mobile,13-17,Not Subscribed,High
Finance,Brazil,French,Friday,<5 min,Shorts Feed,Mobile,35-44,Subscribed,Medium
News,Australia,Urdu,Monday,20-40 min,Search,Game Console,45-54,Subscribed,Medium
Lifestyle,Germany,Hindi,Thursday,>40 min,External,Game Console,25-34,Subscribed,Low
Gaming,Australia,Urdu,Sunday,10-20 min,Notifications,Tablet,18-24,Subscribed,Very High
Lifestyle,Australia,Arabic,Monday,<5 min,Search,Desktop,55+,Not Subscribed,High
Lifestyle,Brazil,Spanish,Friday,>40 min,Suggested,Tablet,45-54,Not Subscribed,Low
Entertainment,UAE,French,Friday,10-20 min,Notifications,Game Console,45-54,Not Subscribed,Very High
Sports,Brazil,English,Wednesday,10-20 min,Playlists,Mobile,35-44,Not Subscribed,Very Low
Finance,Brazil,French,Saturday,>40 min,Notifications,Desktop,55+,Subscribed,Very High
Travel,UK,Arabic,Saturday,>40 min,Shorts Feed,Smart TV,18-24,Subscribed,Very Low
Finance,India,German,Monday,20-40 min,Browse,Smart TV,18-24,Not Subscribed,Low
Entertainment,Japan,Bengali,Thursday,<5 min,Playlists,Desktop,45-54,Subscribed,Very High
News,Brazil,Arabic,Thursday,10-20 min,Suggested,Smart TV,45-54,Not Subscribed,Very High
News,Germany,Bengali,Thursday,5-10 min,Suggested,Tablet,45-54,Not Subscribed,Low
Sports,Germany,German,Saturday,20-40 min,Browse,Smart TV,25-34,Not Subscribed,Medium
Gaming,UAE,Arabic,Thursday,20-40 min,Shorts Feed,Tablet,18-24,Not Subscribed,Very Low
Sports,India,Urdu,Thursday,10-20 min,Playlists,Smart TV,18-24,Subscribed,Very High
Sports,Japan,French,Tuesday,<5 min,Notifications,Game Console,18-24,Subscribed,Very Low
Lifestyle,Canada,German,Monday,<5 min,External,Tablet,55+,Not Subscribed,Very Low
Music,USA,Arabic,Tuesday,20-40 min,Playlists,Smart TV,35-44,Subscribed,Medium
News,Germany,English,Sunday,<5 min,Playlists,Game Console,18-24,Subscribed,Low
Entertainment,UK,English,Sunday,20-40 min,Shorts Feed,Smart TV,18-24,Not Subscribed,Very Low
Education,Germany,Bengali,Friday,<5 min,Browse,Tablet,35-44,Not Subscribed,Low
Lifestyle,Brazil,French,Tuesday,<5 min,Browse,Desktop,55+,Not Subscribed,Medium
Music,USA,Urdu,Sunday,10-20 min,Notifications,Desktop,18-24,Not Subscribed,High
Lifestyle,Pakistan,Hindi,Thursday,<5 min,Suggested,Desktop,35-44,Not Subscribed,Low
Education,Germany,Portuguese,Tuesday,20-40 min,Shorts Feed,Tablet,25-34,Not Subscribed,Very High
Finance,USA,French,Saturday,10-20 min,Playlists,Desktop,13-17,Subscribed,High
Sports,UK,Portuguese,Saturday,>40 min,Playlists,Tablet,55+,Subscribed,Medium
News,UAE,German,Tuesday,5-10 min,External,Desktop,35-44,Not Subscribed,High
Lifestyle,Brazil,Arabic,Sunday,5-10 min,Shorts Feed,Desktop,55+,Subscribed,Very High
Travel,Japan,Urdu,Monday,>40 min,Search,Mobile,45-54,Subscribed,Very High
Lifestyle,UK,Spanish,Wednesday,>40 min,External,Mobile,55+,Subscribed,Very High
Travel,India,Arabic,Thursday,<5 min,External,Desktop,45-54,Not Subscribed,High
Finance,USA,Arabic,Thursday,10-20 min,Playlists,Mobile,35-44,Not Subscribed,Very Low
Technology,UAE,Hindi,Monday,20-40 min,Browse,Mobile,45-54,Subscribed,Very Low
Travel,USA,French,Thursday,5-10 min,Shorts Feed,Desktop,55+,Not Subscribed,Medium
Entertainment,Brazil,Portuguese,Thursday,<5 min,Playlists,Game Console,18-24,Not Subscribed,Very Low
Music,Japan,Portuguese,Friday,5-10 min,Playlists,Desktop,13-17,Subscribed,Medium
Travel,Japan,Portuguese,Friday,20-40 min,Shorts Feed,Desktop,18-24,Not Subscribed,Medium
Music,Germany,German,Saturday,<5 min,Search,Smart TV,45-54,Subscribed,Low
Technology,India,Hindi,Friday,<5 min,External,Game Console,55+,Subscribed,Low
Education,Australia,Japanese,Tuesday,>40 min,Suggested,Mobile,18-24,Not Subscribed,Low
Finance,Pakistan,Bengali,Friday,10-20 min,Suggested,Tablet,18-24,Subscribed,High
Sports,Germany,English,Friday,>40 min,Playlists,Desktop,55+,Not Subscribed,Very High
Travel,USA,Urdu,Saturday,20-40 min,Shorts Feed,Game Console,25-34,Not Subscribed,High
Music,Germany,Portuguese,Tuesday,>40 min,External,Desktop,18-24,Not Subscribed,Low
Travel,USA,Arabic,Thursday,20-40 min,Notifications,Game Console,18-24,Not Subscribed,Low
Sports,Canada,Urdu,Saturday,<5 min,External,Tablet,13-17,Subscribed,Very Low
Sports,Australia,Bengali,Friday,<5 min,Shorts Feed,Mobile,18-24,Subscribed,High
Technology,Pakistan,French,Monday,5-10 min,Suggested,Mobile,55+,Not Subscribed,Low
Finance,Canada,Portuguese,Tuesday,>40 min,Browse,Tablet,35-44,Not Subscribed,Very High
News,Germany,French,Wednesday,>40 min,External,Smart TV,13-17,Not Subscribed,Medium
Technology,Pakistan,Urdu,Thursday,<5 min,Notifications,Desktop,55+,Subscribed,Very Low
Sports,Japan,Bengali,Friday,20-40 min,Browse,Desktop,18-24,Not Subscribed,Low
Entertainment,UAE,German,Thursday,>40 min,Playlists,Tablet,25-34,Not Subscribed,High
Travel,UK,Urdu,Tuesday,5-10 min,Playlists,Game Console,35-44,Subscribed,Very High
Education,Japan,English,Sunday,<5 min,Shorts Feed,Mobile,13-17,Not Subscribed,Low
Technology,India,Spanish,Monday,5-10 min,Notifications,Smart TV,25-34,Subscribed,Very High
Finance,Brazil,Japanese,Monday,<5 min,Notifications,Game Console,35-44,Subscribed,Very Low
Lifestyle,Germany,Arabic,Wednesday,<5 min,Notifications,Smart TV,18-24,Subscribed,Very Low
Lifestyle,UK,German,Tuesday,>40 min,Notifications,Tablet,25-34,Not Subscribed,High
Gaming,Pakistan,Portuguese,Thursday,>40 min,Suggested,Desktop,25-34,Subscribed,Very Low
Gaming,Australia,Portuguese,Thursday,>40 min,External,Mobile,55+,Subscribed,Low
Gaming,Brazil,Portuguese,Saturday,10-20 min,Notifications,Mobile,45-54,Subscribed,Low
Technology,UAE,Japanese,Wednesday,<5 min,Search,Tablet,45-54,Subscribed,Low
News,USA,German,Friday,5-10 min,Shorts Feed,Smart TV,13-17,Not Subscribed,Low
Finance,Canada,Bengali,Sunday,20-40 min,Playlists,Game Console,25-34,Not Subscribed,Low
Gaming,Japan,Urdu,Monday,<5 min,External,Desktop,13-17,Not Subscribed,Very High
Finance,UAE,Portuguese,Sunday,10-20 min,Search,Tablet,35-44,Not Subscribed,Low
News,Japan,Portuguese,Thursday,5-10 min,Playlists,Game Console,55+,Not Subscribed,Very Low
Finance,Germany,German,Saturday,<5 min,Search,Tablet,18-24,Not Subscribed,Low
Entertainment,Pakistan,Urdu,Monday,<5 min,Search,Tablet,35-44,Not Subscribed,Medium
Gaming,UK,Hindi,Tuesday,20-40 min,External,Game Console,45-54,Not Subscribed,Very Low
Education,India,Urdu,Friday,<5 min,Notifications,Game Console,25-34,Not Subscribed,Very Low
