call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,seconds_of_use_phase,frequency_of_use_phase,frequency_of_sms_phase,distinct_called_numbers_phase,customer_value_phase,in_pocket,target_real,target
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,1.71191,0.816933,1.70034,1.84054,1.57865,0,0,0
23,1,33,0,955,47,16,17,2,1,2,25,117.09,-2.05541,-0.347644,-0.384699,-0.660819,-1.51623,0,1,1
21,1,36,8,10435,93,1,42,5,2,1,55,159.42,2.42536,1.51815,-1.93902,2.30632,-0.892746,1,0,1
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1.26341,1.64674,0.315776,0.314098,0.913866,0,1,1
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,-0.125388,-1.92055,-2.27194,-1.00134,-1.53571,0,0,0
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,-0.0199019,-0.747378,-0.987731,-0.777738,-0.907522,0,1,1
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,-0.696225,-0.532894,0.733544,1.3043,-0.022495,0,1,1
0,0,36,0,133,2,0,2,3,1,2,30,5.4,-2.77754,-2.81834,-2.29788,-2.7316,-2.87586,0,1,1
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,-1.34502,-1.6414,-2.29794,-2.11996,-2.18289,0,0,0
3,0,33,1,6785,97,14,22,5,1,1,55,124.23,1.74441,1.62011,-0.580681,0.12682,-1.40477,0,0,0
0,1,36,0,628,7,9,4,4,1,2,45,38.375,-2.40059,-2.60168,-0.964599,-2.42534,-2.57357,0,1,1
0,0,36,1,338,4,4,2,5,1,1,55,11.13,-2.65703,-2.76683,-1.68627,-2.74282,-2.81964,0,0,0
25,0,31,3,16075,238,0,80,2,2,1,25,734.085,3.05415,3.03756,-2.27218,3.07231,1.42661,1,0,1
6,0,34,3,6965,116,271,33,2,2,1,25,1538.14,1.835,2.00675,2.59723,1.52206,2.75141,0,0,0
2,0,36,0,3718,82,2,28,2,1,1,25,180,0.471351,1.14073,-1.80634,0.892461,-0.580125,0,0,0
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,-1.33827,-0.547721,0.889256,-0.200517,-0.0917913,0,0,0
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,-0.206003,-0.0173604,2.12496,0.337769,1.95846,0,0,0
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,-1.69019,-1.0292,2.3082,-1.42601,2.02644,0,0,0
4,0,26,0,1568,39,30,68,4,1,1,45,115.175,-1.39161,-0.832105,0.559978,2.94797,-1.51457,0,0,0
11,0,27,0,700,25,10,7,2,1,2,25,77.625,-2.33974,-1.65329,-0.862786,-2.00811,-2.0259,0,0,0
0,0,26,0,825,10,21,3,4,1,2,45,73.375,-2.17342,-2.44941,-0.080648,-2.57373,-2.12766,0,1,1
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,-1.77251,-1.26877,-0.20342,-1.22603,-1.17665,0,0,0
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0.185394,0.343152,-1.11524,0.225141,-0.873015,0,0,0
2,0,18,0,1695,26,28,14,2,1,1,25,203.445,-1.29288,-1.676,0.385012,-0.974252,-0.267515,0,0,0
16,0,17,1,6393,141,85,42,2,2,1,25,676.53,1.53504,2.31098,1.53569,2.29084,1.28378,1,0,1
12,0,15,0,8933,171,73,40,4,1,1,45,410.1,2.25089,2.64422,1.46821,2.18596,1.03684,1,0,0
8,0,16,3,2853,45,31,19,3,2,1,30,239.92,-0.146538,-0.483899,0.597606,-0.270557,0.0936744,0,0,0
2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,0.869445,-0.805939,2.43682,-1.68686,2.2671,0,0,0
3,0,9,1,1488,19,0,7,3,1,1,30,60.28,-1.45396,-2.01205,-2.23116,-2.07931,-2.3103,0,1,1
11,0,40,1,4430,74,10,19,3,1,1,30,220.16,0.831572,0.796238,-0.901844,-0.26734,-0.120192,0,0,0
3,0,41,1,378,8,12,6,3,1,1,30,63.44,-2.64279,-2.50762,-0.691987,-2.12834,-2.23808,0,0,0
13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,-0.504879,0.431995,2.8704,0.639614,2.77666,0,0,0
13,0,40,1,4258,69,6,37,1,1,1,15,270.985,0.819058,0.601668,-1.53695,1.89045,0.421113,0,0,0
6,0,40,1,2453,61,7,35,2,1,1,25,144.63,-0.573612,0.29365,-1.41867,1.75758,-1.14922,0,0,0
14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0.570948,1.21135,0.792468,1.19881,0.628089,0,0,0
7,0,40,1,2420,42,290,20,3,1,1,30,1258.48,-0.595737,-0.710693,2.70037,-0.210013,2.52208,0,0,0
16,0,39,3,9175,124,149,45,3,1,1,30,967.96,2.30155,2.11323,1.93648,2.50915,2.12151,1,0,1
10,0,40,1,13833,172,5,46,3,1,1,30,580.2,2.67341,2.71321,-1.60138,2.67024,1.21516,1,0,0
10,0,40,2,4575,86,7,27,3,1,1,30,214.44,0.966622,1.23402,-1.46015,0.836678,-0.149511,0,0,0
9,0,40,1,5978,98,12,14,3,1,1,30,291.04,1.34771,1.65571,-0.728224,-1.05779,0.558771,0,0,0
12,0,40,1,2298,57,13,19,3,1,1,30,146.2,-0.66508,0.160731,-0.675837,-0.291163,-1.14019,0,0,0
28,0,40,4,15200,228,59,34,3,1,1,30,853.12,2.87197,3.00049,1.32159,1.5842,1.76983,1,0,0
7,0,40,2,3155,30,488,10,3,1,1,30,2079.4,0.128853,-1.46303,3.09001,-1.63975,3.1164,0,0,0
12,0,39,1,15545,185,155,32,2,1,1,25,1405.35,2.93968,2.83897,1.99024,1.36905,2.62391,1,0,0
6,0,39,2,6560,89,191,28,3,1,1,30,1029.96,1.62848,1.36132,2.24706,0.989595,2.30325,0,0,0
3,0,39,1,935,17,5,13,2,1,1,25,65.34,-2.09058,-2.11142,-1.63757,-1.19939,-2.246,0,0,0
5,0,40,1,770,17,18,10,3,1,1,30,103.48,-2.26514,-2.07778,-0.194637,-1.60701,-1.68592,0,0,0
3,1,39,1,60,3,5,2,2,1,1,25,25.335,-2.82025,-2.77448,-1.57563,-2.69374,-2.69568,0,1,1
6,0,39,1,7568,130,389,45,3,1,1,30,1863.92,2.0404,2.20593,2.99465,2.55341,2.90434,0,0,0
10,0,39,2,11525,157,16,49,4,2,1,45,332.05,2.56698,2.47227,-0.354191,2.7575,0.773231,1,0,1
11,0,39,2,6778,78,113,39,2,1,1,25,817.02,1.75625,0.938497,1.7156,2.08556,1.65289,0,0,0
26,1,35,1,1015,50,21,19,3,1,1,30,126.6,-1.98359,-0.188977,0.0148314,-0.229267,-1.39508,0,1,1
24,1,38,9,10495,96,6,44,5,2,1,55,167.865,2.46817,1.55779,-1.61892,2.45557,-0.744844,1,0,0
16,0,38,2,5878,101,31,26,2,1,1,25,408.555,1.27857,1.71013,0.572022,0.639677,1.00309,0,0,0
4,0,36,1,2900,25,5,16,3,1,1,30,137,-0.0376239,-1.66819,-1.62628,-0.818284,-1.23083,0,0,0
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,0.0393494,-0.56857,-0.599063,-0.408985,-0.573164,0,1,1
12,1,38,1,2328,47,39,33,3,1,1,30,251,-0.659924,-0.34632,0.889114,1.53321,0.221758,0,1,1
3,0,38,1,193,5,5,4,3,1,1,30,27.92,-2.79532,-2.73249,-1.63469,-2.46735,-2.62804,0,1,1
4,0,38,1,1728,28,5,8,4,1,1,45,56.4,-1.26345,-1.50064,-1.58667,-1.97048,-2.33448,0,0,0
6,0,35,2,6845,100,19,24,5,1,1,55,132.675,1.80369,1.73422,-0.15016,0.448439,-1.27537,0,0,0
3,0,38,1,688,10,14,6,4,1,1,45,52.45,-2.35702,-2.47903,-0.599244,-2.2038,-2.40066,0,1,1
3,0,38,2,398,7,9,4,5,1,1,55,19.575,-2.57508,-2.5801,-1.00936,-2.4262,-2.74159,0,0,0
28,0,33,4,16135,241,5,82,2,1,1,25,759.42,3.05623,3.14147,-1.60622,3.13046,1.48006,1,0,1
9,1,36,4,7025,119,276,35,3,2,1,30,1389.76,1.89721,2.00013,2.6223,1.71015,2.59495,1,0,0
5,0,38,1,3778,85,7,30,3,1,1,30,182.52,0.543049,1.18858,-1.34833,1.20771,-0.552727,0,0,0
6,0,37,1,1725,47,43,22,3,1,1,30,242.88,-1.26261,-0.380733,1.02567,0.186393,0.132054,0,0,0
9,0,38,1,2840,56,180,25,2,1,1,25,940.32,-0.168409,0.133676,2.18087,0.53091,2.04759,0,0,0
7,0,29,2,1375,39,198,13,3,2,1,30,848.56,-1.60574,-0.886224,2.34185,-1.16627,1.79225,0,0,0
7,0,28,1,1628,42,35,70,4,1,1,45,129.25,-1.36499,-0.667463,0.74445,2.97193,-1.31569,0,0,0
14,0,29,1,760,28,15,9,3,1,1,30,91.52,-2.25607,-1.48692,-0.490635,-1.71818,-1.88799,0,0,0
3,0,28,1,885,13,26,5,4,1,1,45,87.45,-2.14821,-2.28965,0.309997,-2.2757,-1.97026,0,0,0
13,0,27,1,1285,35,24,15,2,1,1,25,167.4,-1.68542,-1.12767,0.148379,-0.89579,-0.746829,0,0,0
5,0,27,1,3285,64,13,25,3,1,1,30,185.96,0.199895,0.416068,-0.660139,0.55287,-0.488085,0,0,0
5,0,20,1,1755,29,33,16,2,1,1,25,228.78,-1.25184,-1.46555,0.690849,-0.758122,0.0156369,0,0,0
19,0,19,2,6453,144,90,44,2,2,1,25,701.865,1.5394,2.32846,1.55403,2.53354,1.33102,0,0,0
15,0,17,1,8993,174,78,42,5,1,1,55,254.505,2.25984,2.70514,1.50817,2.3537,0.306446,1,0,0
11,0,18,4,2913,48,36,21,3,1,1,30,262.44,-0.0935837,-0.329351,0.762666,-0.0356702,0.372981,0,0,0
5,0,11,2,4450,43,220,12,3,1,1,30,1059.72,0.920987,-0.656521,2.43061,-1.30861,2.35061,0,0,0
6,1,11,2,1548,22,5,9,3,1,1,30,82.8,-1.48557,-1.85148,-1.6342,-1.70158,-2.00924,0,1,1
5,0,36,0,4310,68,0,15,2,1,1,25,197.01,0.827063,0.553313,-2.43408,-0.856916,-0.329662,0,0,0
0,0,37,0,258,2,2,2,2,1,2,25,20.7,-2.77164,-2.81093,-1.83008,-2.76549,-2.72632,0,0,0
7,0,35,0,2393,57,354,22,2,1,1,25,1703.25,-0.613045,0.142737,2.79702,0.147277,2.89049,0,0,0
7,0,36,0,4138,63,0,33,1,1,1,15,231.055,0.764834,0.443248,-2.41528,1.52754,0.027623,0,0,0
0,0,36,0,2333,55,0,31,1,1,1,15,131.34,-0.68934,0.0479832,-2.41172,1.32054,-1.28939,0,0,0
8,0,36,0,3715,79,27,26,3,1,1,30,259.76,0.485617,0.979393,0.350394,0.642696,0.301184,0,0,0
1,0,36,0,2300,36,280,16,3,1,1,30,1213.44,-0.699885,-1.03324,2.65858,-0.667303,2.43317,0,0,0
10,0,35,1,9055,118,139,41,3,1,1,30,922.92,2.27027,1.99473,1.82575,2.26902,1.95415,0,0,0
4,0,36,0,13713,166,0,42,3,1,1,30,555.16,2.69562,2.59907,-2.40573,2.2744,1.16639,1,0,1
4,0,36,0,4455,80,0,23,3,1,1,30,181.4,0.889038,1.00889,-2.41163,0.317988,-0.587575,0,0,0
3,0,36,0,5858,92,2,10,2,1,1,25,276.75,1.2803,1.45398,-1.79105,-1.65937,0.4768,0,0,0
6,1,36,0,2178,51,3,15,3,1,2,30,101.16,-0.842127,-0.105484,-1.73548,-0.948778,-1.73866,0,0,0
22,0,36,2,15080,222,49,30,3,1,1,30,808.08,2.82633,2.93594,1.20455,1.18247,1.62879,1,0,1
1,0,36,0,3035,24,478,6,3,1,1,30,2034.36,-0.00335847,-1.7615,3.08819,-2.18889,3.05551,0,0,0
6,0,35,0,15425,179,145,28,2,1,1,25,1354.68,2.88604,2.79841,1.87902,0.865897,2.58764,1,0,0
0,0,35,0,6440,83,181,24,3,1,1,30,984.92,1.52699,1.122,2.1545,0.451312,2.14981,0,0,0
0,0,35,0,815,11,0,9,2,1,2,25,37.17,-2.21564,-2.35963,-2.36271,-1.70451,-2.58094,0,0,0
0,0,36,0,650,11,8,6,2,1,2,25,65.745,-2.39188,-2.41048,-1.14939,-2.20915,-2.21087,0,0,0
0,0,35,0,0,0,0,0,2,1,2,25,0,-2.84344,-3.08224,-2.39172,-2.84472,-3.00524,0,1,1
0,0,35,0,7448,124,379,41,2,1,1,25,2046.24,2.06096,2.1173,2.92098,2.24625,3.04076,0,0,0
4,0,35,0,11405,151,6,45,3,1,1,30,486.24,2.53334,2.42815,-1.54796,2.55435,1.07009,1,0,0
5,0,35,0,6658,72,103,35,2,1,1,25,766.35,1.66522,0.738993,1.64726,1.68726,1.49429,0,0,0
20,0,31,0,895,44,11,15,2,1,2,25,91.755,-2.11734,-0.513984,-0.830828,-0.952749,-1.86683,0,1,1
18,0,34,7,10375,90,0,40,4,1,1,45,261.625,2.38726,1.39876,-2.40766,2.19082,0.388067,1,0,1
10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1.26637,1.58902,-0.0448244,0.196256,0.853899,0,1,1
0,0,32,0,2780,19,0,12,3,1,1,30,111.96,-0.197278,-2.0274,-2.38137,-1.28875,-1.59371,0,0,0
6,0,33,0,2930,38,4,14,2,1,2,25,151.56,-0.0488889,-0.901651,-1.66914,-0.988888,-1.06553,0,1,1
6,1,34,0,2208,41,29,29,3,1,2,30,205.96,-0.78862,-0.7749,0.493452,1.07508,-0.278524,0,1,1
0,1,34,0,0,0,0,0,3,1,2,30,0,-3.09507,-3.04609,-2.46362,-2.89379,-3.03007,0,1,1
0,0,34,0,1608,22,0,4,3,1,1,30,65.2,-1.36743,-1.81425,-2.45796,-2.45779,-2.22785,0,0,0
0,0,31,0,6725,94,9,20,4,1,1,45,192.975,1.75429,1.53661,-1.03137,-0.0846692,-0.413976,0,0,0
0,0,34,0,568,4,4,2,4,1,2,45,24.3,-2.45289,-2.77037,-1.69896,-2.64845,-2.70481,0,1,1
0,0,34,0,0,0,0,0,5,1,1,55,0,-3.05645,-3.06149,-2.45324,-2.82914,-3.01404,0,0,0
22,0,29,2,16015,235,0,78,2,1,1,25,731.25,3.0968,3.0521,-2.43809,3.07752,1.41472,1,0,1
3,0,32,2,6905,113,266,31,2,2,1,25,1512.81,1.80459,1.95212,2.58713,1.28493,2.71472,0,0,0
0,0,34,0,3658,79,0,26,2,1,1,25,168.165,0.431035,1.00765,-2.45165,0.646436,-0.740755,0,0,0
0,0,33,0,1605,41,33,18,3,1,2,30,197.84,-1.36693,-0.759683,0.709103,-0.513475,-0.337351,0,0,0
3,0,34,0,2720,50,170,21,2,1,1,25,889.65,-0.28877,-0.161871,2.0769,-0.0117942,1.88688,0,0,0
1,0,25,0,1255,33,188,9,2,2,1,25,903.96,-1.75076,-1.22966,2.20311,-1.73516,1.92626,0,0,0
1,0,24,0,1508,36,25,66,4,1,1,45,101.1,-1.41443,-1.061,0.278021,2.9454,-1.70717,0,0,0
8,0,25,0,640,22,5,5,2,1,2,25,52.29,-2.3853,-1.83743,-1.58047,-2.34481,-2.35324,0,0,0
0,1,24,0,765,7,16,1,4,1,2,45,59.3,-2.25915,-2.54959,-0.395658,-2.79816,-2.2692,0,1,1
7,0,23,0,1165,29,14,11,2,1,1,25,116.73,-1.89259,-1.48224,-0.609262,-1.48034,-1.51127,0,0,0
0,0,23,0,3165,58,3,21,3,1,1,30,140.92,0.135792,0.154686,-1.72501,0.0499988,-1.20041,0,0,0
0,0,16,0,1635,23,23,12,2,1,1,25,178.11,-1.35749,-1.79305,0.102412,-1.24327,-0.600313,0,0,0
13,0,15,0,6333,138,80,40,1,2,1,15,795.905,1.51922,2.34044,1.5154,2.13714,1.58084,1,0,0
9,0,13,0,8873,168,68,38,4,1,1,45,396.025,2.2049,2.60397,1.41681,1.95761,0.983237,1,0,1
5,0,14,2,2793,42,26,17,3,1,1,30,217.4,-0.212719,-0.641321,0.311969,-0.621626,-0.124133,0,0,0
0,0,7,0,4330,37,210,8,3,1,1,30,1014.68,0.837933,-0.984647,2.37889,-1.95436,2.26993,0,0,0
0,0,7,0,1428,16,0,5,3,1,1,30,57.76,-1.50526,-2.11483,-2.32263,-2.36025,-2.27797,0,1,1
9,0,42,1,4450,73,15,21,3,1,1,30,240.92,0.905451,0.759586,-0.457615,0.0566924,0.125935,0,0,0
1,1,43,0,398,7,17,8,3,1,2,30,84.2,-2.60172,-2.61575,-0.285729,-1.90417,-1.96713,0,1,1
11,0,41,1,2533,62,369,28,3,1,1,30,1579.8,-0.496457,0.398609,2.89745,0.874325,2.81332,0,0,0
11,0,42,1,4278,68,11,39,1,1,1,15,299.53,0.841164,0.586841,-0.78246,2.09057,0.58584,0,0,0
4,0,42,1,2473,60,12,37,2,1,1,25,167.985,-0.549869,0.279822,-0.679296,1.79705,-0.770377,0,0,0
12,0,42,2,3855,84,42,32,3,1,1,30,325.56,0.550914,1.18912,1.02641,1.485,0.707542,0,0,0
5,0,42,1,2440,41,295,22,3,1,1,30,1279.24,-0.566434,-0.760845,2.71239,0.225218,2.49387,0,0,0
14,0,41,3,9195,123,154,47,3,1,1,30,988.72,2.2593,2.09397,1.92581,2.64092,2.18062,1,0,1
8,0,42,1,13853,171,10,48,3,1,1,30,600.96,2.71798,2.68763,-0.896604,2.68706,1.21658,1,0,0
8,0,42,2,4595,85,12,29,3,1,1,30,235.2,0.95401,1.16346,-0.748267,1.02133,0.0292684,0,0,0
7,0,42,1,5998,97,17,16,3,1,1,30,311.8,1.3354,1.61445,-0.279097,-0.704993,0.687826,0,0,0
10,0,42,0,2318,56,18,21,3,1,2,30,166.96,-0.686401,0.147396,-0.189969,0.0387586,-0.776702,0,0,0
26,0,42,4,15220,227,64,36,3,2,1,30,873.88,2.84617,2.97374,1.37811,1.79037,1.81889,1,0,0
5,0,42,2,3175,29,493,12,3,1,1,30,2100.16,0.181285,-1.46499,3.08645,-1.43144,3.10904,0,0,0
10,0,41,1,15565,184,160,34,2,1,1,25,1428.7,2.95729,2.80908,1.9995,1.56595,2.67091,1,0,0
4,0,41,2,6580,88,196,30,3,1,1,30,1050.72,1.62013,1.30274,2.3284,1.20535,2.28667,0,0,0
1,0,41,0,955,16,10,15,2,1,2,25,88.695,-2.07277,-2.20793,-0.864957,-0.893632,-1.93154,0,0,0
3,0,42,0,790,16,23,12,3,1,2,30,124.24,-2.23362,-2.20672,0.0775946,-1.37087,-1.43727,0,0,0
1,0,41,0,80,2,10,4,2,1,2,25,48.69,-2.85036,-2.7958,-0.861721,-2.46413,-2.44004,0,1,1
4,0,41,1,7588,129,394,47,3,1,1,30,1884.68,2.06019,2.20112,2.99413,2.66828,2.92139,1,0,0
8,0,41,2,11545,156,21,51,4,1,1,45,345.025,2.5987,2.45881,-0.0323609,2.8074,0.84977,1,0,0
9,0,41,2,6798,77,118,41,2,1,1,25,840.375,1.77467,0.935743,1.72876,2.27971,1.73031,0,0,0
24,1,37,0,1035,49,26,21,3,1,2,30,147.36,-1.97687,-0.200603,0.321524,0.0129152,-1.10175,0,1,1
22,1,40,9,10515,95,11,46,5,1,1,55,175.65,2.46893,1.59899,-0.83657,2.6071,-0.646877,0,0,0
14,0,40,2,5898,100,36,28,2,1,1,25,431.91,1.28786,1.71261,0.841153,0.970753,1.05448,0,1,1
2,0,38,1,2920,24,10,18,3,1,1,30,157.76,-0.0828595,-1.73695,-0.818772,-0.426359,-0.915465,0,0,0
10,0,39,0,3070,43,19,20,3,1,2,30,200.52,0.0559383,-0.605541,-0.165151,-0.158803,-0.283014,0,1,1
10,1,40,0,2348,46,44,35,3,1,2,30,271.76,-0.654329,-0.44857,1.07229,1.7288,0.432259,0,1,1
1,0,40,0,213,4,10,6,3,1,2,30,48.68,-2.78021,-2.76649,-0.932927,-2.10577,-2.4259,0,1,1
2,0,40,1,1748,27,10,10,4,1,1,45,69.375,-1.2465,-1.56348,-0.919993,-1.55916,-2.18641,0,0,0
4,0,37,2,6865,99,24,26,5,1,1,55,140.46,1.82886,1.73873,0.268834,0.66682,-1.18897,0,0,0
1,1,40,0,708,9,19,8,4,1,2,45,65.425,-2.3064,-2.50425,-0.103685,-1.96819,-2.19796,0,1,1
1,0,40,2,418,6,14,6,5,1,1,55,27.36,-2.58307,-2.61376,-0.587673,-2.18863,-2.64835,0,0,0
26,0,35,4,16155,240,10,84,2,1,1,25,782.775,3.09547,3.08546,-0.920749,3.10822,1.51615,1,0,1
7,1,38,4,7045,118,281,37,2,2,1,25,1586.84,1.91792,2.03956,2.66285,1.87735,2.84417,0,0,0
3,0,40,1,3798,84,12,32,3,1,1,30,203.28,0.52443,1.16372,-0.766729,1.47689,-0.296024,0,0,0
4,0,39,0,1745,46,48,24,3,1,2,30,263.64,-1.22183,-0.456597,1.15783,0.37327,0.364083,0,0,0
7,0,40,1,2860,55,185,27,2,1,1,25,963.675,-0.136708,0.0636358,2.22571,0.884538,2.10281,0,0,0
5,0,31,2,1395,38,203,15,2,2,1,25,977.985,-1.56068,-0.890298,2.35577,-0.849607,2.14861,0,0,0
5,0,30,1,1648,41,40,72,4,1,1,45,142.225,-1.34814,-0.766817,0.957781,2.99558,-1.18517,0,0,0
12,0,31,0,780,27,20,11,3,1,2,30,112.28,-2.24553,-1.56449,-0.0625446,-1.50722,-1.56471,0,0,0
1,0,30,0,905,12,31,7,4,1,2,45,100.425,-2.11553,-2.32723,0.554965,-2.03734,-1.77264,0,0,0
11,0,29,1,1305,34,29,17,2,1,1,25,190.755,-1.64538,-1.11591,0.432653,-0.654677,-0.410579,0,0,0
3,0,29,1,3305,63,18,27,3,1,1,30,206.72,0.266127,0.410672,-0.247758,0.859826,-0.227296,0,0,0
3,0,22,1,1775,28,38,18,2,1,1,25,252.135,-1.22528,-1.4944,0.817501,-0.449088,0.219676,0,0,0
17,0,21,2,6473,143,95,46,2,2,1,25,725.22,1.58798,2.34414,1.60688,2.62747,1.38103,1,0,0
13,0,19,1,9013,173,83,44,5,1,1,55,262.29,2.24269,2.65247,1.54234,2.4883,0.376508,1,0,1
9,0,20,4,2933,47,41,23,3,1,1,30,283.2,-0.0536984,-0.355037,0.974752,0.232507,0.533075,0,0,0
3,0,13,2,4470,42,225,14,3,1,1,30,1080.48,0.933726,-0.69,2.47549,-1.02947,2.35236,0,0,0
4,0,13,2,1568,21,10,11,3,1,1,30,103.56,-1.42125,-1.88534,-0.946497,-1.4678,-1.72893,0,1,1
7,0,34,0,4290,69,0,13,2,1,1,25,196.155,0.833963,0.645126,-2.3691,-1.20126,-0.348626,0,0,0
0,0,35,0,0,0,0,0,2,1,2,25,0,-2.99734,-2.93192,-2.37193,-3.06446,-3.07403,0,0,0
9,0,33,0,2373,58,349,20,2,1,1,25,1679.89,-0.64006,0.195469,2.79578,-0.154852,2.87479,0,0,0
9,0,34,0,4118,64,0,31,1,1,1,15,230.01,0.680697,0.435291,-2.37121,1.29918,0.0165579,0,0,0
2,0,34,0,2313,56,0,29,1,1,1,15,130.295,-0.685697,0.0920369,-2.38967,1.04283,-1.35831,0,0,0
10,0,34,0,3695,80,22,24,3,1,1,30,239,0.458385,1.05209,0.0556628,0.363091,0.083271,0,0,0
3,0,34,0,2280,37,275,14,3,1,1,30,1192.68,-0.70312,-1.01071,2.62278,-0.980969,2.47958,0,0,0
12,0,33,1,9035,119,134,39,3,1,1,30,902.16,2.26684,2.03405,1.79268,2.04722,1.92292,1,0,0
6,0,34,0,13693,167,0,40,3,1,1,30,554.4,2.70844,2.60515,-2.31789,2.06371,1.16593,1,0,1
6,0,34,0,4435,81,0,21,3,1,1,30,180.64,0.916225,1.05714,-2.36655,-0.0262616,-0.59508,0,0,0
5,0,34,0,5838,93,0,8,2,1,1,25,266.895,1.27597,1.57772,-2.32581,-1.95002,0.3685,0,0,0
8,0,34,0,2158,52,0,13,3,1,2,30,88.4,-0.830893,-0.0527168,-2.32326,-1.25748,-1.90616,0,0,0
24,0,34,2,15060,223,44,28,3,1,1,30,787.32,2.84872,2.94163,1.03781,0.877574,1.55283,1,0,1
3,0,34,0,3015,25,473,4,3,1,1,30,2013.6,-0.0336399,-1.68944,3.03823,-2.38497,3.06227,0,0,0
8,0,33,0,15405,180,140,26,2,1,1,25,1331.33,2.93866,2.76053,1.86145,0.710318,2.54323,1,0,0
2,0,33,0,6420,84,176,22,3,1,1,30,964.16,1.53178,1.16369,2.09927,0.213921,2.06923,0,0,0
0,0,33,0,795,12,0,7,2,1,2,25,36.315,-2.25317,-2.38203,-2.0002,-2.03622,-2.57866,0,0,0
1,0,34,0,630,12,3,4,2,1,2,25,42.39,-2.39288,-2.3559,-1.80308,-2.42651,-2.52258,0,0,0
0,0,33,0,0,0,0,0,2,1,2,25,0,-3.0801,-3.02448,-2.01789,-3.06365,-2.91331,0,1,1
