Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status
5DE1B9BC,FinTech,2021,UK,Cambridge,Series A,5.56,39.62,1.46,0.7,7.0,59,0,59,Tier 3 (Angel/Seed),Low,Independent
203AD7DE,HealthTech,2013,China,Beijing,Series A,1.82,27.02,1.15,0.63,2.5,37,0,37,Tier 3 (Angel/Seed),High,Independent
ADD2DAAF,HealthTech,2012,USA,Austin,Series A,4.94,42.11,2.69,0.4,9.9,21,0,21,Tier 2 (Mid-size VC),Low,Independent
BBD289BD,Autonomous Vehicles,2020,China,Beijing,Series C+,115.07,1293.72,71.92,4.9,23.0,334,0,334,Tier 2 (Mid-size VC),None,Independent
72D9C3CD,Generative AI,2019,China,Hangzhou,Series C+,258.54,1084.37,37.27,20.38,12.6,1245,267,978,Corporate VC (e.g. Google Ventures),Medium,Acquired
675C0365,Cybersecurity,2024,China,Shenzhen,Series C+,24.02,276.53,53.61,1.25,17.8,82,0,82,Tier 3 (Angel/Seed),Medium,IPO
FD2C4598,HealthTech,2019,Singapore,Singapore,Post-IPO,0.0,8.18,0.6,0.43,0.0,29,0,29,Bootstrapped,None,Independent
C52FC05A,HealthTech,2023,USA,San Francisco,Series C+,311.97,963.32,111.34,7.94,38.8,425,0,425,Corporate VC (e.g. Google Ventures),Medium,Independent
B5D00ECE,HealthTech,2016,Japan,Kyoto,Seed,1.17,23.79,1.1,0.29,3.0,24,9,15,Corporate VC (e.g. Google Ventures),Medium,Acquired
D287AFC6,Generative AI,2012,China,Shenzhen,Series C+,70.42,632.79,104.29,2.83,24.0,242,0,242,Tier 2 (Mid-size VC),High,Closed
BDD13FC5,SpaceTech,2013,France,Lyon,Series B,33.02,252.67,12.97,2.83,11.3,209,0,209,Tier 3 (Angel/Seed),Medium,Independent
9E7BB0F3,Cybersecurity,2020,USA,Boston,Series B,8.72,102.83,5.41,0.39,17.8,33,9,24,Tier 3 (Angel/Seed),High,Independent
AA97A66F,Generative AI,2018,USA,Austin,Seed,5.58,45.64,4.71,0.48,9.6,36,0,36,Tier 2 (Mid-size VC),High,Independent
74BA5108,Generative AI,2016,China,Shanghai,Series A,47.26,325.89,28.62,1.34,32.8,116,0,116,Tier 3 (Angel/Seed),Low,Independent
497E8542,HealthTech,2013,USA,Seattle,Pre-IPO,222.99,1615.29,301.02,8.48,26.0,685,0,685,"Tier 1 (e.g. Sequoia, a16z)",High,Closed
5B1720D9,Web3/Crypto,2023,India,Hyderabad,Series B,8.17,39.85,2.06,0.91,8.1,63,37,26,Corporate VC (e.g. Google Ventures),None,Closed
05F277FD,HealthTech,2023,USA,San Francisco,Seed,1.73,34.94,1.32,0.54,2.7,31,0,31,Tier 2 (Mid-size VC),Low,Independent
8E0245D8,ClimateTech,2024,USA,Seattle,Seed,1.56,20.41,1.6,0.54,2.4,38,0,38,Corporate VC (e.g. Google Ventures),High,Independent
7EC17DC6,Robotics,2021,USA,Seattle,Seed,1.83,14.11,1.67,0.57,2.7,47,22,25,Tier 3 (Angel/Seed),Low,Independent
EDF2212A,Robotics,2019,China,Shenzhen,Seed,2.07,28.91,2.86,0.18,7.4,9,0,9,Tier 2 (Mid-size VC),Low,Independent
680721D3,Autonomous Vehicles,2021,China,Shenzhen,Seed,1.21,15.52,0.54,0.85,1.3,45,0,45,Tier 3 (Angel/Seed),Low,Independent
2F83E381,FinTech,2017,USA,Boston,Seed,0.57,15.97,2.33,0.41,1.1,26,0,26,Tier 2 (Mid-size VC),High,Independent
6556E7AB,EdTech,2020,USA,New York,Series C+,88.3,1023.24,48.91,6.02,14.4,322,0,322,Tier 2 (Mid-size VC),Medium,Independent
807A1B74,Generative AI,2014,India,Hyderabad,Series A,88.11,730.78,70.31,2.24,37.7,208,0,208,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
3BFB40CA,Robotics,2019,Israel,Jerusalem,Pre-IPO,164.41,606.32,33.21,4.31,37.3,304,0,304,Tier 2 (Mid-size VC),Medium,IPO
73125CE5,EdTech,2018,USA,New York,Seed,4.52,65.12,5.05,0.55,7.0,35,17,18,Tier 2 (Mid-size VC),None,Closed
4EEC1BC7,Robotics,2018,India,Delhi NCR,Seed,0.8,16.05,0.55,0.31,2.0,18,6,12,Tier 2 (Mid-size VC),Medium,Closed
4C9347F4,Robotics,2020,China,Hangzhou,Seed,0.49,17.22,1.91,0.64,0.7,44,0,44,Tier 2 (Mid-size VC),None,Independent
E24B4B72,HealthTech,2019,India,Delhi NCR,Series B,5.0,36.15,1.32,0.38,10.4,35,0,35,Tier 3 (Angel/Seed),High,Independent
3EF8AA5D,EdTech,2020,USA,Boston,Seed,5.42,59.06,3.66,0.84,5.8,45,0,45,Tier 2 (Mid-size VC),High,Independent
D0CDB67B,SpaceTech,2021,India,Bengaluru,Series A,23.0,219.18,11.25,2.63,8.4,162,87,75,Corporate VC (e.g. Google Ventures),Low,Acquired (Fire Sale)
FAF1993A,ClimateTech,2016,USA,Miami,Series B,21.39,112.48,12.79,1.73,11.7,99,0,99,Tier 3 (Angel/Seed),Low,Closed
2202D7AD,Generative AI,2021,USA,New York,Post-IPO,1026.2,5314.61,247.07,66.97,15.3,4546,0,4546,Tier 2 (Mid-size VC),High,Independent
3223A8DF,Robotics,2019,India,Bengaluru,Seed,4.4,30.34,1.09,0.22,13.8,18,0,18,Tier 3 (Angel/Seed),Medium,Independent
93572717,EdTech,2018,USA,Boston,Series B,10.89,87.88,6.03,0.98,10.1,60,0,60,Tier 2 (Mid-size VC),Low,Independent
E6F3CE07,Generative AI,2018,Germany,Berlin,Series C+,99.88,1163.73,42.01,3.37,28.8,272,0,272,Corporate VC (e.g. Google Ventures),None,Closed
FA10CBBF,Cybersecurity,2023,USA,New York,Seed,0.18,19.22,0.93,0.13,0.8,8,0,8,Tier 2 (Mid-size VC),Low,Independent
61D627B2,FinTech,2022,USA,Boston,Series C+,13.96,69.23,13.39,0.74,16.6,52,0,52,Tier 2 (Mid-size VC),None,Acquired
0A6D2A47,Robotics,2017,USA,Seattle,Seed,0.61,10.21,0.45,0.43,1.2,26,12,14,Corporate VC (e.g. Google Ventures),Medium,Closed
A4DFE4C9,EdTech,2022,USA,San Francisco,Seed,3.84,29.01,1.68,0.18,13.7,13,5,8,Tier 2 (Mid-size VC),None,Acquired
57AC6934,Cybersecurity,2018,France,Paris,Pre-IPO,57.77,322.6,15.9,2.54,21.9,193,0,193,Corporate VC (e.g. Google Ventures),Medium,Independent
E7546F2B,HealthTech,2021,UK,Cambridge,Seed,0.95,9.62,1.19,0.67,1.2,38,0,38,Tier 3 (Angel/Seed),Low,Independent
887AAB7E,ClimateTech,2020,USA,Miami,Series B,22.63,146.5,4.91,1.26,16.6,105,36,69,Tier 3 (Angel/Seed),Medium,Independent
A15BE812,FinTech,2021,India,Mumbai,Series C+,25.86,135.96,7.02,2.9,8.6,190,86,104,Tier 2 (Mid-size VC),High,Independent
1AB64E56,HealthTech,2020,China,Hangzhou,Series A,8.43,50.07,3.78,0.41,16.5,33,7,26,Corporate VC (e.g. Google Ventures),Low,Independent
26DA607C,HealthTech,2017,USA,Miami,Series C+,127.41,417.07,27.28,4.65,26.8,405,0,405,Tier 2 (Mid-size VC),None,Independent
E4C00B36,HealthTech,2021,USA,San Francisco,Series C+,16.42,164.81,5.85,0.73,19.8,52,0,52,Corporate VC (e.g. Google Ventures),None,Acquired
F503E3FC,Cybersecurity,2021,Canada,Vancouver,Seed,3.14,50.2,1.72,0.34,7.1,28,14,14,Corporate VC (e.g. Google Ventures),Medium,Independent
BE84A30B,Generative AI,2020,USA,Boston,Seed,14.29,180.49,7.55,0.92,14.0,53,0,53,Tier 3 (Angel/Seed),High,Independent
DBEFA434,FinTech,2022,USA,Seattle,Series C+,40.78,198.2,11.19,1.79,21.6,97,0,97,Tier 2 (Mid-size VC),Low,Independent
0C20F224,Web3/Crypto,2022,China,Shenzhen,Series B,11.51,58.41,5.42,0.98,10.7,60,42,18,Tier 2 (Mid-size VC),Low,Closed
446390FD,SpaceTech,2018,China,Beijing,Series A,58.69,368.31,12.65,2.32,24.3,204,45,159,Tier 3 (Angel/Seed),Low,Independent
137981A3,HealthTech,2020,Singapore,Singapore,Seed,2.7,43.32,2.36,0.29,6.9,19,10,9,Tier 3 (Angel/Seed),High,Closed
A8F9A25D,Generative AI,2019,USA,Boston,Series B,76.72,675.54,27.71,6.57,11.5,362,0,362,Tier 2 (Mid-size VC),Medium,Closed
5FDDB542,Robotics,2019,USA,Boston,Seed,0.93,13.41,1.09,0.37,2.0,26,0,26,Tier 2 (Mid-size VC),Low,Independent
3EC061A4,Web3/Crypto,2016,India,Delhi NCR,Seed,1.23,22.82,1.0,0.45,2.2,24,19,5,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale)
E72CF6DA,Web3/Crypto,2023,UK,London,Seed,1.51,23.77,0.84,0.53,2.4,37,0,37,Tier 3 (Angel/Seed),Low,Independent
A3D79A89,Generative AI,2020,Canada,Montreal,Series B,29.51,324.03,12.07,2.65,10.7,166,49,117,Tier 2 (Mid-size VC),High,Acquired
2F671217,Robotics,2021,USA,Austin,Seed,0.71,11.9,0.51,0.35,1.6,23,0,23,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
070505FE,HealthTech,2014,USA,Austin,Seed,0.74,23.76,0.85,0.2,2.5,11,0,11,Tier 3 (Angel/Seed),Low,Independent
CA058157,Robotics,2020,UK,Cambridge,Series B,13.2,112.24,4.58,1.02,11.8,75,36,39,Tier 2 (Mid-size VC),None,Closed
434E6002,Generative AI,2023,USA,New York,Seed,13.35,157.31,5.41,0.94,12.8,62,0,62,Tier 2 (Mid-size VC),Medium,Closed
2D55273A,FinTech,2012,USA,Boston,Series C+,3.76,46.71,1.62,0.7,4.7,41,17,24,Tier 3 (Angel/Seed),None,Independent
BB3448B3,HealthTech,2018,China,Hangzhou,Series A,14.56,84.86,4.65,0.78,16.5,54,0,54,Tier 2 (Mid-size VC),Medium,Independent
4D6BF171,Generative AI,2018,China,Shenzhen,Series B,58.64,628.88,24.76,1.97,28.3,142,0,142,Tier 2 (Mid-size VC),Medium,Closed
EBAA145B,FinTech,2019,France,Paris,Series A,0.0,24.98,0.87,0.28,0.0,24,15,9,Bootstrapped,Medium,Closed
21BBDB15,Cybersecurity,2012,China,Shenzhen,Series A,4.94,31.97,1.48,0.47,8.7,45,0,45,Tier 2 (Mid-size VC),High,Independent
4A55C817,Cybersecurity,2021,USA,San Francisco,Series A,0.0,25.57,0.96,0.47,0.0,44,22,22,Bootstrapped,High,Independent
54B82026,Cybersecurity,2020,Germany,Berlin,Seed,0.39,16.71,0.71,0.3,1.0,15,10,5,Tier 3 (Angel/Seed),Medium,Closed
2B66B67A,SpaceTech,2021,China,Beijing,Series B,86.78,432.72,16.66,1.82,45.2,159,0,159,Tier 2 (Mid-size VC),High,IPO
1FD03CFE,FinTech,2023,UK,London,Series A,3.01,30.99,3.79,0.53,4.8,52,0,52,Corporate VC (e.g. Google Ventures),Medium,Closed
7015A0FF,Autonomous Vehicles,2020,USA,Boston,Series C+,132.78,1561.75,82.15,2.6,49.2,216,0,216,Tier 2 (Mid-size VC),Low,Independent
734BF1AF,EdTech,2020,USA,Austin,Seed,0.0,33.45,5.02,0.09,0.0,9,4,5,Bootstrapped,High,Closed
AD16300B,FinTech,2019,USA,Austin,Seed,3.61,30.94,1.12,0.54,5.6,47,0,47,Tier 2 (Mid-size VC),Medium,Independent
B93A4CB1,Generative AI,2021,India,Delhi NCR,Seed,5.96,51.97,2.85,0.58,8.8,47,25,22,Tier 2 (Mid-size VC),High,Acquired (Fire Sale)
9FC8C072,Web3/Crypto,2022,USA,San Francisco,Seed,1.9,24.53,2.3,0.13,8.3,8,6,2,Corporate VC (e.g. Google Ventures),High,Closed
D30EDD65,Generative AI,2020,USA,New York,Series A,15.98,134.53,5.15,0.64,21.6,45,0,45,Tier 3 (Angel/Seed),High,Acquired
BEB4F66E,HealthTech,2018,USA,San Francisco,Seed,5.23,41.46,4.98,0.72,6.4,37,0,37,Tier 3 (Angel/Seed),High,Independent
5B5DDDDB,HealthTech,2019,USA,Austin,Series A,9.17,71.75,8.2,0.29,23.5,28,0,28,Tier 3 (Angel/Seed),Low,Independent
00D5A185,HealthTech,2020,UK,Cambridge,Series B,23.42,120.73,4.04,2.11,10.6,197,107,90,Tier 3 (Angel/Seed),High,Closed
04ECBD1E,Robotics,2015,India,Delhi NCR,Series A,10.04,74.6,9.43,0.77,11.5,42,0,42,Tier 2 (Mid-size VC),High,Independent
6741CDC3,Web3/Crypto,2023,USA,San Francisco,Pre-IPO,159.85,651.32,68.02,4.21,37.1,362,229,133,Tier 2 (Mid-size VC),High,Closed
D9B519A3,Robotics,2024,China,Shenzhen,Series A,14.79,135.13,15.15,0.56,22.4,39,0,39,Tier 3 (Angel/Seed),High,Independent
747C88F9,ClimateTech,2021,USA,San Francisco,Post-IPO,76.37,431.39,61.03,2.89,25.5,199,55,144,Tier 3 (Angel/Seed),None,Independent
9DBB4BED,Robotics,2018,USA,Miami,Series B,35.21,348.88,14.48,2.45,13.8,191,62,129,Tier 2 (Mid-size VC),Medium,Closed
62A12AA0,ClimateTech,2015,France,Paris,Series A,35.83,405.84,28.71,2.31,14.9,169,36,133,Tier 3 (Angel/Seed),None,Independent
E819982B,EdTech,2023,USA,Miami,Series A,7.29,75.02,2.82,0.29,18.7,20,0,20,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
50C2C3FE,HealthTech,2022,USA,Miami,Series C+,9.61,88.51,3.2,0.92,9.4,54,0,54,Tier 3 (Angel/Seed),High,Independent
A720AA5E,Robotics,2018,India,Bengaluru,Series A,1.95,28.86,3.92,0.3,4.9,17,0,17,Tier 3 (Angel/Seed),Low,Independent
AAE1F91B,HealthTech,2022,USA,Miami,Seed,0.56,21.69,0.79,0.67,0.7,41,22,19,Tier 3 (Angel/Seed),Medium,Closed
5FBDE665,Robotics,2015,USA,New York,Series B,1.76,31.93,5.49,0.8,2.0,42,22,20,Tier 3 (Angel/Seed),Low,Closed
D730513D,Generative AI,2022,USA,Miami,Series C+,251.34,1983.24,170.4,14.99,16.7,831,0,831,Corporate VC (e.g. Google Ventures),High,Independent
80175805,HealthTech,2021,China,Beijing,Seed,5.34,67.17,2.7,0.63,7.3,32,15,17,"Tier 1 (e.g. Sequoia, a16z)",High,Independent
FBFF5E17,SpaceTech,2021,USA,Miami,Series C+,133.35,1372.84,80.0,12.41,10.7,694,457,237,Tier 3 (Angel/Seed),High,Acquired (Fire Sale)
C2D41461,Web3/Crypto,2020,USA,Seattle,Seed,4.51,37.19,5.86,0.45,8.2,31,28,3,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired (Fire Sale)
DF64C030,HealthTech,2021,China,Shenzhen,Series B,104.15,1257.43,231.43,2.09,47.6,177,0,177,Tier 3 (Angel/Seed),Medium,Acquired
8EDFC191,Web3/Crypto,2021,France,Paris,Series A,118.94,1359.54,102.55,3.95,29.4,244,0,244,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent
457A906A,Generative AI,2022,UK,Cambridge,Seed,13.11,108.47,7.25,0.45,23.8,44,0,44,Tier 3 (Angel/Seed),Medium,Independent
D9E54D57,HealthTech,2020,China,Shanghai,Seed,0.97,24.8,0.83,0.5,1.6,35,15,20,Tier 3 (Angel/Seed),Medium,Independent
53DC041B,Generative AI,2018,USA,Miami,Series B,54.12,304.21,18.1,2.58,20.2,132,0,132,Tier 2 (Mid-size VC),High,Independent
1FF724B6,Generative AI,2014,USA,Austin,Series C+,130.04,629.03,21.12,6.91,18.6,488,0,488,Tier 2 (Mid-size VC),High,Independent
4765A27A,Cybersecurity,2019,USA,Boston,Series A,0.0,13.42,1.3,0.63,0.0,37,0,37,Bootstrapped,Low,Acquired
C06BEE9D,Cybersecurity,2019,USA,Austin,Seed,1.65,21.43,0.83,0.34,3.7,18,6,12,Tier 3 (Angel/Seed),Medium,Independent
86E9B245,HealthTech,2024,Israel,Tel Aviv,Series C+,16.8,179.89,12.68,0.95,16.0,48,11,37,Tier 3 (Angel/Seed),Low,Acquired
184DCFA3,ClimateTech,2012,USA,San Francisco,Seed,0.69,16.55,0.99,0.21,2.2,21,8,13,Tier 3 (Angel/Seed),High,Independent
FBFD36A0,Generative AI,2025,UK,Oxford,Seed,2.15,31.95,1.92,0.09,11.3,9,0,9,Tier 2 (Mid-size VC),Medium,Independent
3FD2EF70,Generative AI,2014,USA,New York,Series C+,102.42,440.54,46.99,2.7,36.6,246,0,246,Corporate VC (e.g. Google Ventures),High,Independent
F6E3C219,HealthTech,2020,USA,Austin,Seed,0.0,8.5,0.83,0.33,0.0,18,8,10,Bootstrapped,None,Independent
17BB32D2,Generative AI,2023,China,Hangzhou,Series A,5.24,24.15,1.5,0.46,9.4,33,0,33,Tier 3 (Angel/Seed),Low,Independent
C2BD4ACD,Robotics,2018,Canada,Toronto,Seed,3.3,46.21,1.79,0.34,7.5,24,10,14,Tier 3 (Angel/Seed),Medium,Independent
48E367F4,SpaceTech,2021,Singapore,Singapore,Seed,4.01,29.18,1.22,0.25,11.5,13,0,13,Tier 3 (Angel/Seed),High,Independent
9F64EE21,Cybersecurity,2021,USA,San Francisco,Series C+,48.65,271.05,10.03,4.3,11.1,232,0,232,Tier 3 (Angel/Seed),High,Independent
9EB1790E,HealthTech,2020,China,Shenzhen,Seed,1.17,21.64,0.88,0.57,1.7,34,16,18,Tier 2 (Mid-size VC),High,Independent
A05AA1B2,SpaceTech,2024,UK,London,Series C+,128.39,1544.19,174.4,2.17,56.6,161,0,161,Tier 2 (Mid-size VC),None,Acquired
403538E2,Robotics,2020,USA,San Francisco,Series A,5.53,63.51,2.32,0.6,7.9,52,26,26,Tier 3 (Angel/Seed),High,Independent
21D8678D,Generative AI,2023,China,Shenzhen,Seed,5.67,37.54,7.42,0.62,7.9,36,0,36,Tier 2 (Mid-size VC),High,Independent
DA70EAF6,FinTech,2019,China,Hangzhou,Series A,7.4,61.33,2.25,0.34,16.8,29,9,20,Tier 3 (Angel/Seed),High,IPO
AD08A397,HealthTech,2021,France,Paris,Seed,0.9,13.72,0.81,0.25,2.6,15,8,7,Tier 2 (Mid-size VC),Low,Closed
EB2E9D58,SpaceTech,2023,Germany,Munich,Seed,1.58,27.56,1.31,0.27,4.3,27,11,16,Tier 3 (Angel/Seed),Low,Independent
8FD70398,Cybersecurity,2021,Singapore,Singapore,Series A,0.95,21.83,0.75,0.31,2.3,28,0,28,Tier 2 (Mid-size VC),Low,Closed
A611F4FB,ClimateTech,2021,USA,New York,Seed,1.29,23.59,2.53,0.37,2.7,27,11,16,"Tier 1 (e.g. Sequoia, a16z)",None,Independent
984625E8,Cybersecurity,2023,USA,San Francisco,Series A,6.33,44.35,6.02,0.51,10.4,37,0,37,Corporate VC (e.g. Google Ventures),Low,Independent
93445E5B,Robotics,2019,Germany,Munich,Series B,9.46,82.38,4.95,0.74,11.3,42,20,22,Tier 3 (Angel/Seed),Low,Independent
E66D36C7,Generative AI,2018,China,Shenzhen,Series A,13.15,104.59,5.17,0.98,12.2,51,0,51,"Tier 1 (e.g. Sequoia, a16z)",None,Independent
