position_id,asset,position_side,leverage,margin_mode,notional_usd,initial_margin,init_margin_rate,maint_margin_rate,liq_distance_pct,vol_regime,hourly_volatility,funding_rate_8h,adds_margin,uses_stop_loss,intended_hold_hours,time_to_liquidation_hours,pnl_pct,got_liquidated,survived
POS000079,SOL,long,58,cross,6653.0,114.71,0.0172,0.0086,0.862,calm,0.009,0.00036,0,1,20,,310.7,0,1
POS000080,SOL,short,23,cross,15050.0,654.35,0.0435,0.0217,2.174,normal,0.015,0.00031,1,0,20,2.0,-100.0,1,0
POS000081,HYPE,long,78,isolated,4135.0,53.01,0.0128,0.0064,0.641,normal,0.02,0.00019,1,1,4,,-100.0,0,1
POS000082,AVAX,long,51,isolated,7879.0,154.49,0.0196,0.0098,0.98,volatile,0.0288,-0.00019,0,0,12,5.0,-100.0,1,0
POS000083,DOGE,long,15,cross,2835.0,189.0,0.0667,0.0333,3.333,calm,0.0132,2e-05,0,0,13,,110.1,0,1
POS000084,HYPE,long,19,cross,2679.0,141.0,0.0526,0.0263,2.632,crash,0.064,0.00073,1,0,31,2.0,-100.0,1,0
POS000085,ETH,long,93,cross,8169.0,87.84,0.0108,0.0054,0.538,calm,0.006,9e-05,0,0,66,4.0,-100.0,1,0
POS000086,SOL,short,40,isolated,7890.0,197.25,0.025,0.0125,1.25,normal,0.015,1e-05,1,0,35,3.0,-100.0,1,0
POS000087,DOGE,long,49,cross,21310.0,434.9,0.0204,0.0102,1.02,calm,0.0132,3e-05,1,1,25,,-59.4,0,1
POS000088,BTC,short,69,isolated,1121.0,16.25,0.0145,0.0072,0.725,calm,0.0048,0.00033,0,1,7,,-39.1,0,1
POS000089,BTC,long,33,cross,5423.0,164.33,0.0303,0.0152,1.515,volatile,0.0144,0.0003,1,1,23,,266.1,0,1
POS000090,ETH,long,52,isolated,4374.0,84.12,0.0192,0.0096,0.962,calm,0.006,0.00023,1,0,1,,-26.7,0,1
POS000091,HYPE,short,18,cross,4640.0,257.78,0.0556,0.0278,2.778,normal,0.02,-0.00029,0,0,41,,143.8,0,1
POS000092,DOGE,long,77,cross,5512.0,71.58,0.013,0.0065,0.649,normal,0.022,-0.00024,0,0,29,2.0,-100.0,1,0
POS000093,DOGE,short,48,cross,5981.0,124.6,0.0208,0.0104,1.042,volatile,0.0396,0.00069,0,0,25,,292.7,0,1
POS000094,HYPE,short,15,isolated,2742.0,182.8,0.0667,0.0333,3.333,calm,0.012,-0.00029,0,0,14,,124.5,0,1
POS000095,altcoin_smallcap,short,73,isolated,3397.0,46.53,0.0137,0.0068,0.685,calm,0.018,0.00027,1,0,20,,1816.2,0,1
POS000096,DOGE,long,45,isolated,9425.0,209.44,0.0222,0.0111,1.111,normal,0.022,0.0002,0,1,14,,-44.2,0,1
POS000097,ETH,long,14,isolated,26126.0,1866.14,0.0714,0.0357,3.571,calm,0.006,0.00017,0,0,15,,-14.9,0,1
POS000098,BTC,long,27,isolated,6739.0,249.59,0.037,0.0185,1.852,calm,0.0048,-0.00029,0,0,27,4.0,-100.0,1,0
POS000099,DOGE,short,67,cross,8101.0,120.91,0.0149,0.0075,0.746,volatile,0.0396,0.00066,0,1,36,,-100.0,0,1
POS000100,DOGE,long,48,cross,6058.0,126.21,0.0208,0.0104,1.042,calm,0.0132,-0.00025,0,0,11,2.0,-100.0,1,0
POS000101,BTC,long,28,isolated,6806.0,243.07,0.0357,0.0179,1.786,volatile,0.0144,0.00056,1,0,19,6.0,-100.0,1,0
POS000102,BTC,long,5,cross,6210.0,1242.0,0.2,0.1,10.0,normal,0.008,0.00049,0,0,19,,-9.1,0,1
POS000103,SOL,short,16,isolated,4563.0,285.19,0.0625,0.0312,3.125,calm,0.009,0.00018,0,1,8,,-36.4,0,1
POS000104,DOGE,long,27,cross,15439.0,571.81,0.037,0.0185,1.852,volatile,0.0396,0.00018,0,0,3,,9.7,0,1
POS000105,DOGE,long,58,isolated,8065.0,139.05,0.0172,0.0086,0.862,volatile,0.0396,0.00117,1,1,16,,-54.2,0,1
POS000106,ETH,long,14,cross,6385.0,456.07,0.0714,0.0357,3.571,normal,0.01,8e-05,0,1,18,,-64.7,0,1
POS000107,BTC,short,18,isolated,1400.0,77.78,0.0556,0.0278,2.778,normal,0.008,-0.0,0,0,23,9.0,-100.0,1,0
POS000108,DOGE,short,72,cross,9051.0,125.71,0.0139,0.0069,0.694,calm,0.0132,0.0002,1,1,1,1.0,-100.0,1,0
POS000109,SOL,short,45,isolated,6104.0,135.64,0.0222,0.0111,1.111,normal,0.015,0.00086,0,1,27,7.0,-100.0,1,0
POS000110,ETH,long,38,isolated,11246.0,295.95,0.0263,0.0132,1.316,calm,0.006,-0.00034,0,1,14,2.0,-100.0,1,0
POS000111,BTC,long,71,isolated,9871.0,139.03,0.0141,0.007,0.704,calm,0.0048,0.00091,0,1,11,,-44.9,0,1
POS000112,AVAX,short,77,cross,3462.0,44.96,0.013,0.0065,0.649,normal,0.016,-0.00021,1,0,71,1.0,-100.0,1,0
POS000113,ETH,long,84,cross,7300.0,86.9,0.0119,0.006,0.595,calm,0.006,0.00053,0,1,8,,129.7,0,1
POS000114,BTC,long,21,cross,1947.0,92.71,0.0476,0.0238,2.381,crash,0.0256,0.00114,1,0,31,8.0,-100.0,1,0
POS000115,DOGE,short,51,cross,2147.0,42.1,0.0196,0.0098,0.98,volatile,0.0396,-4e-05,0,0,5,4.0,-100.0,1,0
POS000116,DOGE,long,93,isolated,6565.0,70.59,0.0108,0.0054,0.538,normal,0.022,-0.00042,0,1,16,1.0,-100.0,1,0
POS000117,DOGE,long,40,isolated,5270.0,131.75,0.025,0.0125,1.25,normal,0.022,-0.00012,0,1,28,,186.7,0,1
POS000118,ETH,short,36,cross,2811.0,78.08,0.0278,0.0139,1.389,volatile,0.018,0.00012,0,0,2,,-31.0,0,1
POS000119,BTC,long,34,cross,4903.0,144.21,0.0294,0.0147,1.471,volatile,0.0144,0.00115,0,0,4,3.0,-100.0,1,0
POS000120,ETH,long,16,isolated,6471.0,404.44,0.0625,0.0312,3.125,normal,0.01,-0.00018,0,0,22,3.0,-100.0,1,0
POS000121,ETH,long,39,isolated,7108.0,182.26,0.0256,0.0128,1.282,volatile,0.018,0.0009,1,0,2,1.0,-100.0,1,0
POS000122,BTC,long,16,isolated,402.0,25.12,0.0625,0.0312,3.125,normal,0.008,-9e-05,1,0,9,,-24.3,0,1
POS000123,BTC,long,56,cross,16441.0,293.59,0.0179,0.0089,0.893,calm,0.0048,0.00045,0,0,37,,223.2,0,1
POS000124,ARB,short,26,cross,3569.0,137.27,0.0385,0.0192,1.923,normal,0.018,-0.00012,0,0,48,36.0,-100.0,1,0
POS000125,altcoin_smallcap,long,46,cross,4855.0,105.54,0.0217,0.0109,1.087,normal,0.03,0.00062,0,0,6,1.0,-100.0,1,0
POS000126,AVAX,short,52,cross,3484.0,67.0,0.0192,0.0096,0.962,volatile,0.0288,0.00054,0,0,11,1.0,-100.0,1,0
POS000127,altcoin_smallcap,short,49,isolated,1976.0,40.33,0.0204,0.0102,1.02,calm,0.018,0.0005,0,0,24,1.0,-100.0,1,0
POS000128,ETH,long,12,isolated,18821.0,1568.42,0.0833,0.0417,4.167,normal,0.01,-0.0003,0,0,1,,1.4,0,1
POS000129,BTC,long,61,cross,5541.0,90.84,0.0164,0.0082,0.82,normal,0.008,0.00063,0,0,3,1.0,-100.0,1,0
POS000130,HYPE,short,55,cross,10712.0,194.76,0.0182,0.0091,0.909,normal,0.02,-1e-05,0,1,27,,-66.1,0,1
POS000131,altcoin_smallcap,long,22,isolated,2718.0,123.55,0.0455,0.0227,2.273,volatile,0.054,0.00028,1,0,4,,161.2,0,1
POS000132,AVAX,long,36,isolated,12932.0,359.22,0.0278,0.0139,1.389,volatile,0.0288,-0.0002,1,0,34,12.0,-100.0,1,0
POS000133,SOL,short,12,isolated,502.0,41.83,0.0833,0.0417,4.167,normal,0.015,0.00066,1,0,7,,21.0,0,1
POS000134,HYPE,short,28,isolated,10765.0,384.46,0.0357,0.0179,1.786,normal,0.02,0.0002,0,1,13,,18.2,0,1
POS000135,SOL,long,15,isolated,4199.0,279.93,0.0667,0.0333,3.333,normal,0.015,0.00068,0,0,20,,7.7,0,1
POS000136,ETH,short,3,cross,31050.0,10350.0,0.3333,0.1667,16.667,calm,0.006,0.00045,0,1,5,,2.1,0,1
POS000137,BTC,long,58,cross,3006.0,51.83,0.0172,0.0086,0.862,volatile,0.0144,0.00065,1,0,3,,14.7,0,1
POS000138,AVAX,short,21,isolated,5079.0,241.86,0.0476,0.0238,2.381,normal,0.016,0.00083,1,0,67,,204.2,0,1
POS000139,HYPE,long,20,cross,4629.0,231.45,0.05,0.025,2.5,volatile,0.036,0.00054,1,0,5,,8.4,0,1
POS000140,ARB,long,25,isolated,3756.0,150.24,0.04,0.02,2.0,normal,0.018,-0.00022,0,1,17,1.0,-100.0,1,0
POS000141,SOL,short,65,isolated,7700.0,118.46,0.0154,0.0077,0.769,calm,0.009,0.00036,0,0,46,3.0,-100.0,1,0
POS000142,altcoin_smallcap,short,17,cross,3493.0,205.47,0.0588,0.0294,2.941,volatile,0.054,-0.00083,1,1,28,,-100.0,0,1
POS000143,BTC,long,67,cross,6954.0,103.79,0.0149,0.0075,0.746,normal,0.008,-0.00081,0,0,27,1.0,-100.0,1,0
POS000144,SOL,long,44,cross,8393.0,190.75,0.0227,0.0114,1.136,normal,0.015,-4e-05,0,1,40,,-100.0,0,1
POS000145,ETH,long,13,cross,20194.0,1553.38,0.0769,0.0385,3.846,normal,0.01,3e-05,1,0,9,,16.0,0,1
POS000146,DOGE,long,49,cross,11635.0,237.45,0.0204,0.0102,1.02,volatile,0.0396,0.00029,0,0,14,2.0,-100.0,1,0
POS000147,ETH,long,40,cross,3149.0,78.72,0.025,0.0125,1.25,normal,0.01,0.00051,0,0,68,11.0,-100.0,1,0
POS000148,ARB,short,29,isolated,1755.0,60.52,0.0345,0.0172,1.724,normal,0.018,0.00059,0,1,18,,-53.3,0,1
POS000149,ETH,long,64,isolated,1587.0,24.8,0.0156,0.0078,0.781,normal,0.01,-0.00036,1,0,18,13.0,-100.0,1,0
POS000150,ETH,long,21,isolated,4775.0,227.38,0.0476,0.0238,2.381,volatile,0.018,0.00019,0,0,60,34.0,-100.0,1,0
POS000151,BTC,short,29,cross,6847.0,236.1,0.0345,0.0172,1.724,calm,0.0048,9e-05,0,1,7,,29.8,0,1
POS000152,BTC,long,39,cross,11053.0,283.41,0.0256,0.0128,1.282,normal,0.008,0.00037,0,0,11,,62.1,0,1
POS000153,BTC,long,29,isolated,5438.0,187.52,0.0345,0.0172,1.724,calm,0.0048,0.00036,0,1,16,,-10.8,0,1
POS000154,ETH,short,40,cross,4796.0,119.9,0.025,0.0125,1.25,calm,0.006,-0.00025,0,1,11,,-23.4,0,1
POS000155,BTC,short,8,isolated,2596.0,324.5,0.125,0.0625,6.25,volatile,0.0144,0.00026,1,0,12,,68.6,0,1
POS000156,BTC,short,54,cross,1552.0,28.74,0.0185,0.0093,0.926,normal,0.008,0.0004,0,1,33,,318.9,0,1
POS000157,DOGE,short,7,isolated,750.0,107.14,0.1429,0.0714,7.143,normal,0.022,0.00057,0,1,17,,-40.2,0,1
POS000158,ETH,short,62,cross,4633.0,74.73,0.0161,0.0081,0.806,normal,0.01,0.00013,0,1,43,,-51.8,0,1
POS000159,BTC,long,66,cross,7235.0,109.62,0.0152,0.0076,0.758,crash,0.0256,0.00065,0,1,14,1.0,-100.0,1,0
POS000160,ARB,short,32,isolated,2762.0,86.31,0.0312,0.0156,1.562,volatile,0.0324,0.00085,0,1,15,,-48.9,0,1
POS000161,BTC,short,60,cross,14148.0,235.8,0.0167,0.0083,0.833,volatile,0.0144,0.0005,0,1,7,,359.4,0,1
POS000162,SOL,long,25,cross,5203.0,208.12,0.04,0.02,2.0,calm,0.009,0.00067,0,1,11,,-46.1,0,1
POS000163,AVAX,long,54,isolated,4244.0,78.59,0.0185,0.0093,0.926,calm,0.0096,-0.00038,0,0,22,11.0,-100.0,1,0
POS000164,altcoin_smallcap,short,83,isolated,8802.0,106.05,0.012,0.006,0.602,volatile,0.054,0.00038,0,1,20,,-44.0,0,1
POS000165,ETH,long,54,cross,2490.0,46.11,0.0185,0.0093,0.926,volatile,0.018,0.00012,1,0,15,10.0,-100.0,1,0
POS000166,BTC,short,94,isolated,5292.0,56.3,0.0106,0.0053,0.532,volatile,0.0144,0.00066,0,0,1,,242.7,0,1
POS000167,ETH,long,9,cross,8494.0,943.78,0.1111,0.0556,5.556,volatile,0.018,-0.00021,0,1,1,,-5.0,0,1
POS000168,ETH,short,34,cross,5450.0,160.29,0.0294,0.0147,1.471,calm,0.006,0.00091,1,0,8,,-39.8,0,1
POS000169,BTC,short,58,isolated,1825.0,31.47,0.0172,0.0086,0.862,calm,0.0048,0.00027,0,1,56,8.0,-100.0,1,0
POS000170,altcoin_smallcap,long,23,cross,3518.0,152.96,0.0435,0.0217,2.174,volatile,0.054,0.00079,0,0,28,,57.1,0,1
POS000171,AVAX,short,29,cross,7554.0,260.48,0.0345,0.0172,1.724,calm,0.0096,0.00026,0,1,34,,190.7,0,1
POS000172,BTC,long,66,isolated,1160.0,17.58,0.0152,0.0076,0.758,calm,0.0048,-0.00037,1,0,1,,9.5,0,1
POS000173,AVAX,short,62,isolated,18117.0,292.21,0.0161,0.0081,0.806,calm,0.0096,-0.00015,0,1,17,,-79.7,0,1
POS000174,SOL,long,36,isolated,9131.0,253.64,0.0278,0.0139,1.389,calm,0.009,-0.00052,1,1,30,,125.5,0,1
POS000175,BTC,long,60,cross,2283.0,38.05,0.0167,0.0083,0.833,normal,0.008,-0.00042,0,1,21,5.0,-100.0,1,0
POS000176,DOGE,short,63,cross,3951.0,62.71,0.0159,0.0079,0.794,calm,0.0132,0.00035,0,1,7,1.0,-100.0,1,0
POS000177,SOL,long,31,isolated,1006.0,32.45,0.0323,0.0161,1.613,volatile,0.027,-0.00025,0,0,12,1.0,-100.0,1,0
POS000178,AVAX,long,90,cross,22954.0,255.04,0.0111,0.0056,0.556,normal,0.016,-0.00015,1,1,2,,-4.0,0,1
POS000179,BTC,long,17,cross,22914.0,1347.88,0.0588,0.0294,2.941,normal,0.008,-0.00019,0,0,9,,77.4,0,1
POS000180,DOGE,long,31,cross,2042.0,65.87,0.0323,0.0161,1.613,crash,0.0704,0.00069,0,0,27,1.0,-100.0,1,0
POS000181,SOL,short,72,cross,799.0,11.1,0.0139,0.0069,0.694,crash,0.048,0.00037,0,0,11,3.0,-100.0,1,0
POS000182,HYPE,long,10,isolated,11275.0,1127.5,0.1,0.05,5.0,normal,0.02,0.00043,0,1,14,,183.7,0,1
POS000183,ETH,short,57,cross,2543.0,44.61,0.0175,0.0088,0.877,calm,0.006,0.00012,0,1,5,,79.9,0,1
POS000184,SOL,short,18,cross,3354.0,186.33,0.0556,0.0278,2.778,normal,0.015,0.0007,1,0,29,5.0,-100.0,1,0
POS000185,DOGE,short,13,cross,7511.0,577.77,0.0769,0.0385,3.846,calm,0.0132,-0.00067,0,0,39,38.0,-100.0,1,0
POS000186,BTC,long,32,cross,8278.0,258.69,0.0312,0.0156,1.562,normal,0.008,0.00019,1,1,1,,-86.4,0,1
POS000187,ETH,short,42,isolated,15171.0,361.21,0.0238,0.0119,1.19,calm,0.006,0.00019,0,1,7,,-2.9,0,1
POS000188,HYPE,long,19,isolated,5341.0,281.11,0.0526,0.0263,2.632,calm,0.012,-0.00037,0,0,16,,109.4,0,1
POS000189,BTC,long,45,isolated,3528.0,78.4,0.0222,0.0111,1.111,normal,0.008,0.00047,0,1,7,,-9.2,0,1
POS000190,DOGE,long,20,isolated,11661.0,583.05,0.05,0.025,2.5,volatile,0.0396,0.00092,0,0,4,1.0,-100.0,1,0
POS000191,ETH,long,48,cross,1193.0,24.85,0.0208,0.0104,1.042,crash,0.032,0.00098,0,0,1,,60.9,0,1
POS000192,altcoin_smallcap,long,18,cross,3020.0,167.78,0.0556,0.0278,2.778,volatile,0.054,0.00061,1,1,12,11.0,-100.0,1,0
POS000193,ARB,long,70,cross,11718.0,167.4,0.0143,0.0071,0.714,normal,0.018,-0.00068,0,0,24,20.0,-100.0,1,0
POS000194,DOGE,long,42,cross,1801.0,42.88,0.0238,0.0119,1.19,calm,0.0132,9e-05,0,0,13,3.0,-100.0,1,0
POS000195,BTC,short,22,isolated,3919.0,178.14,0.0455,0.0227,2.273,normal,0.008,-0.00026,0,1,15,,51.7,0,1
