Pokedex_Number,Pokemon_Name,Generation,Type_1,Type_2,Ability_1,Ability_2,Hidden_Ability,HP,Attack,Defense,Special_Attack,Special_Defense,Speed,BST,Sub_Class,Stage
99,Machop,1,Fighting,,Guts,No_Guard,Steadfast,70,80,50,35,35,35,305,Basic,1
100,Machoke,1,Fighting,,Guts,No_Guard,Steadfast,80,100,70,50,60,45,405,Basic,2
101,Machamp,1,Fighting,,Guts,No_Guard,Steadfast,90,130,80,65,85,55,505,Basic,3
102,Bellsprout,1,Grass,Poison,Chlorophyll,,Gluttony,50,75,35,70,30,40,300,Basic,1
103,Weepinbell,1,Grass,Poison,Chlorophyll,,Gluttony,65,90,50,85,45,55,390,Basic,2
104,Victreebel,1,Grass,Poison,Chlorophyll,,Gluttony,80,105,65,100,70,70,490,Basic,3
105,Mega_Victreebel,9,Grass,Poison,Innards_Out,,,80,125,85,135,95,70,590,Mega_Evolution,3
106,Tentacool,1,Water,Poison,Clear_Body,Liquid_Ooze,Rain_Dish,40,40,35,50,100,70,335,Basic,1
107,Tentacruel,1,Water,Poison,Clear_Body,Liquid_Ooze,Rain_Dish,80,70,65,80,120,100,515,Basic,2
108,Geodude,1,Rock,Ground,Rock_Head,Sturdy,Sand_Veil,40,80,100,30,30,20,300,Basic,1
109,Graveler,1,Rock,Ground,Rock_Head,Sturdy,Sand_Veil,55,95,115,45,45,35,390,Basic,2
110,Golem,1,Rock,Ground,Rock_Head,Sturdy,Sand_Veil,80,120,130,55,65,45,495,Basic,3
111,Alolan_Geodude,7,Rock,Electric,Magnet_Pull,Sturdy,Galvanize,40,80,100,30,30,20,300,Regional_Variant,1
112,Alolan_Graveler,7,Rock,Electric,Magnet_Pull,Sturdy,Galvanize,55,95,115,45,45,35,390,Regional_Variant,2
113,Alolan_Golem,7,Rock,Electric,Magnet_Pull,Sturdy,Galvanize,80,120,130,55,65,45,495,Regional_Variant,3
114,Ponyta,1,Fire,,Run_Away,Flash_Fire,Flame_Body,50,85,55,65,65,90,410,Basic,1
115,Rapidash,1,Fire,,Run_Away,Flash_Fire,Flame_Body,65,100,70,80,80,105,500,Basic,2
116,Galarian_Ponyta,8,Psychic,,Run_Away,Pastel_Veil,Anticipation,50,85,55,65,65,90,410,Regional_Variant,1
117,Galarian_Rapidash,8,Psychic,Fairy,Run_Away,Pastel_Veil,Anticipation,65,100,70,80,80,105,500,Regional_Variant,2
118,Slowpoke,1,Water,Psychic,Oblivious,Own_Tempo,Regenerator,90,65,65,40,40,15,315,Basic,1
119,Slowbro,1,Water,Psychic,Oblivious,Own_Tempo,Regenerator,95,75,110,100,80,30,490,Basic,2
120,Slowking,2,Water,Psychic,Oblivious,Own_Tempo,Regenerator,95,75,80,100,110,30,490,Basic,2
121,Mega_Slowbro,6,Water,Psychic,Shell_Armor,,,95,75,180,130,80,30,590,Mega_Evolution,2
122,Galarian_Slowpoke,8,Psychic,,Gluttony,Own_Tempo,Regenerator,90,65,65,40,40,15,315,Regional_Variant,1
123,Galarian_Slowbro,8,Poison,Psychic,Quick_Draw,Own_Tempo,Regenerator,95,100,95,100,70,30,490,Regional_Variant,2
124,Galarian_Slowking,8,Poison,Psychic,Curious_Medicine,Own_Tempo,Regenerator,95,65,80,110,110,30,490,Regional_Variant,2
125,Magnemite,1,Electric,Steel,Magnet_Pull,Sturdy,Analytic,25,35,70,95,55,45,325,Basic,1
126,Magneton,1,Electric,Steel,Magnet_Pull,Sturdy,Analytic,50,60,95,120,70,70,465,Basic,2
127,Magnezone,4,Electric,Steel,Magnet_Pull,Sturdy,Analytic,70,70,115,130,90,60,535,Basic,3
128,Farfetch'd,1,Normal,Flying,Keen_Eye,Inner_Focus,Defiant,52,90,55,58,62,60,377,Basic,1
129,Galarian_Farfetch'd,8,Fighting,,Steadfast,,Scrappy,52,95,55,58,62,55,377,Regional_Variant,1
130,Sirfetch'd,8,Fighting,,Steadfast,,Scrappy,62,135,95,68,82,65,507,Regional_Variant_Evolution,2
131,Doduo,1,Normal,Flying,Run_Away,Early_Bird,Tangled_Feet,35,85,45,35,35,75,310,Basic,1
132,Dodrio,1,Normal,Flying,Run_Away,Early_Bird,Tangled_Feet,60,110,70,60,60,110,470,Basic,2
133,Seel,1,Water,,Thick_Fat,Hydration,Ice_Body,65,45,55,45,70,45,325,Basic,1
134,Dewgong,1,Water,Ice,Thick_Fat,Hydration,Ice_Body,90,70,80,70,95,70,475,Basic,2
135,Grimer,1,Poison,,Stench,Sticky_Hold,Poison_Touch,80,80,50,40,50,25,325,Basic,1
136,Muk,1,Poison,,Stench,Sticky_Hold,Poison_Touch,105,105,75,65,100,50,500,Basic,2
137,Alolan_Grimer,7,Poison,Dark,Poison_Touch,Gluttony,Power_Of_Alchemy,80,80,50,40,50,25,325,Regional_Variant,1
138,Alolan_Muk,7,Poison,Dark,Poison_Touch,Gluttony,Power_Of_Alchemy,105,105,75,65,100,50,500,Regional_Variant,2
139,Shellder,1,Water,,Shell_Armor,Skill_Link,Overcoat,30,65,100,45,25,40,305,Basic,1
140,Cloyster,1,Water,Ice,Shell_Armor,Skill_Link,Overcoat,50,95,180,85,45,70,525,Basic,2
141,Gastly,1,Ghost,Poison,Levitate,,,30,35,30,100,35,80,310,Basic,1
142,Haunter,1,Ghost,Poison,Levitate,,,45,50,45,115,55,95,405,Basic,2
143,Gengar,1,Ghost,Poison,Cursed_Body,,,60,65,60,130,75,110,500,Basic,3
144,Mega_Gengar,6,Ghost,Poison,Shadow_Tag,,,60,65,80,170,95,130,600,Basic,3
145,Onix,1,Rock,Ground,Rock_Head,Sturdy,Weak_Armor,35,45,160,30,45,70,385,Basic,1
146,Steelix,2,Steel,Ground,Rock_Head,Sturdy,Sheer_Force,75,85,200,55,65,30,510,Basic,2
147,Mega_Steelix,6,Steel,Ground,Sand_Force,,,75,125,230,55,95,30,610,Mega_Evolution,2
148,Drowzee,1,Psychic,,Insomnia,Forewarn,Inner_Focus,60,48,45,43,90,42,328,Basic,1
149,Hypno,1,Psychic,,Insomnia,Forewarn,Inner_Focus,85,73,70,73,115,67,483,Basic,2
150,Krabby,1,Water,,Hyper_Cutter,Shell_Armor,Sheer_Force,30,105,90,25,25,50,325,Basic,1
151,Kingler,1,Water,,Hyper_Cutter,Shell_Armor,Sheer_Force,55,130,115,50,50,75,475,Basic,2
152,Voltorb,1,Electric,,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,Basic,1
153,Electrode,1,Electric,,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,Basic,2
154,Hisuian_Voltorb,8,Electric,Grass,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,Regional_Variant,1
155,Hisuian_Electrode,8,Electric,Grass,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,Regional_Variant,2
156,Exeggcute,1,Grass,Psychic,Chlorophyll,,Harvest,60,40,80,60,45,40,325,Basic,1
157,Exeggcutor,1,Grass,Psychic,Chlorophyll,,Harvest,95,95,85,125,75,55,530,Basic,2
158,Alolan_Exeggcutor,7,Grass,Dragon,Frisk,,Harvest,95,105,85,125,75,45,530,Regional_Variant,2
159,Cubone,1,Ground,,Rock_Head,Lightning_Rod,Battle_Armor,50,50,95,40,50,35,320,Basic,1
160,Marowak,1,Ground,,Rock_Head,Lightning_Rod,Battle_Armor,60,80,110,50,80,45,425,Basic,2
161,Alolan_Marowak,7,Fire,Ghost,Cursed_Body,Lightning_Rod,Rock_Head,60,80,110,50,80,45,425,Regional_Variant,2
162,Tyrogue,2,Fighting,,Guts,Steadfast,Vital_Spirit,35,35,35,35,35,35,210,Baby,1
163,Hitmonlee,1,Fighting,,Limber,Reckless,Unburden,50,120,53,35,110,87,455,Basic,2
164,Hitmonchan,1,Fighting,,Keen_Eye,Iron_Fist,Inner_Focus,50,105,79,35,110,76,455,Basic,2
165,Hitmontop,2,Fighting,,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455,Basic,2
166,Lickitung,1,Normal,,Own_Tempo,Oblivious,Cloud_Nine,90,55,75,60,75,30,385,Basic,1
167,Lickilicky,4,Normal,,Own_Tempo,Oblivious,Cloud_Nine,110,85,95,80,95,50,515,Basic,2
168,Koffing,1,Poison,,Levitate,Neutralizing_Gas,Stench,40,65,95,60,45,35,340,Basic,1
169,Weezing,1,Poison,,Levitate,Neutralizing_Gas,Stench,65,90,120,85,70,60,490,Basic,2
170,Galarian_Weezing,8,Poison,Fairy,Levitate,Neutralizing_Gas,Misty_Surge,65,90,120,85,70,60,490,Regional_Variant,2
171,Rhyhorn,1,Ground,Rock,Lightning_Rod,Rock_Head,Reckless,80,85,95,30,30,20,340,Basic,1
172,Rhydon,1,Ground,Rock,Lightning_Rod,Rock_Head,Reckless,105,130,120,45,45,40,485,Basic,2
173,Rhyperior,4,Ground,Rock,Lightning_Rod,Solid_Rock,Reckless,115,140,130,55,55,40,535,Basic,3
174,Happiny,4,Normal,,Natural_Cure,Serene_Grace,Friend_Guard,100,5,5,15,65,30,220,Baby,1
175,Chansey,1,Normal,,Natural_Cure,Serene_Grace,Healer,250,5,5,35,105,50,450,Basic,2
176,Blissey,2,Normal,,Natural_Cure,Serene_Grace,Healer,255,10,10,75,135,55,540,Basic,3
177,Tangela,1,Grass,,Chlorophyll,Leaf_Guard,Regenerator,65,55,115,100,40,60,435,Basic,1
178,Tangrowth,4,Grass,,Chlorophyll,Leaf_Guard,Regenerator,100,100,125,110,50,50,535,Basic,2
179,Kangaskhan,1,Normal,,Early_Bird,Scrappy,Inner_Focus,105,95,80,40,80,90,490,Basic,1
180,Mega_Kangaskhan,6,Normal,,Parental_Bond,,,105,125,100,60,100,100,590,Mega_Evolution,1
181,Horsea,1,Water,,Swift_Swim,Sniper,Damp,30,40,70,70,25,60,295,Basic,1
182,Seadra,1,Water,,Poison_Point,Sniper,Damp,55,65,95,95,45,85,440,Basic,2
183,Kingdra,2,Water,Dragon,Swift_Swim,Sniper,Damp,75,95,95,95,95,85,540,Basic,3
184,Goldeen,1,Water,,Swift_Swim,Water_Veil,Lightning_Rod,45,67,60,35,50,63,320,Basic,1
185,Seaking,1,Water,,Swift_Swim,Water_Veil,Lightning_Rod,80,92,65,65,80,68,450,Basic,2
186,Staryu,1,Water,,Illuminate,Natural_Cure,Analytic,30,45,55,70,55,85,340,Basic,1
187,Starmie,1,Water,,Illuminate,Natural_Cure,Analytic,60,75,85,100,85,115,520,Basic,2
188,Mega_Starmie,9,Water,Psychic,Huge_Power,,,60,100,105,130,105,120,620,Mega_Evolution,2
189,Mime_jr.,4,Psychic,Fairy,Soundproof,Filter,Technician,20,25,45,70,90,60,310,Baby,1
190,Mr._Mime,1,Psychic,Fairy,Soundproof,Filter,Technician,40,45,65,100,120,90,460,Basic,2
191,Galarian_Mr._Mime,8,Ice,Psychic,Vital_Spirit,Screen_Cleaner,Ice_Body,50,65,65,90,90,100,460,Regional_Variant,2
192,Mr._Rime,8,Ice,Psychic,Tangled_Feet,Screen_Cleaner,Ice_Body,80,85,75,110,100,70,520,Regional_Variant_Evolution,3
193,Scyther,1,Bug,Flying,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,Basic,1
194,Scizor,2,Bug,Steel,Swarm,Technician,Light_Metal,70,130,100,55,80,65,500,Basic,2
195,Mega_Scizor,2,Bug,Steel,Technician,,,70,150,140,65,100,75,600,Mega_Evolution,2
196,Kleavor,8,Bug,Rock,Swarm,Sheer_Force,Sharpness,70,135,95,45,70,85,500,Basic,2
197,Smoochum,2,Ice,Psychic,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305,Baby,1
198,Jynx,1,Ice,Psychic,Oblivious,Forewarn,Dry_Skin,65,50,35,115,95,95,455,Basic,2
199,Elekid,2,Electric,,Static,,Vital_Spirit,45,63,37,65,55,95,360,Baby,1
200,Electabuzz,1,Electric,,Static,,Vital_Spirit,65,83,57,95,85,105,490,Basic,2
201,Electivire,4,Electric,,Motor_Drive,,Vital_Spirit,75,123,67,95,85,95,540,Basic,3
202,Magby,2,Fire,,Flame_Body,,Vital_Spirit,45,75,37,70,55,83,365,Baby,1
203,Magmar,1,Fire,,Flame_Body,,Vital_Spirit,65,95,57,100,85,93,495,Basic,2
204,Magmortar,4,Fire,,Flame_Body,,Vital_Spirit,75,95,67,125,95,83,540,Basic,3
205,Pinsir,1,Bug,,Hyper_Cutter,Mold_Breaker,Moxie,65,125,100,55,70,85,500,Basic,1
206,Mega_Pinsir,6,Bug,Flying,Aerilate,,,65,155,120,65,90,105,600,Mega_Evolution,1
207,Tauros,1,Normal,,Intimidate,Anger_Point,Sheer_Force,75,100,95,40,70,110,490,Basic,1
208,Combat_Breed_Tauros,9,Fighting,,Intimidate,Anger_Point,Cud_Chew,75,110,105,30,70,100,490,Basic,1
209,Aqua_Breed_Tauros,9,Fighting,Water,Intimidate,Anger_Point,Cud_Chew,75,110,105,30,70,100,490,Basic,1
210,Blaze_Breed_Tauros,9,Fighting,Fire,Intimidate,Anger_Point,Cud_Chew,75,110,105,30,70,100,490,Basic,1
211,Magikarp,1,Water,,Swift_Swim,,Rattled,20,10,55,15,20,80,200,Basic,1
212,Gyarados,1,Water,Flying,Intimidate,,Moxie,95,125,79,60,100,81,540,Basic,2
213,Mega_Gyarados,6,Water,Dark,Mold_Breaker,,,95,155,109,70,130,81,640,Mega_Evolution,2
214,Lapras,1,Water,Ice,Water_Absorb,Shell_Armor,Hydration,130,85,80,85,95,60,535,Basic,1
215,Ditto,1,Normal,,Limber,,Imposter,48,48,48,48,48,48,288,Basic,1
216,Eevee,1,Normal,,Run_Away,Adaptability,Anticipation,55,55,50,45,65,55,325,Basic,1
217,Partner_Eevee,7,Normal,,,,,65,75,70,65,85,75,435,Special,1
218,Vaporeon,1,Water,,Water_Absorb,,Hydration,130,65,60,110,95,65,525,Basic,2
219,Jolteon,1,Electric,,Volt_Absorb,,Quick_Feet,65,65,60,110,95,130,525,Basic,2
220,Flareon,1,Fire,,Flash_Fire,,Guts,65,130,60,95,110,65,525,Basic,2
221,Espeon,2,Psychic,,Synchronize,,Magic_Bounce,65,65,60,130,95,110,525,Basic,2
222,Umbreon,2,Dark,,Synchronize,,Inner_Focus,95,65,110,60,130,65,525,Basic,2
223,Leafeon,4,Grass,,Leaf_Guard,,Chlorophyll,65,110,130,60,65,95,525,Basic,2
224,Glaceon,4,Ice,,Snow_Cloak,,Ice_Body,65,60,110,130,95,65,525,Basic,2
225,Sylveon,6,Fairy,,Cute_Charm,,Pixilate,95,65,65,110,130,60,525,Basic,2
226,Porygon,1,Normal,,Trace,Download,Analytic,65,60,70,85,75,40,395,Basic,1
227,Porygon2,2,Normal,,Trace,Download,Analytic,85,80,90,105,95,60,515,Basic,2
228,Porygon-Z,4,Normal,,Adaptability,Download,Analytic,85,80,70,135,75,90,535,Basic,3
229,Omanyte,1,Rock,Water,Swift_Swim,Shell_Armor,Weak_Armor,35,40,100,90,55,35,355,Fossil,1
230,Omastar,1,Rock,Water,Swift_Swim,Shell_Armor,Weak_Armor,70,60,125,115,70,55,495,Fossil,2
231,Kabuto,1,Rock,Water,Swift_Swim,Battle_Armor,Weak_Armor,30,80,90,55,45,55,355,Fossil,1
232,Kabutops,1,Rock,Water,Swift_Swim,Battle_Armor,Weak_Armor,60,115,105,65,70,80,495,Fossil,2
233,Aerodactyl,1,Rock,Flying,Rock_Head,Pressure,Unnerve,80,105,65,60,75,130,515,Fossil,1
234,Mega_Aerodactyl,1,Rock,Flying,Tough_Claws,,,80,135,85,70,95,150,615,Fossil_Mega_Evolution,1
235,Munchlax,4,Normal,,Pickup,Thick_Fat,Gluttony,135,85,40,40,85,5,390,Baby,1
236,Snorlax,1,Normal,,Immunity,Thick_Fat,Gluttony,160,110,65,65,110,30,540,Basic,2
237,Articuno,1,Ice,Flying,Pressure,,Snow_Cloak,90,85,100,95,125,85,580,Sub_Legendary,1
238,Galarian_Articuno,8,Psychic,Flying,Competitive,,,90,85,85,125,100,95,580,Sub_Legendary_Regional_Variant,1
239,Zapdos,1,Electric,Flying,Pressure,,Static,90,90,85,125,90,100,580,Sub_Legendary,1
240,Galarian_Zapdos,8,Fighting,Flying,Defiant,,,90,125,90,85,90,100,580,Sub_Legendary_Regional_Variant,1
241,Moltres,1,Fire,Flying,Pressure,,Flame_Body,90,100,90,125,85,90,580,Sub_Legendary,1
242,Galarian_Moltres,8,Dark,Flying,Berserk,,,90,85,90,100,125,90,580,Sub_Legendary_Regional_Variant,1
243,Dratini,1,Dragon,,Shed_Skin,,Marvel_Scale,41,64,45,50,50,50,300,Basic,1
244,Dragonair,1,Dragon,,Shed_Skin,,Marvel_Scale,61,84,65,70,70,70,420,Basic,2
