date,country,oil_price,oil_change_pct,shipping_pressure,fuel_price,inflation_pct,export_change_pct,import_change_pct,trade_pct_gdp,energy_dependency,oil_import_exposure,shipping_exposure,stock_index,stock_return_pct,market_volatility,shock_intensity,shock_period
03-01-2022,China,57.52,-2.46,120.77,1.3,2.07,-1.37,-3.39,73.62,14.5,0.36,138.28,3015.91,0.33,8.74,9.84,Baseline
03-01-2022,Iraq,70.01,-4.86,100,0.63,3.79,2,0.48,19.03,-63.32,3.08,163.32,852.29,-0.14,11.37,5.36,Baseline
03-01-2022,Iraq,91.61,1.03,118.26,0.66,3.76,7.97,6.45,20.45,-62.16,0.64,191.77,1060.61,1.36,12.92,9.77,Baseline
03-01-2022,Japan,74.3,4.23,89.14,1.64,2.65,0,2.95,44.16,86.38,3.65,166.14,27657.1,-0.12,8.1,7.38,Baseline
03-01-2022,Japan,99.87,-5.01,50,1.49,1.63,-5.27,1.99,44.6,84.01,4.21,92.01,27881.18,-0.2,12.58,20.78,Baseline
03-01-2022,Japan,68.87,10.25,108.71,1.53,2.89,2.46,-4.72,45.75,84.36,8.65,200.42,28026.65,-1.35,14.08,10.94,Baseline
03-01-2022,Saudi Arabia,98.47,0.2,157.16,2.2,2.79,3.11,3.33,43.6,-80.56,0.16,283.77,12039.97,0.87,11.3,20.62,Baseline
03-01-2022,South Korea,93.7,0.11,91.1,1.59,2.77,-0.02,2.6,44.28,72.13,0.08,156.81,2797.31,-1.43,13.59,6.79,Baseline
03-01-2022,UK,89.58,5.14,104.83,1.9,3.55,0.93,6.37,44.5,31.22,1.6,137.56,7906.98,2.11,15.62,8.19,Baseline
03-01-2022,USA,91.98,3.46,125.83,3.49,3.54,2.96,6.5,14.57,-14.42,0.5,143.97,4963.34,-3.06,16.24,14,Baseline
04-01-2022,China,78.64,6.37,145.16,1.23,2.88,-6.86,-2.06,80.82,16.32,1.04,168.85,3131.73,-2.75,16.35,21,Baseline
04-01-2022,Saudi Arabia,65.58,0.93,108.66,2.35,2.43,-2.98,12.1,62.79,-80.34,0.75,195.96,12243.66,0.26,12.58,6.74,Baseline
04-01-2022,UAE,80.96,5.74,105.26,3.05,3.65,-7.31,-2.52,45.73,-74.57,4.28,183.75,4332.78,-1.46,13.36,7.88,Baseline
04-01-2022,UAE,81.5,1.22,139.47,3.06,3.68,4.28,-2.77,29.55,-72.28,0.88,240.28,4479.79,0.11,10.26,15.41,Baseline
04-01-2022,UAE,81.55,0.82,106.12,3.07,3.09,-0.37,-9.46,61.14,-77.7,0.64,188.58,4446.05,-1.61,12.4,5.88,Baseline
04-01-2022,UK,90.37,6.12,118.41,1.91,3.57,-13.67,-8.05,77.71,35.31,2.16,160.22,8084.18,-0.83,10.63,11.16,Baseline
04-01-2022,USA,92.04,-5.71,125.74,3.47,3.69,-2.19,0.06,59.25,-18,1.03,148.37,4887.9,0.22,9.75,12.93,Baseline
05-01-2022,Germany,105.27,1.77,75.21,1.89,3.23,-6.54,1.22,32.29,59.26,1.05,119.78,15751.87,-0.75,10.75,11.37,Baseline
05-01-2022,India,61.99,-7.49,66.63,1.4,3.92,0.06,4.2,71.54,31.46,2.36,87.59,18147.32,0.15,8.75,15.63,Baseline
05-01-2022,India,77.43,-1.43,120.15,1.47,5.73,1.85,3.61,49.29,28.88,0.41,154.85,18095.74,-2.16,13.01,10.52,Baseline
05-01-2022,Japan,51.39,4.51,111.31,1.52,3.17,4.69,2.38,54.95,82.9,3.74,203.59,27855.44,-0.48,11.78,8.73,Baseline
05-01-2022,Japan,94.77,-0.69,59.6,1.44,1.76,-0.8,-7.7,57.67,87.11,0.6,111.52,27746.84,0.98,8.46,14.93,Baseline
05-01-2022,Saudi Arabia,67.02,0.95,89.7,2.19,2.3,0.93,10.86,53.81,-81.46,0.77,162.77,12080.88,0.26,10.27,6.55,Baseline
05-01-2022,South Korea,111.97,-1.31,124.44,1.44,1.97,-12.82,-1.13,75.05,80,1.05,223.99,2587.17,2.02,13.65,11.95,Baseline
05-01-2022,South Korea,83.81,2.9,97.11,1.57,3.18,1,-2.53,33.75,74.98,2.17,169.92,2764.91,-0.09,9.85,4.98,Baseline
06-01-2022,Germany,72.75,2.35,99.1,2.01,3.51,-0.63,-0.39,53.9,62.08,1.46,160.62,16000.25,-1.36,10.85,4.47,Baseline
06-01-2022,India,109.22,3.36,112.98,1.37,5.65,2.26,-0.08,36.67,36.94,1.24,154.71,18067.26,1.42,12.78,9.07,Baseline
06-01-2022,Iraq,92.75,2.92,135.09,0.67,5.21,5.91,0.78,68.27,-56.79,1.66,211.81,876.93,-0.17,10.83,14.94,Baseline
06-01-2022,Japan,70.81,3.68,63.4,1.53,2.5,4.39,0.89,45.86,87.64,3.23,118.96,28082.1,1.62,13.95,16.64,Baseline
06-01-2022,Saudi Arabia,68.65,-1.83,133.02,2.29,2.89,-6.05,8,37.13,-77.74,1.42,236.43,12021.51,-0.13,7.21,12.8,Baseline
06-01-2022,South Korea,81.1,-8.29,71.6,1.5,1.77,3.48,1.72,43.13,73.06,6.06,123.91,2595.85,-3.9,20.5,17.99,Baseline
06-01-2022,UAE,104.91,3,79.6,2.98,2.27,-2.19,0.96,39.17,-65.55,1.97,131.78,4675.64,-0.82,14.41,11.64,Baseline
06-01-2022,UAE,72.76,5.17,129.9,2.96,3.54,4.64,4.07,64.49,-71.99,3.72,223.42,4197.81,0.06,11.65,14.53,Baseline
06-01-2022,USA,73.35,-0.33,118.26,3.58,3.11,-3.93,1.14,72.92,-6.17,0.02,125.56,5101.36,1.65,11.25,8.99,Baseline
07-01-2022,China,109.31,0.89,75.95,1.17,2.01,1.76,-4.15,68.39,19.92,0.18,91.08,3456.19,2.41,19.44,13.4,Baseline
07-01-2022,China,71.86,-2.03,120.05,1.16,1.93,-2.38,6.11,38.87,17.61,0.36,141.19,2874.36,2.57,17.57,12.1,Baseline
07-01-2022,China,105.86,-6.46,94.92,1.11,1.59,2.68,-2.1,27.36,20.61,1.33,114.48,3092.63,0.58,10.73,7.33,Baseline
07-01-2022,China,75.06,-3.28,126.34,1.23,2.51,-5.21,12.45,37.9,21.06,0.69,152.95,3315.67,-4.42,16.98,14.31,Baseline
07-01-2022,China,124.7,2.67,102.01,1.3,1.86,-2.02,1.58,83.95,18.43,0.49,120.81,3251.54,-0.37,10.36,4.78,Baseline
07-01-2022,Germany,85.61,1.55,120.24,1.99,2.95,4.78,2.04,71.06,55.15,0.85,186.55,15976.45,-0.78,10.33,9.79,Baseline
07-01-2022,Japan,71.73,3.29,82.11,1.65,2.71,-11.74,3.78,60.65,82.05,2.7,149.48,27675.04,1.64,13.18,10.64,Baseline
07-01-2022,Saudi Arabia,83.27,-0.01,94.42,2.29,3.14,-1.01,3.17,57.72,-76.42,0.01,166.58,11913.66,-0.33,13.05,5.59,Baseline
07-01-2022,Saudi Arabia,109.64,1.81,50,2.22,2.97,8.43,16.28,39.19,-73.63,1.33,86.82,12300.98,-0.49,10.95,19.01,Baseline
07-01-2022,UAE,58.92,0.16,91.07,2.94,3.15,2.18,0.47,49.16,-70.57,0.11,155.34,4484.84,-0.36,14.28,7.03,Baseline
08-01-2022,China,67.5,-3.13,90.32,1.11,2.14,1.26,7.16,38.88,20.06,0.63,108.44,3213.26,-1.65,15.43,8.79,Baseline
08-01-2022,Germany,74.63,-4.88,110.99,1.78,3.19,-7.86,-4.05,84.73,60.25,2.94,177.86,16062.21,-1.11,11.38,8.66,Baseline
08-01-2022,India,53.25,4.98,112.01,1.32,4.89,4.14,-0.29,47.87,34.47,1.72,150.62,17890.13,0.42,8.81,8.24,Baseline
08-01-2022,India,61.74,-3.18,77.67,1.31,5.28,-3.2,4.93,41.39,39.36,1.25,108.24,17709.09,1.76,11.85,11.53,Baseline
08-01-2022,Iraq,67.26,1.49,134.59,0.76,4.48,7.33,-0.95,33.12,-58.09,0.87,212.77,758.36,-2.22,10.55,14.14,Baseline
08-01-2022,Iraq,66.25,-0.59,98.21,0.83,4.88,4.73,-1.9,46.6,-64.11,0.38,161.17,762.64,0.32,12.99,4.67,Baseline
08-01-2022,Japan,101.53,1.39,75.83,1.51,2.62,7.05,13.22,9.46,88.09,1.22,142.63,27970.42,-0.56,7.93,10.19,Baseline
08-01-2022,South Korea,59,-8.94,82.53,1.41,1.68,5.35,-8.75,27.52,75.34,6.74,144.71,2461.04,1,12.88,12.68,Baseline
08-01-2022,South Korea,76,-5.39,128.95,1.68,3.64,7.11,3.59,42,73.5,3.96,223.73,2532.43,-0.27,9.29,13.63,Baseline
08-01-2022,South Korea,87.62,6.65,121.7,1.71,2.47,1.36,-8.24,76.01,74.64,4.96,212.54,2338.96,-0.97,12.27,12.85,Baseline
08-01-2022,UAE,67.8,-1.82,65.4,2.99,2.58,-2.62,5.58,26.29,-71.69,1.3,112.29,4547.2,-0.81,9.57,13.98,Baseline
08-01-2022,UK,90.43,-2.31,100.15,1.78,2.85,-0.27,-2.23,42.67,34.96,0.81,135.16,8058.98,1.64,16.84,6.02,Baseline
09-01-2022,China,65.99,5.14,68.27,1.22,1.86,8.1,-1.05,69.95,21.82,1.12,83.17,3154.52,-2.09,12.41,15.3,Baseline
09-01-2022,China,86.32,1.24,136.78,1.14,2.99,-5.07,0.23,8.74,21.94,0.27,166.79,3304.87,-0.37,10.99,14.83,Baseline
09-01-2022,India,68.44,3.32,82.38,1.45,4.81,-6.39,-0.12,75.34,33.45,1.11,109.94,17737.48,1.94,10.19,9.67,Baseline
09-01-2022,India,110.78,-6.31,65.1,1.42,4.36,7.56,1.26,40.68,32.98,2.08,86.57,18154.16,1.21,10.74,16.22,Baseline
09-01-2022,Iraq,82.7,-0.78,129.51,0.65,4.3,2.14,8.69,62.5,-58.65,0.46,205.47,609.98,-1.38,8.63,11.75,Baseline
09-01-2022,Iraq,61.42,-1.92,101.38,0.7,4.26,2.86,-2.15,50.92,-58.48,1.12,160.67,1094.84,-1.27,12.53,4.94,Baseline
09-01-2022,Iraq,100.59,3.54,88.6,0.76,4.09,-1.98,7.64,44.72,-54.92,1.94,137.26,821.63,0.69,9.04,7.55,Baseline
09-01-2022,Saudi Arabia,57.92,-1.37,141.33,2.28,2.93,-3.62,0.55,74.33,-84.89,1.16,261.31,12194.26,-0.18,10.08,15.97,Baseline
09-01-2022,Saudi Arabia,75.78,-8.65,113.08,2.11,1.99,4.84,8.47,77.64,-81.63,7.06,205.39,12036.94,0.24,11.34,10.79,Baseline
09-01-2022,Saudi Arabia,93.77,-3.34,137.78,2.15,2.72,7.87,-7.7,62.36,-79.15,2.64,246.83,12061.81,-1.59,10.19,15.73,Baseline
09-01-2022,UK,131.44,-6.91,94.45,1.72,3.08,-2.03,0.39,42.84,33.95,2.35,126.52,7936.88,0.94,11.21,7.79,Baseline
10-01-2022,China,85.97,-2.62,67.71,1.14,2.18,5.42,5.2,44.07,17.33,0.45,79.44,3008.7,2.97,16.13,15.57,Baseline
10-01-2022,China,71.93,-1.92,110.25,1.15,1.63,7.92,5.32,32.89,22.08,0.42,134.59,3254.58,-2.97,16.28,8.73,Baseline
10-01-2022,China,90.3,2.51,109.56,1.16,2.34,1.84,-3.62,16.46,18.06,0.45,129.35,3275.5,-1.61,12.74,7.69,Baseline
10-01-2022,India,64.12,0.16,89.79,1.43,4.93,1.91,2.04,88.13,34.36,0.05,120.64,18241.55,0.44,11.92,6.7,Baseline
10-01-2022,Iraq,78.82,-3.88,105.7,0.67,4.32,3.8,2.27,53.1,-58,2.25,167.01,777.11,0.32,13.84,7.41,Baseline
10-01-2022,Iraq,64.97,-3.84,106.39,0.59,3.81,-3.73,-6.93,78.3,-61.91,2.38,172.26,930.14,1.68,14.12,7.69,Baseline
10-01-2022,Iraq,71.66,1.97,103.59,0.69,4.06,2.73,-0.76,36.64,-60.83,1.2,166.6,909.87,-0.1,8.78,4.5,Baseline
10-01-2022,South Korea,81.72,-1.47,96.54,1.67,2.1,2.16,4.05,64.41,71.12,1.05,165.2,2547.33,-1.41,11.49,5.07,Baseline
10-01-2022,South Korea,67.11,5.97,97.9,1.69,2.24,-2.25,-1.2,50.47,77.99,4.66,174.25,2834.59,-0.53,9.48,5.86,Baseline
10-01-2022,UAE,68.66,2.67,87.41,3.16,3.64,1.34,-4.76,51.31,-68.83,1.84,147.57,4666.89,0.46,14.29,9.13,Baseline
10-01-2022,UK,89.78,2.64,99.87,1.96,3.05,8.59,0.6,80.22,39.41,1.04,139.23,7854.8,0.97,10.65,4.29,Baseline
11-01-2022,China,87.35,3.9,86.45,1.41,2.25,0.26,2.36,35.09,19.21,0.75,103.06,3097.83,-1.07,9.95,8.61,Baseline
11-01-2022,China,81.99,-0.72,117.71,1.21,3.1,-1.38,-0.19,57.44,13.66,0.1,133.79,3003.3,-1.77,15.83,10.35,Baseline
11-01-2022,China,79.35,3.99,112.23,1.32,2.68,2.61,7.65,51.65,15.31,0.61,129.41,2988.03,0.64,9.78,8.2,Baseline
11-01-2022,China,77.78,4.27,95.17,1.42,2.59,-2.68,7.55,33.07,24.83,1.06,118.8,3127.74,0.7,9.85,6.11,Baseline
11-01-2022,Iraq,103.19,-3.71,105.23,0.83,3.97,-4.04,-0.32,26.96,-59.69,2.21,168.04,887.84,2.98,15.89,7.82,Baseline
11-01-2022,Japan,107.86,-4.56,66.32,1.57,1.53,-2.74,9.13,48.04,84.62,3.86,122.44,28089.85,1.41,15.46,16.57,Baseline
11-01-2022,Japan,68.32,-2.98,82.59,1.44,3.17,-7.36,-3.16,69.6,85.9,2.56,153.53,28099.33,1.26,12.59,10.19,Baseline
11-01-2022,Japan,97.61,1.27,136.89,1.66,2.96,6.56,-3.35,34.16,90.68,1.15,261.02,27973.49,-0.37,12.08,15.2,Baseline
11-01-2022,Japan,85.76,0.4,69.88,1.44,2.13,-0.08,-2.24,50.5,83.78,0.34,128.43,28026.24,-0.49,12.16,12.84,Baseline
11-01-2022,South Korea,86.73,-3.83,118.32,1.61,3.16,5.19,9.62,40.09,75.72,2.9,207.91,2530.32,-1.22,11.45,10.46,Baseline
11-01-2022,UAE,76.62,3.6,71.88,3.11,2.64,-2.41,2.55,8.73,-71.16,2.56,123.03,4519.58,-1.86,13.12,13.81,Baseline
11-01-2022,USA,65.84,-9.96,68.42,3.33,3.66,-4.48,2.95,19.44,-7.76,0.77,73.73,5091.19,3.22,19.47,19.3,Baseline
12-01-2022,China,66.99,4.1,145.29,1.23,1.96,1.86,1.7,21.04,20.4,0.84,174.93,3297.84,-3.11,13.48,19.27,Baseline
12-01-2022,China,61.66,-5.15,60.74,1.17,1.78,4.54,-5.48,29.74,18.89,0.97,72.21,2652.39,0.66,10.83,17.09,Baseline
12-01-2022,Germany,79.37,2.27,132.38,1.94,3.41,-3.64,0.53,28.7,56.88,1.29,207.68,16102.35,-0.76,9.58,13.5,Baseline
12-01-2022,Germany,81.06,-1.75,80.25,1.85,2.19,-5.16,5.2,37.29,57.76,1.01,126.6,16020.11,0.12,12.89,10.49,Baseline
12-01-2022,India,76.87,2.55,90.46,1.39,5.67,-1,9.08,14.26,37.17,0.95,124.08,17885.99,-4.21,21.33,10.28,Baseline
12-01-2022,Iraq,94.93,5.14,61.53,0.83,3.66,0.22,5.32,51.92,-60.36,3.1,98.67,816.8,-1.04,12.25,17.27,Baseline
12-01-2022,Japan,76.13,-3.18,128.8,1.46,2.75,5.84,1.37,71.37,86.8,2.76,240.6,28115.49,-2.83,14.43,14.24,Baseline
12-01-2022,South Korea,57.81,-2.25,107.58,1.65,2.48,-6.75,-4.86,7.93,69.67,1.57,182.53,2572.36,-1.77,13.32,7.17,Baseline
12-01-2022,South Korea,90.79,-5.71,125.85,1.63,2.2,5.1,1.99,61.85,73.32,4.19,218.12,2610.35,1.97,14.23,14.31,Baseline
12-01-2022,South Korea,72.54,-5.25,88.5,1.5,2.19,-6.64,-2.76,57.38,77.38,4.06,156.98,2652.78,3.22,16.38,10.46,Baseline
12-01-2022,UAE,97.47,2.77,76.06,2.91,2.81,1.19,0.41,52.45,-75.5,2.09,133.49,4333.38,0.09,11.88,11.85,Baseline
12-01-2022,UAE,105.01,-4.74,64.61,2.91,2.41,-6.17,-5.31,44.43,-73.75,3.5,112.26,4333.92,1.29,11.71,16.03,Baseline
12-01-2022,UAE,85.59,-2.25,112.64,3.05,2.55,10.61,-6.55,91.79,-74.63,1.68,196.7,4497.31,0.4,12.64,8.48,Baseline
12-01-2022,UAE,106.12,0.7,106.99,2.97,2.81,3.24,-2.46,33.31,-67.83,0.47,179.56,4413.72,2.25,12.59,6.15,Baseline
12-01-2022,UAE,68.82,11.7,50,3.08,2.81,-0.88,-1.54,72.34,-71.22,8.33,85.61,4492.29,-0.53,14.4,24,Baseline
12-01-2022,UAE,106.9,-4.41,95.54,2.95,2.37,5.72,2.37,41.76,-72.54,3.2,164.84,4441.29,-0.19,11.54,6.56,Baseline
12-01-2022,UK,74.67,0.7,110.92,1.67,2.87,-4.12,5.58,87.94,36.15,0.25,151.02,7922.11,2.18,16.1,8.39,Baseline
13-01-2022,Germany,71.11,5.32,69.22,2.03,3.27,1.83,5.55,41.42,63.26,3.37,113.01,16123.18,-0.88,12.35,15.07,Baseline
13-01-2022,Germany,82.47,-3.27,57.62,1.96,3.07,-1.52,3.55,43.69,57.94,1.89,91.01,16068.47,-1.01,11.6,17.5,Baseline
13-01-2022,Germany,101.73,7.93,64.66,1.94,3.16,1.18,-0.53,58.25,61.32,4.86,104.31,16263.17,-1.16,13.97,17.96,Baseline
13-01-2022,India,80.62,2.64,74.33,1.4,4.81,2.04,4.11,63.47,38.19,1.01,102.72,17970.57,-0.91,12.18,12.41,Baseline
13-01-2022,India,66.29,6.32,94.95,1.55,5.47,-1.28,-0.56,33.97,28.08,1.77,121.61,18068.87,-0.08,5.47,5.68,Baseline
13-01-2022,Iraq,59.47,-1.61,120.41,0.66,4.42,7.72,1.62,46.36,-57.25,0.92,189.34,817.14,3.04,16.33,11.67,Baseline
13-01-2022,Iraq,73.15,1.43,103.73,0.81,4.49,-2.89,0.89,54.99,-59.17,0.85,165.11,1038.72,-3.3,16.34,6.59,Baseline
13-01-2022,Iraq,77.02,0.87,132.02,0.72,4.07,-8.89,-6,70.34,-60.63,0.53,212.06,941.32,1.3,15.04,14.47,Baseline
13-01-2022,Japan,82,-4.8,95.78,1.55,3.13,-10.64,3.32,50.61,85.86,4.12,178.02,27939.92,1.12,11.87,6.75,Baseline
13-01-2022,Saudi Arabia,86.23,5.15,92.35,2.32,2.46,5,7.45,53.49,-77.7,4,164.11,11910.12,0.44,8.55,6.92,Baseline
13-01-2022,South Korea,62.59,0.59,71.72,1.78,1.49,0.64,-3.09,65.84,73.35,0.43,124.33,2672.04,-2.59,14.34,13.02,Baseline
13-01-2022,South Korea,84.16,1.63,130.57,1.66,4.05,-2.98,1.76,68.64,75.78,1.24,229.52,2648.37,-0.91,11.22,13.19,Baseline
13-01-2022,South Korea,81.2,-0.5,119.83,1.48,3.28,5.34,0.02,34.06,76.38,0.38,211.36,2815.73,-1.72,14.57,10.52,Baseline
13-01-2022,UK,68.19,0.38,50,1.79,2.37,6.49,4.87,50.11,32.42,0.12,66.21,8012.54,0.35,9.41,17.97,Baseline
13-01-2022,UK,74.56,-1.08,87.39,1.81,2.99,-4.51,3.5,44.11,31.6,0.34,115.01,7816.84,0.83,8.52,6.77,Baseline
13-01-2022,USA,75.67,-2.94,118.4,3.43,2.37,0.08,10.86,32.45,-10.68,0.31,131.05,5022.27,0.32,10.44,9.83,Baseline
13-01-2022,USA,95.99,2.04,151.55,3.54,4.15,-3.87,3.34,52.17,-9.69,0.2,166.24,4959.32,1.02,11.27,19.66,Baseline
13-01-2022,USA,81.13,-6.29,88.11,3.35,3.15,-6.17,0.46,57.38,-9.32,0.59,96.32,4985.51,2.62,14.89,10.55,Baseline
14-01-2022,China,81.07,-1.88,77.07,1.06,1.98,-4.07,-2.86,56.54,21.33,0.4,93.51,2946.31,0.37,10.26,10.71,Baseline
14-01-2022,India,87.39,-1.39,81.51,1.29,4.54,0.91,-2,66.87,30.91,0.43,106.7,17917.67,2.99,18,11.5,Baseline
14-01-2022,India,83.95,3.32,69.4,1.37,4.5,-3.57,7.09,51.04,37.54,1.25,95.45,17894.82,0.88,13,14.41,Baseline
14-01-2022,India,61.47,-5,83.89,1.38,4.97,-10.26,2.75,38.84,32.39,1.62,111.06,18026.25,-0.17,7.39,9.05,Baseline
14-01-2022,India,103.76,0.31,112.67,1.36,5.51,0.88,-6.89,62.26,33.53,0.1,150.45,18111.23,-2.82,18.31,9.42,Baseline
14-01-2022,India,86.43,1.62,127.55,1.35,5.91,1.38,2.4,100.55,40.97,0.66,179.81,17789.37,-3.5,16.09,13.74,Baseline
14-01-2022,Iraq,90.27,0.9,91.39,0.64,3.77,-4.11,-3.37,48.46,-59.59,0.54,145.85,719.96,-3.61,17.76,8.27,Baseline
14-01-2022,Iraq,72.06,7.13,161.52,0.83,4.97,0.95,2.18,49.33,-58.41,4.16,255.86,994.65,-0.99,9.66,24.21,Baseline
14-01-2022,Saudi Arabia,102.05,10.06,76.37,2.4,1.95,-5.33,3.3,41,-79.03,7.95,136.73,11854.39,2.32,18.38,16.63,Baseline
14-01-2022,South Korea,66.15,-3.5,107.2,1.48,2.57,8.73,-10.25,46.49,78.14,2.73,190.97,2646.65,-0.62,9.06,6.28,Baseline
14-01-2022,UAE,68.47,-7.09,102.05,2.93,2.56,-10.49,1.4,24.07,-70.55,5,174.05,4304.97,-1.09,14.39,7.77,Baseline
14-01-2022,USA,84.09,5.08,84.26,3.6,3.08,2.19,3.34,62.09,-12.56,0.64,94.84,5041.69,2.03,15.61,11.44,Baseline
14-01-2022,USA,80.63,0.61,92.93,3.64,2.86,2.11,1.39,74.34,-18.18,0.11,109.82,4949.62,-1.62,13.66,6.46,Baseline
15-01-2022,China,86.45,1.31,101.87,1.17,1.66,-2.46,-4.36,48.19,22.64,0.3,124.93,3209.91,0.31,12.02,4.69,Baseline
15-01-2022,India,90.75,-1.42,104.08,1.5,5.26,8.06,5.89,60.61,35.02,0.5,140.53,18125.75,-2.27,13.75,5.92,Baseline
15-01-2022,India,86.41,3.85,92.92,1.55,5.22,5.03,3.81,56.84,36.8,1.42,127.11,17991.68,1.51,15.41,8.29,Baseline
15-01-2022,India,77.11,-5.11,101.01,1.27,3.55,6.89,1.53,38.5,34.73,1.77,136.09,18214.82,-0.08,8.53,4.91,Baseline
15-01-2022,Iraq,88.2,-1.31,131.99,0.69,4.28,7.62,-0.33,45.62,-59.92,0.78,211.08,648.71,0.38,9.7,13.03,Baseline
15-01-2022,Iraq,84.41,1.19,63.54,0.71,3.93,-6.1,-1.55,43.75,-59.06,0.7,101.07,950.29,3.21,13.87,15.58,Baseline
15-01-2022,Saudi Arabia,63.86,-2.55,50,2.4,2.68,3.05,-2.53,77.43,-77.95,1.99,88.98,11933.14,1.58,14.88,20.48,Baseline
15-01-2022,Saudi Arabia,94.68,3.39,80.58,2.35,2.68,-0.54,2.28,42.29,-73.78,2.5,140.03,12203.67,0.26,11.05,10.5,Baseline
15-01-2022,South Korea,101.38,3.06,84.26,1.56,2.43,7.19,-0.01,55.36,78.97,2.42,150.8,2384.29,0.55,9.83,8.9,Baseline
15-01-2022,UAE,111.91,-2.85,80.13,2.9,2.21,-11.8,1.31,22.77,-75.32,2.15,140.48,4495.39,1.94,7.22,9.27,Baseline
15-01-2022,USA,85.25,9.91,135.51,3.66,2.87,0.08,-2.11,36.17,-14.78,1.46,155.54,5185.48,2.18,15.44,19.25,Baseline
16-01-2022,China,53.92,7.55,151.54,1.39,2.45,-3.05,3.73,45.48,17.18,1.3,177.57,3057.24,-0.32,11.18,21.84,Baseline
16-01-2022,China,57.94,-6.21,84.25,1.15,2.62,-6.67,-0.29,63.2,25.54,1.59,105.77,3250.2,0.14,13.72,11.32,Baseline
