item_name,item_category,item_subcategory,brand_name,brand_tier,country,city,city_tier,price_usd_normalized,serving_size_g,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,sugars_g,avg_rating,is_bestseller
Green Detox Juice,Drink,Vegan,Taco Bell,budget,Canada,Regina,tier-3,3.07,523.2,70.8,0.0,0.8,86.5,41.9,22.8,4.5,0
Classic Beef Burger,Burger,Non-Veg,Nando's,mid,India,Coimbatore,tier-3,3.77,212.4,619.2,36.1,17.5,62.0,922.0,6.1,4.0,0
Mushroom Swiss Beef Burger,Burger,Non-Veg,Pizza Hut,budget,USA,Denver,tier-2,5.2,214.6,351.3,35.0,24.1,73.3,1057.4,9.2,4.3,0
Cheesecake Slice,Dessert,Non-Veg,Taco Bell,budget,India,Nagpur,tier-3,1.5,106.4,515.0,6.1,13.1,73.5,284.6,51.8,3.7,0
Meat Lovers Pizza,Pizza,Non-Veg,Pizza Hut,budget,Australia,Melbourne,metro,7.76,183.3,160.9,8.1,9.3,44.3,932.9,4.1,4.2,0
Crispy Chicken Burger,Burger,Non-Veg,The Cheesecake Factory,premium,USA,Austin,tier-2,43.92,243.0,629.7,26.7,33.8,38.2,1338.5,6.0,3.0,0
Lemonade,Drink,Veg,KFC,budget,Canada,Toronto,metro,1.75,482.8,88.5,1.6,0.0,83.0,36.7,52.3,4.3,0
Chicken Rice Bowl,Rice/Bowl,Non-Veg,The Cheesecake Factory,premium,UK,Birmingham,tier-2,58.58,369.7,542.9,19.2,15.2,44.3,528.5,3.8,3.3,0
Paneer Tikka Pizza,Pizza,Veg,Shake Shack,mid,USA,Nashville,tier-2,16.98,160.2,270.4,10.6,8.1,36.4,834.7,6.8,3.6,0
Double Smash Burger,Burger,Non-Veg,McDonald's,budget,USA,Chicago,metro,5.68,239.0,561.4,26.7,22.8,48.3,1019.6,13.4,3.8,0
Beyond Meat Burger,Burger,Vegan,Wendy's,budget,India,Mumbai,metro,2.09,237.3,463.8,25.6,11.0,61.2,750.5,5.8,3.5,0
Mushroom Swiss Beef Burger,Burger,Non-Veg,Pizza Hut,budget,India,Delhi,metro,3.79,243.7,766.4,32.7,24.4,37.2,1018.4,5.0,3.9,0
Mango Smoothie,Drink,Veg,Pizza Hut,budget,USA,New York,metro,3.47,373.1,217.8,0.0,2.8,42.2,54.3,40.09,3.6,0
Buffalo Chicken Bites,Sides,Non-Veg,Shake Shack,mid,Canada,Regina,tier-3,6.9,125.2,334.3,3.2,18.7,26.2,388.6,3.2,4.7,0
Margherita Pizza,Pizza,Veg,Chili's,mid,Canada,Regina,tier-3,14.65,203.3,311.3,18.8,11.3,49.2,669.5,7.6,3.3,0
Vegan Mango Smoothie,Drink,Vegan,Wendy's,budget,USA,Eugene,tier-3,5.3,484.5,343.7,0.0,3.6,68.6,0.0,18.3,2.1,0
Apple Juice,Drink,Veg,Chili's,mid,USA,Fargo,tier-3,13.03,427.4,321.4,2.3,1.8,61.6,37.6,7.8,3.0,0
Vegan Chocolate Cake,Dessert,Vegan,McDonald's,budget,USA,Spokane,tier-3,3.08,144.7,271.5,2.1,6.6,63.9,297.4,34.4,4.3,1
Lemonade,Drink,Veg,Pizza Hut,budget,India,Surat,tier-3,2.04,340.7,5.0,1.3,2.0,0.0,42.9,0.0,3.5,1
Chocolate Brownie,Dessert,Veg,Taco Bell,budget,India,Bangalore,metro,2.29,125.5,373.5,5.9,21.5,55.0,193.1,40.8,2.0,0
Bread Pudding,Dessert,Non-Veg,Domino's,budget,UK,Manchester,metro,4.96,120.0,515.1,2.0,18.2,74.5,182.2,43.0,3.1,0
Spicy Chicken Pizza,Pizza,Non-Veg,Nobu,premium,India,Indore,tier-3,17.74,145.6,258.1,19.7,15.5,34.9,922.0,5.2,4.2,0
Avocado Toast Sandwich,Sandwich,Vegan,Wendy's,budget,India,Hyderabad,metro,1.66,197.4,526.3,7.4,1.4,59.1,736.5,8.1,3.9,0
Grilled Chicken Salad,Salad,Non-Veg,Pizza Hut,budget,USA,Spokane,tier-3,3.33,292.9,167.8,14.9,12.7,18.6,328.5,5.7,4.1,1
Fanta Orange,Drink,Veg,Wendy's,budget,India,Ahmedabad,tier-2,1.06,495.1,300.7,0.1,0.1,22.1,54.4,0.0,4.4,0
Sweet Potato Fries,Sides,Vegan,Subway,budget,USA,Austin,tier-2,3.0,122.4,132.1,1.0,12.0,31.8,290.8,5.3,3.4,0
Almond Milk Shake,Drink,Vegan,Wendy's,budget,USA,New York,metro,5.04,564.2,5.0,0.0,2.1,47.3,57.1,44.934999999999995,4.2,0
Mozzarella Sticks,Sides,Veg,Wendy's,budget,India,Ahmedabad,tier-2,1.64,140.8,236.4,5.3,26.0,51.4,328.3,5.6,4.7,0
Turkey Sandwich,Sandwich,Non-Veg,Domino's,budget,UK,Bath,tier-3,7.18,190.9,297.0,23.1,17.3,54.2,1038.5,7.3,2.6,0
Fish Fillet Burger,Burger,Non-Veg,Domino's,budget,USA,New York,metro,2.73,255.3,809.8,27.3,31.0,42.5,750.0,11.5,3.3,0
Halloumi Burger,Burger,Veg,Subway,budget,India,Ahmedabad,tier-2,2.93,243.3,656.8,18.2,22.7,43.8,1039.2,12.4,3.1,0
Green Detox Juice,Drink,Vegan,McDonald's,budget,Canada,Montreal,tier-2,1.39,242.1,360.2,2.7,1.4,51.5,8.7,48.925,3.9,0
Strawberry Milkshake,Drink,Veg,Chili's,mid,India,Chennai,tier-2,4.61,492.6,221.9,2.5,2.6,19.0,5.8,18.05,3.6,1
Teriyaki Chicken Bowl,Rice/Bowl,Non-Veg,Subway,budget,UK,York,tier-3,7.58,358.3,656.3,9.5,21.6,63.6,724.6,3.0,4.1,0
Meat Lovers Pizza,Pizza,Non-Veg,Five Guys,mid,India,Hyderabad,metro,6.11,126.1,205.9,12.0,7.5,33.8,699.0,2.4,3.4,0
Pepperoni Pizza,Pizza,Non-Veg,Subway,budget,USA,Eugene,tier-3,4.13,156.9,212.0,23.3,12.2,35.1,696.4,5.4,3.9,0
Vegan BLT,Sandwich,Vegan,Pizza Hut,budget,USA,New York,metro,3.58,183.3,525.6,0.0,0.3,37.3,495.5,8.3,3.8,0
Iced Tea,Drink,Veg,Shake Shack,mid,USA,Denver,tier-2,5.64,513.6,359.1,3.1,0.0,32.6,60.7,15.8,3.8,0
Chicken Rice Bowl,Rice/Bowl,Non-Veg,TGI Fridays,mid,UK,Leeds,tier-2,24.8,381.7,764.6,14.9,10.7,51.9,476.0,11.3,3.1,0
Ice Cream Sundae,Dessert,Veg,Subway,budget,India,Pune,tier-2,2.64,67.7,456.2,0.3,28.5,31.8,374.9,30.21,3.9,1
Iced Tea,Drink,Veg,TGI Fridays,mid,India,Mumbai,metro,4.96,530.3,150.1,4.3,8.3,58.9,27.3,30.3,3.7,1
Strawberry Milkshake,Drink,Veg,Five Guys,mid,Canada,Saskatoon,tier-3,8.66,439.6,66.6,2.5,0.0,66.7,60.2,42.4,4.8,0
Almond Milk Shake,Drink,Vegan,Domino's,budget,India,Coimbatore,tier-3,1.26,292.0,120.5,1.8,0.0,58.1,0.0,25.2,2.9,0
Apple Pie,Dessert,Veg,Five Guys,mid,USA,Portland,tier-2,10.14,149.7,445.7,1.5,21.1,54.4,249.0,51.68,3.9,1
Green Detox Juice,Drink,Vegan,Shake Shack,mid,India,Bangalore,metro,4.1,597.1,5.0,0.6,3.1,57.1,9.9,54.245,3.8,0
Cinnamon Roll,Dessert,Veg,Taco Bell,budget,USA,Portland,tier-2,5.88,127.0,457.7,4.6,6.9,68.7,288.0,50.8,4.2,0
Garden Fresh Pizza,Pizza,Veg,McDonald's,budget,USA,Los Angeles,metro,8.83,115.2,332.8,11.2,12.6,35.0,813.4,5.1,4.4,0
Chicken BBQ Pizza,Pizza,Non-Veg,Pizza Hut,budget,India,Jaipur,tier-2,2.77,152.0,271.8,13.9,10.1,45.0,565.8,4.6,3.1,0
Four Cheese Pizza,Pizza,Veg,TGI Fridays,mid,USA,Houston,metro,14.31,120.4,191.9,13.0,13.7,37.1,827.5,3.9,4.5,0
Crispy Chicken Burger,Burger,Non-Veg,Ruth's Chris Steakhouse,premium,USA,Chicago,metro,27.74,212.2,803.9,37.1,24.8,43.0,863.6,5.0,3.6,1
Crispy Chicken Burger,Burger,Non-Veg,Domino's,budget,UK,Manchester,metro,4.04,239.4,442.2,30.8,27.7,38.1,1381.9,7.0,3.7,0
BBQ Bacon Burger,Burger,Non-Veg,Burger King,budget,Australia,Melbourne,metro,7.0,204.5,501.6,21.6,24.6,40.4,1157.8,13.3,4.0,1
Spicy Jalapeño Burger,Burger,Non-Veg,Five Guys,mid,USA,Fargo,tier-3,9.81,255.3,864.1,32.6,22.3,50.0,847.5,10.8,3.8,0
Mac and Cheese,Sides,Veg,Applebee's,mid,USA,Portland,tier-2,13.94,117.9,219.2,0.0,9.1,40.6,646.4,2.1,2.7,0
Chocolate Brownie,Dessert,Veg,Applebee's,mid,Australia,Sydney,metro,13.09,108.8,559.6,0.7,4.7,69.9,258.4,47.8,3.9,1
Meat Lovers Pizza,Pizza,Non-Veg,KFC,budget,USA,Houston,metro,8.74,206.5,343.7,12.3,12.6,44.7,577.5,5.7,3.6,0
Ice Cream Sundae,Dessert,Veg,Taco Bell,budget,Australia,Adelaide,tier-2,4.78,131.9,470.9,0.0,26.7,66.2,260.5,39.3,3.7,0
Black Bean Burger,Burger,Veg,Burger King,budget,Canada,Saskatoon,tier-3,2.48,212.1,536.5,28.8,17.9,52.0,706.4,13.0,3.6,0
Mango Smoothie,Drink,Veg,Domino's,budget,UK,Norwich,tier-3,6.26,457.7,162.4,0.0,4.0,67.9,0.0,30.5,4.7,0
Mushroom Risotto,Rice/Bowl,Veg,Five Guys,mid,USA,Boise,tier-3,15.26,293.7,606.6,20.8,9.8,50.1,919.7,8.3,4.2,0
Garden Fresh Pizza,Pizza,Veg,Shake Shack,mid,India,Jaipur,tier-2,8.29,157.8,319.5,5.7,16.6,36.1,811.6,5.9,3.7,0
Paneer Tikka Pizza,Pizza,Veg,Subway,budget,USA,Denver,tier-2,5.79,204.9,365.1,12.6,6.7,36.4,700.2,3.7,4.6,0
Veggie Burger,Burger,Veg,McDonald's,budget,India,Bangalore,metro,3.09,263.6,443.4,18.2,11.0,45.0,361.6,4.7,4.5,0
Ice Cream Sundae,Dessert,Veg,Subway,budget,USA,Portland,tier-2,3.96,128.1,635.8,4.0,19.9,89.7,169.1,44.6,3.7,0
Mushroom Swiss Beef Burger,Burger,Non-Veg,Domino's,budget,India,Pune,tier-2,3.15,207.2,623.0,35.8,36.4,48.7,790.6,11.1,3.5,0
Sprite,Drink,Veg,McDonald's,budget,India,Mumbai,metro,1.92,366.5,194.3,3.5,1.2,73.1,58.0,69.445,3.9,0
Lamb Biryani,Rice/Bowl,Non-Veg,Applebee's,mid,UK,Manchester,metro,13.06,386.4,498.2,22.8,24.7,91.9,897.3,6.1,4.1,1
Green Detox Juice,Drink,Vegan,Burger King,budget,Canada,Vancouver,metro,4.0,253.1,287.0,3.2,0.0,25.5,0.0,24.224999999999998,4.2,0
Potato Wedges,Sides,Veg,Domino's,budget,Canada,Montreal,tier-2,2.31,151.1,115.1,10.0,21.8,33.4,436.6,4.1,4.0,0
Teriyaki Chicken Bowl,Rice/Bowl,Non-Veg,Subway,budget,India,Delhi,metro,2.42,425.4,506.2,31.5,2.8,69.5,578.9,7.0,2.7,0
Apple Juice,Drink,Veg,Five Guys,mid,USA,Portland,tier-2,9.98,415.3,255.8,1.8,0.0,66.0,31.2,9.8,3.9,0
Baked Potato,Sides,Vegan,McDonald's,budget,USA,Fargo,tier-3,6.0,111.0,348.2,8.5,19.0,41.0,402.9,5.9,3.9,1
Black Bean Burger,Burger,Veg,The Cheesecake Factory,premium,UK,London,metro,38.01,259.1,598.2,26.4,25.5,51.3,446.8,12.2,2.9,0
Egg Fried Rice,Rice/Bowl,Veg,TGI Fridays,mid,USA,Houston,metro,11.53,346.6,409.0,24.0,14.0,59.5,959.8,5.8,3.9,0
Egg Fried Rice,Rice/Bowl,Veg,KFC,budget,USA,Nashville,tier-2,5.78,499.2,476.1,20.5,17.9,85.9,982.6,8.2,3.2,0
Chicken Wings,Sides,Non-Veg,TGI Fridays,mid,Canada,Vancouver,metro,8.41,94.8,434.9,4.0,17.0,56.2,494.7,3.7,4.7,0
Mushroom Swiss Beef Burger,Burger,Non-Veg,Burger King,budget,USA,Los Angeles,metro,5.27,218.1,711.3,24.9,30.0,45.9,923.1,5.7,4.0,0
Pasta Salad,Salad,Veg,Chili's,mid,Canada,Vancouver,metro,11.48,160.8,117.6,6.5,12.7,15.0,687.1,14.25,4.3,1
Tofu Rice Bowl,Rice/Bowl,Vegan,Nando's,mid,UK,Manchester,metro,25.87,271.6,284.5,24.7,23.1,92.0,801.3,8.4,3.8,0
Loaded Fries with Bacon,Sides,Non-Veg,Domino's,budget,India,Hyderabad,metro,1.37,136.2,285.2,7.2,14.8,27.6,279.4,1.0,3.2,0
Margherita Pizza,Pizza,Veg,Domino's,budget,USA,Eugene,tier-3,7.84,135.3,342.0,6.7,9.9,41.2,498.7,5.5,3.1,0
Meat Lovers Pizza,Pizza,Non-Veg,Nando's,mid,UK,Manchester,metro,12.93,171.7,420.9,13.5,10.3,36.0,781.5,5.1,4.6,0
Garlic Bread,Sides,Veg,TGI Fridays,mid,UK,London,metro,10.73,195.0,274.1,7.1,18.0,32.5,497.6,2.0,3.5,0
Chicken BBQ Pizza,Pizza,Non-Veg,Pizza Hut,budget,UK,Manchester,metro,7.8,129.4,318.2,15.5,13.7,33.5,680.5,5.1,4.1,1
Garden Fresh Pizza,Pizza,Veg,Pizza Hut,budget,India,Nagpur,tier-3,3.32,123.9,295.0,10.7,12.5,30.6,428.7,1.4,3.2,0
Beyond Meat Burger,Burger,Vegan,Pizza Hut,budget,Canada,Calgary,tier-2,7.62,206.7,364.4,14.2,12.8,52.2,628.0,10.6,4.5,0
Waffles with Syrup,Dessert,Veg,Nobu,premium,USA,Chicago,metro,44.94,145.0,524.4,9.9,14.4,88.9,246.9,35.9,4.5,0
Coleslaw,Salad,Veg,Subway,budget,Canada,Saskatoon,tier-3,7.48,283.3,139.7,5.5,19.1,33.0,591.0,4.0,3.1,0
Mac and Cheese,Sides,Veg,Taco Bell,budget,India,Ahmedabad,tier-2,2.19,130.7,201.9,5.0,10.3,45.3,452.8,4.3,4.4,1
Garden Fresh Pizza,Pizza,Veg,McDonald's,budget,USA,Austin,tier-2,9.92,109.9,309.5,6.2,2.2,39.9,1017.9,5.2,4.1,0
Potato Wedges,Sides,Veg,TGI Fridays,mid,UK,Leeds,tier-2,13.65,121.0,362.7,6.5,10.5,38.1,199.0,2.4,3.9,0
Iced Tea,Drink,Veg,Nobu,premium,USA,Houston,metro,18.48,417.5,312.6,4.4,3.5,44.3,6.6,18.6,3.8,1
Pepsi,Drink,Veg,Applebee's,mid,Canada,Calgary,tier-2,5.82,473.0,5.0,0.3,0.0,50.6,54.5,23.5,3.8,0
Double Smash Burger,Burger,Non-Veg,Five Guys,mid,UK,Birmingham,tier-2,16.65,221.5,768.8,27.0,26.3,40.6,859.5,7.8,3.7,0
Spicy Chicken Pizza,Pizza,Non-Veg,Taco Bell,budget,India,Nagpur,tier-3,1.7,200.7,332.5,22.2,7.8,33.3,680.7,7.0,4.5,1
Mushroom Swiss Burger,Burger,Veg,Shake Shack,mid,Australia,Brisbane,tier-2,9.06,206.9,271.4,17.5,29.2,32.7,883.1,9.4,3.5,1
Veggie Burger,Burger,Veg,Shake Shack,mid,India,Bangalore,metro,5.68,223.7,425.2,21.0,35.4,40.0,385.9,8.1,4.4,0
Lamb Biryani,Rice/Bowl,Non-Veg,Pizza Hut,budget,India,Delhi,metro,3.29,314.9,649.8,18.2,23.1,76.2,712.4,12.5,2.9,0
Cold Coffee,Drink,Veg,Five Guys,mid,USA,Portland,tier-2,5.51,576.2,38.9,1.8,2.1,82.0,39.1,39.4,3.7,0
Four Cheese Pizza,Pizza,Veg,KFC,budget,USA,Los Angeles,metro,4.57,124.6,198.5,15.5,8.2,28.4,724.5,7.6,3.6,0
Turkey Sandwich,Sandwich,Non-Veg,Domino's,budget,India,Pune,tier-2,2.48,174.7,329.7,19.5,21.0,36.7,988.3,10.7,3.1,0
Coconut Water,Drink,Vegan,TGI Fridays,mid,Canada,Toronto,metro,7.47,572.8,245.0,2.5,4.8,37.3,17.3,20.8,3.1,0
Garden Salad,Salad,Veg,Subway,budget,USA,Los Angeles,metro,5.15,273.4,93.8,17.1,13.5,24.7,636.7,5.1,3.7,0
Churros,Dessert,Veg,KFC,budget,UK,London,metro,6.71,137.2,265.9,5.3,11.6,55.1,286.1,52.345,3.8,0
Garlic Bread,Sides,Veg,Chili's,mid,India,Ahmedabad,tier-2,4.25,229.1,493.2,6.6,15.5,51.8,283.8,4.1,4.3,0
Pepsi,Drink,Veg,Taco Bell,budget,USA,Austin,tier-2,4.7,587.0,230.7,0.0,3.1,70.4,27.7,35.4,4.3,0
Waffles with Syrup,Dessert,Veg,Subway,budget,Canada,Saskatoon,tier-3,5.32,155.9,250.6,0.8,13.0,50.7,173.8,19.0,3.5,0
Mac and Cheese,Sides,Veg,Domino's,budget,Australia,Sydney,metro,4.27,64.0,413.2,1.9,28.8,34.2,404.9,6.2,4.0,1
Iced Tea,Drink,Veg,Five Guys,mid,USA,Portland,tier-2,9.15,479.3,192.8,4.3,5.1,29.8,74.4,28.31,3.6,0
Prawn Avocado Salad,Salad,Non-Veg,KFC,budget,Canada,Toronto,metro,2.64,285.0,242.2,23.6,16.8,10.8,880.8,10.26,4.2,0
Apple Juice,Drink,Veg,Domino's,budget,USA,Nashville,tier-2,3.68,528.9,16.5,2.3,0.0,18.3,30.2,17.385,4.1,0
Double Smash Burger,Burger,Non-Veg,Domino's,budget,USA,New York,metro,7.86,250.5,501.4,17.8,6.0,47.7,1274.5,14.0,4.3,0
Fish Fillet Burger,Burger,Non-Veg,Nando's,mid,USA,Houston,metro,11.49,242.1,643.7,26.9,21.2,37.3,991.0,8.3,4.5,0
Pepsi,Drink,Veg,Pizza Hut,budget,USA,Boise,tier-3,5.43,417.9,82.3,0.0,4.5,60.3,37.6,39.0,4.7,0
Vegan Mango Smoothie,Drink,Vegan,Subway,budget,UK,London,metro,3.26,367.1,21.4,2.6,0.0,98.5,44.9,45.9,4.1,0
Four Cheese Pizza,Pizza,Veg,TGI Fridays,mid,Canada,Toronto,metro,13.32,134.5,297.7,12.4,13.6,38.2,588.9,3.6,3.7,1
Spicy Jalapeño Burger,Burger,Non-Veg,TGI Fridays,mid,USA,Los Angeles,metro,14.43,266.2,799.5,18.8,23.3,48.9,1199.4,9.2,4.1,0
Chicken BBQ Pizza,Pizza,Non-Veg,Nobu,premium,India,Nagpur,tier-3,16.83,168.7,461.1,14.3,11.0,32.7,465.5,6.8,3.7,0
Orange Juice,Drink,Veg,KFC,budget,USA,Portland,tier-2,4.17,344.8,349.6,0.5,0.0,48.5,56.9,46.074999999999996,3.0,0
Apple Juice,Drink,Veg,Nobu,premium,Canada,Ottawa,tier-2,17.92,468.5,96.3,0.4,4.9,36.7,33.9,20.6,4.0,0
Lemonade,Drink,Veg,McDonald's,budget,India,Hyderabad,metro,0.65,561.2,213.9,1.5,5.2,75.6,10.3,33.2,4.1,1
Vegan Chocolate Cake,Dessert,Vegan,Five Guys,mid,India,Ahmedabad,tier-2,6.55,115.9,421.8,4.5,26.7,70.1,196.7,22.7,3.3,0
Prawn Fried Rice,Rice/Bowl,Non-Veg,TGI Fridays,mid,USA,Denver,tier-2,15.74,295.0,506.4,29.7,16.7,62.4,736.6,4.8,2.8,0
Iced Tea,Drink,Veg,Burger King,budget,USA,Portland,tier-2,2.87,572.1,166.0,4.1,1.9,47.1,57.2,23.6,3.6,0
Veggie Sub,Sandwich,Veg,Subway,budget,UK,Birmingham,tier-2,2.86,228.5,371.1,25.0,7.7,49.6,1179.0,4.3,3.3,0
Sprite,Drink,Veg,Subway,budget,USA,Denver,tier-2,3.85,438.0,273.5,3.0,0.0,62.5,54.2,49.5,4.4,0
Meat Lovers Pizza,Pizza,Non-Veg,Subway,budget,USA,Austin,tier-2,4.77,99.8,358.6,10.9,11.6,37.7,728.6,6.4,3.3,0
Caesar Salad,Salad,Veg,TGI Fridays,mid,Australia,Hobart,tier-3,13.31,326.9,346.7,7.0,15.7,18.2,537.1,5.8,4.0,1
Pepperoni Pizza,Pizza,Non-Veg,Taco Bell,budget,USA,Denver,tier-2,8.47,189.0,173.8,8.8,7.7,42.6,956.6,4.8,3.8,0
Kale Caesar Salad,Salad,Vegan,Applebee's,mid,UK,Exeter,tier-3,13.89,359.7,270.6,17.5,11.7,29.1,564.2,19.6,4.6,0
Tuna Niçoise Salad,Salad,Non-Veg,Burger King,budget,Canada,Ottawa,tier-2,2.56,281.8,355.1,24.3,20.9,37.4,658.4,8.3,3.3,0
Ham & Mushroom Pizza,Pizza,Non-Veg,Wendy's,budget,India,Ahmedabad,tier-2,1.53,166.3,422.1,10.5,12.8,29.1,502.0,3.8,4.6,0
Sprite,Drink,Veg,Wendy's,budget,India,Hyderabad,metro,1.64,411.7,63.1,0.3,1.2,44.3,78.5,27.4,3.0,0
Onion Rings,Sides,Veg,Shake Shack,mid,Canada,Vancouver,metro,13.49,133.5,224.1,2.8,8.7,53.9,380.4,7.0,4.2,0
Mango Smoothie,Drink,Veg,KFC,budget,USA,Nashville,tier-2,5.51,268.6,287.5,1.3,4.1,77.8,73.6,28.0,3.6,1
Double Smash Burger,Burger,Non-Veg,Gordon Ramsay Bar & Grill,premium,Canada,Windsor,tier-3,41.62,294.5,742.7,24.1,21.9,22.2,776.2,8.4,3.6,0
Chicken Sub,Sandwich,Non-Veg,Taco Bell,budget,USA,Fargo,tier-3,8.19,179.0,577.6,31.1,27.2,28.7,901.3,9.3,3.4,0
Chicken Wings,Sides,Non-Veg,Burger King,budget,UK,Birmingham,tier-2,2.59,79.3,316.4,4.9,13.8,37.5,127.7,1.9,3.2,0
Fish Fillet Burger,Burger,Non-Veg,Subway,budget,USA,Chicago,metro,8.02,195.4,611.8,31.9,43.7,39.1,731.2,5.7,4.4,0
Pasta Salad,Salad,Veg,KFC,budget,Canada,Calgary,tier-2,4.06,281.9,319.7,16.2,1.2,35.1,136.7,12.5,4.6,1
Chocolate Milkshake,Drink,Veg,Pizza Hut,budget,USA,New York,metro,1.8,398.5,54.0,0.8,1.9,40.6,3.6,38.57,3.7,0
Crispy Chicken Burger,Burger,Non-Veg,Applebee's,mid,India,Hyderabad,metro,6.33,180.6,539.6,25.8,31.2,38.3,1004.8,7.6,4.1,0
Caprese Sandwich,Sandwich,Veg,KFC,budget,USA,Austin,tier-2,8.28,200.6,308.8,16.3,4.5,44.8,772.5,8.0,4.1,1
Beef Burrito Bowl,Rice/Bowl,Non-Veg,Pizza Hut,budget,Canada,Vancouver,metro,7.58,348.6,578.7,10.4,8.4,48.1,838.6,11.2,4.9,0
Garlic Bread,Sides,Veg,Wendy's,budget,USA,Los Angeles,metro,2.43,103.3,148.1,0.6,13.9,46.9,521.4,0.0,4.7,0
Margherita Pizza,Pizza,Veg,Gordon Ramsay Bar & Grill,premium,USA,Denver,tier-2,26.03,198.0,459.0,5.7,12.8,33.0,628.1,10.5,3.1,0
Hummus Veggie Wrap,Sandwich,Vegan,KFC,budget,UK,Manchester,metro,9.79,223.7,350.6,18.5,10.2,58.4,706.1,4.2,4.2,0
Veggie Sub,Sandwich,Veg,Wendy's,budget,India,Jaipur,tier-2,3.74,168.8,353.2,14.7,26.7,26.9,1418.7,10.5,3.7,0
Ham & Mushroom Pizza,Pizza,Non-Veg,Ruth's Chris Steakhouse,premium,India,Mumbai,metro,24.18,184.4,426.7,12.2,11.5,43.0,1050.0,5.4,4.1,0
Waffles with Syrup,Dessert,Veg,Wendy's,budget,India,Bangalore,metro,1.53,99.1,436.3,1.2,6.5,53.6,308.2,50.92,3.7,0
