learner_id,fsi_category,related_language,prior_languages,age_started,total_study_hours,active_use_share,immersion_months,speaking_practice,feedback_quality,comprehensible_input_hours,uses_srs,motivation,consistency,accent_nativelike,cefr_level,reached_fluency,dropped_out
LNR000033,1,0,1,16,990,0.591,0.0,8.79,7.06,520,0,0.95,9.22,6.81,C2,1,0
LNR000034,1,1,1,16,540,0.626,0.0,6.42,5.69,200,0,4.26,6.06,4.42,C1,1,0
LNR000035,3,1,3,33,190,0.159,0.0,7.01,6.26,140,1,6.57,8.72,6.92,A1,0,0
LNR000036,4,1,1,13,110,0.216,0.5,9.54,4.05,50,1,1.97,5.35,9.08,A0,0,1
LNR000037,3,0,0,51,440,0.549,0.0,4.0,3.63,220,1,4.87,5.05,0.37,B1,0,1
LNR000038,3,0,1,33,1000,0.339,5.2,8.49,6.18,570,0,5.15,6.47,4.28,C1,1,0
LNR000039,2,0,0,43,380,0.705,0.0,7.95,4.9,140,0,2.14,7.64,3.97,B2,1,0
LNR000040,2,0,0,17,860,0.259,0.0,4.97,5.3,460,1,4.47,7.13,7.52,B1,0,0
LNR000041,3,0,1,35,500,0.394,0.0,6.34,8.15,380,0,1.59,5.88,1.99,A1,0,0
LNR000042,3,0,0,47,470,0.357,0.0,6.22,3.64,350,1,3.57,9.41,3.13,A2,0,0
LNR000043,3,0,1,13,1140,0.23,0.0,7.72,4.08,400,1,5.22,3.74,6.85,B2,1,0
LNR000044,4,0,1,11,180,0.412,2.5,7.75,6.78,140,0,6.76,8.32,7.89,A0,0,1
LNR000045,1,1,1,27,1540,0.194,0.0,3.74,3.31,1180,0,5.63,7.8,6.7,C2,1,0
LNR000046,4,0,2,18,850,0.304,7.2,5.36,2.3,300,0,4.3,4.26,5.4,B1,0,0
LNR000047,4,0,1,36,880,0.664,0.0,9.44,1.91,310,0,5.15,6.69,6.17,B2,1,0
LNR000048,3,0,1,45,270,0.152,1.0,9.66,3.97,110,1,6.06,5.9,4.72,A1,0,1
LNR000049,3,0,2,52,160,0.505,0.0,8.25,3.38,110,0,2.86,7.07,5.4,A0,0,1
LNR000050,1,0,1,22,1100,0.734,0.0,6.59,1.15,800,1,2.46,7.54,4.73,C2,1,0
LNR000051,1,1,0,9,720,0.425,0.0,6.44,6.96,330,1,5.26,4.53,8.87,C1,1,0
LNR000052,4,0,0,27,1160,0.167,0.0,8.81,5.55,630,0,8.52,8.02,6.94,A2,0,1
LNR000053,4,0,0,13,570,0.248,5.1,7.61,7.38,210,1,0.0,3.56,6.5,A2,0,1
LNR000054,4,0,0,38,290,0.357,0.0,5.61,5.86,200,0,1.85,10.0,6.93,A0,0,1
LNR000055,4,0,0,19,820,0.196,0.0,7.28,3.97,330,0,6.07,4.59,6.4,A1,0,1
LNR000056,2,0,1,33,350,0.151,7.1,6.69,3.8,220,0,0.83,8.42,5.68,A2,0,1
LNR000057,3,0,1,28,230,0.702,0.0,9.98,6.44,110,1,1.78,3.04,7.61,A2,0,1
LNR000058,3,1,1,23,1080,0.676,0.7,9.04,8.1,530,1,1.31,7.96,5.43,C2,1,0
LNR000059,4,0,0,26,620,0.162,0.0,3.21,1.67,470,0,1.85,8.68,5.77,A1,0,1
LNR000060,1,1,0,15,470,0.123,0.0,4.42,1.46,320,0,4.12,8.71,6.11,A2,0,1
LNR000061,2,1,1,24,80,0.408,2.7,5.26,7.8,50,0,5.28,2.88,6.56,A0,0,1
LNR000062,1,0,0,16,230,0.221,0.0,6.5,2.28,140,1,6.42,4.79,9.43,A1,0,1
LNR000063,1,0,0,29,340,0.826,0.0,10.0,7.58,190,0,5.29,6.2,6.39,C1,1,0
LNR000064,4,0,0,34,80,0.366,0.0,3.38,0.0,40,0,5.32,6.62,5.34,A0,0,0
LNR000065,4,1,1,28,850,0.379,0.0,2.98,7.49,290,1,3.33,5.99,4.32,B2,1,0
LNR000066,4,1,0,20,620,0.29,0.0,7.58,4.83,450,0,3.76,6.02,6.91,A1,0,1
LNR000067,1,0,1,27,490,0.181,0.0,3.55,6.14,300,0,5.69,6.93,9.59,A2,0,0
LNR000068,3,0,0,33,140,0.579,0.0,6.41,6.8,50,0,0.37,4.96,4.05,A1,0,1
LNR000069,1,0,2,36,760,0.309,0.0,5.81,5.35,300,1,6.49,7.56,5.05,B2,1,0
LNR000070,1,1,0,22,630,0.86,0.0,9.68,6.51,230,1,1.56,5.11,7.2,C2,1,0
LNR000071,2,0,1,44,1500,0.708,1.9,4.18,4.75,700,0,5.76,8.02,2.27,C2,1,0
LNR000072,4,0,0,11,340,0.621,0.0,8.75,6.8,190,0,4.83,5.4,10.0,A2,0,1
LNR000073,2,1,1,25,500,0.762,6.6,3.45,1.92,380,1,5.04,8.71,7.87,C1,1,0
LNR000074,4,0,1,58,210,0.468,1.2,3.94,6.54,130,1,5.59,5.95,1.08,A1,0,1
LNR000075,4,0,1,26,1130,0.665,0.0,4.64,7.55,750,1,4.07,3.14,6.5,C1,1,0
LNR000076,3,0,2,27,1220,0.299,0.0,6.04,0.0,620,0,1.98,7.27,3.9,A2,0,1
LNR000077,2,0,1,36,90,0.19,0.0,7.18,2.47,60,0,3.16,4.79,5.01,A0,0,1
LNR000078,2,1,0,42,400,0.205,9.4,5.39,7.03,210,0,7.72,9.33,4.9,B2,1,0
LNR000079,3,0,1,41,190,0.299,4.5,0.32,5.84,80,1,4.63,5.2,4.5,A1,0,1
LNR000080,1,1,0,8,1130,0.137,1.2,5.95,6.53,520,1,6.36,6.5,7.48,C1,1,0
LNR000081,1,0,0,34,760,0.602,5.8,8.35,1.47,420,0,8.68,10.0,0.87,C1,1,0
LNR000082,4,0,0,39,310,0.315,0.0,6.2,6.81,110,1,4.37,4.52,5.68,A1,0,1
LNR000083,4,0,0,33,270,0.132,0.0,7.32,5.87,170,1,6.31,6.69,4.37,A0,0,0
LNR000084,3,1,0,26,470,0.482,3.5,8.87,4.79,150,0,4.56,5.48,5.83,B1,0,0
LNR000085,3,1,0,25,380,0.217,3.7,5.06,8.8,200,1,5.26,10.0,6.42,A1,0,0
LNR000086,2,0,0,6,140,0.19,3.9,2.82,4.92,80,0,1.35,8.82,8.16,A1,0,1
LNR000087,1,1,0,41,170,0.353,6.5,6.93,3.04,90,1,5.05,6.87,5.89,A2,0,0
LNR000088,2,0,1,40,50,0.719,1.4,10.0,4.66,20,0,5.66,8.35,5.4,A1,0,0
LNR000089,2,0,1,24,320,0.664,4.4,10.0,5.98,220,1,3.99,6.7,7.11,B2,1,0
LNR000090,4,0,1,45,200,0.459,0.0,5.18,2.05,130,1,5.21,10.0,4.76,A0,0,0
LNR000091,3,0,2,9,830,0.408,1.4,3.67,3.05,310,0,5.9,10.0,6.54,B1,0,1
LNR000092,3,0,2,42,630,0.219,0.0,5.7,4.84,280,1,4.26,7.79,3.61,A2,0,0
LNR000093,4,0,0,22,420,0.029,2.9,4.8,5.32,300,1,5.8,4.27,6.62,A0,0,0
LNR000094,1,0,0,14,740,0.047,7.6,7.78,5.88,430,1,6.27,6.8,8.19,C1,1,0
LNR000095,1,0,0,34,1230,0.21,0.0,5.08,2.65,530,0,3.89,9.74,5.37,C2,1,0
LNR000096,1,0,1,42,250,0.519,0.0,5.32,4.69,150,1,6.95,7.0,3.57,B2,1,0
LNR000097,1,0,0,33,1400,0.262,5.5,5.33,9.45,540,1,0.86,4.53,5.93,C2,1,0
LNR000098,1,0,1,22,920,0.449,0.0,7.18,7.83,440,0,8.06,2.69,6.57,C1,1,0
LNR000099,3,0,2,36,860,0.714,3.1,3.76,4.44,530,1,2.1,6.66,6.21,B2,1,0
LNR000100,3,0,2,38,1300,0.597,0.0,8.21,5.65,670,0,5.19,7.98,7.02,C2,1,0
LNR000101,2,0,0,25,130,0.153,0.0,7.6,4.96,50,0,4.08,5.26,4.04,A0,0,0
LNR000102,4,0,0,31,1130,0.592,0.0,5.84,5.31,430,1,8.79,8.45,5.87,B1,0,0
LNR000103,3,1,1,13,200,0.101,5.8,5.28,5.91,130,0,2.81,6.66,8.1,A1,0,1
LNR000104,1,0,4,21,700,0.634,1.5,8.37,7.05,480,0,6.01,5.44,7.15,C2,1,0
LNR000105,1,0,1,13,180,0.119,0.0,5.27,7.25,120,0,9.36,8.97,8.05,A1,0,0
LNR000106,4,0,1,22,90,0.277,0.0,3.02,6.23,30,1,4.34,9.43,5.59,A0,0,0
LNR000107,1,1,1,26,1930,0.737,0.9,5.49,4.11,1150,0,8.16,10.0,6.06,C2,1,0
LNR000108,3,1,0,22,300,0.177,2.3,7.09,6.71,130,0,7.96,10.0,6.47,A1,0,0
LNR000109,2,0,1,53,270,0.297,0.0,6.36,1.25,130,0,1.0,6.03,4.18,A2,0,1
LNR000110,1,1,3,29,250,0.572,0.0,4.97,4.95,180,1,8.71,4.13,6.64,B1,0,1
LNR000111,2,1,0,23,510,0.175,0.0,5.99,6.41,300,1,4.65,4.35,3.56,A2,0,0
LNR000112,4,0,1,40,200,0.843,1.6,10.0,1.03,110,1,4.96,2.2,2.91,A1,0,1
LNR000113,4,1,2,17,1060,0.087,0.0,5.34,7.2,750,0,6.2,8.09,8.75,A1,0,1
LNR000114,2,0,1,22,170,0.536,2.5,7.28,10.0,80,0,5.04,6.75,5.89,A2,0,1
LNR000115,3,0,2,26,330,0.482,0.0,8.62,3.71,240,1,4.74,6.49,6.44,A2,0,1
LNR000116,3,0,0,42,340,0.655,0.5,2.15,3.58,150,1,4.0,10.0,5.66,A2,0,1
LNR000117,2,1,0,28,250,0.556,0.0,8.9,8.92,180,1,2.04,4.73,4.41,B1,0,1
LNR000118,4,1,1,51,960,0.358,0.0,4.89,4.57,540,1,3.41,7.55,1.05,A2,0,0
LNR000119,3,1,1,22,190,0.683,3.4,5.39,8.8,140,1,4.38,4.13,6.95,A2,0,1
LNR000120,3,0,1,37,790,0.152,8.8,8.55,3.14,620,1,4.48,4.31,2.97,B1,0,0
LNR000121,2,0,2,6,940,0.757,0.0,7.44,8.14,490,1,5.01,7.37,6.28,C1,1,0
LNR000122,3,1,2,49,730,0.378,2.7,6.17,3.11,540,1,6.79,7.76,3.87,B2,1,0
LNR000123,1,0,0,32,360,0.774,1.0,5.88,6.74,260,0,10.0,8.47,4.21,C1,1,0
LNR000124,3,1,1,35,500,0.406,0.0,9.33,5.42,330,1,4.0,5.08,7.21,B1,0,0
LNR000125,1,0,0,29,130,0.487,0.0,3.46,7.9,100,0,8.45,5.59,4.99,A0,0,0
LNR000126,4,0,0,12,580,0.615,0.8,8.95,4.02,270,0,10.0,5.32,6.6,B1,0,1
LNR000127,1,0,1,37,170,0.724,0.0,7.76,1.31,100,1,6.41,6.32,4.12,A2,0,0
LNR000128,3,0,1,26,840,0.596,0.9,10.0,3.75,470,1,6.73,5.94,2.52,B2,1,0
LNR000129,3,0,0,6,210,0.652,2.6,5.03,5.34,110,0,0.27,3.62,9.91,A1,0,1
LNR000130,3,0,1,22,20,0.527,0.0,5.63,5.34,10,0,2.18,3.3,7.21,A0,0,0
LNR000131,4,1,1,37,270,0.124,0.0,6.41,6.45,100,0,6.95,5.68,5.35,A0,0,1
LNR000132,1,1,2,13,220,0.323,0.0,3.46,4.87,160,0,6.18,8.04,9.15,A2,0,0
LNR000133,1,0,0,24,1040,0.458,0.0,6.44,3.33,450,0,5.65,7.73,4.88,C2,1,0
LNR000134,4,0,2,38,760,0.24,0.0,4.76,6.45,430,1,0.0,4.56,3.33,A2,0,1
LNR000135,1,0,4,32,370,0.336,0.0,6.66,3.83,240,0,3.13,1.73,4.96,B1,0,1
LNR000136,2,0,0,31,430,0.634,0.0,10.0,7.07,230,0,1.24,10.0,6.43,B1,0,1
LNR000137,3,0,0,20,210,0.404,0.0,6.72,1.77,130,1,4.22,10.0,6.91,A1,0,1
LNR000138,2,0,2,41,410,0.481,0.0,3.12,5.83,290,1,7.45,8.24,2.51,B1,0,0
LNR000139,3,0,0,34,70,0.195,5.9,8.58,5.36,40,0,7.25,6.45,5.05,A0,0,0
LNR000140,4,0,2,34,160,0.617,0.0,5.98,5.93,110,1,4.42,2.12,2.34,A1,0,1
LNR000141,4,0,0,40,1040,0.318,0.0,9.2,6.65,350,1,3.02,6.36,5.52,B1,0,0
LNR000142,3,0,1,30,240,0.25,0.2,7.23,6.29,140,0,5.9,6.84,4.44,A1,0,0
LNR000143,1,0,0,28,110,0.205,0.0,3.21,2.67,50,1,3.51,6.27,8.64,A0,0,1
LNR000144,2,0,0,25,500,0.56,0.0,6.73,3.45,260,1,4.62,5.65,2.83,C1,1,0
LNR000145,1,0,0,35,1310,0.438,0.0,5.51,2.43,720,0,1.59,4.04,5.36,C1,1,0
LNR000146,3,0,2,39,650,0.538,0.0,7.06,3.6,380,0,2.12,8.1,4.94,A2,0,0
LNR000147,1,0,0,31,310,0.348,0.0,9.59,10.0,100,0,5.95,6.82,5.58,B2,1,0
LNR000148,4,0,2,11,490,0.59,2.8,10.0,9.22,300,0,6.47,6.74,8.14,B1,0,1
LNR000149,2,0,0,37,210,0.575,2.2,9.48,4.09,140,1,2.74,5.36,4.77,B1,0,0
LNR000150,3,0,1,23,110,0.743,0.0,8.7,4.05,60,0,6.89,7.23,7.08,A0,0,0
LNR000151,3,0,1,31,170,0.333,0.0,7.27,6.29,50,0,3.39,2.44,3.31,A2,0,1
LNR000152,1,0,2,41,2030,0.452,0.0,1.84,2.19,780,1,5.14,6.36,3.3,C2,1,0
LNR000153,3,0,0,23,820,0.158,0.0,5.68,7.57,570,0,5.89,10.0,5.72,A2,0,1
LNR000154,4,0,5,42,530,0.301,0.3,4.04,5.47,310,1,9.91,7.76,4.97,A2,0,1
LNR000155,2,0,0,23,580,0.225,0.0,5.94,4.45,460,1,4.82,6.94,7.92,A2,0,0
LNR000156,1,1,0,33,120,0.736,0.0,3.85,1.8,80,1,7.36,10.0,5.74,A1,0,0
LNR000157,2,0,2,33,380,0.175,0.0,9.36,1.36,180,1,0.15,5.07,3.53,A2,0,1
LNR000158,4,1,1,40,60,0.229,8.1,2.44,3.42,30,0,1.46,4.32,6.21,A0,0,1
LNR000159,3,0,0,43,310,0.575,0.0,5.86,2.64,110,0,2.63,7.83,0.98,A1,0,1
LNR000160,4,1,1,24,930,0.151,0.0,5.79,4.65,310,0,6.63,6.79,8.2,A2,0,0
LNR000161,2,0,0,31,70,0.15,0.0,1.57,10.0,20,1,8.47,10.0,3.89,A0,0,0
LNR000162,4,1,0,30,630,0.255,5.3,4.01,7.81,190,0,5.2,8.03,6.27,A2,0,1
LNR000163,2,0,1,41,450,0.211,2.2,2.81,2.94,320,0,6.76,7.97,1.02,B1,0,1
LNR000164,2,0,1,32,140,0.547,0.0,9.2,9.07,110,1,5.27,6.18,5.82,A1,0,1
LNR000165,2,1,3,25,80,0.606,0.0,7.04,6.73,50,0,6.52,6.73,5.64,A1,0,0
LNR000166,2,0,1,12,320,0.308,0.0,5.19,0.97,180,1,5.37,8.21,6.84,A2,0,1
LNR000167,4,1,1,31,100,0.927,0.0,5.12,8.47,70,1,4.7,2.94,1.52,A0,0,1
LNR000168,2,0,1,21,30,0.081,2.0,4.99,4.23,20,1,2.73,9.05,4.4,A0,0,1
LNR000169,1,1,1,25,120,0.363,0.0,5.68,3.68,60,0,4.9,5.52,6.4,A1,0,1
LNR000170,1,1,0,17,1050,0.231,0.0,3.38,9.8,390,0,4.14,4.58,3.68,C1,1,0
LNR000171,3,1,2,48,1550,0.156,0.0,7.8,6.74,1100,0,6.13,4.87,4.24,B2,1,0
LNR000172,3,0,1,50,380,0.09,0.0,2.54,2.6,260,0,2.97,9.88,3.25,A1,0,0
LNR000173,2,1,1,26,830,0.347,0.1,3.11,1.79,390,1,4.24,5.48,7.01,C1,1,0
LNR000174,1,0,2,35,490,0.672,0.0,7.42,6.83,360,1,4.94,8.93,6.08,C1,1,0
LNR000175,1,0,1,32,810,0.256,0.0,10.0,4.92,280,1,2.97,2.42,4.72,B2,1,0
LNR000176,3,1,2,31,220,0.773,0.0,4.48,7.51,100,0,6.65,9.05,3.74,A2,0,0
LNR000177,4,0,1,18,610,0.239,0.0,5.01,6.16,420,1,2.19,5.43,6.75,A2,0,1
LNR000178,3,1,1,36,930,0.285,0.0,2.37,2.79,410,0,4.11,7.51,3.84,B1,0,0
LNR000179,3,1,0,32,400,0.423,0.0,4.99,3.41,140,1,1.63,0.8,4.33,A2,0,0
LNR000180,3,0,3,29,390,0.394,5.4,6.26,6.07,170,0,6.09,7.72,2.98,B1,0,0
LNR000181,4,1,0,15,1190,0.304,0.0,9.21,7.97,850,0,6.95,8.18,9.78,B2,1,0
LNR000182,4,1,2,38,30,0.471,0.0,6.25,4.9,20,1,0.57,6.4,4.56,A0,0,1
LNR000183,2,0,0,31,820,0.334,0.0,4.67,5.67,270,0,0.16,0.87,7.22,B2,1,0
LNR000184,4,0,0,20,420,0.361,0.0,2.63,9.52,170,0,1.66,5.19,6.5,A1,0,1
LNR000185,1,1,0,40,150,0.644,5.3,8.24,4.6,60,0,2.65,8.88,2.87,B1,0,1
LNR000186,3,0,0,32,220,0.64,0.0,7.2,7.85,70,0,7.42,6.31,2.79,A2,0,1
LNR000187,1,0,2,20,250,0.202,2.8,4.86,5.04,130,1,4.15,8.07,6.7,A2,0,0
LNR000188,3,0,0,28,280,0.483,4.1,6.13,8.3,100,0,10.0,5.34,7.33,A2,0,0
LNR000189,3,0,2,26,650,0.131,0.0,7.4,5.63,460,0,2.72,2.76,4.0,A2,0,1
LNR000190,3,0,1,33,210,0.482,6.2,6.92,4.92,120,1,1.39,3.98,4.66,A2,0,1
LNR000191,4,1,0,35,750,0.385,0.8,4.51,4.95,530,0,4.48,8.94,5.64,A2,0,1
LNR000192,2,0,1,38,100,0.064,1.3,5.69,3.41,70,0,5.74,4.89,5.42,A0,0,1
LNR000193,1,1,0,20,300,0.22,1.9,6.85,4.52,190,0,1.94,3.29,7.72,B1,0,1
LNR000194,1,1,0,19,990,0.698,0.0,7.44,4.41,530,0,3.22,4.66,7.05,C2,1,0
LNR000195,1,1,0,6,610,0.266,1.1,3.73,2.89,460,1,5.87,8.23,7.04,B1,0,0
LNR000196,1,0,0,40,70,0.306,0.3,6.53,5.32,30,0,4.64,5.94,3.49,A0,0,1
LNR000197,1,0,0,53,480,0.091,0.0,2.06,6.95,180,1,6.46,5.19,3.12,A2,0,1
LNR000198,2,1,2,22,820,0.179,1.0,6.26,2.99,300,0,3.58,2.94,8.19,C1,1,0
LNR000199,2,0,2,30,340,0.219,0.0,3.71,5.06,140,0,3.94,8.75,3.6,A2,0,0
LNR000200,2,0,1,19,810,0.129,0.0,1.88,7.48,340,1,7.45,8.24,6.69,B1,0,0
LNR000201,2,0,2,20,200,0.301,0.0,9.77,6.46,100,1,0.87,5.02,6.32,A2,0,0
LNR000202,2,1,0,31,30,0.33,0.0,3.98,3.47,20,1,4.96,7.36,4.67,A0,0,1
LNR000203,3,1,0,42,400,0.348,0.1,4.84,2.03,260,0,6.6,8.2,5.76,A1,0,0
LNR000204,3,0,0,34,160,0.161,4.6,3.5,0.69,60,0,7.05,8.19,3.57,A0,0,0
LNR000205,4,0,2,31,1150,0.264,0.0,4.18,10.0,860,1,6.34,6.58,7.68,B1,0,1
LNR000206,2,0,1,33,550,0.099,7.5,1.88,7.17,370,0,1.5,5.24,5.86,B1,0,1
LNR000207,1,0,1,37,790,0.02,1.1,9.1,5.37,470,1,5.85,4.32,5.58,B1,0,0
LNR000208,2,0,0,34,50,0.678,3.7,10.0,5.48,30,1,5.38,10.0,5.94,A1,0,0
LNR000209,2,1,0,8,950,0.47,0.0,6.84,4.5,380,1,4.11,9.04,9.04,C2,1,0
LNR000210,1,0,3,30,580,0.336,4.3,8.65,4.3,300,1,5.56,9.83,7.63,C1,1,0
LNR000211,2,1,0,18,260,0.363,0.0,6.32,5.26,120,0,4.87,4.68,9.19,A2,0,1
LNR000212,3,1,0,27,1380,0.569,0.0,9.61,3.31,900,1,5.22,9.03,4.28,C2,1,0
LNR000213,1,0,0,6,200,0.761,0.0,4.85,0.29,110,1,7.9,2.94,7.7,B1,0,0
LNR000214,3,0,0,20,260,0.478,0.0,3.01,5.43,150,0,5.13,3.98,8.28,A1,0,0
LNR000215,4,0,3,32,690,0.349,0.0,6.17,7.27,270,1,2.09,7.02,4.2,A2,0,1
LNR000216,2,0,0,26,1170,0.636,0.0,6.04,5.12,540,0,5.51,9.49,6.54,C1,1,0
LNR000217,2,0,0,42,140,0.304,0.0,9.35,5.87,60,0,8.3,5.78,5.9,A1,0,1
LNR000218,4,1,0,26,30,0.497,0.0,7.01,1.08,20,0,3.34,3.12,6.97,A0,0,0
LNR000219,1,0,0,40,620,0.099,1.2,2.35,7.46,240,0,7.88,5.87,4.64,A2,0,1
LNR000220,1,1,0,13,170,0.217,1.1,4.46,4.43,60,0,5.8,6.61,6.55,A2,0,0
LNR000221,3,1,0,25,230,0.307,0.0,7.27,1.9,70,0,6.92,3.75,5.24,A0,0,1
LNR000222,4,0,2,24,100,0.614,0.0,4.13,5.71,80,1,4.63,0.0,7.61,A0,0,1
LNR000223,2,0,1,21,1280,0.24,0.0,8.72,6.27,580,1,2.16,6.56,5.31,B1,0,0
LNR000224,2,0,0,15,1490,0.142,0.0,1.79,6.86,990,0,7.18,6.75,7.8,C1,1,0
LNR000225,2,0,2,18,430,0.543,0.0,9.05,4.09,230,0,7.26,10.0,8.48,B2,1,0
LNR000226,1,0,0,31,420,0.718,6.7,7.85,5.1,220,1,7.72,5.22,5.01,B2,1,0
LNR000227,4,0,2,17,570,0.193,0.0,4.69,6.44,220,0,5.7,4.01,8.68,A1,0,1
LNR000228,3,1,0,17,2550,0.363,4.5,3.65,8.55,1750,0,1.05,4.2,8.12,C2,1,0
LNR000229,4,0,0,29,620,0.361,0.0,8.49,7.97,440,1,10.0,7.18,4.54,A2,0,1
LNR000230,3,0,0,38,830,0.359,1.8,1.43,2.31,400,1,3.22,10.0,3.0,A2,0,1
LNR000231,3,1,0,36,150,0.389,0.0,5.51,3.3,60,1,4.56,2.99,4.92,A1,0,1
LNR000232,1,0,0,17,180,0.602,14.3,3.63,10.0,100,0,7.52,6.05,9.83,C1,1,0
LNR000233,2,0,0,13,250,0.613,0.0,7.33,9.56,190,0,0.0,5.68,5.95,A2,0,0
LNR000234,3,1,0,45,450,0.649,0.0,6.15,3.37,320,1,6.81,6.79,2.13,B1,0,1
LNR000235,1,0,1,19,590,0.163,0.0,6.53,0.0,360,0,1.39,5.73,6.59,B1,0,0
LNR000236,4,0,0,31,940,0.583,0.0,6.23,6.58,470,0,5.68,8.02,6.19,A2,0,1
LNR000237,1,0,1,12,950,0.607,2.6,8.7,0.07,390,1,5.28,4.05,7.77,C1,1,0
LNR000238,1,0,0,25,830,0.422,0.0,3.95,4.1,270,0,4.12,10.0,3.22,B2,1,0
LNR000239,3,0,1,39,1020,0.361,0.0,8.38,2.11,590,1,5.73,6.99,0.82,B1,0,1
LNR000240,3,0,1,31,670,0.149,0.0,1.83,8.64,490,0,2.13,9.65,6.54,A1,0,0
LNR000241,4,0,0,43,510,0.384,7.5,7.44,4.52,370,0,5.46,3.85,2.75,A1,0,0
LNR000242,3,1,0,30,230,0.197,5.3,6.79,4.13,140,1,3.45,3.1,5.09,A1,0,1
LNR000243,3,0,0,31,650,0.142,0.0,7.03,4.08,400,1,7.67,6.81,3.73,A2,0,0
LNR000244,2,0,1,47,240,0.215,0.7,7.34,0.33,150,0,7.46,3.01,2.41,A1,0,1
LNR000245,3,0,1,28,90,0.302,14.3,6.72,1.87,30,1,3.29,3.52,9.03,A1,0,0
LNR000246,3,0,0,40,950,0.549,1.1,9.2,6.69,740,1,5.25,7.55,5.06,B2,1,0
LNR000247,1,0,0,36,240,0.245,0.0,5.27,8.59,130,0,2.49,6.39,1.68,A2,0,1
LNR000248,2,0,0,20,790,0.699,5.6,8.15,5.83,520,0,7.0,5.14,4.6,C1,1,0
