candidate_id,job_role,job_role_display,gender,age_group,edu_level,edu_level_name,years_experience,edu_relevance,P_mcq,P_desc,P_code,S_edu,S_exp,S_skill,S_cv,S_int,CSS,passed_hard_filter,relevance_label,w_edu,w_exp,w_skill,w_mcq,w_desc,w_code,W_CV,W_INT
SE00021,Software_Engineer,Software Engineer,M,26-30,2,BSc,6.2,0.6165,0.7739,1.0,0.8264,0.6066,1.0,0.8271,0.8349,0.868,0.8548,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00022,Software_Engineer,Software Engineer,M,22-25,3,MSc,1.3,0.7475,0.7454,0.6321,0.6296,0.779,0.4333,0.5932,0.5824,0.6535,0.6251,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00023,Software_Engineer,Software Engineer,F,36-40,2,BSc,6.6,0.6021,0.5944,0.7758,0.7558,0.6008,1.0,0.5789,0.7096,0.7295,0.7215,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00024,Software_Engineer,Software Engineer,F,26-30,2,BSc,4.1,0.49,0.733,0.7934,0.8578,0.556,1.0,0.6829,0.7527,0.8135,0.7892,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00025,Software_Engineer,Software Engineer,M,26-30,3,MSc,4.8,0.716,0.7911,0.8545,0.7507,0.7664,1.0,0.6929,0.7997,0.7899,0.7938,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00026,Software_Engineer,Software Engineer,F,31-35,3,MSc,3.2,0.7863,0.6419,0.552,0.6835,0.7945,1.0,0.5653,0.7415,0.6358,0.6781,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00027,Software_Engineer,Software Engineer,M,26-30,2,BSc,3.0,0.6612,0.5918,0.7778,0.6577,0.6245,1.0,0.5108,0.6803,0.6805,0.6804,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00028,Software_Engineer,Software Engineer,M,31-35,2,BSc,4.1,0.5588,0.8046,0.4805,0.8136,0.5835,1.0,0.8973,0.8653,0.7119,0.7733,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00029,Software_Engineer,Software Engineer,F,22-25,2,BSc,2.1,0.8826,0.6082,0.6222,0.4268,0.713,0.7,0.5599,0.6325,0.5217,0.566,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00030,Software_Engineer,Software Engineer,F,31-35,2,BSc,9.3,0.7945,0.5921,0.8693,0.6777,0.6778,1.0,0.5617,0.7164,0.7181,0.7174,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00031,Software_Engineer,Software Engineer,M,22-25,1,Diploma,3.4,0.8821,0.531,0.4657,0.6509,0.5928,1.0,0.5877,0.7124,0.5713,0.6277,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00032,Software_Engineer,Software Engineer,M,26-30,3,MSc,2.9,0.6983,0.5999,0.8158,0.7506,0.7593,0.9667,0.825,0.8543,0.74,0.7857,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00033,Software_Engineer,Software Engineer,F,22-25,2,BSc,3.5,0.6585,0.6963,0.4286,0.881,0.6234,1.0,0.7057,0.7775,0.7084,0.736,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00034,Software_Engineer,Software Engineer,F,26-30,2,BSc,3.6,0.7324,0.6088,0.6219,0.6393,0.6529,1.0,0.6637,0.7624,0.628,0.6818,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00035,Software_Engineer,Software Engineer,F,22-25,3,MSc,2.4,0.6302,0.8681,0.6892,0.7916,0.7321,0.8,0.7562,0.7645,0.7762,0.7715,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00036,Software_Engineer,Software Engineer,F,26-30,2,BSc,5.9,0.7355,0.6858,0.8546,0.6814,0.6542,1.0,0.6735,0.7676,0.7342,0.7476,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00037,Software_Engineer,Software Engineer,M,36-40,3,MSc,7.9,0.6185,0.7331,0.7561,0.9437,0.7274,1.0,0.7031,0.797,0.8453,0.826,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00038,Software_Engineer,Software Engineer,F,26-30,3,MSc,4.8,0.6618,0.766,0.5863,1.0,0.7447,1.0,0.7016,0.7998,0.8291,0.8174,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00039,Software_Engineer,Software Engineer,M,26-30,3,MSc,5.9,0.7734,0.6835,0.4378,0.9839,0.7894,1.0,0.6281,0.7719,0.76,0.7648,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00040,Software_Engineer,Software Engineer,F,26-30,2,BSc,5.0,0.5711,0.6642,0.6785,0.6356,0.5884,1.0,0.5593,0.6973,0.6542,0.6714,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00041,Software_Engineer,Software Engineer,M,36-40,3,MSc,6.9,0.6132,0.8277,0.4734,0.9881,0.7253,1.0,0.6523,0.7712,0.8016,0.7894,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00042,Software_Engineer,Software Engineer,F,22-25,2,BSc,4.0,0.6096,0.5923,0.7218,0.9158,0.6038,1.0,0.6767,0.7591,0.7929,0.7794,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00043,Software_Engineer,Software Engineer,F,26-30,2,BSc,3.1,0.7141,0.7589,0.6825,0.6879,0.6456,1.0,0.6284,0.7433,0.7005,0.7176,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00044,Software_Engineer,Software Engineer,M,31-35,3,MSc,9.4,0.5726,0.7803,1.0,0.7787,0.709,1.0,0.8867,0.8851,0.8454,0.8613,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00045,Software_Engineer,Software Engineer,M,22-25,2,BSc,6.6,0.3966,0.6464,0.726,0.832,0.5186,1.0,0.4605,0.634,0.7631,0.7115,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00046,Software_Engineer,Software Engineer,M,36-40,3,MSc,0.7,0.9364,0.6739,0.4,0.8516,0.8546,0.2333,0.7495,0.6157,0.6806,0.6546,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00047,Software_Engineer,Software Engineer,F,36-40,3,MSc,0.0,0.5538,0.6647,0.5738,0.6452,0.7015,0.0,0.581,0.4308,0.6277,0.5489,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00048,Software_Engineer,Software Engineer,F,40+,2,BSc,2.9,0.7372,0.6041,0.5963,0.6983,0.6549,0.9667,0.4879,0.6649,0.6488,0.6552,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00049,Software_Engineer,Software Engineer,M,31-35,3,MSc,1.9,0.6375,0.8991,0.6216,0.876,0.735,0.6333,0.6611,0.6675,0.8043,0.7496,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00050,Software_Engineer,Software Engineer,F,26-30,2,BSc,3.4,0.786,0.8199,0.5377,0.8008,0.6744,1.0,0.7034,0.7866,0.7257,0.7501,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00051,Software_Engineer,Software Engineer,M,22-25,2,BSc,0.0,0.8522,0.6576,0.59,0.3404,0.7009,0.0,0.6643,0.4723,0.4787,0.4761,0,0,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00052,Software_Engineer,Software Engineer,F,26-30,3,MSc,0.0,0.6722,0.6848,0.3111,0.6132,0.7489,0.0,0.6401,0.4698,0.5369,0.5101,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00053,Software_Engineer,Software Engineer,F,22-25,2,BSc,1.2,0.7183,0.6444,0.8417,0.6104,0.6473,0.4,0.6717,0.5853,0.6866,0.6461,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00054,Software_Engineer,Software Engineer,M,22-25,1,Diploma,2.7,0.509,0.5134,0.532,0.4852,0.4436,0.9,0.5632,0.6403,0.5049,0.5591,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00055,Software_Engineer,Software Engineer,M,31-35,1,Diploma,5.3,0.7886,0.605,0.6153,0.8282,0.5555,1.0,0.7302,0.7762,0.7197,0.7423,0,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00056,Software_Engineer,Software Engineer,M,26-30,2,BSc,0.2,0.8414,0.6749,0.6663,0.698,0.6965,0.0667,0.7594,0.539,0.6839,0.6259,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00057,Software_Engineer,Software Engineer,M,26-30,2,BSc,7.8,0.3061,0.5666,0.7058,0.7766,0.4824,1.0,0.6167,0.7048,0.7134,0.71,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00058,Software_Engineer,Software Engineer,M,22-25,2,BSc,8.2,0.7734,0.8363,0.7712,0.7088,0.6694,1.0,0.721,0.7944,0.753,0.7696,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00059,Software_Engineer,Software Engineer,F,31-35,2,BSc,3.0,0.5564,0.5767,0.4378,0.8512,0.5826,1.0,0.7855,0.8093,0.6723,0.7271,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00060,Software_Engineer,Software Engineer,F,31-35,2,BSc,2.4,0.5818,0.5461,0.5896,0.5271,0.5927,0.8,0.5349,0.626,0.5497,0.5802,1,0,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00061,Software_Engineer,Software Engineer,M,40+,2,BSc,5.0,0.6381,0.7053,0.5978,0.6729,0.6152,1.0,0.6865,0.7663,0.6569,0.7007,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00062,Software_Engineer,Software Engineer,F,36-40,2,BSc,0.0,0.7261,0.6726,0.4224,0.3285,0.6504,0.0,0.4785,0.3693,0.4255,0.403,0,0,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00063,Software_Engineer,Software Engineer,M,22-25,2,BSc,0.2,0.7617,0.6264,0.8376,0.3412,0.6647,0.0667,0.4253,0.3656,0.5471,0.4745,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00064,Software_Engineer,Software Engineer,M,26-30,2,BSc,6.5,0.5692,0.5955,0.8105,0.9959,0.5877,1.0,0.7883,0.8117,0.8602,0.8408,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00065,Software_Engineer,Software Engineer,M,26-30,2,BSc,4.4,0.6625,0.8414,0.6619,0.7492,0.625,1.0,0.7046,0.7773,0.7415,0.7558,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00066,Software_Engineer,Software Engineer,F,22-25,2,BSc,5.0,0.5911,0.8874,0.791,0.7018,0.5964,1.0,0.6928,0.7657,0.7657,0.7657,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00067,Software_Engineer,Software Engineer,M,31-35,2,BSc,2.3,0.3378,0.6067,0.4466,0.6975,0.4951,0.7667,0.7302,0.6941,0.6041,0.6401,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00068,Software_Engineer,Software Engineer,F,26-30,2,BSc,4.6,0.7579,0.7281,0.6564,0.6107,0.6632,1.0,0.4726,0.6689,0.6479,0.6563,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00069,Software_Engineer,Software Engineer,F,26-30,3,MSc,2.8,0.7365,0.57,0.7695,0.7014,0.7746,0.9333,0.519,0.6944,0.6955,0.6951,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00070,Software_Engineer,Software Engineer,F,26-30,3,MSc,3.3,0.543,0.7157,0.715,0.5685,0.6972,1.0,0.6067,0.7428,0.6419,0.6823,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00071,Software_Engineer,Software Engineer,F,31-35,3,MSc,0.0,0.7193,0.5848,0.5312,0.6781,0.7677,0.0,0.467,0.387,0.6154,0.524,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00072,Software_Engineer,Software Engineer,M,26-30,3,MSc,4.7,0.5224,0.8034,0.7737,0.9342,0.689,1.0,0.9815,0.9285,0.8599,0.8873,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00073,Software_Engineer,Software Engineer,F,36-40,3,MSc,4.6,0.5204,0.8422,0.6526,0.7045,0.6882,1.0,0.525,0.7002,0.7165,0.71,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00074,Software_Engineer,Software Engineer,F,26-30,2,BSc,4.1,0.8032,0.756,0.5756,0.5866,0.6813,1.0,0.4369,0.6547,0.6172,0.6322,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00075,Software_Engineer,Software Engineer,F,22-25,2,BSc,6.1,0.3251,0.7305,0.8523,0.6496,0.49,1.0,0.6524,0.7242,0.7266,0.7256,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00076,Software_Engineer,Software Engineer,M,22-25,2,BSc,3.4,0.6118,0.5573,0.5135,0.6738,0.6047,1.0,0.3024,0.5721,0.6024,0.5903,0,0,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00077,Software_Engineer,Software Engineer,F,31-35,1,Diploma,1.5,0.6923,0.5684,0.5415,0.6003,0.5169,0.5,0.4561,0.4814,0.5763,0.5383,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00078,Software_Engineer,Software Engineer,F,22-25,3,MSc,4.5,0.6598,0.6259,0.6496,0.6475,0.7439,1.0,0.6152,0.7564,0.6438,0.6888,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00079,Software_Engineer,Software Engineer,M,22-25,3,MSc,7.5,0.3077,0.5203,0.5459,0.7735,0.6031,1.0,0.4946,0.6679,0.6546,0.6599,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00080,Software_Engineer,Software Engineer,M,36-40,3,MSc,0.5,0.5711,0.8124,0.6353,0.7472,0.7084,0.1667,0.4707,0.4271,0.7267,0.6069,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00081,Software_Engineer,Software Engineer,M,22-25,2,BSc,4.2,0.6318,0.5773,0.629,0.6994,0.6127,1.0,0.7021,0.7736,0.6538,0.7017,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00082,Software_Engineer,Software Engineer,M,31-35,3,MSc,3.1,0.8423,0.7155,0.6683,0.6179,0.8169,1.0,0.5263,0.7265,0.6525,0.6821,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00083,Software_Engineer,Software Engineer,M,22-25,2,BSc,0.0,0.8971,0.5131,0.6524,0.313,0.7188,0.0,0.409,0.3483,0.4548,0.4122,0,0,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00084,Software_Engineer,Software Engineer,M,31-35,2,BSc,0.0,0.8875,0.6373,0.4779,0.6486,0.715,0.0,0.5833,0.4347,0.5951,0.5309,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00085,Software_Engineer,Software Engineer,F,26-30,3,MSc,3.2,0.8684,0.8382,0.6339,0.731,0.8274,1.0,0.9166,0.9238,0.7233,0.8035,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00086,Software_Engineer,Software Engineer,F,40+,2,BSc,2.7,0.541,0.5648,0.6677,0.4528,0.5764,0.9,0.6355,0.703,0.5397,0.605,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00087,Software_Engineer,Software Engineer,F,36-40,2,BSc,8.1,0.8699,0.7029,0.7089,0.8867,0.7079,1.0,0.5995,0.7414,0.7966,0.7745,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00088,Software_Engineer,Software Engineer,M,26-30,1,Diploma,5.3,0.5184,0.5676,0.608,0.5445,0.4474,1.0,0.6504,0.7147,0.5682,0.6268,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00089,Software_Engineer,Software Engineer,M,26-30,3,MSc,5.4,0.4345,0.7511,0.7794,0.8693,0.6538,1.0,0.9518,0.9066,0.8187,0.8539,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00090,Software_Engineer,Software Engineer,M,22-25,2,BSc,2.6,0.6671,0.7376,0.8332,0.6706,0.6268,0.8667,0.9172,0.844,0.7328,0.7773,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00091,Software_Engineer,Software Engineer,M,22-25,3,MSc,8.9,0.6734,0.6315,0.7838,0.8565,0.7494,1.0,0.585,0.7424,0.7897,0.7708,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00092,Software_Engineer,Software Engineer,F,22-25,2,BSc,2.2,0.6153,0.712,0.6169,0.4757,0.6061,0.7333,0.5931,0.6377,0.5653,0.5943,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00093,Software_Engineer,Software Engineer,F,31-35,3,MSc,7.2,0.8287,0.7644,0.5502,0.7932,0.8115,1.0,0.6836,0.8041,0.7145,0.7503,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00094,Software_Engineer,Software Engineer,F,40+,1,Diploma,5.1,0.6491,0.5173,0.5489,0.8618,0.4996,1.0,0.6566,0.7282,0.699,0.7107,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00095,Software_Engineer,Software Engineer,F,40+,3,MSc,6.8,0.6687,0.7869,0.5531,0.8539,0.7475,1.0,0.6741,0.7866,0.7503,0.7648,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00096,Software_Engineer,Software Engineer,M,22-25,3,MSc,7.1,0.5548,0.6661,0.9132,0.8336,0.7019,1.0,0.7136,0.7972,0.824,0.8133,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00097,Software_Engineer,Software Engineer,M,31-35,3,MSc,0.6,0.762,0.7082,0.7339,0.566,0.7848,0.2,0.6916,0.5628,0.6448,0.612,0,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00098,Software_Engineer,Software Engineer,M,26-30,3,MSc,2.9,0.8835,0.6962,0.6305,0.7179,0.8334,0.9667,0.8415,0.8775,0.6873,0.7634,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00099,Software_Engineer,Software Engineer,M,26-30,2,BSc,0.0,0.481,0.6691,0.4804,0.4401,0.5524,0.0,0.4295,0.3252,0.498,0.4289,0,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00100,Software_Engineer,Software Engineer,F,40+,2,BSc,1.2,0.7035,0.7018,0.6103,0.9488,0.6414,0.4,0.602,0.5493,0.7979,0.6985,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00101,Software_Engineer,Software Engineer,M,22-25,2,BSc,5.4,0.5628,0.6371,0.6265,0.573,0.5851,1.0,0.6065,0.7203,0.6019,0.6493,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00102,Software_Engineer,Software Engineer,F,31-35,2,BSc,2.6,0.7386,0.5107,0.8018,0.905,0.6554,0.8667,0.6344,0.7083,0.7952,0.7604,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00103,Software_Engineer,Software Engineer,M,36-40,2,BSc,5.4,0.8017,0.6517,0.4496,0.5485,0.6807,1.0,0.5639,0.7181,0.5395,0.6109,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00104,Software_Engineer,Software Engineer,M,31-35,2,BSc,2.7,0.6813,0.7738,0.9148,0.5969,0.6325,0.9,0.61,0.7015,0.7277,0.7172,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00105,Software_Engineer,Software Engineer,F,26-30,3,MSc,0.0,0.7448,0.7134,0.6663,0.6741,0.7779,0.0,0.6228,0.467,0.6796,0.5946,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00106,Software_Engineer,Software Engineer,F,31-35,3,MSc,6.7,0.8437,0.829,0.761,0.8759,0.8175,1.0,0.8939,0.9104,0.832,0.8634,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00107,Software_Engineer,Software Engineer,M,31-35,2,BSc,5.0,0.7061,0.6616,0.7673,0.5308,0.6424,1.0,0.6309,0.7439,0.6279,0.6743,1,1,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00108,Software_Engineer,Software Engineer,F,31-35,2,BSc,5.6,0.9529,0.6838,0.7132,0.9437,0.7411,1.0,0.6331,0.7648,0.8225,0.7994,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00109,Software_Engineer,Software Engineer,F,26-30,3,MSc,4.4,0.7372,0.6534,0.6201,0.7528,0.7749,1.0,0.6596,0.7848,0.6931,0.7298,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00110,Software_Engineer,Software Engineer,F,26-30,3,MSc,2.6,0.7328,0.7396,0.6054,0.9899,0.7731,0.8667,0.8339,0.8316,0.8245,0.8273,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00111,Software_Engineer,Software Engineer,M,40+,2,BSc,0.9,0.6251,0.7669,0.7179,0.8098,0.61,0.3,0.6538,0.5389,0.7737,0.6798,0,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00112,Software_Engineer,Software Engineer,M,40+,2,BSc,5.6,0.6361,0.6325,0.5726,0.7314,0.6144,1.0,0.8916,0.8687,0.664,0.7459,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00113,Software_Engineer,Software Engineer,F,26-30,3,MSc,2.2,0.5863,0.6671,0.7247,0.6319,0.7145,0.7333,0.6469,0.6863,0.6668,0.6746,1,2,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
SE00114,Software_Engineer,Software Engineer,M,40+,2,BSc,4.9,0.7139,0.7341,0.7702,0.9248,0.6456,1.0,0.7244,0.7913,0.8403,0.8207,1,3,0.2,0.3,0.5,0.2,0.3,0.5,0.4,0.6
