date,region,avg_temperature_c,precipitation_mm,co2_ppm,temperature_anomaly_c,humidity_percent
2010-05-30,West,11.32,48.0,391.44,-0.19,48.54
2010-05-31,North,15.94,41.96,390.53,-0.32,81.39
2010-06-01,North,10.97,63.47,392.6,0.03,61.3
2010-06-02,North,19.48,80.79,388.57,-0.08,55.66
2010-06-03,North,19.32,79.95,390.58,0.18,77.95
2010-06-04,East,17.21,24.4,390.66,-0.14,64.39
2010-06-05,North,16.52,107.79,388.94,-0.11,87.79
2010-06-06,West,22.12,43.97,393.65,0.39,54.77
2010-06-07,Central,15.08,53.37,389.37,0.12,44.22
2010-06-08,North,10.35,37.43,390.54,-0.13,61.63
2010-06-09,East,16.88,127.46,392.79,0.08,74.47
2010-06-10,East,23.42,66.05,392.41,0.49,53.87
2010-06-11,North,11.02,38.73,389.79,0.17,49.04
2010-06-12,Central,13.64,81.6,392.48,0.26,67.75
2010-06-13,North,16.75,79.23,391.9,-0.14,47.44
2010-06-14,East,14.87,55.31,394.98,0.39,68.68
2010-06-15,South,11.15,81.02,392.09,0.78,60.91
2010-06-16,West,19.57,39.37,391.28,-0.15,70.93
2010-06-17,East,24.36,47.68,390.22,-0.27,48.39
2010-06-18,North,15.87,9.74,390.4,0.14,80.58
2010-06-19,West,11.47,26.9,390.28,0.35,62.8
2010-06-20,North,8.89,105.19,393.59,0.06,74.16
2010-06-21,North,16.12,101.04,391.57,-0.23,76.52
2010-06-22,South,19.5,61.64,392.4,0.05,51.11
2010-06-23,West,16.99,101.57,393.83,0.27,75.59
2010-06-24,West,15.08,56.0,388.03,-0.04,47.9
2010-06-25,South,12.73,53.91,393.49,0.27,48.56
2010-06-26,East,10.72,61.41,391.67,0.44,88.57
2010-06-27,North,18.43,56.88,392.25,0.16,78.34
2010-06-28,Central,18.74,54.62,390.36,0.08,89.88
2010-06-29,North,8.91,88.58,390.48,0.34,60.56
2010-06-30,North,21.45,63.75,392.35,-0.17,66.23
2010-07-01,East,17.39,77.81,395.21,-0.2,71.33
2010-07-02,North,20.69,85.78,393.14,0.01,64.85
2010-07-03,South,9.72,69.7,393.55,-0.06,56.05
2010-07-04,South,9.63,35.74,391.37,-0.15,54.25
2010-07-05,West,14.5,26.18,390.77,0.64,67.57
2010-07-06,Central,17.1,63.72,390.5,0.74,52.2
2010-07-07,North,22.28,55.72,390.95,-0.01,51.86
2010-07-08,North,17.92,62.18,388.61,0.12,69.72
2010-07-09,East,14.12,59.6,390.61,0.04,63.86
2010-07-10,South,10.99,124.59,390.87,0.43,76.25
2010-07-11,Central,20.02,26.74,391.46,0.49,59.9
2010-07-12,West,11.24,10.25,391.93,-0.44,58.02
2010-07-13,South,21.61,68.31,392.28,0.24,70.08
2010-07-14,West,13.96,50.59,391.72,-0.3,55.26
2010-07-15,East,21.46,67.9,390.88,0.63,57.1
2010-07-16,East,17.81,74.6,388.82,0.23,57.58
2010-07-17,North,14.55,92.1,390.91,-0.15,62.48
2010-07-18,Central,13.02,22.32,390.32,0.03,86.27
2010-07-19,West,13.74,46.08,392.49,0.01,48.48
2010-07-20,South,16.81,70.72,393.16,0.26,80.55
2010-07-21,East,15.41,79.26,393.22,0.41,73.85
2010-07-22,North,12.73,114.84,392.95,-0.24,83.8
2010-07-23,North,14.44,83.89,391.63,0.65,100.0
2010-07-24,West,15.42,58.58,391.05,0.58,82.18
2010-07-25,East,6.59,37.74,390.72,-0.16,76.11
2010-07-26,Central,16.94,45.89,389.59,0.12,49.25
2010-07-27,East,11.18,45.18,393.35,0.62,50.77
2010-07-28,West,10.49,76.38,391.61,0.47,69.32
2010-07-29,West,8.36,66.42,390.01,0.0,44.62
2010-07-30,East,7.93,26.91,390.65,0.35,72.39
2010-07-31,West,9.68,49.1,390.6,1.0,39.38
2010-08-01,East,12.27,81.94,391.97,0.14,78.83
2010-08-02,South,22.92,68.79,393.52,-0.08,61.14
2010-08-03,East,13.0,74.22,391.4,0.16,66.52
2010-08-04,East,15.82,69.57,388.56,0.18,56.02
2010-08-05,West,16.71,100.66,391.66,-0.05,42.22
2010-08-06,West,15.63,65.9,391.72,0.24,79.82
2010-08-07,North,14.8,50.35,391.63,-0.27,81.03
2010-08-08,North,10.33,37.11,391.03,-0.09,60.78
2010-08-09,South,20.91,66.24,392.31,0.34,72.94
2010-08-10,North,22.34,1.02,392.09,-0.42,60.31
2010-08-11,East,8.38,55.39,391.96,0.38,68.46
2010-08-12,West,11.02,54.85,392.63,-0.49,74.11
2010-08-13,North,13.99,25.89,391.37,-0.41,71.66
2010-08-14,North,11.25,36.79,391.3,-0.04,81.09
2010-08-15,South,17.14,80.24,394.1,0.2,71.23
2010-08-16,South,12.2,65.77,392.88,0.51,65.34
2010-08-17,East,23.77,62.54,393.29,0.13,55.86
2010-08-18,West,19.88,67.66,393.9,0.04,59.26
2010-08-19,South,15.97,62.32,392.86,0.29,74.72
2010-08-20,North,19.22,91.07,393.47,-0.15,46.98
2010-08-21,West,19.54,63.09,389.72,0.16,78.27
2010-08-22,West,12.86,23.54,392.4,-0.24,61.63
2010-08-23,North,11.85,100.75,391.83,0.14,55.18
2010-08-24,South,15.43,69.26,394.63,0.08,51.82
2010-08-25,North,18.56,45.27,393.52,-0.12,73.09
2010-08-26,West,15.67,28.66,391.19,0.17,64.82
2010-08-27,Central,8.81,69.9,392.7,0.17,84.07
2010-08-28,Central,11.91,57.07,392.4,0.47,49.84
2010-08-29,East,14.82,99.35,392.84,-0.36,58.06
2010-08-30,North,14.82,51.35,390.64,0.1,63.89
2010-08-31,North,23.01,39.07,392.72,-0.11,55.98
2010-09-01,East,9.58,82.39,391.85,0.38,65.07
2010-09-02,East,17.14,83.13,392.62,0.35,68.83
2010-09-03,East,21.08,64.22,391.12,0.27,70.81
2010-09-04,West,24.21,76.91,391.34,-0.09,83.07
2010-09-05,North,13.51,59.06,393.98,0.39,49.36
2010-09-06,West,17.09,65.85,390.66,-0.34,69.05
2010-09-07,East,17.4,89.12,390.77,-0.4,57.24
2010-09-08,North,15.91,75.63,392.17,-0.26,70.16
2010-09-09,West,14.73,55.77,391.1,0.12,70.18
2010-09-10,West,16.87,93.81,390.94,0.33,53.16
2010-09-11,East,5.0,0.88,392.44,-0.77,54.19
2010-09-12,North,17.86,111.3,390.03,0.52,71.14
2010-09-13,East,15.63,17.35,390.78,0.17,65.28
2010-09-14,North,14.24,44.32,395.39,-0.34,62.36
2010-09-15,Central,23.32,58.98,393.0,0.16,72.9
2010-09-16,South,12.43,56.34,391.2,0.46,73.78
2010-09-17,South,13.52,85.16,392.96,0.31,58.64
2010-09-18,South,23.1,33.55,393.19,0.46,54.78
2010-09-19,East,11.8,66.52,393.84,-0.28,49.86
2010-09-20,Central,12.93,45.54,392.17,0.01,65.4
2010-09-21,North,14.54,67.38,393.83,-0.15,47.92
2010-09-22,West,18.49,58.38,389.32,0.65,66.19
2010-09-23,North,15.96,62.32,390.8,0.32,79.6
2010-09-24,West,9.96,46.25,392.64,0.99,60.76
2010-09-25,North,13.0,47.25,392.9,-0.01,58.57
2010-09-26,Central,12.7,67.18,391.04,-0.08,88.97
2010-09-27,West,14.83,83.59,392.81,0.09,83.12
2010-09-28,East,16.84,45.04,391.49,0.55,55.82
2010-09-29,North,16.81,38.28,392.02,0.03,66.67
2010-09-30,North,8.03,75.34,393.99,0.17,68.94
2010-10-01,West,19.39,59.19,393.82,0.17,67.44
2010-10-02,East,16.15,80.76,390.97,0.15,86.78
2010-10-03,East,20.68,37.36,390.89,-0.06,66.05
2010-10-04,Central,16.91,15.51,391.87,0.1,67.85
2010-10-05,East,19.54,46.67,392.45,0.08,73.26
2010-10-06,East,17.01,40.84,391.52,0.14,79.28
2010-10-07,East,20.52,58.03,394.07,0.42,76.24
2010-10-08,South,17.23,44.08,393.04,0.67,71.46
2010-10-09,Central,14.75,78.53,393.14,-0.11,46.3
2010-10-10,North,24.23,52.8,390.64,0.02,59.14
2010-10-11,West,18.7,63.76,394.3,-0.11,74.83
2010-10-12,North,17.44,63.94,388.33,0.2,68.0
2010-10-13,Central,10.04,64.87,393.82,-0.02,74.91
2010-10-14,West,9.99,59.4,393.98,0.21,87.65
2010-10-15,Central,16.31,72.77,391.93,0.47,50.88
2010-10-16,East,15.73,40.11,394.5,-0.61,78.65
2010-10-17,West,12.69,94.99,392.51,0.29,61.04
2010-10-18,East,15.71,54.09,392.7,0.01,76.22
2010-10-19,North,21.5,27.21,393.13,0.28,64.51
2010-10-20,North,17.93,64.7,397.41,-0.12,90.52
2010-10-21,West,10.58,38.72,394.65,0.51,66.56
2010-10-22,West,14.7,76.63,393.7,0.42,57.31
2010-10-23,Central,11.93,115.24,391.29,0.32,70.04
2010-10-24,Central,13.6,40.34,392.88,0.39,68.89
2010-10-25,East,13.49,68.31,391.45,-0.08,78.66
2010-10-26,West,13.24,16.11,393.92,-0.04,70.38
2010-10-27,North,10.13,71.35,392.9,0.38,94.7
2010-10-28,Central,14.64,37.86,391.01,-0.08,63.66
2010-10-29,Central,12.91,44.38,392.83,0.58,63.8
2010-10-30,North,3.43,32.47,391.44,0.05,57.75
2010-10-31,Central,23.36,78.3,392.95,0.3,66.03
2010-11-01,East,19.51,85.18,391.45,0.78,67.77
2010-11-02,West,13.65,60.58,392.79,-0.06,68.37
2010-11-03,North,15.23,38.39,393.88,0.17,65.81
2010-11-04,West,10.47,99.74,392.68,0.47,57.68
2010-11-05,Central,21.94,41.24,392.19,0.44,54.42
2010-11-06,Central,22.74,5.95,393.09,0.06,60.5
2010-11-07,North,15.78,71.46,393.84,0.0,78.7
2010-11-08,East,19.25,32.38,391.14,0.09,81.28
2010-11-09,South,15.86,84.72,393.2,0.59,64.08
2010-11-10,North,9.81,50.47,394.79,0.07,53.7
2010-11-11,South,13.51,75.09,393.69,0.18,64.03
2010-11-12,South,15.69,95.04,392.92,0.03,90.1
2010-11-13,East,13.34,29.78,393.8,0.37,76.99
2010-11-14,South,14.28,45.85,393.53,0.21,71.61
2010-11-15,South,14.79,58.11,393.99,-0.14,76.55
2010-11-16,East,14.84,98.44,389.84,-0.13,83.49
2010-11-17,South,15.37,43.54,390.55,-0.44,51.17
2010-11-18,South,10.92,45.14,394.4,-0.09,60.3
2010-11-19,South,12.29,71.95,390.64,0.4,58.66
2010-11-20,North,10.02,45.57,393.51,0.56,72.05
2010-11-21,North,19.07,63.81,392.39,0.37,66.92
2010-11-22,North,6.74,21.21,391.43,0.33,74.08
2010-11-23,East,19.78,115.36,393.46,0.13,58.92
2010-11-24,Central,20.71,26.31,393.25,0.4,81.46
2010-11-25,South,13.96,51.96,396.12,0.25,64.17
2010-11-26,South,4.75,59.19,392.02,0.71,73.33
2010-11-27,East,13.72,107.82,395.13,0.14,79.34
2010-11-28,South,14.91,26.88,393.51,0.57,78.38
2010-11-29,North,11.12,109.59,392.0,0.43,69.33
2010-11-30,Central,13.11,78.93,394.2,0.39,74.83
2010-12-01,West,21.29,70.43,393.86,-0.44,85.9
2010-12-02,South,17.83,35.38,393.07,0.45,71.16
2010-12-03,North,11.47,74.28,393.42,0.13,56.24
2010-12-04,West,8.78,41.91,392.14,0.04,72.0
2010-12-05,Central,13.86,91.67,391.8,-0.28,64.55
2010-12-06,West,14.32,35.72,394.19,0.17,36.82
2010-12-07,North,17.15,57.17,392.72,0.18,70.54
2010-12-08,West,13.03,46.12,392.95,-0.22,66.4
2010-12-09,East,17.22,35.31,393.5,-0.27,78.88
2010-12-10,West,22.91,78.53,393.49,0.32,56.0
2010-12-11,South,18.43,73.39,390.95,0.43,46.93
2010-12-12,South,14.98,90.23,395.03,0.23,67.02
2010-12-13,East,14.44,15.5,393.3,0.52,69.56
2010-12-14,North,13.75,86.6,392.82,0.15,66.13
2010-12-15,South,19.9,122.64,393.78,0.16,65.25
2010-12-16,Central,12.67,48.71,393.5,-0.1,52.18
2010-12-17,South,15.36,107.38,394.3,-0.29,63.33
2010-12-18,South,15.38,53.42,393.97,0.73,60.82
2010-12-19,North,13.17,25.69,394.25,0.52,77.87
2010-12-20,West,9.69,52.36,395.2,-0.24,69.55
2010-12-21,South,16.47,86.21,394.51,0.22,61.66
2010-12-22,East,14.93,39.05,392.95,0.15,85.69
2010-12-23,West,17.18,44.99,391.52,0.1,61.77
2010-12-24,Central,13.04,74.84,395.72,0.06,71.69
2010-12-25,North,20.06,60.08,392.87,0.29,63.0
2010-12-26,Central,11.67,74.62,392.52,0.42,84.57
2010-12-27,West,22.03,65.95,390.64,0.3,66.04
2010-12-28,West,8.19,71.99,393.76,0.14,66.4
2010-12-29,West,16.92,49.19,393.48,0.13,63.32
2010-12-30,Central,17.08,65.79,390.99,0.46,67.36
2010-12-31,West,12.0,36.82,393.96,0.32,79.39
2011-01-01,Central,16.88,92.21,392.54,0.2,75.15
2011-01-02,West,20.3,44.14,397.33,0.17,65.34
2011-01-03,East,6.32,88.22,392.45,0.29,85.42
2011-01-04,West,17.2,54.16,392.66,0.04,75.48
2011-01-05,Central,5.21,65.05,392.01,0.43,59.74
2011-01-06,South,11.32,47.63,395.25,-0.14,48.44
2011-01-07,West,21.7,34.6,392.78,0.06,60.02
2011-01-08,South,12.86,16.38,392.26,0.37,69.96
2011-01-09,East,10.49,33.62,394.42,-0.15,72.17
2011-01-10,North,14.4,51.9,391.3,-0.28,81.31
2011-01-11,East,23.46,65.3,394.31,0.21,51.87
2011-01-12,West,7.86,85.26,396.06,-0.32,59.73
2011-01-13,South,10.98,48.86,394.24,-0.2,50.87
2011-01-14,South,21.18,37.95,394.36,0.42,48.93
2011-01-15,Central,22.62,23.93,394.72,0.13,57.47
2011-01-16,South,14.78,72.0,395.99,0.58,69.4
2011-01-17,Central,10.23,94.58,395.24,-0.17,74.26
2011-01-18,North,23.57,91.66,394.1,0.16,53.62
2011-01-19,West,21.57,77.75,394.8,0.31,55.29
2011-01-20,Central,17.91,75.96,392.13,-0.16,43.64
2011-01-21,North,11.94,102.44,394.63,0.5,67.57
2011-01-22,South,15.0,68.3,391.97,0.35,56.21
2011-01-23,South,14.55,76.15,392.93,-0.29,84.96
2011-01-24,North,16.52,51.98,388.87,0.18,69.92
2011-01-25,South,21.0,25.95,394.1,0.31,62.94
2011-01-26,North,18.71,42.9,392.54,0.02,57.31
2011-01-27,Central,10.89,59.77,395.19,-0.25,47.06
2011-01-28,Central,20.7,61.52,394.11,0.28,48.59
2011-01-29,North,16.45,108.16,395.22,0.86,57.53
2011-01-30,Central,17.95,62.03,391.92,0.08,56.61
2011-01-31,Central,21.06,89.47,395.11,0.67,53.01
2011-02-01,Central,10.75,49.12,396.72,-0.03,69.53
2011-02-02,East,15.06,52.21,394.72,0.26,71.17
2011-02-03,West,13.07,26.77,394.77,0.43,59.5
2011-02-04,South,8.93,41.44,393.85,0.2,88.22
2011-02-05,East,16.59,73.17,392.81,0.11,44.04
2011-02-06,Central,25.25,60.19,394.75,0.42,65.7
2011-02-07,North,7.84,83.57,391.36,0.77,62.38
2011-02-08,Central,15.07,64.53,393.0,0.29,58.39
2011-02-09,West,17.76,51.19,390.98,0.05,56.63
2011-02-10,Central,15.69,113.71,392.59,0.15,64.92
2011-02-11,North,14.75,57.65,394.62,0.96,62.29
2011-02-12,West,10.01,89.08,394.42,0.24,60.3
2011-02-13,Central,16.14,49.97,393.75,0.03,49.42
2011-02-14,West,12.18,77.74,393.94,-0.14,45.58
2011-02-15,South,6.45,83.2,390.86,-0.34,61.54
2011-02-16,South,19.98,65.21,393.14,0.31,60.17
2011-02-17,Central,19.04,1.14,392.69,0.4,62.64
2011-02-18,West,15.41,60.46,392.73,0.09,63.7
2011-02-19,North,16.12,90.76,394.63,0.2,58.73
2011-02-20,Central,19.5,73.19,392.44,-0.14,62.45
2011-02-21,South,16.11,71.15,392.84,0.25,54.76
2011-02-22,South,18.82,16.94,390.62,0.35,83.29
2011-02-23,Central,14.02,41.99,393.32,0.05,55.4
2011-02-24,West,20.46,70.28,392.14,0.72,60.55
2011-02-25,South,16.49,70.26,393.9,-0.04,56.31
2011-02-26,West,15.99,90.37,392.36,0.3,56.11
2011-02-27,South,10.13,56.38,393.96,0.47,65.3
2011-02-28,South,16.36,70.15,393.59,0.19,63.77
2011-03-01,East,11.88,60.41,396.32,0.16,59.49
2011-03-02,South,12.66,35.33,394.57,-0.22,61.6
2011-03-03,North,11.95,3.61,391.08,0.62,56.36
2011-03-04,Central,10.95,70.78,391.95,0.16,69.82
2011-03-05,Central,23.71,64.35,393.94,0.38,89.66
2011-03-06,West,20.54,44.55,392.47,0.42,54.5
2011-03-07,South,22.9,19.52,389.42,0.03,69.73
2011-03-08,North,10.32,75.74,395.9,0.16,65.54
2011-03-09,West,15.5,53.35,394.97,0.62,73.02
2011-03-10,East,10.04,73.92,394.68,-0.12,73.36
2011-03-11,West,12.43,106.6,393.0,0.86,67.46
2011-03-12,West,11.55,6.46,394.56,-0.01,64.52
2011-03-13,South,20.18,42.51,392.87,-0.14,59.79
2011-03-14,East,13.63,54.77,394.24,0.26,55.82
2011-03-15,West,19.49,96.37,392.56,0.88,63.84
2011-03-16,North,17.64,19.09,396.23,-0.35,49.58
2011-03-17,North,24.43,108.4,391.61,0.18,57.87
2011-03-18,Central,9.3,63.4,395.82,0.36,78.28
2011-03-19,East,20.26,57.6,394.04,0.23,66.18
2011-03-20,East,19.81,55.05,393.25,0.34,75.71
2011-03-21,Central,11.33,49.09,394.25,0.01,82.64
2011-03-22,West,19.25,86.2,395.11,0.04,62.88
2011-03-23,East,16.57,33.29,396.06,0.18,67.49
2011-03-24,North,14.31,68.64,394.49,-0.12,61.38
2011-03-25,North,11.93,50.4,392.7,0.21,55.25
2011-03-26,South,12.35,40.95,394.13,0.11,53.56
2011-03-27,East,23.42,124.65,396.78,0.08,75.12
2011-03-28,West,15.23,70.48,396.08,0.32,67.5
2011-03-29,Central,18.35,75.33,395.43,-0.32,87.16
2011-03-30,Central,12.06,88.44,395.27,0.16,76.66
2011-03-31,West,12.11,24.47,395.14,0.92,56.23
2011-04-01,South,19.56,103.81,395.83,-0.1,75.08
2011-04-02,Central,9.83,2.72,393.42,0.61,61.34
2011-04-03,East,13.57,40.78,392.08,0.24,79.6
2011-04-04,South,15.37,48.52,394.23,0.05,59.16
2011-04-05,East,15.68,74.54,392.91,-0.17,52.37
2011-04-06,North,14.51,65.47,392.56,0.27,55.45
2011-04-07,South,16.81,55.83,393.07,0.67,56.06
2011-04-08,Central,18.0,59.7,397.89,0.11,54.92
2011-04-09,South,18.17,35.55,394.37,0.21,58.13
2011-04-10,South,11.29,22.57,394.72,0.54,75.28
2011-04-11,South,14.1,78.16,392.35,0.33,86.55
2011-04-12,South,20.01,77.34,391.43,-0.24,49.04
2011-04-13,East,18.81,99.61,392.98,0.26,80.16
2011-04-14,North,9.74,40.25,396.37,0.69,59.27
2011-04-15,West,16.64,77.32,394.72,0.22,69.17
2011-04-16,South,7.32,52.91,395.13,-0.59,45.15
