Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Overall_Impact,Age_Group,Usage_to_Sleep_Ratio,Wellbeing_Index,Is_Heavy_User,Sleep_Deficit
483,22,Male,High School,Australia,7.4,Twitter,Yes,5.7,4.8,Negative,Young Adult,1.3,3.51,Yes,Yes
512,21,Male,Undergraduate,Other,3.6,LinkedIn,No,8.7,8.8,Positive,Young Adult,0.41,8.55,No,No
147,21,Female,Graduate,UK,4.5,LinkedIn,Yes,6.6,6.5,Neutral,Young Adult,0.68,5.85,No,Yes
603,22,Male,Graduate,Other,5.8,Twitter,No,4.8,5.4,Negative,Young Adult,1.21,3.9,Yes,Yes
102,23,Male,Graduate,UK,6.0,TikTok,No,4.8,5.5,Negative,Adult,1.25,3.9,Yes,Yes
654,24,Female,High School,Other,3.0,TikTok,No,7.9,8.0,Positive,Adult,0.38,7.85,No,No
614,19,Male,High School,Other,2.8,Instagram,No,8.5,7.6,Positive,Young Adult,0.33,7.97,No,No
552,24,Male,Undergraduate,Other,1.6,Instagram,No,7.6,8.7,Positive,Adult,0.21,8.54,No,No
441,22,Female,Graduate,Other,6.2,YouTube,Yes,5.5,5.5,Negative,Young Adult,1.13,4.19,Yes,Yes
847,21,Male,Undergraduate,Other,1.6,TikTok,No,7.9,8.1,Positive,Young Adult,0.2,8.33,No,No
23,24,Female,High School,Other,6.9,Twitter,Yes,5.2,4.7,Negative,Adult,1.33,3.35,Yes,Yes
46,20,Female,High School,India,6.6,Snapchat,Yes,5.8,4.0,Negative,Young Adult,1.14,3.32,Yes,Yes
620,22,Male,High School,Other,7.8,Snapchat,Yes,5.9,5.9,Negative,Young Adult,1.32,4.15,Yes,Yes
845,19,Female,High School,Other,4.9,LinkedIn,No,7.0,6.7,Neutral,Young Adult,0.7,6.05,No,No
434,24,Female,High School,Other,8.4,Instagram,No,5.2,4.2,Negative,Adult,1.62,2.6,Yes,Yes
933,21,Male,Undergraduate,Other,5.3,Snapchat,Yes,6.4,6.2,Neutral,Young Adult,0.83,5.33,Yes,Yes
7,19,Female,Graduate,Other,2.8,Instagram,No,7.8,7.8,Positive,Young Adult,0.36,7.74,No,No
30,23,Female,High School,Other,4.5,YouTube,No,7.2,6.2,Neutral,Adult,0.62,5.97,No,No
395,20,Female,Undergraduate,Other,4.2,Snapchat,No,7.4,6.9,Positive,Young Adult,0.57,6.58,No,No
425,23,Male,High School,Other,6.4,TikTok,Yes,5.2,4.6,Negative,Adult,1.23,3.44,Yes,Yes
865,22,Male,Undergraduate,UK,8.4,Facebook,Yes,4.6,4.1,Negative,Young Adult,1.83,2.24,Yes,Yes
776,22,Male,Undergraduate,Other,4.7,Twitter,No,6.4,6.8,Neutral,Young Adult,0.73,5.87,No,Yes
867,19,Male,Graduate,Other,2.6,YouTube,No,7.5,8.3,Positive,Young Adult,0.35,7.95,No,No
295,22,Male,High School,Other,6.5,Facebook,No,5.8,5.7,Negative,Young Adult,1.12,4.37,Yes,Yes
786,24,Female,Graduate,Australia,7.5,YouTube,Yes,4.5,5.4,Negative,Adult,1.67,3.24,Yes,Yes
809,24,Male,Graduate,Other,3.2,LinkedIn,No,7.2,8.5,Positive,Adult,0.44,7.74,No,No
156,23,Male,Undergraduate,Germany,7.0,Facebook,Yes,5.7,5.1,Negative,Adult,1.23,3.81,Yes,Yes
778,18,Female,High School,USA,5.7,Instagram,No,5.0,4.9,Negative,Teen,1.14,3.73,Yes,Yes
814,23,Female,Undergraduate,Other,4.8,Instagram,Yes,6.1,6.6,Neutral,Adult,0.79,5.57,No,Yes
100,22,Male,Graduate,Other,6.1,Twitter,No,5.9,7.0,Neutral,Young Adult,1.03,5.32,Yes,Yes
732,18,Male,High School,Other,7.3,YouTube,Yes,5.0,4.6,Negative,Teen,1.46,3.07,Yes,Yes
43,18,Male,Undergraduate,India,8.3,TikTok,Yes,6.0,5.4,Negative,Teen,1.38,3.75,Yes,Yes
708,19,Male,Undergraduate,India,8.0,Instagram,Yes,4.6,4.3,Negative,Young Adult,1.74,2.48,Yes,Yes
337,22,Female,Undergraduate,Other,3.7,LinkedIn,No,8.6,8.7,Positive,Young Adult,0.43,8.41,No,No
904,20,Male,High School,Canada,5.8,Twitter,Yes,5.6,5.5,Negative,Young Adult,1.04,4.36,Yes,Yes
201,21,Female,Undergraduate,USA,7.9,Snapchat,Yes,5.9,5.1,Negative,Young Adult,1.34,3.64,Yes,Yes
790,23,Male,High School,India,5.8,Snapchat,No,5.9,5.2,Negative,Adult,0.98,4.33,Yes,Yes
335,18,Male,Undergraduate,Australia,8.0,TikTok,No,4.5,5.9,Negative,Teen,1.78,3.39,Yes,Yes
230,23,Male,Undergraduate,UK,3.8,Instagram,No,8.4,7.1,Positive,Adult,0.45,7.32,No,No
4,20,Male,Undergraduate,Other,3.3,Facebook,Yes,8.5,8.7,Positive,Young Adult,0.39,8.48,No,No
161,23,Female,Graduate,Australia,3.3,Facebook,Yes,8.7,8.3,Positive,Adult,0.38,8.34,No,No
73,18,Female,Undergraduate,Canada,3.0,Snapchat,No,7.8,7.4,Positive,Teen,0.38,7.44,No,No
489,21,Male,Graduate,Other,8.0,LinkedIn,Yes,6.2,5.3,Negative,Young Adult,1.29,3.88,Yes,Yes
679,20,Male,Graduate,USA,4.1,LinkedIn,No,7.2,6.8,Neutral,Young Adult,0.57,6.45,No,No
118,18,Female,High School,Other,3.5,TikTok,No,6.9,6.5,Neutral,Teen,0.51,6.3,No,Yes
130,21,Male,High School,Other,5.9,Facebook,No,5.8,6.8,Neutral,Young Adult,1.02,5.21,Yes,Yes
970,22,Male,High School,Germany,5.6,YouTube,Yes,5.4,5.6,Negative,Young Adult,1.04,4.38,Yes,Yes
220,22,Male,Graduate,Canada,3.6,YouTube,No,7.3,8.0,Positive,Young Adult,0.49,7.37,No,No
209,20,Male,Undergraduate,Other,3.7,Facebook,No,7.6,8.6,Positive,Young Adult,0.49,7.85,No,No
188,21,Female,Graduate,Other,5.7,Facebook,Yes,5.9,5.1,Negative,Young Adult,0.97,4.3,Yes,Yes
706,18,Male,Undergraduate,Other,3.6,Snapchat,Yes,7.3,6.8,Positive,Teen,0.49,6.65,No,No
328,20,Female,High School,Other,2.9,LinkedIn,No,8.4,8.4,Positive,Young Adult,0.35,8.37,No,No
662,21,Male,High School,India,4.6,LinkedIn,Yes,7.5,7.0,Neutral,Young Adult,0.61,6.57,No,No
400,21,Male,High School,Other,4.1,Snapchat,Yes,7.2,6.0,Neutral,Young Adult,0.57,5.97,No,No
931,20,Male,Undergraduate,Other,2.9,Twitter,No,8.4,7.6,Positive,Young Adult,0.35,7.89,No,No
752,23,Male,Undergraduate,Other,5.0,Twitter,No,6.8,6.9,Neutral,Adult,0.74,6.04,No,Yes
542,21,Male,Undergraduate,Other,6.5,Instagram,Yes,5.6,4.1,Negative,Young Adult,1.16,3.31,Yes,Yes
570,22,Female,High School,UK,3.3,Instagram,Yes,7.0,6.1,Neutral,Young Adult,0.47,6.17,No,No
369,18,Male,Graduate,Other,6.9,LinkedIn,Yes,5.7,4.7,Negative,Teen,1.21,3.6,Yes,Yes
48,23,Female,Graduate,Other,2.3,TikTok,No,8.2,8.7,Positive,Adult,0.28,8.63,No,No
444,19,Male,Undergraduate,Other,3.0,Snapchat,No,7.8,9.0,Positive,Young Adult,0.38,8.4,No,No
352,22,Male,Graduate,Other,6.2,Instagram,Yes,4.7,5.8,Negative,Young Adult,1.32,3.97,Yes,Yes
644,24,Female,Graduate,Australia,3.8,Instagram,No,7.3,6.4,Neutral,Adult,0.52,6.35,No,No
296,20,Female,Graduate,Other,7.5,Instagram,Yes,4.7,4.6,Negative,Young Adult,1.6,2.86,Yes,Yes
866,20,Male,Graduate,India,3.6,Instagram,No,8.2,8.0,Positive,Young Adult,0.44,7.82,No,No
183,21,Female,Undergraduate,Other,8.6,TikTok,No,5.2,5.7,Negative,Young Adult,1.65,3.44,Yes,Yes
557,24,Female,Undergraduate,Other,6.0,Twitter,Yes,4.9,4.0,Negative,Adult,1.22,3.05,Yes,Yes
971,22,Male,High School,Australia,6.1,YouTube,Yes,6.8,7.0,Neutral,Young Adult,0.9,5.77,Yes,Yes
458,23,Male,Undergraduate,Other,3.4,TikTok,Yes,8.4,7.5,Positive,Adult,0.4,7.68,No,No
864,21,Male,Undergraduate,Other,3.3,LinkedIn,No,8.6,8.5,Positive,Young Adult,0.38,8.41,No,No
504,19,Female,Undergraduate,Canada,4.3,Instagram,Yes,6.1,6.5,Neutral,Young Adult,0.7,5.66,No,Yes
987,21,Female,Graduate,Other,5.7,Instagram,Yes,5.4,5.3,Negative,Young Adult,1.06,4.17,Yes,Yes
419,21,Female,Undergraduate,Other,3.9,Facebook,No,7.3,9.2,Positive,Young Adult,0.53,8.0,No,No
869,18,Male,Undergraduate,UK,7.2,LinkedIn,No,5.3,4.1,Negative,Teen,1.36,2.95,Yes,Yes
117,21,Female,High School,Other,8.2,YouTube,Yes,5.2,4.1,Negative,Young Adult,1.58,2.6,Yes,Yes
800,20,Female,High School,India,5.1,LinkedIn,No,6.3,6.1,Neutral,Young Adult,0.81,5.28,Yes,Yes
6,24,Female,Undergraduate,India,3.3,YouTube,No,7.9,7.5,Positive,Adult,0.42,7.46,No,No
558,22,Female,High School,Other,7.8,Instagram,Yes,4.9,4.0,Negative,Young Adult,1.59,2.51,Yes,Yes
983,18,Male,High School,Other,3.7,LinkedIn,Yes,6.8,7.0,Neutral,Teen,0.54,6.49,No,Yes
79,18,Female,Graduate,Other,3.1,Instagram,No,8.3,8.6,Positive,Teen,0.37,8.38,No,No
225,21,Male,High School,Other,5.4,Twitter,Yes,7.3,6.6,Neutral,Young Adult,0.74,5.99,Yes,No
3,23,Female,High School,USA,3.7,Instagram,No,7.4,7.2,Positive,Adult,0.5,6.91,No,No
634,24,Male,High School,Other,3.9,Instagram,No,7.4,8.7,Positive,Adult,0.53,7.75,No,No
712,22,Female,High School,Other,1.8,Twitter,No,8.8,8.7,Positive,Young Adult,0.2,9.08,No,No
656,21,Female,Undergraduate,Germany,4.4,Facebook,Yes,6.4,6.6,Neutral,Young Adult,0.69,5.84,No,Yes
873,18,Female,Graduate,UK,4.1,LinkedIn,No,6.9,6.0,Neutral,Teen,0.59,5.82,No,Yes
975,20,Male,Undergraduate,Other,5.4,YouTube,Yes,5.3,5.4,Negative,Young Adult,1.02,4.27,Yes,Yes
469,22,Female,High School,Other,3.2,YouTube,No,8.2,7.4,Positive,Young Adult,0.39,7.58,No,No
421,21,Female,Undergraduate,UK,6.3,Snapchat,Yes,4.6,3.9,Negative,Young Adult,1.37,2.75,Yes,Yes
325,18,Female,Graduate,Australia,5.1,TikTok,Yes,7.0,6.4,Neutral,Teen,0.73,5.81,Yes,No
76,18,Female,Undergraduate,Other,5.6,LinkedIn,Yes,6.0,5.5,Negative,Teen,0.93,4.62,Yes,Yes
371,24,Male,Undergraduate,Other,6.3,TikTok,Yes,5.5,5.4,Negative,Adult,1.15,4.1,Yes,Yes
617,23,Female,High School,Other,5.9,Snapchat,No,6.8,6.1,Neutral,Adult,0.87,5.29,Yes,Yes
101,23,Male,Undergraduate,Canada,2.6,Twitter,Yes,7.9,8.2,Positive,Adult,0.33,8.09,No,No
831,18,Female,Undergraduate,Other,6.3,YouTube,No,5.5,4.3,Negative,Teen,1.15,3.44,Yes,Yes
900,23,Female,Undergraduate,Australia,4.7,Snapchat,Yes,7.0,6.6,Neutral,Adult,0.67,6.05,No,No
828,18,Female,Undergraduate,USA,7.0,TikTok,No,5.0,5.3,Negative,Teen,1.4,3.58,Yes,Yes
312,18,Male,Undergraduate,Other,1.8,Twitter,No,7.9,8.0,Positive,Teen,0.23,8.21,No,No
583,18,Male,High School,Other,3.8,Instagram,No,6.4,6.4,Neutral,Teen,0.59,5.9,No,Yes
285,18,Male,Graduate,Other,7.8,TikTok,Yes,5.9,4.5,Negative,Teen,1.32,3.31,Yes,Yes
267,22,Male,Undergraduate,India,4.6,Snapchat,Yes,6.6,7.0,Neutral,Young Adult,0.7,6.12,No,Yes
460,20,Female,Undergraduate,Other,8.2,Twitter,Yes,5.8,4.7,Negative,Young Adult,1.41,3.26,Yes,Yes
248,21,Female,Undergraduate,Other,8.3,TikTok,No,5.9,5.0,Negative,Young Adult,1.41,3.46,Yes,Yes
652,22,Female,Undergraduate,Other,4.0,TikTok,Yes,7.2,6.7,Neutral,Young Adult,0.56,6.42,No,No
385,23,Female,Graduate,Other,7.4,TikTok,Yes,5.6,5.8,Negative,Adult,1.32,4.06,Yes,Yes
909,24,Female,Undergraduate,Other,2.7,Twitter,Yes,7.5,8.1,Positive,Adult,0.36,7.8,No,No
422,18,Male,Undergraduate,Other,1.9,Twitter,No,9.0,8.7,Positive,Teen,0.21,9.15,No,No
767,23,Female,Undergraduate,Other,6.2,Snapchat,Yes,5.5,5.9,Negative,Adult,1.13,4.43,Yes,Yes
950,19,Male,Undergraduate,Other,3.5,YouTube,No,8.7,7.7,Positive,Young Adult,0.4,7.92,No,No
16,24,Male,High School,Other,5.9,Facebook,Yes,6.9,6.6,Neutral,Adult,0.86,5.64,Yes,Yes
546,24,Female,Graduate,Other,3.7,Facebook,No,7.3,6.3,Neutral,Adult,0.51,6.32,No,No
199,21,Male,High School,Other,3.7,TikTok,No,7.4,7.7,Positive,Young Adult,0.5,7.21,No,No
496,18,Female,Graduate,Other,6.6,Facebook,No,4.6,4.8,Negative,Teen,1.43,3.2,Yes,Yes
364,24,Female,Undergraduate,Other,7.9,YouTube,Yes,5.4,5.5,Negative,Adult,1.46,3.63,Yes,Yes
587,22,Male,Graduate,USA,4.0,TikTok,No,7.1,7.4,Positive,Young Adult,0.56,6.79,No,No
838,18,Male,High School,Other,3.7,LinkedIn,Yes,6.8,6.1,Neutral,Teen,0.54,5.95,No,Yes
155,19,Male,Undergraduate,India,5.6,Facebook,Yes,7.3,6.1,Neutral,Young Adult,0.77,5.63,Yes,No
956,18,Female,Undergraduate,USA,3.2,Facebook,No,8.1,9.0,Positive,Teen,0.4,8.49,No,No
632,21,Female,Undergraduate,Other,3.2,Facebook,No,8.1,8.7,Positive,Young Adult,0.4,8.31,No,No
897,20,Male,Undergraduate,Other,1.8,Snapchat,No,8.5,7.7,Positive,Young Adult,0.21,8.33,No,No
457,23,Female,Graduate,Canada,5.5,Snapchat,Yes,6.9,6.4,Neutral,Adult,0.8,5.64,Yes,Yes
358,20,Female,High School,Other,5.9,YouTube,Yes,4.8,5.1,Negative,Young Adult,1.23,3.69,Yes,Yes
842,20,Male,High School,Australia,3.4,LinkedIn,No,8.9,7.8,Positive,Young Adult,0.38,8.11,No,No
432,24,Male,Undergraduate,Other,7.2,Snapchat,Yes,4.9,5.3,Negative,Adult,1.47,3.47,Yes,Yes
688,18,Male,Graduate,Other,1.8,Snapchat,No,8.0,8.5,Positive,Teen,0.22,8.56,No,No
777,24,Female,High School,Other,3.4,YouTube,No,8.1,8.3,Positive,Adult,0.42,8.01,No,No
982,22,Female,Undergraduate,Other,3.0,Twitter,No,7.5,8.5,Positive,Young Adult,0.4,7.95,No,No
548,20,Female,Undergraduate,USA,5.2,Twitter,Yes,6.5,7.0,Neutral,Young Adult,0.8,5.89,Yes,Yes
15,23,Female,Undergraduate,Other,5.7,Instagram,No,6.1,6.3,Neutral,Adult,0.93,5.12,Yes,Yes
815,19,Male,Undergraduate,Australia,4.1,Instagram,Yes,6.7,6.5,Neutral,Young Adult,0.61,6.02,No,Yes
914,20,Female,Undergraduate,Other,2.6,TikTok,Yes,7.7,8.4,Positive,Young Adult,0.34,8.11,No,No
375,22,Female,Graduate,Other,5.8,YouTube,Yes,6.0,4.8,Negative,Young Adult,0.97,4.14,Yes,Yes
859,20,Male,High School,Other,2.6,LinkedIn,No,7.5,8.3,Positive,Young Adult,0.35,7.95,No,No
834,19,Female,Graduate,Australia,6.5,TikTok,Yes,5.5,4.3,Negative,Young Adult,1.18,3.38,Yes,Yes
965,20,Male,Undergraduate,Other,7.8,Twitter,Yes,5.2,5.3,Negative,Young Adult,1.5,3.44,Yes,Yes
678,20,Male,Graduate,USA,6.4,Twitter,Yes,4.5,4.2,Negative,Young Adult,1.42,2.85,Yes,Yes
791,22,Female,Graduate,India,2.8,YouTube,Yes,8.9,7.1,Positive,Young Adult,0.31,7.87,No,No
377,24,Female,Undergraduate,Other,1.4,Facebook,Yes,7.2,7.5,Positive,Adult,0.19,7.68,No,No
368,19,Female,Undergraduate,Other,8.2,TikTok,Yes,5.6,5.4,Negative,Young Adult,1.46,3.58,Yes,Yes
193,21,Female,High School,Other,2.6,Snapchat,Yes,7.6,7.6,Positive,Young Adult,0.34,7.58,No,No
782,18,Male,High School,Other,2.5,Snapchat,No,8.6,7.6,Positive,Teen,0.29,8.11,No,No
442,23,Female,Undergraduate,Other,2.4,Snapchat,Yes,7.6,7.7,Positive,Adult,0.32,7.7,No,No
722,23,Female,High School,Other,6.7,TikTok,Yes,6.1,4.9,Negative,Adult,1.1,3.98,Yes,Yes
674,22,Male,Undergraduate,USA,3.7,YouTube,No,7.9,7.2,Positive,Young Adult,0.47,7.16,No,No
174,21,Female,Graduate,USA,5.8,LinkedIn,No,7.1,6.5,Neutral,Young Adult,0.82,5.71,Yes,No
374,20,Male,Undergraduate,Other,8.2,LinkedIn,Yes,6.0,5.6,Negative,Young Adult,1.37,3.9,Yes,Yes
348,22,Male,High School,Other,4.3,Facebook,Yes,6.0,6.3,Neutral,Young Adult,0.72,5.49,No,Yes
730,18,Female,Graduate,Other,5.7,Twitter,Yes,4.8,5.9,Negative,Teen,1.19,4.23,Yes,Yes
281,20,Male,High School,Other,3.6,TikTok,No,7.7,7.8,Positive,Young Adult,0.47,7.45,No,No
957,23,Female,Graduate,Other,3.1,YouTube,Yes,7.2,8.5,Positive,Adult,0.43,7.77,No,No
819,19,Male,Undergraduate,USA,6.8,TikTok,Yes,5.8,5.0,Negative,Young Adult,1.17,3.86,Yes,Yes
27,24,Male,Undergraduate,India,7.8,Twitter,Yes,5.1,5.4,Negative,Adult,1.53,3.45,Yes,Yes
639,18,Male,Undergraduate,Other,7.2,LinkedIn,Yes,5.3,4.2,Negative,Teen,1.36,3.01,Yes,Yes
826,19,Female,High School,Other,2.6,Twitter,No,7.5,8.2,Positive,Young Adult,0.35,7.89,No,No
723,19,Male,Graduate,Canada,2.7,TikTok,No,8.5,8.2,Positive,Young Adult,0.32,8.36,No,No
206,24,Male,Graduate,India,2.4,Twitter,No,8.4,9.0,Positive,Adult,0.29,8.88,No,No
28,21,Male,Undergraduate,Other,5.9,Twitter,Yes,7.1,6.2,Neutral,Young Adult,0.83,5.5,Yes,No
728,19,Female,High School,Other,7.8,Snapchat,Yes,5.6,5.2,Negative,Young Adult,1.39,3.58,Yes,Yes
594,19,Female,High School,Other,4.8,Snapchat,No,6.1,6.2,Neutral,Young Adult,0.79,5.33,No,Yes
153,21,Male,Graduate,Other,6.0,YouTube,No,7.0,6.2,Neutral,Young Adult,0.86,5.42,Yes,No
784,18,Male,High School,Other,7.6,LinkedIn,Yes,5.0,5.4,Negative,Teen,1.52,3.46,Yes,Yes
913,18,Male,Graduate,Canada,6.3,LinkedIn,Yes,6.0,6.2,Negative,Teen,1.05,4.83,Yes,Yes
11,19,Male,Graduate,Other,5.4,YouTube,No,6.8,6.6,Neutral,Young Adult,0.79,5.74,Yes,Yes
451,23,Female,Undergraduate,Other,1.5,TikTok,Yes,8.8,8.8,Positive,Adult,0.17,9.23,No,No
985,20,Male,High School,Other,6.5,LinkedIn,Yes,4.4,4.8,Negative,Young Adult,1.48,3.13,Yes,Yes
724,20,Female,Undergraduate,Other,8.1,Twitter,Yes,5.0,5.7,Negative,Young Adult,1.62,3.49,Yes,Yes
239,23,Male,High School,Other,6.1,LinkedIn,Yes,6.1,4.7,Negative,Adult,1.0,4.04,Yes,Yes
160,22,Male,Undergraduate,Other,6.0,LinkedIn,No,7.2,7.0,Neutral,Young Adult,0.83,6.0,Yes,No
793,19,Female,Undergraduate,Other,4.8,Twitter,Yes,6.8,6.5,Neutral,Young Adult,0.71,5.86,No,Yes
389,24,Male,Graduate,Other,3.9,Twitter,Yes,6.3,6.2,Neutral,Adult,0.62,5.7,No,Yes
437,20,Male,Graduate,India,5.5,YouTube,Yes,5.2,4.3,Negative,Young Adult,1.06,3.53,Yes,Yes
935,20,Female,Graduate,UK,6.5,Facebook,Yes,5.5,4.6,Negative,Young Adult,1.18,3.56,Yes,Yes
321,20,Male,Undergraduate,USA,8.5,Instagram,Yes,5.0,5.8,Negative,Young Adult,1.7,3.43,Yes,Yes
186,20,Male,Graduate,Other,7.1,Instagram,Yes,6.0,4.5,Negative,Young Adult,1.18,3.57,Yes,Yes
123,18,Male,Graduate,Other,2.8,Facebook,No,8.4,7.9,Positive,Teen,0.33,8.1,No,No
198,22,Male,Graduate,Other,8.4,Instagram,No,6.0,5.3,Negative,Young Adult,1.4,3.66,Yes,Yes
111,24,Female,Graduate,Other,3.6,Twitter,No,7.5,7.3,Positive,Adult,0.48,7.05,No,No
