listener_id,age,country,platform,subscription,top_genre,top_artist,daily_listening_minutes,songs_per_day,playlists_count,skip_rate_pct,discover_weekly_user,top_mood,uses_offline_mode,podcasts_too
53,14,Australia,Spotify,Free,Pop,Taylor Swift,156,35,6,19.9,True,Focus,False,True
54,42,India,Spotify,Free,EDM,Drake,60,22,9,15.6,True,Chill,False,False
55,31,Germany,Apple Music,Student,EDM,Kendrick Lamar,89,30,15,40.8,False,Workout,False,True
56,43,France,Apple Music,Student,Pop,Kendrick Lamar,267,72,8,32.5,False,Sleep,False,True
57,22,Canada,Apple Music,Premium,Pop,Bad Bunny,145,35,3,27.2,False,Focus,True,True
58,13,India,Spotify,Premium,K-Pop,Billie Eilish,118,44,9,39.1,False,Party,False,True
59,35,Canada,YouTube Music,Student,EDM,Burna Boy,63,23,6,40.0,True,Chill,False,False
60,44,Japan,Apple Music,Free,Hip-Hop,Olivia Rodrigo,151,42,6,20.2,False,Energetic,False,False
61,17,USA,SoundCloud,Free,Afrobeats,BTS,208,65,12,34.1,True,Happy,True,False
62,21,Nigeria,Apple Music,Free,Lo-fi,Billie Eilish,62,13,13,32.6,False,Party,True,False
63,34,Canada,Spotify,Student,Afrobeats,Burna Boy,53,22,10,15.3,True,Energetic,True,False
64,29,Canada,Spotify,Free,Country,The Weeknd,91,23,13,27.7,True,Focus,False,True
65,25,Nigeria,Spotify,Premium,Jazz,Travis Scott,217,66,9,21.3,True,Energetic,True,True
66,30,USA,YouTube Music,Premium,Hip-Hop,Ariana Grande,131,35,10,23.1,True,Chill,False,False
67,26,India,Spotify,Student,Pop,Ariana Grande,115,28,10,4.9,False,Happy,False,False
68,39,Canada,Amazon Music,Premium,Hip-Hop,Burna Boy,254,77,15,19.5,True,Chill,True,False
69,22,Australia,Spotify,Free,Rock,Dua Lipa,245,64,8,43.2,False,Workout,False,True
70,34,Brazil,SoundCloud,Free,EDM,Ariana Grande,79,23,9,21.1,True,Happy,False,False
71,14,USA,Spotify,Student,Jazz,Taylor Swift,240,75,6,33.3,True,Happy,False,False
72,24,USA,YouTube Music,Free,Pop,Bad Bunny,73,24,12,35.4,False,Sad,True,False
73,15,Nigeria,Apple Music,Free,Pop,Tyler the Creator,190,47,12,43.8,True,Chill,True,False
74,35,Germany,YouTube Music,Free,Rock,Kendrick Lamar,36,15,9,35.9,True,Sad,False,True
75,33,Japan,Spotify,Premium,Pop,Taylor Swift,106,34,9,24.4,False,Party,True,False
76,39,Canada,SoundCloud,Free,Hip-Hop,The Weeknd,73,15,9,13.8,True,Energetic,False,True
77,43,UK,YouTube Music,Family,EDM,BTS,55,10,7,32.1,True,Happy,False,False
78,22,Japan,YouTube Music,Student,EDM,Travis Scott,76,23,14,21.7,False,Party,True,False
79,23,Brazil,Apple Music,Premium,R&B,Bad Bunny,226,61,10,39.6,True,Sleep,True,True
80,13,France,SoundCloud,Free,Indie,Travis Scott,72,12,7,12.1,False,Sad,False,True
81,27,France,Spotify,Free,Rock,Olivia Rodrigo,98,23,6,22.0,True,Sad,True,True
82,35,India,Spotify,Premium,Rock,Travis Scott,130,36,10,42.8,False,Party,False,True
83,20,Australia,Spotify,Premium,Afrobeats,Burna Boy,98,32,14,29.5,False,Party,False,True
84,20,Germany,Apple Music,Free,Rock,Travis Scott,103,30,3,23.4,True,Party,True,True
85,20,Nigeria,Spotify,Premium,Indie,SZA,132,27,8,28.1,False,Party,True,False
86,26,Germany,SoundCloud,Free,Classical,Kendrick Lamar,16,3,5,20.9,False,Chill,True,False
87,39,UK,Spotify,Free,Pop,SZA,103,30,9,13.2,True,Happy,False,True
88,35,Canada,Amazon Music,Family,Rock,Taylor Swift,181,57,10,7.3,True,Chill,False,False
89,41,Japan,YouTube Music,Family,Indie,Drake,133,35,5,26.1,True,Focus,False,False
90,16,France,Tidal,Free,Jazz,Taylor Swift,57,18,11,30.9,True,Chill,False,False
91,21,UK,Spotify,Premium,Pop,Bad Bunny,109,33,10,31.5,False,Sleep,False,True
92,31,Australia,YouTube Music,Premium,Jazz,Dua Lipa,55,12,9,47.5,False,Party,True,True
93,20,Germany,Spotify,Free,Country,Tyler the Creator,374,104,12,24.9,False,Sleep,True,True
94,28,Japan,Spotify,Student,Pop,BTS,265,79,11,30.3,True,Energetic,True,False
95,32,Germany,Amazon Music,Free,Rock,BTS,60,12,4,1.6,True,Sleep,True,False
96,33,India,Spotify,Premium,Lo-fi,Ariana Grande,37,7,7,21.1,False,Sad,True,True
97,27,Nigeria,Spotify,Premium,R&B,Bad Bunny,74,27,12,23.8,False,Party,False,True
98,19,USA,Spotify,Free,Indie,Kendrick Lamar,144,42,12,39.5,True,Workout,False,True
99,18,Brazil,Spotify,Family,Hip-Hop,Dua Lipa,6,3,5,31.3,True,Energetic,False,False
100,21,Brazil,Apple Music,Free,Afrobeats,Olivia Rodrigo,109,20,10,28.1,False,Party,True,False
101,40,India,Spotify,Free,Rock,Ariana Grande,108,33,10,19.7,False,Happy,False,False
102,41,France,Spotify,Premium,EDM,Tyler the Creator,176,46,4,24.0,False,Sleep,False,False
103,41,Canada,Apple Music,Premium,EDM,Dua Lipa,228,60,15,24.7,False,Party,False,False
104,25,Canada,Spotify,Student,Rock,Tyler the Creator,70,22,7,31.1,False,Sad,True,True
105,13,USA,YouTube Music,Family,Classical,Ariana Grande,164,46,7,42.2,False,Focus,True,False
106,25,Brazil,YouTube Music,Free,Indie,Tyler the Creator,142,40,6,13.8,False,Energetic,False,True
107,23,Nigeria,Spotify,Premium,Rock,Billie Eilish,146,38,4,32.1,False,Energetic,False,True
108,37,Brazil,YouTube Music,Free,Rock,The Weeknd,323,101,10,34.9,True,Sleep,False,False
109,40,France,Amazon Music,Premium,Classical,Dua Lipa,28,11,8,23.4,True,Sad,False,False
110,14,Germany,Apple Music,Family,Classical,Bad Bunny,149,42,10,21.0,False,Workout,True,False
111,25,Canada,Apple Music,Premium,K-Pop,Bad Bunny,277,90,10,32.2,False,Sleep,False,True
112,42,Canada,Spotify,Free,Pop,Olivia Rodrigo,180,50,11,24.9,True,Energetic,True,False
113,22,Canada,Spotify,Free,Rock,Bad Bunny,106,36,14,48.9,True,Energetic,False,False
114,29,USA,YouTube Music,Family,Indie,Burna Boy,64,19,10,7.6,False,Chill,False,True
115,36,Canada,Spotify,Student,Jazz,Kendrick Lamar,69,21,5,23.7,False,Party,True,False
116,35,Brazil,Spotify,Free,Pop,Burna Boy,105,29,4,25.0,False,Workout,True,True
117,32,Canada,SoundCloud,Free,Afrobeats,Burna Boy,204,57,12,31.5,False,Chill,True,True
118,24,Japan,Apple Music,Family,R&B,Tyler the Creator,39,11,18,47.6,True,Happy,True,False
119,34,Nigeria,YouTube Music,Free,K-Pop,Tyler the Creator,257,69,9,37.6,False,Party,False,False
120,17,UK,Spotify,Free,K-Pop,SZA,85,22,6,26.6,True,Workout,False,True
121,43,UK,Spotify,Free,Lo-fi,Tyler the Creator,73,24,13,25.4,True,Party,False,False
122,33,Nigeria,SoundCloud,Free,Classical,Travis Scott,105,34,10,25.9,False,Energetic,True,True
123,25,USA,YouTube Music,Student,Hip-Hop,BTS,246,74,5,37.7,False,Chill,False,False
124,27,France,SoundCloud,Premium,Pop,SZA,28,8,8,6.8,False,Happy,False,False
125,15,India,Apple Music,Free,R&B,Taylor Swift,162,51,10,33.4,True,Sleep,False,True
126,30,France,Tidal,Student,Pop,Tyler the Creator,92,25,10,33.6,True,Focus,False,True
127,26,India,Apple Music,Premium,Afrobeats,The Weeknd,302,92,8,38.9,True,Sad,True,False
128,39,UK,Tidal,Free,Hip-Hop,Bad Bunny,25,1,9,27.6,False,Sad,True,False
129,30,Japan,Apple Music,Premium,EDM,Dua Lipa,174,50,7,0.0,False,Energetic,False,True
130,26,Canada,YouTube Music,Student,EDM,Billie Eilish,60,8,13,38.9,False,Happy,False,True
131,39,Japan,Amazon Music,Family,Rock,Olivia Rodrigo,122,39,2,18.4,False,Energetic,False,False
132,28,USA,Spotify,Free,Hip-Hop,Ariana Grande,146,39,9,25.9,True,Sad,False,False
133,29,Canada,Spotify,Free,Rock,Taylor Swift,113,43,9,44.5,True,Party,False,False
134,25,UK,Tidal,Free,Pop,Burna Boy,84,27,10,16.2,False,Happy,False,False
135,23,Nigeria,YouTube Music,Free,Pop,Bad Bunny,209,62,12,21.0,True,Sleep,True,False
136,24,Australia,Spotify,Free,Rock,SZA,277,66,11,15.7,True,Happy,True,True
137,29,Australia,YouTube Music,Premium,Indie,Bad Bunny,50,13,7,30.2,False,Workout,False,False
138,48,India,Amazon Music,Student,Indie,Kendrick Lamar,173,52,9,27.0,True,Workout,True,False
139,24,Japan,YouTube Music,Family,Hip-Hop,Tyler the Creator,355,100,11,33.0,False,Energetic,False,True
140,23,Australia,Spotify,Student,Indie,Olivia Rodrigo,194,54,13,61.9,False,Focus,False,True
141,26,Japan,YouTube Music,Family,Jazz,Tyler the Creator,39,8,12,16.8,False,Sad,False,True
142,34,USA,Spotify,Free,EDM,Burna Boy,96,26,12,32.2,True,Sleep,False,False
143,23,Nigeria,Spotify,Free,Classical,Bad Bunny,56,13,9,36.4,True,Sleep,False,True
144,32,Brazil,Spotify,Free,K-Pop,Kendrick Lamar,141,50,10,33.4,True,Energetic,False,False
145,26,Japan,Spotify,Free,Pop,Travis Scott,73,26,9,31.9,True,Sleep,False,False
146,24,UK,Amazon Music,Premium,Lo-fi,Bad Bunny,535,159,7,31.2,False,Sleep,True,True
147,28,Canada,Spotify,Family,Indie,Bad Bunny,52,4,10,41.0,True,Energetic,False,True
148,22,Japan,YouTube Music,Student,Pop,SZA,20,7,17,19.3,True,Party,False,True
149,28,Brazil,SoundCloud,Free,K-Pop,Taylor Swift,76,11,11,23.6,True,Sad,True,True
150,25,UK,Amazon Music,Free,Rock,Taylor Swift,172,57,7,36.2,False,Sleep,True,True
151,31,Japan,Spotify,Family,Classical,SZA,124,38,9,27.0,False,Sad,True,False
152,24,Germany,Spotify,Student,Hip-Hop,Burna Boy,75,28,9,28.9,True,Focus,False,True
153,47,Nigeria,Apple Music,Premium,Hip-Hop,Burna Boy,248,65,7,34.1,True,Workout,True,False
154,13,USA,Tidal,Family,Lo-fi,SZA,119,36,13,20.5,True,Focus,False,False
155,36,UK,Spotify,Premium,Lo-fi,Drake,61,12,7,34.1,True,Chill,True,True
156,22,Germany,Spotify,Family,Afrobeats,Bad Bunny,171,50,12,12.0,True,Chill,True,True
157,28,Nigeria,Spotify,Free,EDM,BTS,105,26,6,43.6,True,Workout,True,True
158,29,Germany,YouTube Music,Free,K-Pop,Kendrick Lamar,98,31,5,23.2,True,Sad,False,True
159,32,Japan,Tidal,Premium,Hip-Hop,Taylor Swift,230,60,11,24.5,True,Energetic,True,False
160,36,France,Spotify,Premium,Pop,The Weeknd,297,88,15,18.3,True,Energetic,False,False
161,23,Japan,YouTube Music,Student,Lo-fi,Ariana Grande,169,47,9,27.0,True,Chill,True,True
162,24,UK,Amazon Music,Free,Hip-Hop,Olivia Rodrigo,169,46,10,17.3,True,Focus,False,True
163,20,Germany,YouTube Music,Family,Rock,Bad Bunny,319,90,9,55.0,True,Sad,False,False
164,41,Brazil,Tidal,Family,Rock,The Weeknd,106,31,3,23.5,False,Sad,False,False
165,18,Canada,Apple Music,Premium,Rock,Billie Eilish,84,20,7,41.7,False,Focus,True,False
166,34,Germany,Amazon Music,Premium,Lo-fi,The Weeknd,74,30,10,39.2,False,Energetic,False,False
167,19,UK,Spotify,Free,Pop,Burna Boy,192,61,8,41.2,True,Happy,True,False
168,29,Germany,Spotify,Premium,EDM,Olivia Rodrigo,240,66,7,29.1,False,Party,False,False
169,17,Brazil,Spotify,Free,Classical,Drake,117,27,9,8.5,True,Sleep,True,False
170,17,France,Apple Music,Premium,Rock,The Weeknd,40,17,6,13.1,False,Energetic,False,True
171,45,India,Spotify,Free,Afrobeats,BTS,160,41,8,41.9,True,Workout,True,True
172,34,Australia,Spotify,Family,Hip-Hop,Drake,40,7,8,43.5,True,Chill,False,False
173,24,Canada,SoundCloud,Premium,EDM,Bad Bunny,109,34,8,60.3,True,Workout,False,False
174,37,India,Apple Music,Free,EDM,Dua Lipa,191,55,11,29.4,False,Chill,False,True
175,40,Japan,YouTube Music,Premium,Hip-Hop,Ariana Grande,159,44,10,15.3,True,Energetic,True,True
176,37,Canada,Tidal,Family,Pop,Tyler the Creator,42,11,6,26.5,True,Happy,False,False
177,26,Australia,Spotify,Student,R&B,Dua Lipa,127,34,10,11.6,False,Chill,True,True
178,22,Germany,Spotify,Premium,Pop,Bad Bunny,35,11,7,22.6,True,Energetic,True,True
179,32,Canada,SoundCloud,Free,Hip-Hop,Ariana Grande,167,52,12,35.3,False,Happy,False,False
180,20,Brazil,Apple Music,Free,Pop,Billie Eilish,72,20,6,15.2,True,Happy,True,False
181,20,Japan,Tidal,Free,Jazz,Drake,263,75,5,19.8,True,Happy,True,True
182,40,India,Apple Music,Free,R&B,Billie Eilish,116,42,9,44.4,False,Sleep,True,False
183,13,Canada,Spotify,Student,Hip-Hop,Ariana Grande,139,42,10,31.8,True,Party,False,True
184,43,Australia,YouTube Music,Free,Pop,Dua Lipa,200,61,12,37.2,False,Energetic,False,False
185,25,Germany,Spotify,Free,Lo-fi,Drake,118,28,10,28.7,True,Happy,True,False
186,39,France,Spotify,Family,Pop,Taylor Swift,209,69,9,27.4,False,Happy,True,True
187,31,Japan,Spotify,Premium,Indie,Kendrick Lamar,281,78,9,23.2,True,Sad,True,False
188,31,India,YouTube Music,Premium,Hip-Hop,Travis Scott,173,48,11,15.1,False,Workout,False,True
189,33,France,Spotify,Free,Hip-Hop,Kendrick Lamar,422,118,18,29.3,True,Party,True,False
190,25,Germany,Apple Music,Free,Rock,Taylor Swift,189,58,14,41.0,True,Chill,True,True
191,30,USA,Spotify,Free,Pop,SZA,200,58,3,21.4,True,Workout,False,True
192,20,France,SoundCloud,Premium,K-Pop,SZA,232,64,16,24.5,True,Sad,False,False
193,38,Brazil,Spotify,Premium,Hip-Hop,Bad Bunny,107,39,7,45.7,True,Happy,False,True
194,16,Brazil,Spotify,Family,Rock,Bad Bunny,128,40,5,4.8,True,Energetic,True,False
195,40,India,SoundCloud,Premium,Rock,Dua Lipa,185,60,9,20.6,True,Sad,False,False
196,23,Nigeria,SoundCloud,Premium,K-Pop,Burna Boy,255,77,7,18.8,False,Workout,False,False
197,45,Germany,Spotify,Premium,R&B,Kendrick Lamar,169,46,8,26.6,True,Focus,True,False
198,36,France,Apple Music,Family,Hip-Hop,Dua Lipa,133,44,9,14.7,True,Energetic,True,True
199,25,USA,Spotify,Free,Country,The Weeknd,174,47,11,16.6,False,Chill,False,True
200,22,India,YouTube Music,Premium,Country,Tyler the Creator,108,38,7,35.6,True,Chill,False,True
201,18,Canada,Spotify,Premium,K-Pop,Travis Scott,62,23,12,38.4,False,Happy,True,False
202,32,USA,Spotify,Free,K-Pop,Drake,20,7,8,42.3,True,Sleep,False,True
203,43,Nigeria,Spotify,Student,Lo-fi,Burna Boy,151,40,7,11.5,True,Workout,False,True
204,21,Japan,Amazon Music,Student,K-Pop,Taylor Swift,234,62,9,5.6,True,Party,True,False
205,16,Brazil,Apple Music,Free,Lo-fi,Drake,110,31,8,29.3,True,Chill,True,False
206,37,USA,Apple Music,Premium,Pop,Burna Boy,76,18,8,27.7,False,Focus,False,False
207,32,Germany,Spotify,Family,Country,Taylor Swift,71,27,14,26.5,True,Energetic,True,False
208,34,Nigeria,Apple Music,Free,Lo-fi,Kendrick Lamar,117,31,5,27.9,True,Sleep,False,True
209,25,India,YouTube Music,Free,R&B,SZA,26,6,10,37.7,False,Energetic,False,True
210,40,Canada,Spotify,Student,Lo-fi,Bad Bunny,109,31,5,0.0,True,Party,True,True
211,13,Canada,Spotify,Free,Pop,Taylor Swift,148,45,4,30.6,True,Chill,True,True
212,33,Brazil,YouTube Music,Student,Indie,Burna Boy,91,28,8,50.4,True,Focus,False,True
213,31,USA,Apple Music,Premium,Hip-Hop,SZA,63,22,8,41.1,True,Sleep,False,False
214,29,India,YouTube Music,Premium,Classical,Drake,78,20,13,34.7,True,Sad,False,True
215,13,USA,Amazon Music,Premium,Indie,Bad Bunny,135,42,5,25.7,False,Energetic,False,True
216,33,UK,SoundCloud,Family,R&B,Billie Eilish,113,31,6,25.5,True,Chill,True,True
217,40,Australia,SoundCloud,Premium,R&B,Burna Boy,128,32,6,29.7,True,Chill,True,False
218,25,France,Spotify,Free,Hip-Hop,Billie Eilish,115,28,9,29.8,True,Sad,False,True
219,31,USA,Spotify,Premium,Pop,Billie Eilish,86,16,9,35.0,False,Focus,False,False
220,29,Japan,Spotify,Student,Afrobeats,Drake,145,36,8,46.8,True,Sleep,True,False
221,36,Japan,Spotify,Family,Lo-fi,BTS,43,14,7,43.3,False,Sleep,True,False
222,25,France,Tidal,Family,Pop,SZA,60,20,10,33.7,True,Chill,False,False
223,28,USA,Spotify,Free,Indie,Olivia Rodrigo,102,27,13,40.5,True,Party,False,False
224,17,France,Spotify,Family,Country,The Weeknd,168,40,12,11.5,False,Sleep,True,True
225,14,Japan,Spotify,Free,Hip-Hop,Travis Scott,49,16,6,20.8,True,Sad,False,False
226,23,Canada,YouTube Music,Family,Hip-Hop,The Weeknd,122,22,17,33.5,False,Sad,False,False
227,19,Germany,Apple Music,Free,K-Pop,Dua Lipa,83,22,11,13.1,True,Chill,False,True
228,31,Australia,YouTube Music,Student,K-Pop,Drake,63,15,5,33.0,False,Focus,True,True
229,15,Brazil,Amazon Music,Premium,Rock,Olivia Rodrigo,140,37,8,27.2,False,Happy,True,False
230,38,UK,Spotify,Premium,EDM,Drake,131,40,9,10.1,False,Workout,False,True
231,34,Germany,Apple Music,Family,K-Pop,Taylor Swift,103,29,4,14.5,False,Sleep,False,True
232,44,Nigeria,Spotify,Family,Country,Kendrick Lamar,199,53,9,32.8,True,Party,False,False
233,24,Brazil,Spotify,Student,Rock,Drake,233,68,7,39.7,True,Chill,True,True
234,32,Canada,Apple Music,Student,Pop,SZA,166,42,8,26.1,True,Happy,False,True
235,38,Canada,Spotify,Free,Afrobeats,Drake,69,17,13,27.9,False,Workout,True,True
236,37,Canada,Spotify,Premium,EDM,Dua Lipa,307,90,9,23.4,True,Sad,False,False
237,29,USA,YouTube Music,Premium,EDM,Kendrick Lamar,284,85,6,10.3,False,Energetic,False,True
238,32,India,Tidal,Premium,K-Pop,Kendrick Lamar,46,16,12,32.2,False,Happy,False,True
239,48,India,Tidal,Free,Afrobeats,Taylor Swift,122,35,8,28.6,False,Workout,False,True
240,13,USA,Spotify,Premium,K-Pop,Olivia Rodrigo,200,65,10,44.2,False,Energetic,True,False
241,37,France,Spotify,Free,Pop,Tyler the Creator,228,73,9,32.6,True,Sleep,False,False
242,13,UK,Spotify,Free,Hip-Hop,BTS,102,31,8,33.9,True,Happy,True,False
243,40,Japan,Spotify,Free,Pop,SZA,57,18,7,22.4,False,Focus,True,False
244,44,USA,Spotify,Free,R&B,Olivia Rodrigo,250,76,6,23.5,True,Chill,True,True
245,25,Canada,Tidal,Free,Pop,SZA,110,22,5,19.8,False,Sleep,True,False
246,40,Nigeria,SoundCloud,Free,Afrobeats,Drake,113,26,16,28.2,True,Happy,True,True
247,36,Brazil,YouTube Music,Free,R&B,Ariana Grande,125,45,5,42.8,False,Sad,False,True
248,44,Nigeria,Tidal,Student,Classical,Travis Scott,153,46,11,44.2,True,Chill,False,False
249,33,USA,YouTube Music,Premium,Indie,Taylor Swift,380,108,3,35.2,False,Party,False,True
250,42,USA,Spotify,Free,Country,Bad Bunny,137,45,9,19.1,True,Chill,False,True
251,33,India,Amazon Music,Free,Rock,Dua Lipa,185,58,9,54.5,False,Focus,True,False
252,29,USA,YouTube Music,Premium,EDM,SZA,200,53,5,34.9,False,Happy,True,True
253,35,UK,Apple Music,Family,R&B,Bad Bunny,62,14,10,20.7,True,Energetic,True,False
254,22,USA,Spotify,Premium,Hip-Hop,SZA,309,93,6,29.7,False,Chill,False,True
255,38,USA,Apple Music,Free,Rock,Kendrick Lamar,44,15,8,38.4,True,Chill,False,False
256,20,Australia,Spotify,Free,Classical,Burna Boy,54,18,6,25.5,True,Party,False,True
257,33,Australia,Spotify,Family,Rock,SZA,212,60,10,35.8,False,Workout,False,False
258,16,Japan,Spotify,Family,Pop,Ariana Grande,97,20,18,13.5,True,Energetic,False,False
259,14,Canada,Spotify,Premium,Country,Bad Bunny,89,18,3,32.5,True,Chill,False,False
260,34,Australia,YouTube Music,Premium,Hip-Hop,The Weeknd,153,42,9,23.3,False,Party,True,True
261,13,USA,Spotify,Family,Indie,The Weeknd,189,51,8,24.9,True,Workout,False,True
262,29,Nigeria,Apple Music,Student,Pop,BTS,246,67,8,20.9,False,Focus,False,True
263,13,Brazil,Spotify,Student,Pop,Billie Eilish,118,28,10,43.6,True,Happy,False,False
264,37,Japan,YouTube Music,Free,Indie,Drake,29,7,5,7.3,False,Workout,True,True
265,20,UK,YouTube Music,Premium,Lo-fi,Olivia Rodrigo,111,26,9,8.7,True,Chill,False,False
266,31,India,Apple Music,Family,Country,Burna Boy,137,43,7,21.6,False,Happy,True,True
267,31,Brazil,SoundCloud,Student,R&B,Drake,122,31,10,38.7,True,Sleep,False,True
268,35,UK,Amazon Music,Free,Classical,Dua Lipa,18,1,6,27.4,True,Chill,False,False
269,29,Nigeria,Apple Music,Free,Classical,Dua Lipa,90,37,9,37.6,False,Workout,False,True
270,30,Australia,Spotify,Free,Pop,Travis Scott,55,19,5,19.0,False,Focus,True,False
271,19,Germany,Spotify,Family,Afrobeats,Kendrick Lamar,128,30,3,30.4,True,Chill,False,True
272,13,France,YouTube Music,Student,Rock,Bad Bunny,212,60,6,48.9,False,Sad,False,False
273,45,USA,Apple Music,Premium,Rock,Travis Scott,282,80,11,17.4,True,Chill,False,True
274,21,Australia,Apple Music,Premium,R&B,Travis Scott,56,15,10,31.6,True,Party,True,True
275,28,Nigeria,Apple Music,Free,R&B,Travis Scott,171,40,13,38.6,True,Workout,False,True
276,25,Australia,Amazon Music,Student,K-Pop,Dua Lipa,279,70,9,36.8,False,Focus,False,True
277,44,Japan,Spotify,Free,Classical,Drake,51,8,3,48.6,True,Sleep,True,False
278,32,Australia,Spotify,Free,R&B,Drake,162,42,14,19.1,False,Sad,True,False
279,34,France,Amazon Music,Free,Jazz,Billie Eilish,202,59,5,26.0,True,Party,True,False
280,20,USA,Spotify,Free,EDM,Kendrick Lamar,127,36,13,24.4,True,Party,True,False
