student_id,age,gender,study_hours_per_day,sleep_hours_per_day,social_media_hours,exercise_hours_per_week,attendance_percentage,internet_access,part_time_job,stress_level,assignment_completion_rate,exam_score,cgpa,academic_performance
22,20,Female,2.3,7.8,0.0,6.2,75.8,Yes,No,Low,96.2,75.2,2.86,Average
23,18,Female,3.6,8.1,5.4,2.8,73.0,Yes,Yes,Medium,95.7,59.7,2.9,Average
24,25,Female,2.3,8.1,3.7,,99.8,Yes,No,High,85.6,62.3,2.84,Average
25,24,Male,1.9,6.9,4.8,4.9,91.1,Yes,Yes,Medium,100.0,55.1,2.17,Poor
26,22,Female,3.9,8.7,3.7,0.0,77.8,Yes,Yes,Medium,100.0,60.8,2.11,Poor
27,20,Female,3.7,7.3,3.1,6.2,87.8,Yes,Yes,Medium,100.0,72.1,3.42,Good
28,24,Male,4.4,,2.5,3.6,68.4,Yes,No,High,100.0,85.6,3.47,Good
29,21,Female,6.8,7.3,3.7,7.7,75.3,Yes,Yes,High,100.0,86.7,3.42,Good
30,20,Female,3.9,7.3,2.4,0.5,83.0,Yes,No,Low,100.0,87.3,4.0,Good
31,21,Male,4.2,6.1,4.6,5.8,86.5,Yes,No,Medium,100.0,73.8,2.77,Average
32,19,Female,1.9,7.8,0.1,3.8,81.0,Yes,No,High,85.4,80.1,3.09,Average
33,17,Male,1.6,10.0,2.0,3.3,84.5,No,No,High,90.0,53.6,2.06,Poor
34,21,Female,5.9,6.6,6.7,1.3,82.8,Yes,No,Medium,100.0,84.8,2.93,Average
35,24,Female,2.1,7.1,1.9,5.2,80.4,Yes,No,Medium,87.8,55.0,2.31,Average
36,17,Male,1.9,6.5,2.6,5.4,79.0,Yes,No,Medium,90.0,53.8,1.88,Poor
37,24,Female,3.4,6.4,1.4,7.6,77.7,Yes,No,Low,99.7,83.3,3.13,Average
38,24,Male,3.4,8.9,3.6,6.0,84.3,Yes,No,Low,100.0,74.8,2.75,Average
39,19,Female,2.1,6.2,1.7,2.8,86.1,Yes,No,Medium,82.7,73.0,2.72,Average
40,22,Female,3.0,6.4,2.7,2.0,84.0,Yes,No,Low,100.0,59.2,2.07,Poor
41,18,Male,5.3,5.1,4.5,1.3,70.2,Yes,No,Medium,100.0,85.8,3.52,Good
42,23,Male,2.3,6.1,1.7,6.9,72.0,No,Yes,High,89.7,53.1,2.07,Poor
43,23,Male,1.4,4.9,4.4,2.4,86.0,Yes,Yes,High,93.0,44.0,1.78,Poor
44,20,Male,15.0,7.8,4.5,7.0,96.7,Yes,Yes,Low,,88.4,4.0,Good
45,17,Male,4.2,10.0,4.9,5.1,83.5,Yes,Yes,Low,100.0,77.6,3.05,Average
46,25,Male,2.6,6.6,3.3,4.7,77.9,Yes,Yes,Medium,100.0,63.4,2.75,Average
47,21,Male,1.1,5.0,8.8,3.4,84.2,Yes,No,Medium,90.8,51.0,2.29,Average
48,25,Male,2.4,8.1,4.9,5.3,70.6,Yes,No,Low,87.0,63.4,2.52,Average
49,23,Female,3.4,6.1,3.6,4.0,95.1,Yes,No,High,100.0,87.0,3.58,Good
50,24,Female,5.2,8.6,1.4,3.3,83.9,Yes,No,Low,100.0,79.7,3.19,Average
51,23,Female,1.9,6.7,2.8,5.4,75.3,Yes,No,Low,84.1,69.7,2.86,Average
52,18,Male,3.4,6.2,5.6,3.7,80.3,No,Yes,Medium,100.0,81.8,3.07,Average
53,20,Female,4.5,6.8,6.1,2.4,76.7,Yes,No,Medium,100.0,70.9,2.66,Average
54,21,Female,0.5,7.9,5.7,5.2,95.1,Yes,No,Medium,83.2,35.5,1.42,Poor
55,21,Male,5.1,,4.4,3.9,80.0,No,No,Medium,100.0,70.7,2.14,Poor
56,17,Male,1.7,6.4,0.7,5.0,83.6,Yes,No,High,98.1,58.2,2.85,Average
57,21,Female,4.0,,3.9,3.1,87.7,Yes,No,Low,100.0,93.0,4.0,Good
58,18,Male,3.9,5.5,0.8,1.6,74.6,Yes,Yes,Medium,100.0,76.1,3.1,Average
59,23,Male,5.1,7.5,0.3,7.5,83.9,Yes,No,Low,100.0,85.0,3.63,Good
60,23,Female,4.3,4.9,3.4,7.1,84.7,Yes,Yes,Medium,100.0,73.6,3.32,Good
61,25,Male,0.5,6.5,3.9,5.8,66.5,Yes,Yes,Medium,46.5,30.8,0.77,Poor
62,23,Male,2.3,7.9,4.6,3.2,84.5,Yes,Yes,Medium,95.5,68.2,3.05,Average
63,20,Female,3.7,7.4,3.9,3.4,81.5,Yes,Yes,Low,100.0,71.6,2.72,Average
64,25,Female,3.2,7.7,4.0,6.8,83.3,Yes,No,High,100.0,85.7,4.0,Good
65,20,Male,4.2,,1.2,3.3,82.4,Yes,No,Medium,100.0,85.7,3.36,Good
66,19,Female,4.7,8.4,2.8,2.7,84.6,Yes,Yes,High,100.0,89.5,3.9,Good
67,25,Female,4.4,8.1,0.3,7.7,95.4,Yes,No,Medium,94.0,86.3,3.39,Good
68,20,Female,3.2,7.5,0.0,3.9,70.2,Yes,No,High,90.1,61.3,3.22,Good
69,17,Female,0.7,8.1,4.3,7.5,78.6,Yes,No,Medium,81.6,39.9,1.41,Poor
70,21,Male,2.8,7.9,1.6,1.2,88.7,Yes,No,Medium,71.4,60.1,2.81,Average
71,24,Male,15.0,6.5,4.6,5.0,86.8,Yes,No,Medium,100.0,83.8,3.57,Good
72,18,Female,1.9,5.4,5.0,8.1,86.6,Yes,No,High,74.1,54.7,2.33,Average
73,21,Male,4.4,7.5,1.9,4.1,100.0,Yes,No,Medium,,95.4,3.89,Good
74,18,Female,4.9,7.7,4.1,3.5,88.1,Yes,No,Medium,100.0,84.7,3.16,Average
75,23,Female,3.7,8.3,1.8,1.7,93.3,Yes,No,Medium,100.0,77.1,2.18,Poor
76,21,Male,0.5,5.9,0.0,,78.9,Yes,No,Medium,75.5,42.3,2.07,Poor
77,19,Female,1.6,5.9,3.2,2.5,72.1,No,Yes,Medium,,55.5,2.05,Poor
78,19,Male,6.3,7.6,2.2,3.8,78.9,Yes,No,High,100.0,93.3,4.0,Good
79,22,Female,2.7,6.9,2.2,1.5,89.1,Yes,No,Medium,100.0,76.5,3.18,Average
80,23,Male,0.5,4.7,6.6,7.1,86.1,Yes,No,Medium,88.9,38.8,1.97,Poor
81,25,Female,5.4,7.5,0.3,6.3,86.0,Yes,No,Medium,100.0,97.5,4.0,Good
82,20,Female,3.5,4.8,3.7,3.9,79.9,Yes,No,High,100.0,83.7,2.49,Average
83,18,Male,5.2,5.9,1.2,1.7,78.3,Yes,Yes,Medium,100.0,89.0,3.78,Good
84,24,Female,3.9,8.6,4.6,7.1,80.2,No,No,Low,100.0,78.7,3.03,Average
85,22,Female,4.2,9.2,3.5,3.3,89.2,Yes,No,Low,100.0,84.0,3.77,Good
86,23,Female,4.0,5.5,3.7,1.8,90.4,Yes,No,Medium,100.0,93.7,3.95,Good
87,17,Female,4.5,6.6,1.3,,71.9,Yes,No,Medium,100.0,82.6,3.51,Good
88,19,Female,6.9,7.1,1.6,2.7,89.6,Yes,Yes,Medium,100.0,100.0,3.9,Good
89,23,Male,5.0,9.1,4.7,1.1,75.5,Yes,No,Low,100.0,78.8,2.83,Average
90,24,Male,1.1,6.4,6.2,2.8,86.7,Yes,No,High,90.7,43.9,1.6,Poor
91,20,Male,4.2,6.4,3.9,5.5,80.1,Yes,Yes,Medium,100.0,65.9,2.01,Poor
92,24,Female,5.2,8.9,1.4,3.2,97.7,Yes,No,Medium,100.0,100.0,3.79,Good
93,24,Female,5.3,6.6,3.6,4.7,77.8,No,Yes,Low,100.0,76.2,2.54,Average
94,20,Male,2.9,7.9,7.4,2.6,83.8,Yes,No,Low,100.0,67.1,2.18,Poor
95,25,Male,5.2,5.2,3.2,4.1,88.1,Yes,No,Low,100.0,91.4,3.69,Good
96,19,Female,4.9,6.8,5.6,7.8,73.3,No,Yes,Medium,100.0,83.7,3.53,Good
97,19,Male,7.4,5.0,1.7,3.3,81.3,Yes,No,Medium,100.0,100.0,3.99,Good
98,23,Female,2.4,5.7,2.9,4.8,79.3,Yes,No,Low,100.0,56.1,2.07,Poor
99,22,Male,2.7,8.0,4.1,0.9,76.9,Yes,No,Medium,86.9,65.7,2.3,Average
100,18,Female,3.0,6.9,3.7,7.0,77.6,Yes,No,Low,90.8,63.6,2.43,Average
101,24,Male,2.8,6.6,1.6,3.0,93.1,Yes,Yes,Medium,100.0,62.4,2.21,Average
102,18,Male,2.2,6.1,1.5,6.1,76.0,Yes,Yes,Low,95.5,77.1,3.06,Average
103,24,Female,0.5,6.7,4.8,3.8,87.7,Yes,No,Low,73.3,41.2,1.11,Poor
104,17,Female,2.8,7.4,5.1,5.2,85.1,No,Yes,Low,100.0,56.9,2.52,Average
105,24,Male,4.1,8.2,5.7,5.3,68.0,No,Yes,Medium,100.0,65.7,2.43,Average
106,24,Male,2.8,3.8,6.2,3.1,87.2,Yes,No,High,96.2,73.3,3.06,Average
107,24,Female,6.4,6.0,3.2,6.2,67.9,Yes,Yes,Medium,100.0,72.8,3.22,Good
108,22,Female,3.5,7.2,2.4,2.5,88.3,Yes,No,Low,100.0,84.8,3.51,Good
109,21,Male,5.4,,5.4,5.6,76.9,Yes,No,High,100.0,75.0,3.28,Good
110,23,Male,3.9,7.5,4.3,3.2,82.1,Yes,No,High,100.0,75.6,2.3,Average
111,19,Female,4.7,7.3,1.2,4.7,69.1,Yes,Yes,Medium,100.0,74.8,2.82,Average
112,24,Female,3.9,6.6,1.1,3.1,83.2,Yes,No,Low,100.0,94.7,4.0,Good
113,22,Female,5.6,6.4,3.9,4.1,91.3,Yes,No,Medium,100.0,91.5,3.84,Good
114,21,Female,3.6,6.7,2.7,1.9,73.9,Yes,No,High,100.0,64.9,3.24,Good
115,21,Male,4.2,2.0,3.0,4.5,75.9,Yes,No,High,100.0,73.7,3.54,Good
116,22,Female,4.0,6.1,4.9,4.1,86.5,Yes,No,Medium,100.0,76.0,3.15,Average
117,17,Female,3.1,6.9,4.4,2.9,86.8,Yes,No,Medium,100.0,69.8,2.7,Average
118,18,Female,4.1,7.2,5.4,3.9,57.7,No,No,High,100.0,68.5,2.4,Average
119,19,Male,6.9,8.9,0.0,4.3,100.0,Yes,No,Low,100.0,100.0,3.83,Good
120,18,Male,3.1,6.6,3.5,2.8,87.3,Yes,Yes,Low,99.1,59.1,2.22,Average
121,20,Female,4.1,8.2,4.3,3.7,89.0,Yes,No,High,100.0,75.1,2.8,Average
122,23,Male,5.4,8.5,0.3,2.0,80.6,Yes,No,Low,100.0,95.8,3.51,Good
123,22,Female,5.2,6.9,1.8,8.7,63.4,Yes,Yes,Medium,100.0,75.8,3.17,Average
124,21,Male,3.5,6.7,1.5,6.1,88.7,Yes,No,Medium,100.0,82.4,3.89,Good
125,24,Female,0.5,6.6,3.0,4.5,76.3,Yes,No,Low,79.0,46.4,2.18,Poor
126,22,Female,4.3,6.7,5.9,6.3,87.4,Yes,Yes,Low,100.0,74.2,2.85,Average
127,17,Male,0.5,8.0,6.6,0.0,79.8,Yes,No,Medium,74.5,51.5,2.42,Average
128,23,Male,5.7,7.3,1.5,0.0,84.4,Yes,No,Medium,100.0,79.0,3.28,Good
129,22,Female,3.8,7.3,3.9,3.2,74.3,No,No,Medium,,64.7,2.57,Average
130,22,Female,5.0,5.6,4.0,1.2,90.6,Yes,No,Medium,100.0,95.6,3.79,Good
131,22,Male,2.1,5.8,3.7,3.5,70.1,Yes,No,High,76.0,70.8,2.76,Average
132,21,Female,1.2,,3.7,4.4,100.0,Yes,No,Medium,96.9,77.1,3.31,Good
133,17,Female,3.9,6.8,3.5,5.8,100.0,Yes,Yes,High,100.0,81.2,3.3,Good
134,22,Male,3.4,6.1,6.0,1.7,98.3,Yes,Yes,Medium,100.0,76.6,2.81,Average
135,24,Male,2.8,8.7,5.0,4.8,94.8,No,No,Low,100.0,74.3,2.7,Average
136,19,Male,3.6,7.3,1.1,4.0,81.2,Yes,No,High,100.0,86.0,3.55,Good
137,22,Male,7.7,7.7,4.4,4.7,93.7,No,No,High,100.0,100.0,4.0,Good
138,17,Male,4.8,6.8,4.6,3.0,81.0,Yes,No,Low,100.0,86.9,3.37,Good
139,20,Male,5.1,6.6,3.6,6.8,66.5,Yes,No,Medium,100.0,82.2,2.89,Average
140,20,Female,4.8,6.8,5.0,3.8,97.0,Yes,No,Medium,100.0,88.7,3.99,Good
141,25,Male,5.7,5.3,3.3,7.5,93.3,No,No,Low,100.0,86.0,3.81,Good
142,18,Female,3.2,6.9,3.4,,81.7,Yes,No,Medium,100.0,66.6,1.97,Poor
143,19,Male,0.5,7.4,3.2,5.5,69.7,Yes,No,Low,52.5,39.4,2.04,Poor
144,20,Male,3.2,9.2,0.0,3.9,76.1,Yes,No,Low,100.0,62.9,2.44,Average
145,25,Female,4.7,7.1,2.9,3.3,63.8,Yes,Yes,High,100.0,62.6,2.57,Average
146,24,Female,2.0,4.2,1.8,5.3,91.5,Yes,No,Medium,100.0,62.3,2.89,Average
147,17,Male,3.2,6.9,0.9,3.4,66.0,Yes,Yes,High,100.0,65.6,3.2,Good
148,19,Male,2.5,10.0,5.6,0.0,84.9,Yes,No,Medium,94.2,61.9,2.83,Average
149,24,Male,5.8,8.0,3.9,0.0,73.6,Yes,No,High,100.0,90.4,3.7,Good
150,17,Female,4.6,6.0,2.9,6.5,67.7,Yes,No,Medium,100.0,77.8,2.63,Average
151,24,Male,4.5,7.7,2.0,6.5,84.4,Yes,No,Medium,100.0,80.3,2.5,Average
152,19,Male,4.4,6.1,3.5,7.8,78.7,Yes,No,Medium,100.0,70.4,3.12,Average
153,25,Male,3.4,5.4,4.8,4.0,90.4,No,No,Medium,,79.0,3.63,Good
154,19,Male,3.8,6.6,1.5,1.4,69.3,Yes,No,Medium,100.0,71.6,2.58,Average
155,20,Female,1.7,7.1,3.0,3.2,74.4,Yes,No,Medium,78.0,51.9,1.98,Poor
156,22,Female,0.5,4.8,4.6,4.0,58.1,Yes,No,Medium,65.0,36.0,1.25,Poor
157,18,Male,3.7,5.6,0.0,2.0,60.2,Yes,Yes,Low,,65.0,2.4,Average
158,22,Male,4.0,7.0,2.9,7.3,100.0,Yes,Yes,High,100.0,78.3,3.51,Good
159,21,Male,5.3,6.5,2.2,8.5,100.0,Yes,Yes,High,100.0,89.7,3.66,Good
160,24,Male,5.9,7.5,2.8,,82.9,Yes,No,Medium,100.0,89.4,3.5,Good
161,25,Female,5.9,5.5,2.1,4.0,73.8,Yes,Yes,Medium,,94.8,4.0,Good
162,22,Female,2.0,7.9,3.2,1.4,79.0,Yes,No,Medium,88.0,62.1,1.98,Poor
163,20,Female,3.0,5.6,6.5,7.1,90.7,Yes,No,High,100.0,78.2,3.32,Good
164,20,Female,4.2,9.0,2.4,4.2,76.9,Yes,No,Medium,100.0,86.7,3.1,Average
165,20,Female,7.3,4.9,3.5,3.4,84.4,Yes,No,Medium,100.0,100.0,3.94,Good
166,24,Female,5.7,5.7,6.6,5.0,81.9,Yes,No,Low,100.0,89.0,3.61,Good
167,19,Male,5.2,7.5,2.0,2.8,76.3,No,No,Low,100.0,89.5,3.87,Good
168,18,Male,2.9,9.0,6.3,4.3,76.7,Yes,No,High,82.0,56.9,2.18,Poor
169,20,Male,2.2,7.4,3.0,1.1,84.9,Yes,Yes,Medium,100.0,69.2,2.64,Average
170,17,Female,4.7,7.7,6.2,6.2,72.2,No,No,Low,100.0,68.2,2.63,Average
171,17,Male,1.8,7.0,4.4,3.8,86.5,Yes,Yes,Low,85.1,46.8,1.49,Poor
172,17,Female,3.1,5.8,3.6,6.3,77.3,No,No,Medium,91.1,79.1,3.38,Good
173,23,Female,3.3,6.4,2.9,3.6,83.3,Yes,No,Medium,100.0,61.5,2.56,Average
174,23,Female,5.9,5.5,1.9,3.7,95.8,Yes,Yes,Medium,100.0,100.0,4.0,Good
175,23,Male,3.0,5.5,3.1,1.6,80.3,Yes,Yes,Medium,100.0,60.1,2.38,Average
176,21,Male,0.5,7.5,4.6,5.5,91.2,Yes,No,High,76.8,58.0,2.25,Average
177,23,Male,4.3,5.7,3.0,2.2,64.1,No,No,Medium,100.0,82.1,3.7,Good
178,18,Female,2.5,7.4,2.4,3.0,77.3,Yes,Yes,High,87.2,67.3,3.05,Average
179,25,Female,3.6,5.4,2.5,4.0,82.3,Yes,Yes,Low,100.0,83.5,3.83,Good
180,21,Female,3.4,7.4,4.8,4.2,100.0,Yes,Yes,Medium,100.0,74.8,3.12,Average
181,25,Male,3.1,6.4,5.2,0.6,62.4,Yes,No,Low,92.6,76.6,3.54,Good
182,18,Male,4.7,8.7,1.8,3.5,81.0,Yes,Yes,Low,100.0,89.1,3.42,Good
183,21,Male,1.2,7.4,1.8,,96.6,Yes,No,Low,100.0,53.5,2.07,Poor
184,23,Female,2.7,8.5,3.7,3.2,74.1,Yes,No,Low,91.3,62.8,2.93,Average
185,21,Female,4.5,6.1,5.7,3.6,79.9,Yes,Yes,High,100.0,74.3,3.27,Good
186,21,Male,2.6,7.1,5.1,4.3,85.3,No,No,Medium,85.3,60.9,2.33,Average
187,18,Female,1.1,5.8,0.7,3.7,83.8,Yes,Yes,High,90.2,43.7,1.38,Poor
188,20,Male,4.5,6.5,2.5,1.9,97.7,Yes,No,Medium,100.0,89.5,3.51,Good
189,19,Female,5.2,6.7,1.3,3.9,86.5,Yes,Yes,Medium,100.0,78.7,2.91,Average
190,19,Male,3.4,6.1,2.5,6.0,95.3,Yes,No,Low,100.0,56.8,2.88,Average
191,23,Male,0.6,5.5,5.9,1.9,78.4,Yes,No,Medium,62.6,40.3,1.88,Poor
192,22,Female,4.6,5.3,0.4,3.3,74.6,Yes,No,Medium,91.9,75.9,2.77,Average
193,22,Male,1.0,4.2,0.1,1.2,79.7,Yes,No,High,100.0,49.0,1.59,Poor
194,20,Male,4.0,5.7,1.5,5.9,70.4,Yes,No,High,100.0,49.3,1.7,Poor
195,25,Male,2.2,7.8,3.5,3.8,86.8,Yes,No,Low,97.8,55.7,2.03,Poor
196,17,Male,1.8,5.1,4.1,2.3,78.1,Yes,Yes,Medium,91.6,53.9,2.1,Poor
197,20,Female,2.8,5.4,3.8,,75.3,No,No,Medium,,58.3,2.72,Average
198,18,Female,3.2,9.1,5.1,1.6,87.0,Yes,No,Medium,99.1,71.7,2.53,Average
199,20,Female,2.5,,0.0,1.9,70.6,Yes,No,Low,100.0,76.1,3.85,Good
200,25,Male,4.4,7.4,5.1,,89.7,Yes,No,Medium,100.0,82.9,2.99,Average
201,20,Female,2.8,7.8,2.4,1.9,77.2,Yes,No,High,91.6,74.2,2.48,Average
202,25,Male,5.0,7.8,4.3,6.7,93.6,Yes,Yes,Medium,100.0,94.9,4.0,Good
203,21,Male,3.9,5.2,0.6,2.5,78.1,Yes,Yes,Medium,100.0,69.6,3.25,Good
204,23,Male,2.5,6.7,3.0,4.9,88.3,Yes,No,Low,,69.5,2.72,Average
205,21,Female,2.2,5.1,3.4,2.3,83.8,Yes,No,High,100.0,69.8,2.92,Average
206,19,Female,1.0,9.9,5.1,5.5,89.4,Yes,No,Low,84.2,48.4,2.08,Poor
207,23,Female,3.9,5.1,0.1,1.9,83.1,Yes,No,Low,100.0,74.0,3.01,Average
208,25,Male,3.0,5.7,3.1,4.1,65.4,Yes,No,Medium,95.2,66.3,2.2,Poor
209,19,Male,0.5,5.8,1.0,,92.1,Yes,No,High,84.5,42.8,0.84,Poor
210,24,Female,2.7,5.2,3.9,8.7,81.1,Yes,No,Medium,,55.4,1.92,Poor
211,19,Female,2.1,8.6,4.4,5.3,89.9,Yes,Yes,Low,100.0,56.7,2.9,Average
212,23,Male,5.9,9.9,5.3,2.8,88.9,Yes,No,Low,100.0,93.7,4.0,Good
213,24,Male,0.9,6.4,2.0,5.4,74.3,Yes,No,High,,52.3,2.0,Poor
214,21,Male,1.3,5.4,4.7,8.3,72.9,Yes,No,Medium,74.5,57.5,1.96,Poor
215,23,Female,5.2,4.3,5.4,0.7,88.6,No,Yes,Low,100.0,76.8,3.17,Average
216,19,Male,5.5,6.7,0.0,2.3,79.0,Yes,No,High,100.0,84.1,3.52,Good
217,17,Female,2.4,6.6,4.1,3.5,91.4,Yes,No,Low,99.0,69.1,2.97,Average
218,17,Male,2.6,6.2,4.7,3.2,80.2,Yes,No,Medium,100.0,55.0,1.32,Poor
219,21,Female,4.4,7.3,2.5,3.3,92.2,Yes,No,Low,100.0,79.0,4.0,Good
220,25,Male,0.5,7.5,0.8,1.4,86.2,Yes,No,Medium,98.9,38.1,1.92,Poor
221,18,Male,0.7,7.4,4.7,6.8,84.9,Yes,No,High,89.0,50.7,1.96,Poor
222,21,Male,3.1,6.6,0.8,1.2,78.3,Yes,No,Medium,84.2,83.1,3.07,Average
223,23,Male,5.8,5.7,2.7,3.6,84.3,Yes,No,Medium,100.0,83.9,3.7,Good
224,18,Female,2.8,7.8,2.9,6.1,93.9,Yes,Yes,High,96.2,79.4,3.35,Good
225,23,Male,3.7,7.0,4.3,3.9,81.5,Yes,No,High,100.0,70.8,2.86,Average
226,19,Female,5.2,8.1,1.9,2.0,87.3,Yes,No,Medium,100.0,75.2,3.17,Average
227,24,Male,6.7,7.9,1.8,1.3,82.5,Yes,No,Medium,100.0,92.3,3.65,Good
228,22,Male,2.6,5.3,3.2,3.5,83.2,Yes,Yes,High,99.7,57.8,2.45,Average
229,21,Female,3.5,5.3,4.8,2.5,99.2,Yes,No,Low,100.0,72.8,3.17,Average
230,18,Male,6.2,6.1,7.1,4.4,94.0,Yes,No,Low,100.0,95.5,3.94,Good
231,21,Female,1.2,5.7,0.3,1.2,82.8,Yes,No,Low,88.8,73.1,3.02,Average
232,24,Female,5.0,,3.6,5.6,84.1,Yes,No,High,100.0,73.0,3.41,Good
233,17,Female,2.0,,1.0,4.2,75.0,Yes,No,Low,87.4,56.6,1.7,Poor
234,23,Male,3.7,8.3,4.8,4.4,80.3,Yes,No,Medium,100.0,62.9,2.24,Average
235,21,Male,3.1,7.5,1.3,,85.1,No,No,Medium,100.0,62.8,2.52,Average
236,23,Female,2.1,7.3,1.8,3.1,90.5,No,No,Low,100.0,66.3,2.4,Average
237,22,Male,2.0,8.4,1.9,2.5,89.5,Yes,No,Medium,80.2,64.6,2.45,Average
238,20,Male,3.9,7.6,2.9,2.9,70.9,Yes,No,Medium,100.0,57.3,2.74,Average
239,19,Male,5.0,7.1,3.6,3.6,91.8,Yes,No,Low,100.0,86.8,3.42,Good
240,22,Female,3.3,8.8,3.9,3.8,81.1,Yes,No,High,100.0,59.4,1.74,Poor
241,18,Female,3.6,7.1,3.0,2.3,72.1,Yes,No,Low,100.0,69.7,2.64,Average
242,22,Female,4.4,6.6,0.6,0.0,95.4,Yes,No,High,100.0,97.5,3.92,Good
243,17,Female,2.0,6.0,4.3,2.9,96.6,Yes,No,Medium,100.0,67.4,2.71,Average
244,22,Male,4.6,7.8,2.9,4.7,84.6,Yes,Yes,Low,100.0,83.6,3.54,Good
245,22,Female,4.7,8.5,5.1,4.3,89.1,Yes,Yes,Low,100.0,77.1,3.25,Good
246,17,Male,7.4,6.9,1.7,6.4,89.7,Yes,No,Medium,100.0,100.0,3.95,Good
247,23,Female,2.9,8.6,0.1,7.9,96.0,Yes,No,Medium,,81.4,2.84,Average
248,20,Male,2.8,4.6,2.9,5.5,89.3,Yes,No,Low,100.0,73.1,2.77,Average
249,24,Female,4.7,6.9,5.3,6.8,68.7,Yes,No,High,100.0,72.5,2.68,Average
250,17,Male,4.7,7.0,3.3,5.5,100.0,Yes,No,Medium,100.0,89.6,3.49,Good
251,18,Male,2.7,6.1,2.6,7.4,92.7,Yes,No,High,100.0,59.5,2.62,Average
252,21,Male,2.9,9.9,1.4,7.7,76.9,Yes,No,Low,100.0,62.1,2.62,Average
253,18,Male,4.3,6.9,6.2,5.9,71.7,Yes,No,Low,,76.0,3.33,Good
254,19,Male,2.3,6.5,1.1,5.4,87.0,Yes,No,Medium,91.3,73.6,2.81,Average
255,22,Female,2.9,7.0,1.7,3.6,79.2,Yes,No,Medium,100.0,69.0,3.29,Good
256,18,Male,3.6,4.6,4.0,3.9,85.3,Yes,Yes,Low,100.0,84.7,3.62,Good
257,23,Female,5.0,6.1,0.0,3.3,89.4,Yes,No,Low,100.0,95.3,3.85,Good
258,17,Male,2.6,8.2,5.3,5.2,76.3,Yes,No,Low,100.0,57.7,2.52,Average
259,18,Female,0.7,6.2,4.1,2.6,70.8,Yes,No,High,84.4,34.7,1.15,Poor
260,22,Male,0.6,6.0,4.6,3.6,85.9,No,Yes,Medium,75.7,59.6,1.65,Poor
261,24,Female,1.6,8.6,4.0,0.0,76.7,Yes,No,High,85.4,59.9,2.18,Poor
262,18,Female,1.5,8.6,2.7,7.4,83.5,Yes,Yes,Low,92.8,71.8,3.13,Average
263,19,Male,3.3,7.6,1.1,3.6,68.6,Yes,No,Medium,95.6,85.8,3.46,Good
264,25,Female,1.7,6.5,2.7,4.9,79.5,Yes,No,Medium,100.0,47.1,1.84,Poor
265,25,Male,2.4,6.7,1.2,6.9,89.1,No,No,Medium,89.0,58.6,2.05,Poor
266,22,Male,2.3,6.0,3.9,4.6,88.1,Yes,No,High,100.0,40.8,0.95,Poor
267,21,Female,2.8,5.8,4.5,6.9,74.1,Yes,No,High,100.0,69.3,3.27,Good
268,20,Female,5.5,5.7,5.7,1.5,70.3,Yes,No,Low,100.0,85.2,3.34,Good
